Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,DEEPAKNTR,2287.95,2333.1,2272.0,2304.45,175934,0.23600000000000002,745482
2021-09-02,DEEPAKNTR,2304.0,2335.0,2285.05,2321.85,178185,0.27530000000000004,647328
2021-09-03,DEEPAKNTR,2321.85,2405.0,2307.9,2348.7,185614,0.15480000000000002,1199390
2021-09-06,DEEPAKNTR,2360.4,2382.15,2350.05,2359.6,136954,0.2414,567218
2021-09-07,DEEPAKNTR,2365.7,2394.0,2317.0,2365.85,151825,0.19090000000000001,795363
2021-09-08,DEEPAKNTR,2372.0,2406.4,2337.65,2360.45,169066,0.1912,884043
2021-09-09,DEEPAKNTR,2360.2,2375.75,2346.0,2360.7,106467,0.29710000000000003,358333
2021-09-13,DEEPAKNTR,2360.25,2439.9,2348.0,2427.6,268133,0.185,1449411
2021-09-14,DEEPAKNTR,2439.7,2468.85,2420.0,2451.15,317542,0.3168,1002384
2021-09-15,DEEPAKNTR,2458.9,2468.95,2443.7,2451.55,130886,0.2964,441513
2021-09-16,DEEPAKNTR,2459.0,2470.6,2424.0,2448.6,133870,0.32170000000000004,416138
2021-09-17,DEEPAKNTR,2455.0,2487.0,2402.35,2416.25,198304,0.275,721035
2021-09-20,DEEPAKNTR,2408.0,2419.8,2357.1,2375.5,199042,0.3722,534811
2021-09-21,DEEPAKNTR,2373.0,2446.95,2314.0,2434.15,276021,0.2746,1005310
2021-09-22,DEEPAKNTR,2446.35,2458.3,2409.4,2416.85,196910,0.324,607772
2021-09-23,DEEPAKNTR,2432.8,2475.0,2430.0,2469.2,222879,0.29059999999999997,766910
2021-09-24,DEEPAKNTR,2481.0,2527.0,2455.65,2485.95,270132,0.21910000000000002,1232658
2021-09-27,DEEPAKNTR,2490.0,2504.05,2431.95,2442.95,159414,0.3008,529895
2021-09-28,DEEPAKNTR,2442.9,2442.9,2353.25,2400.4,426574,0.44799999999999995,952133
2021-09-29,DEEPAKNTR,2373.65,2397.0,2333.8,2374.05,336560,0.41409999999999997,812697
2021-09-30,DEEPAKNTR,2388.4,2418.1,2363.35,2406.55,177760,0.3084,576314
2021-10-01,DEEPAKNTR,2399.0,2405.0,2356.0,2382.45,209956,0.3072,683465
2021-10-04,DEEPAKNTR,2388.9,2620.0,2383.45,2591.95,516312,0.2661,1940585
2021-10-05,DEEPAKNTR,2616.7,2753.95,2615.0,2670.55,479608,0.1252,3829744
2021-10-06,DEEPAKNTR,2696.95,2930.0,2681.75,2886.8,531164,0.1066,4981156
2021-10-07,DEEPAKNTR,2913.9,2943.25,2832.05,2868.4,342650,0.1485,2306692
2021-10-08,DEEPAKNTR,2888.0,2940.8,2854.55,2881.6,167959,0.1509,1112801
2021-10-11,DEEPAKNTR,2886.0,2989.95,2854.3,2866.75,292333,0.2147,1361327
2021-10-12,DEEPAKNTR,2870.0,2890.8,2817.05,2850.85,108588,0.1933,561651
2021-10-13,DEEPAKNTR,2850.0,2910.05,2835.0,2875.7,116855,0.14980000000000002,779826
2021-10-14,DEEPAKNTR,2888.8,2957.45,2877.0,2897.8,204235,0.2233,914516
2021-10-18,DEEPAKNTR,2921.0,2934.95,2850.0,2866.85,420489,0.469,896626
2021-10-19,DEEPAKNTR,2872.5,3020.0,2839.4,2925.9,315149,0.1376,2290860
2021-10-20,DEEPAKNTR,2871.0,2885.95,2500.0,2555.1,1533688,0.2805,5468580
2021-10-21,DEEPAKNTR,2548.0,2616.5,2418.05,2432.4,1246756,0.2983,4179873
