Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,DEN,46.7,47.3,46.6,46.9,381727,0.6509,586502
2021-09-02,DEN,47.0,48.5,46.0,46.9,471867,0.45840000000000003,1029344
2021-09-03,DEN,47.0,49.6,47.0,48.95,678033,0.4565,1485259
2021-09-06,DEN,49.35,51.6,49.0,49.55,1025732,0.4158,2467164
2021-09-07,DEN,49.3,50.45,48.5,48.75,355607,0.4303,826363
2021-09-08,DEN,48.7,49.95,48.55,48.75,203674,0.36460000000000004,558680
2021-09-09,DEN,48.55,50.55,48.55,49.25,520921,0.5156000000000001,1010255
2021-09-13,DEN,49.3,50.05,49.2,49.5,360794,0.48869999999999997,738336
2021-09-14,DEN,49.7,52.05,49.7,51.35,972677,0.3201,3038981
2021-09-15,DEN,51.5,52.25,50.25,50.55,896340,0.5492,1632029
2021-09-16,DEN,50.6,51.25,49.7,49.85,431038,0.5362,803877
2021-09-17,DEN,50.15,50.25,48.7,48.85,422846,0.6119,691067
2021-09-20,DEN,48.75,49.6,47.35,47.65,342339,0.4083,838407
2021-09-21,DEN,47.65,48.0,47.0,47.75,236121,0.498,474098
2021-09-22,DEN,48.3,50.1,48.3,48.65,546689,0.31320000000000003,1745532
2021-09-23,DEN,48.85,49.3,47.2,48.05,501045,0.49950000000000006,1003021
2021-09-24,DEN,48.25,48.5,47.45,47.55,336866,0.5195000000000001,648420
2021-09-27,DEN,48.0,48.4,46.9,47.15,481650,0.6315999999999999,762560
2021-09-28,DEN,47.25,48.15,46.9,47.25,380538,0.4587,829688
2021-09-29,DEN,47.35,49.2,47.0,48.75,743726,0.5538000000000001,1342856
2021-09-30,DEN,49.0,49.0,47.9,48.0,392650,0.5883,667413
2021-10-01,DEN,47.65,49.5,47.55,48.45,1109637,0.349,3179586
2021-10-04,DEN,48.45,50.85,48.45,49.8,930369,0.40850000000000003,2277488
2021-10-05,DEN,49.7,51.95,49.7,50.9,1010491,0.3572,2829107
2021-10-06,DEN,51.15,51.5,49.55,49.75,549275,0.49840000000000007,1102175
2021-10-07,DEN,50.4,50.7,49.75,49.95,427731,0.5414,790032
2021-10-08,DEN,49.7,50.5,49.5,49.95,339767,0.49729999999999996,683158
2021-10-11,DEN,50.4,50.55,49.75,49.9,373727,0.6474,577316
2021-10-12,DEN,50.0,54.0,49.5,52.95,2471480,0.3309,7468622
2021-10-13,DEN,53.6,53.9,51.85,52.2,992818,0.5136000000000001,1933075
2021-10-14,DEN,52.7,54.8,51.65,53.3,1674465,0.41500000000000004,4034731
2021-10-18,DEN,53.5,54.85,51.45,53.55,1788617,0.4994,3581513
2021-10-19,DEN,53.9,55.25,51.0,51.6,1356239,0.3486,3890458
2021-10-20,DEN,51.6,52.15,49.45,49.9,761336,0.4473,1702095
2021-10-21,DEN,50.05,50.75,48.55,48.8,752567,0.5634,1335783
2021-10-22,DEN,48.9,49.4,47.45,47.8,720623,0.5844,1233075
2021-10-25,DEN,48.5,48.5,45.85,46.3,724262,0.5367000000000001,1349513
2021-10-26,DEN,47.15,47.9,46.45,47.55,458606,0.3835,1195809
2021-10-27,DEN,47.55,48.1,47.3,47.5,214227,0.5286,405247
2021-10-28,DEN,47.5,47.5,46.0,46.25,423977,0.6476000000000001,654710
2021-10-29,DEN,46.4,46.4,44.1,44.65,1292413,0.6798000000000001,1901148
2021-11-01,DEN,45.9,46.0,44.6,44.7,831244,0.7089,1172510
2021-11-02,DEN,44.9,45.3,43.75,44.05,1911216,0.7415999999999999,2577223
2021-11-03,DEN,44.5,44.8,41.8,42.5,1704219,0.6174000000000001,2760118
2021-11-04,DEN,42.9,44.5,42.85,44.2,308717,0.6321,488410
2021-11-08,DEN,44.35,44.5,43.5,44.1,1031276,0.556,1854850
2021-11-09,DEN,44.3,45.3,43.8,44.7,1496232,0.7119,2101771
2021-11-10,DEN,44.5,45.2,43.9,44.2,944045,0.6233,1514527
2021-11-11,DEN,44.2,44.45,43.2,43.35,951395,0.6639,1433063
2021-11-12,DEN,43.6,43.8,41.85,41.95,1997216,0.7107,2810272
2021-11-15,DEN,41.95,41.95,40.05,40.45,2116730,0.6837000000000001,3095800
2021-11-16,DEN,40.9,41.5,40.15,40.3,1542399,0.5851,2636239
2021-11-17,DEN,40.2,40.75,39.85,39.95,931590,0.5565,1674109
2021-11-18,DEN,40.15,40.25,38.5,38.7,1295324,0.5904,2193970
2021-11-22,DEN,39.05,39.3,37.3,37.85,1067804,0.5142,2076800
2021-11-23,DEN,37.8,41.3,37.65,40.55,1313204,0.43420000000000003,3024200
2021-11-24,DEN,41.0,42.9,40.3,41.45,1070749,0.3643,2939552
2021-11-25,DEN,41.8,42.4,41.05,42.05,508024,0.3895,1304294
2021-11-26,DEN,41.65,41.7,39.8,40.25,643894,0.42200000000000004,1525662
2021-11-29,DEN,40.25,40.65,38.3,39.15,406201,0.2195,1850701
2021-11-30,DEN,39.2,40.25,39.15,39.75,252118,0.2378,1060294
2021-12-01,DEN,39.95,40.35,38.8,39.15,563536,0.383,1471341
2021-12-02,DEN,39.55,41.3,39.35,40.8,501027,0.38189999999999996,1311825
2021-12-03,DEN,41.0,41.9,40.55,41.05,379813,0.2637,1440574
2021-12-06,DEN,40.55,41.1,39.6,39.9,312184,0.331,943190
2021-12-07,DEN,40.1,40.95,39.6,40.65,530280,0.25079999999999997,2114380
2021-12-08,DEN,40.95,41.5,40.6,40.95,343094,0.32020000000000004,1071344
2021-12-09,DEN,41.0,43.4,40.7,42.6,849868,0.27440000000000003,3097377
2021-12-10,DEN,42.3,46.5,42.0,45.5,1961355,0.2458,7978146
2021-12-13,DEN,45.7,46.4,44.55,45.35,1210247,0.3056,3959591
2021-12-14,DEN,45.0,47.0,44.3,45.7,1144551,0.2572,4449270
2021-12-15,DEN,45.9,47.15,44.75,45.35,927790,0.2761,3360237
2021-12-16,DEN,45.55,45.75,43.7,43.95,495391,0.2545,1946733
2021-12-17,DEN,44.0,44.0,41.55,41.75,669550,0.3106,2155740
2021-12-20,DEN,41.3,41.5,39.6,40.15,699319,0.3494,2001598
2021-12-21,DEN,41.6,41.6,39.75,40.25,593222,0.40630000000000005,1460131
2021-12-22,DEN,40.45,41.75,40.45,41.4,357833,0.2911,1229243
2021-12-23,DEN,41.7,42.15,41.1,41.5,289073,0.27390000000000003,1055352
2021-12-24,DEN,41.6,41.8,40.65,41.05,375409,0.2644,1419756
2021-12-27,DEN,40.8,41.65,40.35,41.0,237035,0.3111,761934
2021-12-28,DEN,41.25,41.95,41.0,41.4,410031,0.3909,1048941
2021-12-29,DEN,41.35,42.3,41.3,41.5,263810,0.24600000000000002,1072429
2021-12-30,DEN,41.5,42.25,41.25,41.7,327939,0.29300000000000004,1119140
2021-12-31,DEN,42.05,42.65,41.85,42.05,356009,0.35259999999999997,1009754
2022-01-03,DEN,42.25,42.95,42.0,42.45,389644,0.35350000000000004,1102370
2022-01-04,DEN,42.55,42.9,41.9,42.2,373606,0.39780000000000004,939129
2022-01-05,DEN,42.25,44.35,41.8,42.9,600724,0.42350000000000004,1418475
2022-01-06,DEN,43.0,43.95,42.4,42.85,512643,0.36710000000000004,1396351
2022-01-07,DEN,43.4,43.9,43.05,43.2,403039,0.37270000000000003,1081465
2022-01-10,DEN,43.7,45.15,43.35,44.1,669574,0.32549999999999996,2057233
2022-01-11,DEN,44.2,44.55,43.4,43.6,436607,0.37570000000000003,1162201
2022-01-12,DEN,44.05,44.35,42.9,43.0,440499,0.45020000000000004,978500
2022-01-13,DEN,43.3,45.0,43.15,44.1,738725,0.3448,2142735
2022-01-14,DEN,44.0,44.8,43.7,44.15,359569,0.3146,1142897
2022-01-17,DEN,44.1,44.9,44.05,44.35,691022,0.4537,1523119
2022-01-18,DEN,44.45,44.6,42.5,42.85,761443,0.47250000000000003,1611621
2022-01-19,DEN,42.85,44.45,42.5,42.9,1260893,0.4425,2849208
2022-01-20,DEN,43.4,43.7,42.5,42.65,664583,0.4569,1454397
2022-01-21,DEN,42.6,43.0,40.7,41.3,643549,0.4643,1386151
2022-01-24,DEN,41.3,41.55,38.55,39.3,989064,0.59,1997963
2022-01-25,DEN,39.4,40.1,38.35,39.25,992072,0.5453,1819302
2022-01-27,DEN,39.5,45.15,39.3,42.7,2053124,0.29,7078984
2022-01-28,DEN,43.15,44.2,42.45,42.6,710391,0.36960000000000004,1922283
2022-01-31,DEN,43.0,43.2,41.75,41.85,736694,0.5815,1266853
2022-02-01,DEN,42.3,42.35,41.15,41.5,339426,0.5727000000000001,592668
2022-02-02,DEN,41.75,43.05,41.5,42.3,554618,0.4335,1279313
2022-02-03,DEN,42.5,43.95,42.35,42.75,628444,0.2863,2195390
2022-02-04,DEN,43.05,43.95,42.6,42.8,408262,0.3362,1214437
2022-02-07,DEN,42.8,43.1,41.2,41.6,505367,0.44450000000000006,1136879
2022-02-08,DEN,41.9,42.1,40.4,41.1,469900,0.3924,1197583
2022-02-09,DEN,41.2,42.6,41.1,41.75,444960,0.23670000000000002,1879638
2022-02-10,DEN,41.95,45.0,41.5,43.15,1373188,0.3233,4247093
2022-02-11,DEN,42.65,46.35,42.55,44.6,2952697,0.3465,8521449
2022-02-14,DEN,43.75,44.6,41.15,41.85,1016059,0.5037,2017366
2022-02-15,DEN,41.9,43.25,41.05,43.1,716432,0.4374,1637808
2022-02-16,DEN,43.2,45.1,43.0,43.95,636800,0.3008,2116942
2022-02-17,DEN,44.15,44.4,42.25,42.55,390758,0.4422,883757
2022-02-18,DEN,42.55,43.05,41.6,41.85,364734,0.3973,918145
2022-02-21,DEN,41.85,41.85,40.5,40.65,496717,0.4841,1025993
2022-02-22,DEN,40.0,40.0,38.55,39.3,1108913,0.5186999999999999,2138021
2022-02-23,DEN,39.5,40.6,39.5,39.7,253789,0.3248,781329
2022-02-24,DEN,37.05,38.45,35.0,35.45,1127071,0.5770000000000001,1953341
2022-02-25,DEN,37.45,38.25,37.1,37.9,508887,0.47450000000000003,1072508
2022-02-28,DEN,37.0,39.4,37.0,39.0,460115,0.31,1484170
2022-03-02,DEN,38.25,39.4,38.2,38.75,330762,0.42590000000000006,776652
2022-03-03,DEN,39.7,39.7,38.55,38.7,366338,0.4983,735233
2022-03-04,DEN,38.4,38.75,37.8,38.2,431341,0.4963,869196
2022-03-07,DEN,37.3,37.65,36.5,36.8,609675,0.6258,974184
2022-03-08,DEN,37.15,37.8,36.85,37.4,425136,0.5418000000000001,784723
2022-03-09,DEN,37.85,39.1,37.85,38.85,502409,0.6373,788313
2022-03-10,DEN,39.5,39.7,38.65,38.9,501112,0.5033,995698
2022-03-11,DEN,39.0,39.45,38.35,38.65,445109,0.5723,777710
2022-03-14,DEN,39.3,39.3,38.15,38.2,1746467,0.7536,2317532
2022-03-15,DEN,38.45,41.45,38.35,39.5,2733351,0.6355,4300775
2022-03-16,DEN,40.05,40.5,39.35,39.6,448299,0.40840000000000004,1097656
2022-03-17,DEN,39.95,40.6,38.5,38.9,792614,0.4943,1603447
2022-03-21,DEN,39.65,40.25,39.1,39.65,608259,0.4258,1428383
2022-03-22,DEN,39.95,40.25,38.85,39.55,846295,0.41600000000000004,2034364
2022-03-23,DEN,39.85,40.25,38.1,38.4,847623,0.4437,1910396
2022-03-24,DEN,38.5,40.05,38.2,38.7,900642,0.41619999999999996,2164103
2022-03-25,DEN,39.0,39.15,37.85,38.05,633545,0.5791,1093933
2022-03-28,DEN,38.3,38.4,36.9,37.1,1019456,0.5578000000000001,1827559
2022-03-29,DEN,37.1,37.5,36.0,36.2,1329965,0.4723,2815751
2022-03-30,DEN,37.0,37.95,36.6,37.15,741491,0.41369999999999996,1792249
2022-03-31,DEN,37.3,37.75,36.45,36.9,563516,0.3972,1418836
2022-04-01,DEN,36.8,39.5,36.7,39.15,621666,0.3533,1759685
2022-04-04,DEN,39.65,40.15,39.5,39.9,640061,0.4062,1575550
2022-04-05,DEN,40.05,41.4,39.85,40.6,761479,0.36119999999999997,2108279
2022-04-06,DEN,40.3,41.8,40.1,41.0,610687,0.3028,2016518
2022-04-07,DEN,41.15,42.35,41.0,41.4,577886,0.2583,2237571
2022-04-08,DEN,41.5,43.5,41.5,42.6,1383967,0.3283,4215195
2022-04-11,DEN,42.75,44.2,42.45,43.4,801298,0.33240000000000003,2410343
2022-04-12,DEN,43.2,43.45,41.9,42.4,615766,0.3295,1868646
2022-04-13,DEN,42.85,43.4,41.8,42.0,686177,0.4205,1631703
2022-04-18,DEN,42.7,45.3,42.05,44.75,1826824,0.4094,4461981
2022-04-19,DEN,45.5,45.95,42.4,43.35,1631312,0.4228,3857990
2022-04-20,DEN,43.65,44.6,43.2,43.55,431275,0.38020000000000004,1134331
2022-04-21,DEN,43.95,45.0,43.65,44.3,613078,0.4361,1405692
2022-04-22,DEN,44.3,45.0,44.0,44.3,701378,0.3719,1886123
2022-04-25,DEN,43.8,43.9,41.8,42.1,633203,0.4083,1550909
2022-04-26,DEN,42.7,43.45,42.3,43.0,501340,0.3975,1261370
2022-04-27,DEN,42.7,45.4,42.2,44.65,1765492,0.3362,5250631
2022-04-28,DEN,45.8,45.85,42.0,42.2,2159526,0.4964,4349940
2022-04-29,DEN,42.5,42.9,40.05,40.75,854890,0.3664,2333046
2022-05-02,DEN,40.3,41.45,40.25,40.95,383092,0.3891,984651
2022-05-04,DEN,41.3,41.4,39.0,39.3,584286,0.5178,1128435
2022-05-05,DEN,39.55,40.95,39.55,39.85,405730,0.37840000000000007,1072284
2022-05-06,DEN,39.0,39.05,37.5,38.1,557558,0.408,1366671
2022-05-09,DEN,37.85,38.15,36.75,37.15,470096,0.4122,1140507
2022-05-10,DEN,37.15,37.8,36.25,36.4,423410,0.494,857073
2022-05-11,DEN,36.9,36.9,34.05,35.0,610924,0.40390000000000004,1512410
2022-05-12,DEN,35.0,35.6,34.25,34.7,440572,0.37450000000000006,1176498
2022-05-13,DEN,35.0,36.2,34.55,34.85,373252,0.3172,1176538
2022-05-16,DEN,35.9,36.55,34.75,35.65,326786,0.35159999999999997,929433
2022-05-17,DEN,35.95,37.45,35.85,37.15,217502,0.3298,659441
2022-05-18,DEN,37.45,37.8,37.0,37.25,168163,0.2631,639185
2022-05-19,DEN,36.1,36.6,35.8,36.2,233841,0.4023,581242
2022-05-20,DEN,36.65,37.3,36.55,37.0,205726,0.4858,423470
2022-05-23,DEN,37.4,37.8,36.1,36.25,304865,0.5472,557086
2022-05-24,DEN,36.4,36.7,34.95,35.35,287443,0.41960000000000003,684970
2022-05-25,DEN,35.4,35.75,34.5,34.7,319225,0.478,667895
2022-05-26,DEN,34.7,35.7,33.7,35.0,171522,0.4129,415442
2022-05-27,DEN,35.65,35.8,35.2,35.45,118182,0.4388,269350
2022-05-30,DEN,35.95,36.25,35.4,35.95,204166,0.3832,532813
2022-05-31,DEN,36.55,36.75,35.8,36.25,163971,0.40030000000000004,409656
2022-06-01,DEN,36.15,36.65,34.95,35.95,237402,0.33030000000000004,718741
2022-06-02,DEN,35.85,36.35,35.7,36.15,139935,0.39880000000000004,350856
2022-06-03,DEN,36.35,36.85,35.85,36.1,210397,0.44070000000000004,477456
2022-06-06,DEN,36.0,36.3,35.3,35.65,225516,0.4368,516269
2022-06-07,DEN,35.4,36.4,35.25,35.75,102043,0.3318,307582
2022-06-08,DEN,36.05,37.2,35.75,36.8,237181,0.3469,683698
2022-06-09,DEN,36.65,37.35,36.3,36.5,260150,0.42110000000000003,617835
2022-06-10,DEN,36.15,36.45,35.55,35.8,180419,0.4322,417471
2022-06-13,DEN,35.45,35.45,34.25,34.8,240881,0.5034000000000001,478491
2022-06-14,DEN,34.5,35.25,34.25,34.55,115069,0.33840000000000003,340066
2022-06-15,DEN,34.85,35.2,34.65,34.9,100436,0.43579999999999997,230484
2022-06-16,DEN,35.2,35.5,31.8,32.75,272726,0.5431,502182
2022-06-17,DEN,32.6,33.5,32.0,32.75,281076,0.5083,552995
2022-06-20,DEN,33.2,33.2,30.65,31.35,294491,0.5182,568330
2022-06-21,DEN,31.7,32.5,31.5,32.25,157951,0.4607,342851
2022-06-22,DEN,32.25,33.3,31.7,32.65,175475,0.47750000000000004,367496
2022-06-23,DEN,32.65,33.15,32.5,32.65,82501,0.6658,164332
2022-06-24,DEN,32.75,33.65,32.7,32.9,172728,0.5109,338093
2022-06-27,DEN,33.4,33.7,33.1,33.3,208887,0.5962,350393
