Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,DIAMONDYD,648.0,665.0,648.0,656.65,7629,0.36460000000000004,20924
2021-09-02,DIAMONDYD,657.5,669.95,655.55,664.85,6381,0.5274,12099
2021-09-03,DIAMONDYD,665.0,682.45,655.55,668.35,10517,0.5623,18705
2021-09-06,DIAMONDYD,672.0,674.2,656.0,661.0,3537,0.45640000000000003,7749
2021-09-07,DIAMONDYD,663.9,669.85,650.0,652.6,3785,0.46090000000000003,8213
2021-09-08,DIAMONDYD,650.0,663.05,648.1,658.65,1974,0.3089,6390
2021-09-09,DIAMONDYD,658.65,658.65,650.8,652.45,4952,0.7311,6773
2021-09-13,DIAMONDYD,638.0,670.0,638.0,661.85,3344,0.37,9037
2021-09-14,DIAMONDYD,661.85,710.55,661.4,696.2,18107,0.29,62440
2021-09-15,DIAMONDYD,708.0,708.5,685.0,690.05,10559,0.41700000000000004,25324
2021-09-16,DIAMONDYD,685.0,704.55,685.0,692.3,4490,0.46030000000000004,9754
2021-09-17,DIAMONDYD,693.45,693.8,668.0,681.7,6565,0.5947,11039
2021-09-20,DIAMONDYD,687.0,688.8,668.0,671.0,6063,0.631,9608
2021-09-21,DIAMONDYD,671.0,674.95,649.65,656.1,8537,0.5323,16039
2021-09-22,DIAMONDYD,669.0,678.8,661.1,668.55,2844,0.4586,6201
2021-09-23,DIAMONDYD,677.0,703.0,673.75,695.1,13032,0.5695,22883
2021-09-24,DIAMONDYD,691.0,699.5,679.95,683.0,4997,0.6257,7986
2021-09-27,DIAMONDYD,676.45,700.0,674.45,690.65,7223,0.5493,13149
2021-09-28,DIAMONDYD,688.95,710.0,680.95,684.45,6876,0.4617,14893
2021-09-29,DIAMONDYD,681.0,690.0,676.1,679.1,5210,0.5735,9085
2021-09-30,DIAMONDYD,679.1,681.6,669.9,674.55,8393,0.6342,13234
2021-10-01,DIAMONDYD,665.1,675.95,662.0,664.65,7968,0.5548,14361
2021-10-04,DIAMONDYD,665.1,687.0,663.65,675.7,13459,0.6627,20309
2021-10-05,DIAMONDYD,684.05,696.8,668.1,672.05,6655,0.3199,20801
2021-10-06,DIAMONDYD,672.1,687.3,666.1,670.2,6036,0.38060000000000005,15860
2021-10-07,DIAMONDYD,670.2,680.0,670.0,672.2,5688,0.6842,8313
2021-10-08,DIAMONDYD,680.0,696.55,665.0,688.1,19458,0.5161,37704
2021-10-11,DIAMONDYD,691.0,702.95,688.2,696.7,9811,0.3729,26307
2021-10-12,DIAMONDYD,704.9,707.95,692.25,701.65,8710,0.5143,16934
2021-10-13,DIAMONDYD,701.9,720.05,691.95,710.8,11551,0.5234000000000001,22068
2021-10-14,DIAMONDYD,711.0,738.75,705.5,711.25,15438,0.5313,29056
2021-10-18,DIAMONDYD,711.25,758.0,711.25,752.8,31546,0.5811000000000001,54284
2021-10-19,DIAMONDYD,758.8,784.45,747.7,760.1,33897,0.5868,57764
2021-10-20,DIAMONDYD,761.1,773.95,735.0,742.65,11727,0.6252000000000001,18756
2021-10-21,DIAMONDYD,759.8,759.85,708.0,731.95,7256,0.4104,17681
2021-10-22,DIAMONDYD,727.7,783.0,727.7,758.5,27161,0.47950000000000004,56640
2021-10-25,DIAMONDYD,753.2,763.45,712.0,720.6,5046,0.33380000000000004,15117
2021-10-26,DIAMONDYD,713.4,762.4,713.35,723.35,8918,0.3496,25511
2021-10-27,DIAMONDYD,723.4,730.15,691.15,696.65,10021,0.38530000000000003,26007
2021-10-28,DIAMONDYD,695.35,705.55,678.2,684.1,7908,0.6531999999999999,12106
2021-10-29,DIAMONDYD,695.0,699.9,673.25,681.85,5044,0.3406,14808
2021-11-01,DIAMONDYD,674.1,695.0,674.1,686.65,2503,0.5502,4549
2021-11-02,DIAMONDYD,695.95,701.45,679.85,684.2,2997,0.5814,5155
2021-11-03,DIAMONDYD,682.3,711.05,682.3,696.55,9949,0.5364,18546
2021-11-04,DIAMONDYD,709.0,714.0,696.0,703.15,1388,0.5861,2368
2021-11-08,DIAMONDYD,713.7,730.3,705.2,725.05,23242,0.6388,36381
2021-11-09,DIAMONDYD,724.6,730.0,715.0,723.4,6223,0.45640000000000003,13635
2021-11-10,DIAMONDYD,725.0,727.9,716.0,718.7,4855,0.7241,6705
2021-11-11,DIAMONDYD,715.05,724.9,705.25,711.6,3385,0.6386000000000001,5301
2021-11-12,DIAMONDYD,729.0,786.0,720.1,730.3,61533,0.40750000000000003,151014
2021-11-15,DIAMONDYD,730.3,749.15,721.1,738.2,13627,0.5344,25502
2021-11-16,DIAMONDYD,730.05,756.0,730.05,743.7,11536,0.6931,16644
2021-11-17,DIAMONDYD,745.0,758.0,722.5,729.25,10033,0.6655,15076
2021-11-18,DIAMONDYD,728.5,731.8,702.0,718.0,7915,0.5546,14272
2021-11-22,DIAMONDYD,705.1,719.95,687.0,696.45,18043,0.7495999999999999,24069
2021-11-23,DIAMONDYD,706.9,751.0,689.0,741.65,21007,0.419,50140
2021-11-24,DIAMONDYD,730.0,752.0,720.55,748.8,24810,0.6071,40865
2021-11-25,DIAMONDYD,748.8,755.95,732.0,751.4,89661,0.7364,121750
2021-11-26,DIAMONDYD,740.15,754.95,715.0,738.75,29663,0.5327000000000001,55683
2021-11-29,DIAMONDYD,724.25,753.0,705.85,749.75,92282,0.7862,117375
2021-11-30,DIAMONDYD,749.7,770.0,748.95,761.05,29491,0.5970000000000001,49395
2021-12-01,DIAMONDYD,758.0,772.0,749.9,761.35,21404,0.4161,51440
2021-12-02,DIAMONDYD,772.75,772.75,751.3,761.25,11684,0.4465,26169
2021-12-03,DIAMONDYD,759.95,848.0,755.75,801.3,77607,0.32780000000000004,236784
2021-12-06,DIAMONDYD,800.0,807.25,785.0,790.3,18939,0.45740000000000003,41403
2021-12-07,DIAMONDYD,861.0,861.0,785.1,791.05,55297,0.2828,195539
2021-12-08,DIAMONDYD,804.85,817.0,788.0,791.6,20946,0.3854,54347
2021-12-09,DIAMONDYD,795.0,833.45,787.1,809.0,25342,0.3065,82679
2021-12-10,DIAMONDYD,812.8,824.7,799.1,820.6,19836,0.3455,57406
2021-12-13,DIAMONDYD,825.35,842.0,819.35,824.15,25017,0.4439,56359
2021-12-14,DIAMONDYD,827.8,827.8,820.0,821.5,7785,0.5845,13318
2021-12-15,DIAMONDYD,829.8,829.8,820.0,820.1,4671,0.5012,9320
2021-12-16,DIAMONDYD,825.5,825.5,819.45,821.1,9879,0.6545000000000001,15093
2021-12-17,DIAMONDYD,820.05,826.0,818.55,821.3,10694,0.7456,14342
2021-12-20,DIAMONDYD,800.0,854.75,771.0,841.35,53501,0.5943,90030
2021-12-21,DIAMONDYD,841.5,909.0,818.45,848.1,53504,0.2172,246346
2021-12-22,DIAMONDYD,866.0,868.0,822.2,829.6,20892,0.3693,56569
2021-12-23,DIAMONDYD,841.95,873.0,819.95,820.9,36195,0.2438,148492
2021-12-24,DIAMONDYD,829.0,831.85,820.0,822.3,5991,0.3336,17961
2021-12-27,DIAMONDYD,820.1,833.8,816.25,823.25,11723,0.5556,21099
2021-12-28,DIAMONDYD,829.8,833.5,820.0,824.7,9101,0.46159999999999995,19716
2021-12-29,DIAMONDYD,824.7,827.65,820.0,821.0,8154,0.5671,14378
2021-12-30,DIAMONDYD,832.8,835.65,820.0,830.75,11768,0.5905,19930
2021-12-31,DIAMONDYD,822.0,848.0,822.0,844.65,10888,0.535,20352
2022-01-03,DIAMONDYD,832.0,858.8,830.0,831.2,5784,0.564,10255
2022-01-04,DIAMONDYD,847.85,847.85,825.55,842.15,11192,0.6376,17552
2022-01-05,DIAMONDYD,845.0,869.4,835.05,852.6,29156,0.6185,47138
2022-01-06,DIAMONDYD,852.6,852.6,825.75,838.05,8591,0.5392,15934
2022-01-07,DIAMONDYD,832.1,855.0,832.1,850.2,67526,0.8395999999999999,80428
2022-01-10,DIAMONDYD,851.5,865.9,836.35,850.8,34574,0.7515999999999999,46001
2022-01-11,DIAMONDYD,841.5,864.9,841.5,855.95,31347,0.8329000000000001,37635
2022-01-12,DIAMONDYD,867.0,888.8,865.25,877.45,37131,0.6564,56568
2022-01-13,DIAMONDYD,898.0,908.0,855.0,868.9,13359,0.4543,29405
2022-01-14,DIAMONDYD,867.85,884.75,864.3,879.55,9533,0.7134999999999999,13360
2022-01-17,DIAMONDYD,879.55,894.25,860.0,874.85,15962,0.6727,23727
2022-01-18,DIAMONDYD,887.95,887.95,865.55,878.7,11902,0.7044,16897
2022-01-19,DIAMONDYD,887.95,887.95,875.0,878.25,5780,0.7556,7650
2022-01-20,DIAMONDYD,878.25,890.95,870.65,874.95,25072,0.9291,26984
2022-01-21,DIAMONDYD,877.95,880.0,864.05,875.95,10666,0.7902,13497
