Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,DIVISLAB,5176.0,5271.65,5150.0,5202.65,247499,0.4253,581886
2021-09-02,DIVISLAB,5214.95,5244.2,5153.2,5165.55,228505,0.5508,414878
2021-09-03,DIVISLAB,5183.0,5264.55,5136.35,5208.3,210720,0.38520000000000004,547010
2021-09-06,DIVISLAB,5238.95,5247.55,5183.2,5205.1,131576,0.4841,271793
2021-09-07,DIVISLAB,5220.95,5234.95,5180.0,5210.1,152766,0.5347,285728
2021-09-08,DIVISLAB,5223.0,5223.0,5048.05,5085.05,328882,0.4903,670825
2021-09-09,DIVISLAB,5084.2,5084.2,5034.7,5054.9,235175,0.6294,373656
2021-09-13,DIVISLAB,5059.0,5096.0,5001.0,5085.2,213168,0.6056,351984
2021-09-14,DIVISLAB,5125.0,5191.4,5071.8,5094.85,184924,0.35479999999999995,521157
2021-09-15,DIVISLAB,5122.95,5165.0,5090.1,5158.9,141977,0.4216,336784
2021-09-16,DIVISLAB,5157.0,5174.05,5125.1,5166.9,165752,0.5717,289942
2021-09-17,DIVISLAB,5178.0,5198.65,5059.55,5122.8,202643,0.505,401270
2021-09-20,DIVISLAB,5100.0,5235.6,5079.65,5110.1,140807,0.312,451356
2021-09-21,DIVISLAB,5119.5,5188.45,5080.0,5179.45,156925,0.46049999999999996,340766
2021-09-22,DIVISLAB,5178.4,5187.15,5125.9,5139.9,101875,0.5111,199338
2021-09-23,DIVISLAB,5169.85,5224.7,5141.6,5212.1,131951,0.5109,258292
2021-09-24,DIVISLAB,5235.35,5254.0,5092.0,5108.55,160757,0.45890000000000003,350328
2021-09-27,DIVISLAB,5120.0,5133.85,4925.0,4932.55,310329,0.5612,553003
2021-09-28,DIVISLAB,4965.0,4965.0,4701.0,4784.05,627466,0.6098,1028992
2021-09-29,DIVISLAB,4789.0,4914.3,4752.1,4806.45,364142,0.41509999999999997,877223
2021-09-30,DIVISLAB,4797.0,4844.85,4765.6,4798.7,300965,0.5559000000000001,541396
2021-10-01,DIVISLAB,4800.0,4874.0,4780.0,4832.3,149902,0.41350000000000003,362529
2021-10-04,DIVISLAB,4890.0,5315.5,4890.0,5220.7,634233,0.21960000000000002,2888637
2021-10-05,DIVISLAB,5250.5,5254.35,5147.1,5217.85,197244,0.34259999999999996,575663
2021-10-06,DIVISLAB,5225.0,5227.85,5117.85,5136.55,125390,0.4123,304090
2021-10-07,DIVISLAB,5150.0,5162.05,5062.2,5097.85,137710,0.438,314433
2021-10-08,DIVISLAB,5123.0,5131.0,5022.3,5071.3,138418,0.4405,314249
2021-10-11,DIVISLAB,5104.0,5223.95,5060.5,5143.05,154067,0.39840000000000003,386696
2021-10-12,DIVISLAB,5185.2,5289.0,5101.0,5225.9,220638,0.4369,505001
2021-10-13,DIVISLAB,5300.0,5332.65,5217.55,5248.9,109962,0.3025,363526
2021-10-14,DIVISLAB,5248.9,5389.0,5226.2,5372.15,255705,0.4651,549795
2021-10-18,DIVISLAB,5383.0,5425.1,5314.55,5343.05,280795,0.5153,544942
2021-10-19,DIVISLAB,5344.0,5390.0,5167.75,5192.1,199767,0.5146000000000001,388226
2021-10-20,DIVISLAB,5182.1,5292.0,5089.2,5116.4,281490,0.4518,623004
2021-10-21,DIVISLAB,5167.55,5219.0,5052.65,5193.65,234912,0.5393,435607
2021-10-22,DIVISLAB,5239.0,5239.0,5050.0,5073.4,170976,0.45840000000000003,372979
2021-10-25,DIVISLAB,5052.0,5070.0,4874.85,4995.95,300579,0.5105,588823
2021-10-26,DIVISLAB,4995.0,5074.0,4972.1,5018.9,166719,0.4986,334367
2021-10-27,DIVISLAB,5007.85,5227.0,5000.2,5149.35,188678,0.30219999999999997,624281
2021-10-28,DIVISLAB,5161.9,5210.3,5102.6,5121.15,198964,0.48460000000000003,410588
2021-10-29,DIVISLAB,5114.4,5248.35,5085.3,5150.15,187647,0.42369999999999997,442907
2021-11-01,DIVISLAB,5175.6,5285.05,5151.0,5228.2,136712,0.4451,307144
2021-11-02,DIVISLAB,5230.0,5276.85,5191.8,5205.4,129055,0.4105,314359
2021-11-03,DIVISLAB,5184.0,5211.35,5094.05,5140.15,392378,0.5818,674471
2021-11-04,DIVISLAB,5174.0,5225.0,5170.1,5208.05,11314,0.3106,36424
2021-11-08,DIVISLAB,5023.2,5040.0,4747.8,4896.7,1174007,0.4397,2670018
2021-11-09,DIVISLAB,4968.0,5093.25,4915.45,4951.3,531895,0.3691,1441073
2021-11-10,DIVISLAB,4928.0,4946.85,4866.0,4905.75,227316,0.49979999999999997,454790
2021-11-11,DIVISLAB,4900.0,4900.0,4815.0,4833.25,163804,0.4792,341815
2021-11-12,DIVISLAB,4895.45,4895.45,4810.0,4843.8,174281,0.48950000000000005,356046
2021-11-15,DIVISLAB,4868.0,4927.0,4852.8,4907.65,145953,0.4985,292784
2021-11-16,DIVISLAB,4915.0,4915.0,4842.0,4852.6,146078,0.5432,268910
2021-11-17,DIVISLAB,4845.0,4846.45,4757.0,4763.85,206407,0.5545,372272
2021-11-18,DIVISLAB,4723.75,4809.3,4671.8,4785.6,339098,0.5367000000000001,631764
2021-11-22,DIVISLAB,4800.0,4838.3,4666.45,4679.15,213706,0.4682,456467
2021-11-23,DIVISLAB,4679.15,4825.0,4635.0,4763.3,237357,0.46740000000000004,507851
2021-11-24,DIVISLAB,4788.9,4788.9,4654.5,4682.7,177995,0.5516,322715
2021-11-25,DIVISLAB,4677.0,4815.95,4655.6,4799.8,105204,0.3383,311013
2021-11-26,DIVISLAB,4770.0,5077.7,4756.75,4937.8,619614,0.3945,1570555
2021-11-29,DIVISLAB,4965.55,4990.0,4810.1,4921.35,188640,0.3422,551230
2021-11-30,DIVISLAB,4930.0,4949.7,4840.15,4878.8,453464,0.5247999999999999,864073
2021-12-01,DIVISLAB,4880.35,4977.8,4725.0,4752.2,309367,0.5129,603122
2021-12-02,DIVISLAB,4776.0,4824.9,4754.1,4777.3,120688,0.41740000000000005,289153
2021-12-03,DIVISLAB,4797.3,4797.35,4713.6,4757.05,139009,0.4618,300986
2021-12-06,DIVISLAB,4775.0,4775.0,4635.0,4646.8,215335,0.5295000000000001,406673
2021-12-07,DIVISLAB,4652.1,4666.7,4600.25,4624.8,195795,0.4843,404320
2021-12-08,DIVISLAB,4650.0,4651.0,4585.0,4604.95,379467,0.5956,637075
2021-12-09,DIVISLAB,4640.0,4640.0,4515.85,4576.95,390232,0.5494,710302
2021-12-10,DIVISLAB,4550.0,4567.75,4490.0,4506.45,471052,0.6003000000000001,784691
2021-12-13,DIVISLAB,4541.0,4590.8,4490.0,4530.4,280576,0.5277000000000001,531695
2021-12-14,DIVISLAB,4520.0,4662.0,4501.0,4654.4,407481,0.4611,883708
2021-12-15,DIVISLAB,4653.85,4653.85,4535.0,4588.7,762764,0.6301,1210492
2021-12-16,DIVISLAB,4618.0,4637.4,4572.0,4601.45,645146,0.7722,835422
2021-12-17,DIVISLAB,4608.0,4625.0,4502.15,4511.45,246693,0.5809000000000001,424694
2021-12-20,DIVISLAB,4490.0,4498.0,4356.0,4408.45,164675,0.4069,404674
2021-12-21,DIVISLAB,4448.25,4448.25,4361.0,4405.7,492343,0.5963,825709
2021-12-22,DIVISLAB,4430.0,4584.0,4385.0,4563.5,369561,0.43829999999999997,843170
2021-12-23,DIVISLAB,4559.95,4570.0,4471.05,4478.5,368074,0.5229,703933
2021-12-24,DIVISLAB,4515.0,4515.0,4440.0,4447.25,101823,0.3447,295431
2021-12-27,DIVISLAB,4450.0,4491.0,4431.85,4473.2,85962,0.3544,242523
2021-12-28,DIVISLAB,4495.55,4535.6,4476.2,4525.35,220643,0.5465,403732
2021-12-29,DIVISLAB,4529.8,4625.8,4517.25,4621.6,355605,0.507,701459
2021-12-30,DIVISLAB,4642.2,4657.4,4610.0,4627.9,200843,0.46270000000000006,434083
2021-12-31,DIVISLAB,4649.0,4690.0,4630.0,4678.2,142401,0.48450000000000004,293933
2022-01-03,DIVISLAB,4689.0,4708.75,4642.0,4651.25,94367,0.46380000000000005,203444
2022-01-04,DIVISLAB,4652.1,4679.95,4609.0,4621.7,135552,0.5223,259508
2022-01-05,DIVISLAB,4619.9,4630.2,4542.0,4558.45,353605,0.6926000000000001,510511
2022-01-06,DIVISLAB,4535.0,4557.0,4470.0,4489.15,275828,0.6161,447726
2022-01-07,DIVISLAB,4500.0,4549.8,4470.5,4516.7,130959,0.48600000000000004,269479
2022-01-10,DIVISLAB,4520.0,4534.55,4462.2,4465.8,240065,0.6642,361423
2022-01-11,DIVISLAB,4475.0,4539.85,4434.25,4516.55,235127,0.4938,476123
2022-01-12,DIVISLAB,4531.05,4538.0,4467.05,4492.9,309817,0.6235,496883
2022-01-13,DIVISLAB,4493.0,4619.15,4466.0,4590.05,288459,0.4464,646137
2022-01-14,DIVISLAB,4590.0,4636.0,4559.0,4616.6,206259,0.5157,399974
2022-01-17,DIVISLAB,4615.0,4668.0,4561.0,4630.35,133504,0.4233,315394
2022-01-18,DIVISLAB,4635.0,4640.35,4512.05,4527.15,165612,0.48610000000000003,340707
2022-01-19,DIVISLAB,4550.0,4550.0,4465.0,4481.5,188643,0.5165,365211
2022-01-20,DIVISLAB,4496.0,4496.0,4312.0,4329.75,476588,0.5917,805433
2022-01-21,DIVISLAB,4328.3,4328.3,4137.8,4179.4,741171,0.632,1172704
2022-01-24,DIVISLAB,4189.0,4190.0,3788.95,4056.6,204136,0.44200000000000006,1397434
2022-01-25,DIVISLAB,4000.0,4096.95,3930.95,4049.2,247269,0.4403,561610
2022-01-27,DIVISLAB,4028.95,4044.6,3920.0,3939.85,505804,0.5849000000000001,864770
2022-01-28,DIVISLAB,3941.0,4070.0,3930.15,3940.7,203733,0.414,492149
2022-01-31,DIVISLAB,4020.0,4108.95,3995.85,4036.1,182919,0.40240000000000004,454611
2022-02-01,DIVISLAB,4055.05,4124.0,4032.6,4108.35,127384,0.4111,309874
2022-02-02,DIVISLAB,4140.0,4235.0,4125.0,4219.65,144904,0.41880000000000006,346003
2022-02-03,DIVISLAB,4250.0,4274.0,4203.0,4262.45,256889,0.5086999999999999,504989
2022-02-04,DIVISLAB,4270.0,4374.6,4232.45,4304.5,492104,0.5104,964227
2022-02-07,DIVISLAB,4304.5,4345.85,4178.35,4201.5,118033,0.3099,380821
2022-02-08,DIVISLAB,4201.5,4288.4,4168.25,4277.55,167635,0.38430000000000003,436195
2022-02-09,DIVISLAB,4280.0,4357.45,4278.8,4329.45,127131,0.4539,280094
2022-02-10,DIVISLAB,4334.5,4361.95,4300.05,4313.75,345950,0.6182,559595
2022-02-11,DIVISLAB,4313.75,4474.0,4240.05,4291.25,900726,0.34840000000000004,2585446
2022-02-14,DIVISLAB,4239.45,4355.0,4192.05,4277.9,459206,0.40020000000000006,1147299
2022-02-15,DIVISLAB,4280.0,4346.0,4280.0,4325.8,134712,0.3625,371572
2022-02-16,DIVISLAB,4340.0,4498.0,4312.05,4465.15,564778,0.4112,1373620
2022-02-17,DIVISLAB,4465.65,4520.15,4425.0,4442.2,223015,0.37070000000000003,601590
2022-02-18,DIVISLAB,4432.7,4442.2,4325.0,4353.4,262378,0.452,580486
2022-02-21,DIVISLAB,4345.0,4345.0,4250.5,4258.3,77632,0.2724,284980
2022-02-22,DIVISLAB,4150.0,4245.2,4135.7,4224.8,189600,0.4405,430407
2022-02-23,DIVISLAB,4232.0,4258.65,4173.15,4181.6,187716,0.4949,379328
2022-02-24,DIVISLAB,4100.0,4130.9,3916.6,3936.65,327487,0.4529,723045
2022-02-25,DIVISLAB,4049.95,4157.9,3981.9,4138.35,193420,0.429,450834
2022-02-28,DIVISLAB,4120.0,4284.4,4078.7,4265.0,326596,0.5339,611670
2022-03-02,DIVISLAB,4230.0,4310.85,4135.3,4160.9,264913,0.4598,576094
2022-03-03,DIVISLAB,4200.0,4226.8,4143.3,4160.45,234103,0.5553,421554
2022-03-04,DIVISLAB,4100.0,4157.8,4063.0,4094.7,155545,0.3618,429937
2022-03-07,DIVISLAB,4050.0,4094.95,3974.05,4074.95,257546,0.47630000000000006,540735
2022-03-08,DIVISLAB,4069.9,4175.0,4066.0,4164.25,198323,0.4789,414138
2022-03-09,DIVISLAB,4180.0,4279.6,4150.0,4234.05,191595,0.49729999999999996,385251
2022-03-10,DIVISLAB,4267.5,4334.0,4252.25,4300.9,199891,0.4825,414284
2022-03-11,DIVISLAB,4298.0,4353.0,4250.0,4339.4,136495,0.38680000000000003,352915
2022-03-14,DIVISLAB,4340.0,4404.5,4325.1,4393.8,254854,0.5174000000000001,492612
2022-03-15,DIVISLAB,4365.1,4478.2,4365.1,4386.25,154836,0.38380000000000003,403394
2022-03-16,DIVISLAB,4422.0,4457.2,4370.0,4402.25,97078,0.4266,227588
2022-03-17,DIVISLAB,4439.95,4519.9,4431.35,4504.35,286683,0.654,438327
2022-03-21,DIVISLAB,4525.0,4542.45,4427.5,4456.25,178062,0.4991,356749
2022-03-22,DIVISLAB,4456.25,4493.75,4410.0,4448.55,148330,0.5065,292831
2022-03-23,DIVISLAB,4465.0,4573.85,4460.25,4553.55,289746,0.5041,574783
2022-03-24,DIVISLAB,4544.0,4549.95,4466.75,4494.65,229029,0.4901,467266
2022-03-25,DIVISLAB,4502.0,4520.0,4420.0,4454.15,149101,0.5504,270912
2022-03-28,DIVISLAB,4433.0,4458.95,4374.5,4416.55,165436,0.5221,316896
2022-03-29,DIVISLAB,4410.0,4578.65,4410.0,4561.6,217837,0.36950000000000005,589480
2022-03-30,DIVISLAB,4578.0,4625.0,4505.95,4538.6,150263,0.4168,360504
2022-03-31,DIVISLAB,4530.0,4553.55,4390.65,4402.05,363721,0.5951,611205
2022-04-01,DIVISLAB,4425.0,4443.15,4335.1,4379.7,127357,0.3658,348173
2022-04-04,DIVISLAB,4379.7,4505.0,4378.9,4497.6,135000,0.40409999999999996,334083
2022-04-05,DIVISLAB,4500.0,4516.85,4440.0,4461.2,157127,0.46659999999999996,336772
2022-04-06,DIVISLAB,4461.0,4527.0,4372.9,4386.9,277381,0.5207,532706
2022-04-07,DIVISLAB,4386.9,4470.0,4386.9,4448.45,158253,0.4079,387968
2022-04-08,DIVISLAB,4449.9,4528.1,4412.0,4505.95,87529,0.36229999999999996,241609
2022-04-11,DIVISLAB,4501.0,4520.0,4441.55,4503.8,118765,0.5128,231619
2022-04-12,DIVISLAB,4481.7,4535.2,4436.1,4473.4,203918,0.5393,378104
2022-04-13,DIVISLAB,4471.0,4520.45,4430.15,4499.25,162517,0.5307000000000001,306254
2022-04-18,DIVISLAB,4490.0,4568.2,4450.25,4524.9,220142,0.5009,439474
2022-04-19,DIVISLAB,4526.0,4579.0,4348.75,4411.4,240559,0.5713,421066
2022-04-20,DIVISLAB,4477.0,4487.1,4383.3,4455.65,188874,0.48380000000000006,390369
2022-04-21,DIVISLAB,4441.7,4550.0,4433.05,4529.05,186750,0.49520000000000003,377100
2022-04-22,DIVISLAB,4529.0,4529.0,4444.05,4492.5,203615,0.5142,395984
2022-04-25,DIVISLAB,4440.0,4474.95,4385.0,4410.1,136990,0.5052000000000001,271185
2022-04-26,DIVISLAB,4415.1,4528.8,4415.1,4519.6,109857,0.4491,244626
2022-04-27,DIVISLAB,4471.0,4570.0,4404.0,4530.6,359134,0.6152000000000001,583807
2022-04-28,DIVISLAB,4569.75,4640.8,4510.0,4564.6,306189,0.38310000000000005,799337
2022-04-29,DIVISLAB,4552.0,4619.65,4488.0,4505.4,229840,0.5986,383948
2022-05-02,DIVISLAB,4488.8,4554.2,4465.05,4509.65,156235,0.5203,300278
2022-05-04,DIVISLAB,4500.0,4600.0,4330.0,4344.15,202772,0.5211,389110
2022-05-05,DIVISLAB,4365.85,4430.0,4335.5,4365.8,121598,0.46590000000000004,261002
2022-05-06,DIVISLAB,4275.0,4310.55,4121.5,4165.85,311699,0.4551,684913
2022-05-09,DIVISLAB,4130.0,4254.0,4125.0,4231.1,87591,0.3336,262555
2022-05-10,DIVISLAB,4210.0,4312.55,4210.0,4296.35,144685,0.48009999999999997,301378
