Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,DLF,322.65,335.0,319.25,332.85,2612992,0.18280000000000002,14296207
2021-09-02,DLF,334.75,341.1,331.05,338.9,4967850,0.40700000000000003,12204919
2021-09-03,DLF,340.85,346.6,338.4,343.7,1706694,0.1675,10190223
2021-09-06,DLF,344.75,348.8,341.55,345.5,2931622,0.34700000000000003,8448657
2021-09-07,DLF,347.7,347.7,334.3,336.05,2396698,0.3186,7523534
2021-09-08,DLF,336.85,337.5,329.6,334.7,1156087,0.20379999999999998,5673475
2021-09-09,DLF,331.7,334.5,329.7,332.95,665897,0.184,3618505
2021-09-13,DLF,333.5,341.25,332.25,339.65,1840956,0.2907,6333561
2021-09-14,DLF,341.0,345.0,341.0,342.3,2212855,0.3239,6832136
2021-09-15,DLF,342.45,345.45,341.1,342.45,848553,0.24559999999999998,3455110
2021-09-16,DLF,344.0,344.6,339.6,342.4,858659,0.26530000000000004,3236430
2021-09-17,DLF,342.85,348.6,331.9,334.75,2265610,0.2288,9901964
2021-09-20,DLF,329.0,337.45,320.1,323.0,1189758,0.20199999999999999,5888573
2021-09-21,DLF,324.35,333.6,319.55,330.7,3093265,0.2559,12090071
2021-09-22,DLF,332.85,373.75,331.05,369.05,4451429,0.10470000000000002,42525950
2021-09-23,DLF,372.2,412.8,370.0,401.85,13347732,0.1746,76461998
2021-09-24,DLF,404.4,418.3,397.7,410.45,6473599,0.1478,43795780
2021-09-27,DLF,414.15,427.9,411.8,420.0,7300875,0.2241,32580196
2021-09-28,DLF,419.0,419.55,397.0,410.05,4784120,0.2249,21272633
2021-09-29,DLF,405.2,420.9,405.0,410.85,1523593,0.0882,17273596
2021-09-30,DLF,412.9,420.8,408.15,417.2,1463645,0.1195,12248397
2021-10-01,DLF,419.0,422.85,411.15,417.2,1297198,0.1151,11265711
2021-10-04,DLF,417.2,431.65,414.55,424.4,2153767,0.155,13898131
2021-10-05,DLF,421.5,423.75,413.45,415.65,1378857,0.2047,6736683
2021-10-06,DLF,415.85,419.45,406.35,408.1,947112,0.13140000000000002,7205982
2021-10-07,DLF,414.15,428.9,414.15,422.6,3401352,0.2016,16871779
2021-10-08,DLF,423.95,425.4,412.5,415.85,1330636,0.17850000000000002,7456612
2021-10-11,DLF,418.0,437.9,416.0,424.85,2112684,0.1555,13587772
2021-10-12,DLF,426.3,432.35,419.55,429.0,1432291,0.1487,9631321
2021-10-13,DLF,431.8,435.8,426.0,427.5,1207332,0.19010000000000002,6351171
2021-10-14,DLF,430.5,444.8,429.4,434.9,2305868,0.1906,12094977
2021-10-18,DLF,429.3,449.7,429.0,441.75,1818310,0.2183,8330640
2021-10-19,DLF,443.0,444.95,410.3,414.45,2138523,0.2469,8662895
2021-10-20,DLF,416.9,420.4,405.3,412.95,2271940,0.2382,9537787
2021-10-21,DLF,415.0,417.0,398.15,407.1,3422832,0.32060000000000005,10677501
2021-10-22,DLF,411.0,418.5,406.8,413.65,766605,0.095,8070605
2021-10-25,DLF,414.9,414.9,391.5,401.15,1760043,0.2459,7158126
2021-10-26,DLF,403.0,417.15,402.35,415.85,737380,0.1442,5111958
2021-10-27,DLF,415.8,422.7,412.0,414.4,1025122,0.1557,6585855
2021-10-28,DLF,414.5,415.0,394.2,396.55,1473356,0.2048,7192680
2021-10-29,DLF,402.9,409.8,388.2,398.6,3064495,0.2041,15011614
2021-11-01,DLF,404.35,415.0,403.05,408.85,3579588,0.2882,12418986
2021-11-02,DLF,412.0,431.9,411.15,430.05,3303386,0.1736,19028658
2021-11-03,DLF,431.85,434.8,422.3,429.65,1463117,0.1318,11101084
2021-11-04,DLF,431.0,433.45,429.5,430.85,303180,0.36350000000000005,834164
2021-11-08,DLF,435.15,444.0,427.7,442.2,2365696,0.298,7938150
2021-11-09,DLF,442.35,442.35,433.05,437.4,1419235,0.2553,5558139
2021-11-10,DLF,434.95,438.8,430.0,434.5,1006492,0.2205,4563617
2021-11-11,DLF,434.5,438.05,414.2,416.0,1856952,0.2298,8079167
2021-11-12,DLF,418.5,429.2,418.35,428.35,1432648,0.244,5871736
2021-11-15,DLF,430.5,431.4,420.25,424.05,421253,0.1244,3385226
2021-11-16,DLF,425.1,431.6,421.75,423.8,1138770,0.2643,4307994
2021-11-17,DLF,421.45,426.65,415.6,417.95,836063,0.2524,3311849
2021-11-18,DLF,417.0,422.05,405.3,415.9,1832146,0.2705,6773134
2021-11-22,DLF,417.1,417.5,394.3,400.45,1121932,0.19260000000000002,5824237
2021-11-23,DLF,399.85,410.4,396.65,407.95,964194,0.1888,5107281
2021-11-24,DLF,409.95,412.7,401.0,403.5,707373,0.188,3762561
2021-11-25,DLF,405.0,408.6,399.0,407.25,821751,0.17920000000000003,4585718
2021-11-26,DLF,400.05,401.8,375.0,376.85,2940035,0.24760000000000001,11874170
2021-11-29,DLF,376.15,383.3,363.1,374.85,1451884,0.1606,9038035
2021-11-30,DLF,378.0,390.75,372.0,374.8,2173853,0.2177,9984396
2021-12-01,DLF,380.0,385.8,375.35,383.1,2009677,0.2687,7479832
2021-12-02,DLF,382.95,387.0,377.6,385.05,1071907,0.2224,4819894
2021-12-03,DLF,385.0,389.75,382.85,386.2,1219546,0.27649999999999997,4410427
2021-12-06,DLF,386.2,390.5,375.0,376.5,1347242,0.2093,6437207
2021-12-07,DLF,380.2,393.0,378.9,391.2,965109,0.1821,5299980
2021-12-08,DLF,395.1,398.8,393.0,397.7,1209260,0.2754,4391196
2021-12-09,DLF,398.0,401.0,392.5,398.6,456967,0.1411,3237488
2021-12-10,DLF,398.0,422.0,395.65,419.1,3633563,0.2742,13250517
2021-12-13,DLF,420.95,423.5,412.3,414.2,2046186,0.3143,6510329
2021-12-14,DLF,410.25,420.55,405.4,417.0,1018437,0.2013,5058088
2021-12-15,DLF,416.5,418.35,408.65,411.0,501549,0.1555,3224926
2021-12-16,DLF,413.0,414.55,403.0,405.15,1390004,0.32180000000000003,4319280
2021-12-17,DLF,404.4,406.9,389.05,390.2,1111105,0.2258,4920357
2021-12-20,DLF,384.25,385.65,361.55,366.7,1749606,0.1995,8769978
2021-12-21,DLF,372.0,381.35,368.75,372.9,988851,0.1948,5075432
2021-12-22,DLF,377.0,380.5,372.0,377.25,458778,0.11470000000000001,3998066
2021-12-23,DLF,381.4,388.9,380.25,383.7,1530230,0.2666,5739918
2021-12-24,DLF,386.8,386.8,375.3,379.6,899588,0.1999,4499625
2021-12-27,DLF,378.25,384.4,369.15,382.6,452946,0.10830000000000001,4183245
2021-12-28,DLF,385.6,390.0,383.0,385.8,826050,0.2164,3818062
2021-12-29,DLF,386.1,389.0,381.2,385.7,490547,0.1572,3119708
2021-12-30,DLF,382.7,385.25,377.1,379.2,574744,0.2237,2569747
2021-12-31,DLF,381.85,391.8,381.5,390.45,628801,0.1592,3949389
2022-01-03,DLF,392.0,397.75,390.5,394.75,678419,0.2072,3274712
2022-01-04,DLF,396.3,400.5,390.7,394.45,600069,0.1467,4091503
2022-01-05,DLF,394.45,404.15,391.3,402.05,1023366,0.2365,4327617
2022-01-06,DLF,399.8,400.85,391.0,398.95,1063891,0.20140000000000002,5282381
2022-01-07,DLF,399.9,406.45,396.1,400.6,1088020,0.2144,5075140
2022-01-10,DLF,405.15,411.7,405.15,407.95,1021896,0.16219999999999998,6298597
2022-01-11,DLF,408.5,416.0,407.55,408.85,784367,0.171,4585662
2022-01-12,DLF,421.0,426.8,412.0,417.55,2729849,0.21300000000000002,12818775
2022-01-13,DLF,419.8,419.8,409.5,410.8,1519396,0.33140000000000003,4584953
