Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,DLINKINDIA,131.5,135.35,130.1,131.1,75382,0.3498,215479
2021-09-02,DLINKINDIA,131.75,136.0,130.95,133.2,88097,0.24850000000000003,354457
2021-09-03,DLINKINDIA,134.2,134.35,131.5,131.95,78645,0.4228,186022
2021-09-06,DLINKINDIA,132.8,133.3,129.8,130.2,71197,0.5424,131265
2021-09-07,DLINKINDIA,130.95,133.0,130.0,130.45,58037,0.36950000000000005,157083
2021-09-08,DLINKINDIA,131.95,144.4,131.95,141.15,475624,0.1693,2809395
2021-09-09,DLINKINDIA,140.4,142.4,136.65,137.25,142615,0.3858,369638
2021-09-13,DLINKINDIA,136.75,144.55,134.9,139.55,184269,0.2722,676925
2021-09-14,DLINKINDIA,140.8,144.8,138.9,140.0,134503,0.3519,382231
2021-09-15,DLINKINDIA,140.5,143.8,138.85,139.75,86326,0.2969,290713
2021-09-16,DLINKINDIA,140.7,141.75,137.2,137.85,105518,0.49229999999999996,214351
2021-09-17,DLINKINDIA,138.95,139.95,131.8,133.55,144372,0.4139,348767
2021-09-20,DLINKINDIA,131.25,144.05,130.75,138.9,239366,0.3141,762179
2021-09-21,DLINKINDIA,137.15,138.85,135.35,138.1,95774,0.4282,223669
2021-09-22,DLINKINDIA,139.2,141.3,137.5,138.15,71916,0.44689999999999996,160937
2021-09-23,DLINKINDIA,139.15,141.55,138.65,139.3,120906,0.5376,224893
2021-09-24,DLINKINDIA,140.1,157.75,139.6,149.2,784640,0.3258,2408577
2021-09-27,DLINKINDIA,150.3,155.4,147.2,149.9,301829,0.401,752643
2021-09-28,DLINKINDIA,150.8,150.9,143.95,145.55,148501,0.49729999999999996,298641
2021-09-29,DLINKINDIA,145.55,155.9,143.1,152.35,352973,0.4685,753436
2021-09-30,DLINKINDIA,152.5,160.85,152.0,154.95,242064,0.2727,887527
2021-10-01,DLINKINDIA,154.5,157.55,150.85,155.05,119037,0.37170000000000003,320283
2021-10-04,DLINKINDIA,155.85,160.0,153.1,153.65,138123,0.30960000000000004,446138
2021-10-05,DLINKINDIA,153.7,156.25,150.5,151.7,175708,0.45020000000000004,390276
2021-10-06,DLINKINDIA,152.0,152.9,147.0,148.5,181814,0.5255,345958
2021-10-07,DLINKINDIA,149.9,152.7,146.55,148.55,82250,0.3268,251707
2021-10-08,DLINKINDIA,149.7,151.1,146.4,147.2,73206,0.49979999999999997,146473
2021-10-11,DLINKINDIA,146.6,149.7,146.1,146.5,99679,0.5375,185439
2021-10-12,DLINKINDIA,146.45,153.0,146.2,149.1,79234,0.41619999999999996,190357
2021-10-13,DLINKINDIA,150.3,152.3,147.1,147.75,145732,0.5531,263485
2021-10-14,DLINKINDIA,148.7,150.6,145.4,146.1,164972,0.4532,363987
2021-10-18,DLINKINDIA,147.3,149.75,145.15,146.9,121939,0.4583,266048
2021-10-19,DLINKINDIA,148.75,149.95,141.4,142.7,130192,0.44380000000000003,293388
2021-10-20,DLINKINDIA,143.8,143.8,138.6,139.15,113180,0.3594,314930
2021-10-21,DLINKINDIA,140.0,141.45,138.0,138.65,65682,0.4046,162332
2021-10-22,DLINKINDIA,138.6,145.95,136.6,143.35,106091,0.3118,340279
2021-10-25,DLINKINDIA,144.5,144.5,137.0,138.85,70020,0.3055,229178
2021-10-26,DLINKINDIA,138.5,143.0,138.45,142.15,63666,0.2913,218522
2021-10-27,DLINKINDIA,143.3,144.95,140.2,142.95,67600,0.227,297829
2021-10-28,DLINKINDIA,143.25,143.25,138.5,139.4,47807,0.2613,182955
2021-10-29,DLINKINDIA,140.4,140.7,136.25,137.1,49747,0.2926,170034
2021-11-01,DLINKINDIA,138.2,149.25,137.65,148.45,266064,0.6006,443001
2021-11-02,DLINKINDIA,155.65,155.65,147.85,149.0,423364,0.41619999999999996,1017283
2021-11-03,DLINKINDIA,150.0,152.15,143.8,146.8,251992,0.4533,555864
2021-11-04,DLINKINDIA,146.0,152.6,146.0,151.1,221581,0.7706000000000001,287561
2021-11-08,DLINKINDIA,152.0,152.1,147.3,148.15,118154,0.4635,254925
2021-11-09,DLINKINDIA,148.9,151.95,148.2,148.75,114078,0.42840000000000006,266299
2021-11-10,DLINKINDIA,148.0,160.0,147.4,153.35,360965,0.5069,712038
