Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,DNAMEDIA,2.1,2.1,2.1,2.1,4036,1.0,4036
2021-09-02,DNAMEDIA,2.2,2.2,2.2,2.2,8943,1.0,8943
2021-09-03,DNAMEDIA,2.3,2.3,2.3,2.3,32315,1.0,32315
2021-09-06,DNAMEDIA,2.4,2.4,2.2,2.25,246971,0.6262,394393
2021-09-07,DNAMEDIA,2.3,2.3,2.15,2.25,110980,0.6557,169255
2021-09-08,DNAMEDIA,2.15,2.25,2.15,2.15,20356,0.6375000000000001,31932
2021-10-12,DNAMEDIA,2.2,2.25,2.15,2.15,126910,0.8748,145077
2021-10-13,DNAMEDIA,2.25,2.25,2.1,2.25,89130,0.6889000000000001,129375
2021-10-14,DNAMEDIA,2.35,2.35,2.3,2.35,228373,0.8837999999999999,258394
2021-10-18,DNAMEDIA,2.45,2.45,2.35,2.45,162123,0.8300000000000001,195328
2021-10-19,DNAMEDIA,2.55,2.55,2.35,2.55,130215,0.8523999999999999,152763
2021-10-20,DNAMEDIA,2.65,2.65,2.45,2.5,315164,0.6840999999999999,460695
2021-10-21,DNAMEDIA,2.5,2.5,2.4,2.4,73389,0.7661,95795
2021-10-22,DNAMEDIA,2.4,2.4,2.3,2.3,110625,0.8672,127570
2021-10-25,DNAMEDIA,2.25,2.4,2.2,2.3,72682,0.6990999999999999,103970
2021-10-26,DNAMEDIA,2.35,2.4,2.3,2.4,83102,0.8340000000000001,99642
2021-10-27,DNAMEDIA,2.5,2.5,2.45,2.5,39684,0.7445999999999999,53298
2021-10-28,DNAMEDIA,2.6,2.6,2.4,2.4,161432,0.6204999999999999,260162
2021-10-29,DNAMEDIA,2.4,2.4,2.3,2.3,135585,0.8551000000000001,158559
2021-11-01,DNAMEDIA,2.35,2.4,2.2,2.35,79665,0.5629,141529
2021-11-02,DNAMEDIA,2.4,2.4,2.25,2.25,124135,0.6163000000000001,201405
2021-11-03,DNAMEDIA,2.35,2.35,2.25,2.3,115751,0.5772,200539
2021-11-04,DNAMEDIA,2.35,2.4,2.35,2.35,34171,0.9971,34271
2021-11-08,DNAMEDIA,2.4,2.45,2.35,2.35,110755,0.6808,162695
2021-11-09,DNAMEDIA,2.45,2.45,2.35,2.45,178902,0.7637,234258
2021-11-10,DNAMEDIA,2.55,2.55,2.45,2.55,136511,0.7927,172219
2021-11-11,DNAMEDIA,2.65,2.65,2.6,2.65,124300,0.6894,180292
2021-11-12,DNAMEDIA,2.7,2.75,2.55,2.6,250321,0.7267,344469
2021-11-15,DNAMEDIA,2.65,2.65,2.5,2.55,140221,0.6231,225020
2021-11-16,DNAMEDIA,2.55,2.55,2.45,2.5,107132,0.5892000000000001,181817
2021-11-17,DNAMEDIA,2.45,2.5,2.4,2.45,89463,0.7495999999999999,119349
2021-11-18,DNAMEDIA,2.35,2.4,2.35,2.4,46124,0.5307000000000001,86905
2021-11-22,DNAMEDIA,2.4,2.4,2.3,2.3,107566,0.6762,159081
2021-11-23,DNAMEDIA,2.3,2.4,2.2,2.4,108016,0.7581,142481
2021-11-24,DNAMEDIA,2.5,2.5,2.5,2.5,61447,0.6901999999999999,89028
2021-11-25,DNAMEDIA,2.6,2.6,2.55,2.6,75290,0.6462000000000001,116511
2021-11-26,DNAMEDIA,2.7,2.7,2.6,2.7,199011,0.7515999999999999,264775
2021-11-29,DNAMEDIA,2.8,2.8,2.75,2.8,134015,0.7148000000000001,187493
2021-11-30,DNAMEDIA,2.9,2.9,2.9,2.9,67617,1.0,67617
2021-12-01,DNAMEDIA,3.0,3.0,3.0,3.0,143373,0.8514,168399
2021-12-02,DNAMEDIA,3.15,3.15,3.15,3.15,127981,0.9264,138143
