Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,DREDGECORP,348.5,366.4,348.5,357.55,32288,0.1791,180268
2021-09-02,DREDGECORP,358.7,364.5,354.4,356.1,29447,0.2522,116759
2021-09-03,DREDGECORP,354.3,363.15,354.1,355.65,19312,0.2354,82029
2021-09-06,DREDGECORP,357.9,359.2,352.1,354.05,13059,0.2579,50644
2021-09-07,DREDGECORP,355.6,355.6,349.05,351.15,11396,0.1973,57746
2021-09-08,DREDGECORP,350.05,374.8,350.05,362.7,65024,0.2229,291753
2021-09-09,DREDGECORP,360.7,370.0,360.1,362.45,29030,0.23629999999999998,122857
2021-09-13,DREDGECORP,361.9,369.0,359.2,363.8,17249,0.2535,68047
2021-09-14,DREDGECORP,363.8,378.0,362.3,373.55,57905,0.3425,169060
2021-09-15,DREDGECORP,374.4,384.4,372.0,374.1,55644,0.37479999999999997,148465
2021-09-16,DREDGECORP,375.9,384.4,372.75,374.3,30191,0.25670000000000004,117621
2021-09-17,DREDGECORP,375.9,379.2,361.8,364.4,26034,0.40149999999999997,64844
2021-09-20,DREDGECORP,360.0,368.95,353.2,355.2,20403,0.3345,60987
2021-09-21,DREDGECORP,353.0,356.7,348.95,352.0,14213,0.2741,51858
2021-09-22,DREDGECORP,353.4,358.7,351.5,352.6,11324,0.3287,34446
2021-09-23,DREDGECORP,355.4,360.25,353.7,355.25,18375,0.35450000000000004,51831
2021-09-24,DREDGECORP,356.8,358.15,348.95,350.15,16703,0.3412,48949
2021-09-27,DREDGECORP,355.0,358.15,345.1,347.0,33540,0.3895,86104
2021-09-28,DREDGECORP,348.65,356.9,344.0,345.65,38146,0.3822,99819
2021-09-29,DREDGECORP,343.95,355.65,343.0,350.15,26656,0.2347,113577
2021-09-30,DREDGECORP,351.0,363.3,351.0,356.0,41121,0.3119,131841
2021-10-01,DREDGECORP,354.7,364.2,352.1,352.95,20934,0.2548,82164
2021-10-04,DREDGECORP,355.6,363.9,354.1,357.0,28023,0.25129999999999997,111529
2021-10-05,DREDGECORP,355.9,367.95,355.8,362.3,33922,0.2395,141643
2021-10-06,DREDGECORP,364.0,374.5,362.0,362.6,49700,0.2876,172815
2021-10-07,DREDGECORP,365.55,372.0,361.0,363.75,23399,0.24420000000000003,95807
2021-10-08,DREDGECORP,364.9,369.95,361.0,362.15,24203,0.38020000000000004,63661
2021-10-11,DREDGECORP,364.9,372.6,364.5,365.65,27009,0.256,105494
2021-10-12,DREDGECORP,363.6,372.8,361.95,365.15,26299,0.2411,109095
2021-10-13,DREDGECORP,366.8,396.15,366.8,386.1,205169,0.3015,680449
2021-10-14,DREDGECORP,386.45,388.25,376.0,377.95,36525,0.3321,109975
2021-10-18,DREDGECORP,379.9,392.0,376.6,380.95,44039,0.2382,184919
2021-10-19,DREDGECORP,380.95,383.0,364.1,365.35,50672,0.4289,118153
