Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,DTIL,277.25,285.0,277.0,280.75,4143,0.5963,6948
2021-09-02,DTIL,283.0,295.45,270.25,280.4,11943,0.322,37090
2021-09-03,DTIL,286.0,286.0,279.0,280.2,3160,0.5441,5808
2021-09-06,DTIL,282.0,284.8,280.0,281.8,1858,0.6626000000000001,2804
2021-09-07,DTIL,281.0,283.1,278.1,281.4,4460,0.6261,7123
2021-09-08,DTIL,278.65,282.55,278.65,280.0,2177,0.6086,3577
2021-09-09,DTIL,282.0,282.0,280.0,280.1,2953,0.6583,4486
2021-09-13,DTIL,281.5,288.0,280.55,287.1,8075,0.6479,12464
2021-09-14,DTIL,288.7,294.85,282.2,290.6,6521,0.5837,11171
2021-09-15,DTIL,295.0,295.0,286.55,290.0,6478,0.6851,9456
2021-09-16,DTIL,294.0,300.9,291.25,293.35,7452,0.5847,12744
2021-09-17,DTIL,295.3,297.95,281.5,287.4,6661,0.5383,12375
2021-09-20,DTIL,287.0,288.7,280.65,281.0,5637,0.7122,7915
2021-09-21,DTIL,281.05,284.5,271.2,275.55,2759,0.5847,4719
2021-09-22,DTIL,277.3,282.0,275.1,276.9,2880,0.5709000000000001,5045
2021-09-23,DTIL,276.45,282.0,272.0,275.35,4840,0.7048000000000001,6867
2021-09-24,DTIL,277.0,277.0,265.0,267.65,9628,0.7481,12870
2021-09-27,DTIL,272.0,272.0,261.65,264.6,7989,0.7784000000000001,10264
2021-09-28,DTIL,268.0,268.1,258.35,259.9,8442,0.5374,15708
2021-09-29,DTIL,263.95,265.0,260.0,261.1,5182,0.6411,8083
2021-09-30,DTIL,265.0,265.0,259.0,260.4,6850,0.6602,10375
2021-10-01,DTIL,260.4,263.9,257.0,260.7,5085,0.5986,8495
2021-10-04,DTIL,261.7,268.0,261.7,266.3,7115,0.6109,11646
2021-10-05,DTIL,267.0,275.05,267.0,274.1,11216,0.6186,18132
2021-10-06,DTIL,278.4,278.4,270.0,270.55,7204,0.5664,12720
2021-10-07,DTIL,274.0,278.0,266.4,269.8,4883,0.2482,19674
2021-10-08,DTIL,273.55,274.95,266.25,270.45,10314,0.6303,16363
2021-10-11,DTIL,273.7,275.3,268.3,274.9,11988,0.6504000000000001,18432
2021-10-12,DTIL,277.9,296.1,275.0,290.75,21091,0.4532,46543
2021-10-13,DTIL,294.85,299.0,287.9,294.7,18109,0.5115999999999999,35396
2021-10-14,DTIL,299.7,299.7,285.0,286.8,6720,0.5478000000000001,12268
2021-10-18,DTIL,293.7,294.9,282.05,283.7,8319,0.6559999999999999,12682
2021-10-19,DTIL,284.1,289.2,277.0,279.25,7209,0.4062,17748
2021-10-20,DTIL,282.0,283.7,269.25,273.6,6990,0.6179,11313
2021-10-21,DTIL,282.0,282.0,270.6,271.85,4277,0.6862,6233
2021-10-22,DTIL,271.0,279.35,266.45,268.75,4940,0.6299,7843
2021-10-25,DTIL,288.0,288.0,257.1,259.7,8310,0.5657,14690
2021-10-26,DTIL,257.05,277.6,257.05,266.85,3108,0.3332,9329
2021-10-27,DTIL,272.0,272.0,258.95,260.9,9090,0.5871000000000001,15483
2021-10-28,DTIL,263.5,269.8,260.0,260.5,5323,0.6235,8537
2021-10-29,DTIL,260.0,264.65,256.0,256.7,7251,0.6872,10551
2021-11-01,DTIL,266.45,266.45,258.05,259.85,4294,0.6186,6942
2021-11-02,DTIL,265.75,272.75,261.05,268.7,7313,0.7103,10295
2021-11-03,DTIL,265.0,278.3,260.0,269.75,4938,0.4585,10770
2021-11-04,DTIL,269.75,274.7,265.0,270.55,2596,0.8156,3183
2021-11-08,DTIL,271.0,278.0,271.0,277.5,11671,0.7981999999999999,14621
2021-11-09,DTIL,279.4,283.15,276.55,278.45,7817,0.7497,10427
2021-11-10,DTIL,280.0,285.1,278.85,282.0,7472,0.4961,15062
2021-11-11,DTIL,285.05,285.05,274.55,276.95,6254,0.6486,9643
2021-11-12,DTIL,276.95,279.9,272.0,277.35,3006,0.6107,4922
2021-11-15,DTIL,279.5,285.0,258.45,262.8,13430,0.4989,26921
2021-11-16,DTIL,264.0,266.95,260.3,263.65,4812,0.6668000000000001,7217
2021-11-17,DTIL,264.1,264.55,259.0,261.25,4642,0.6546,7091
2021-11-18,DTIL,263.2,270.0,256.25,260.55,9013,0.5853,15400
2021-11-22,DTIL,260.55,265.7,255.0,259.45,9263,0.42960000000000004,21563
2021-11-23,DTIL,268.0,268.0,256.0,258.8,4925,0.6169,7984
2021-11-24,DTIL,259.0,262.35,257.2,258.1,3338,0.7129000000000001,4682
2021-11-25,DTIL,263.85,263.85,253.6,259.05,5690,0.5694,9993
2021-11-26,DTIL,255.1,257.9,247.0,250.05,6332,0.5838,10847
2021-11-29,DTIL,254.9,254.9,242.0,242.5,6853,0.7223,9488
2021-11-30,DTIL,247.8,247.8,235.2,239.65,3177,0.7194,4416
2021-12-01,DTIL,247.0,247.0,235.05,239.2,3472,0.6286,5523
2021-12-02,DTIL,242.5,244.0,237.1,239.4,4948,0.5197,9521
2021-12-03,DTIL,242.5,249.0,239.45,242.4,4051,0.4722,8579
2021-12-06,DTIL,245.9,245.9,240.65,242.1,2583,0.5899,4379
2021-12-07,DTIL,247.8,247.8,237.1,241.85,3187,0.5778,5516
2021-12-08,DTIL,248.0,248.0,241.6,243.8,4833,0.738,6549
2021-12-09,DTIL,244.7,253.2,243.4,250.55,4099,0.5824,7038
2021-12-10,DTIL,252.9,255.4,249.0,251.35,5203,0.5704,9122
2021-12-13,DTIL,255.4,261.0,252.5,256.6,5015,0.6611,7586
2021-12-14,DTIL,255.7,260.0,252.0,256.5,3421,0.6267,5459
2021-12-15,DTIL,258.0,259.7,252.1,254.4,3075,0.7038,4369
2021-12-16,DTIL,251.5,255.5,247.0,249.35,3733,0.6273,5951
2021-12-17,DTIL,258.0,279.95,252.45,255.8,17002,0.331,51359
2021-12-20,DTIL,258.9,258.9,245.6,248.35,10313,0.5231,19714
2021-12-21,DTIL,248.2,254.95,248.2,252.3,2562,0.5739,4464
2021-12-22,DTIL,252.35,255.3,250.8,252.25,1725,0.4148,4159
2021-12-23,DTIL,251.7,256.0,250.3,253.95,2842,0.5548,5123
2021-12-24,DTIL,253.1,253.95,242.7,246.6,3466,0.6920999999999999,5008
2021-12-27,DTIL,244.1,256.5,244.1,255.5,6632,0.6325000000000001,10486
2021-12-28,DTIL,258.25,270.0,254.0,263.8,8783,0.6406999999999999,13709
2021-12-29,DTIL,265.0,265.0,260.5,262.65,4688,0.7062,6638
2021-12-30,DTIL,259.1,263.0,256.5,259.4,2217,0.5714,3880
2021-12-31,DTIL,264.25,265.85,256.55,260.05,7179,0.49210000000000004,14589
2022-01-03,DTIL,265.0,285.0,264.6,281.55,26537,0.5379,49337
2022-01-04,DTIL,284.5,291.0,277.6,281.85,6481,0.5827,11123
2022-01-05,DTIL,282.9,282.9,272.0,275.0,7874,0.6045,13025
2022-01-06,DTIL,272.2,275.0,271.0,274.2,3504,0.5698,6149
2022-01-07,DTIL,277.95,278.5,272.0,273.55,7063,0.7103,9944
2022-01-10,DTIL,276.5,289.0,272.3,287.2,20687,0.5509000000000001,37554
2022-01-11,DTIL,292.0,344.6,287.05,344.6,125619,0.3351,374878
2022-01-12,DTIL,354.0,354.0,310.65,315.15,76222,0.4329,176089
2022-01-13,DTIL,320.05,322.05,306.65,312.95,17386,0.43590000000000007,39888
2022-01-14,DTIL,316.0,319.7,307.75,309.2,10296,0.4368,23571
2022-01-17,DTIL,314.6,319.3,307.55,311.1,12478,0.4646,26858
2022-01-18,DTIL,309.35,313.55,301.7,302.4,9458,0.41090000000000004,23016
2022-01-19,DTIL,302.0,314.0,301.85,306.15,9295,0.5426,17132
2022-01-20,DTIL,309.8,326.35,307.2,312.0,21310,0.4412,48304
2022-01-21,DTIL,309.25,314.8,305.0,306.15,8243,0.5053,16314
2022-01-24,DTIL,312.95,312.95,285.7,291.5,5658,0.5615,24786
2022-01-25,DTIL,298.0,298.0,282.0,291.65,5743,0.5004,11476
