Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,EIHOTEL,102.4,104.35,101.8,103.0,240741,0.6103000000000001,394478
2021-09-02,EIHOTEL,103.45,109.8,103.15,107.0,463450,0.43210000000000004,1072545
2021-09-03,EIHOTEL,107.9,109.6,105.35,106.2,159904,0.4022,397563
2021-09-06,EIHOTEL,107.1,108.65,105.8,106.35,221476,0.5488000000000001,403535
2021-09-07,EIHOTEL,106.2,108.5,104.0,106.15,153359,0.3407,450095
2021-09-08,EIHOTEL,106.0,108.25,104.95,106.05,248041,0.47990000000000005,516894
2021-09-09,EIHOTEL,105.95,108.4,105.2,107.05,366689,0.4083,898046
2021-09-13,EIHOTEL,107.4,111.0,106.45,109.75,382473,0.3961,965558
2021-09-14,EIHOTEL,110.6,111.6,108.6,109.75,220977,0.4583,482131
2021-09-15,EIHOTEL,110.65,111.9,110.0,110.75,229305,0.5035000000000001,455440
2021-09-16,EIHOTEL,111.25,112.5,109.4,109.8,213250,0.4818,442585
2021-09-17,EIHOTEL,110.6,112.0,107.0,107.45,309230,0.5079,608816
2021-09-20,EIHOTEL,108.4,121.25,107.65,110.8,1019940,0.2082,4897695
2021-09-21,EIHOTEL,111.2,113.0,109.0,112.05,299758,0.3027,990271
2021-09-22,EIHOTEL,112.25,117.45,112.1,115.35,754602,0.3768,2002753
2021-09-23,EIHOTEL,116.7,124.15,116.25,123.4,2058229,0.41850000000000004,4917674
2021-09-24,EIHOTEL,124.4,126.45,121.1,125.8,1360914,0.44430000000000003,3062767
2021-09-27,EIHOTEL,126.0,150.95,121.25,140.95,3564159,0.24550000000000002,14516683
2021-09-28,EIHOTEL,143.0,145.0,126.15,127.7,2031933,0.2548,7975641
2021-09-29,EIHOTEL,127.3,135.0,126.1,128.95,681594,0.3531,1930227
2021-09-30,EIHOTEL,130.3,132.15,126.0,129.35,341709,0.3995,855276
2021-10-01,EIHOTEL,128.9,131.5,127.0,128.15,203285,0.34880000000000005,582746
2021-10-04,EIHOTEL,128.35,134.8,128.05,130.6,314450,0.3633,865463
2021-10-05,EIHOTEL,130.4,132.3,128.55,132.0,280449,0.4504,622721
2021-10-06,EIHOTEL,132.05,137.25,130.0,132.25,640506,0.452,1417100
2021-10-07,EIHOTEL,134.75,137.5,132.95,136.75,441117,0.369,1195341
2021-10-08,EIHOTEL,139.0,147.45,137.5,138.35,1063536,0.2932,3626808
2021-10-11,EIHOTEL,138.85,147.8,136.3,141.6,637160,0.3074,2072862
2021-10-12,EIHOTEL,141.65,146.3,140.5,141.45,443787,0.33659999999999995,1318421
2021-10-13,EIHOTEL,142.95,144.0,139.9,140.95,393150,0.38430000000000003,1023079
2021-10-14,EIHOTEL,143.0,143.55,140.1,141.85,281753,0.3617,779062
2021-10-18,EIHOTEL,144.0,146.0,141.6,143.8,491142,0.4485,1095070
2021-10-19,EIHOTEL,145.0,149.0,136.15,139.4,431696,0.34140000000000004,1264637
2021-10-20,EIHOTEL,140.45,143.7,135.2,141.85,526160,0.39049999999999996,1347488
2021-10-21,EIHOTEL,142.5,142.55,136.25,138.1,258184,0.35850000000000004,720188
2021-10-22,EIHOTEL,138.8,143.25,136.3,138.2,338732,0.42729999999999996,792708
2021-10-25,EIHOTEL,139.0,140.95,131.5,140.15,588094,0.4339,1355218
2021-10-26,EIHOTEL,140.0,144.5,139.05,139.9,316818,0.43920000000000003,721393
2021-10-27,EIHOTEL,140.3,143.5,140.25,141.45,283536,0.5612,505215
2021-10-28,EIHOTEL,141.15,143.5,136.6,137.5,295166,0.4583,643982
2021-10-29,EIHOTEL,138.3,140.95,135.75,138.75,245157,0.49210000000000004,498138
2021-11-01,EIHOTEL,139.25,141.5,137.15,140.65,148670,0.4218,352495
2021-11-02,EIHOTEL,141.15,144.0,140.0,141.2,226696,0.40890000000000004,554403
2021-11-03,EIHOTEL,141.6,142.6,138.95,140.0,144782,0.4696,308301
2021-11-04,EIHOTEL,141.0,142.5,140.2,141.5,52820,0.4893,107950
2021-11-08,EIHOTEL,141.6,152.9,141.25,151.9,1110312,0.35490000000000005,3128186
2021-11-09,EIHOTEL,152.2,155.0,150.6,152.8,600300,0.45549999999999996,1317916
2021-11-10,EIHOTEL,152.4,155.0,150.75,152.6,216862,0.4073,532502
2021-11-11,EIHOTEL,152.35,152.35,145.1,146.8,204323,0.43820000000000003,466316
2021-11-12,EIHOTEL,146.5,148.85,141.5,142.5,209444,0.4933,424589
2021-11-15,EIHOTEL,142.5,146.8,140.0,145.35,245838,0.39060000000000006,629307
2021-11-16,EIHOTEL,144.5,147.7,142.05,143.25,109099,0.2527,431727
2021-11-17,EIHOTEL,143.9,145.9,143.3,143.95,112450,0.4351,258465
2021-11-18,EIHOTEL,144.8,145.5,141.4,141.7,75274,0.4681,160818
2021-11-22,EIHOTEL,142.4,143.65,132.5,136.4,192447,0.4439,433526
2021-11-23,EIHOTEL,136.0,139.0,133.65,136.1,97370,0.3809,255659
2021-11-24,EIHOTEL,138.0,139.6,137.15,137.8,83538,0.35159999999999997,237584
2021-11-25,EIHOTEL,138.0,138.8,136.8,137.55,147528,0.3715,397104
2021-11-26,EIHOTEL,134.95,135.55,127.0,127.3,302937,0.44939999999999997,674100
2021-11-29,EIHOTEL,123.5,128.5,116.65,126.05,374767,0.2807,1335344
2021-11-30,EIHOTEL,126.6,130.0,118.55,120.4,296183,0.3951,749705
2021-12-01,EIHOTEL,122.5,124.9,120.0,120.5,96345,0.2115,455500
2021-12-02,EIHOTEL,121.1,125.0,120.65,123.6,84332,0.2805,300689
2021-12-03,EIHOTEL,124.0,127.5,123.5,124.8,126624,0.2409,525736
2021-12-06,EIHOTEL,125.8,125.8,120.3,121.45,157044,0.4539,345961
2021-12-07,EIHOTEL,122.5,129.9,122.5,127.85,192064,0.2137,898568
2021-12-08,EIHOTEL,128.65,128.9,126.8,127.95,283573,0.439,645934
2021-12-09,EIHOTEL,128.7,129.65,127.0,127.15,102972,0.4144,248463
2021-12-10,EIHOTEL,127.0,131.0,127.0,130.35,78856,0.281,280628
2021-12-13,EIHOTEL,131.0,134.15,130.8,133.55,160794,0.3261,493014
2021-12-14,EIHOTEL,133.5,135.25,132.1,133.55,219897,0.4667,471221
2021-12-15,EIHOTEL,135.0,144.5,135.0,138.25,561875,0.1558,3605876
2021-12-16,EIHOTEL,138.95,139.2,135.4,137.15,135077,0.2354,573874
2021-12-17,EIHOTEL,137.15,137.6,132.15,133.4,165970,0.4286,387262
2021-12-20,EIHOTEL,131.05,131.85,122.2,125.75,157044,0.36590000000000006,429182
2021-12-21,EIHOTEL,126.4,129.9,121.45,122.8,143229,0.33890000000000003,422683
2021-12-22,EIHOTEL,123.4,125.95,119.5,120.8,307638,0.5055,608586
2021-12-23,EIHOTEL,124.5,125.9,123.0,124.85,94892,0.2305,411757
2021-12-24,EIHOTEL,126.0,126.0,119.2,120.5,162083,0.35590000000000005,455455
2021-12-27,EIHOTEL,118.5,121.5,117.45,120.45,106785,0.3563,299698
2021-12-28,EIHOTEL,121.5,125.15,121.5,123.45,112870,0.33799999999999997,333941
2021-12-29,EIHOTEL,125.0,125.9,123.05,124.05,72317,0.38070000000000004,189960
2021-12-30,EIHOTEL,124.6,125.15,122.4,123.85,149175,0.5626,265156
2021-12-31,EIHOTEL,124.5,125.45,123.85,124.5,79369,0.513,154702
2022-01-03,EIHOTEL,124.5,125.65,123.4,125.15,94895,0.4333,218983
2022-01-04,EIHOTEL,126.0,128.3,125.55,127.05,114758,0.4008,286339
2022-01-05,EIHOTEL,126.1,127.7,124.6,127.15,109510,0.45189999999999997,242351
2022-01-06,EIHOTEL,125.0,128.0,125.0,127.4,86996,0.5257000000000001,165497
2022-01-07,EIHOTEL,126.25,128.5,125.9,127.95,100575,0.5,201166
2022-01-10,EIHOTEL,126.1,133.5,126.1,132.4,213568,0.41000000000000003,520935
2022-01-11,EIHOTEL,133.1,134.5,130.25,131.0,123255,0.4007,307620
2022-01-12,EIHOTEL,132.0,138.0,131.1,135.1,279715,0.41740000000000005,670109
2022-01-13,EIHOTEL,136.5,136.6,133.1,134.1,57897,0.43060000000000004,134448
2022-01-14,EIHOTEL,133.05,138.95,132.15,134.65,113466,0.3119,363755
2022-01-17,EIHOTEL,133.4,145.6,133.4,143.6,395767,0.4988,793442
2022-01-18,EIHOTEL,145.0,147.6,138.0,139.2,164076,0.3546,462741
2022-01-19,EIHOTEL,138.0,140.75,135.65,139.25,77875,0.38310000000000005,203250
2022-01-20,EIHOTEL,138.9,141.45,136.05,137.9,78139,0.3886,201103
2022-01-21,EIHOTEL,136.05,141.0,133.0,139.3,128783,0.334,385576
2022-01-24,EIHOTEL,140.9,141.0,128.75,131.05,86568,0.4173,324472
2022-01-25,EIHOTEL,130.0,134.5,127.65,133.7,90864,0.37939999999999996,239515
2022-01-27,EIHOTEL,132.45,136.0,130.65,135.3,84790,0.4525,187367
2022-01-28,EIHOTEL,136.0,140.05,134.8,136.35,184121,0.4459,412912
2022-01-31,EIHOTEL,140.9,147.5,137.05,140.55,337826,0.2849,1185653
2022-02-01,EIHOTEL,142.05,143.8,139.3,140.15,136534,0.36920000000000003,369847
2022-02-02,EIHOTEL,141.5,144.0,138.4,142.4,308777,0.5479999999999999,563448
2022-02-03,EIHOTEL,143.3,148.35,140.2,147.4,631025,0.604,1044681
2022-02-04,EIHOTEL,147.9,147.9,139.3,140.65,563588,0.473,1191572
2022-02-07,EIHOTEL,141.05,146.65,141.05,142.15,192143,0.42340000000000005,453764
2022-02-08,EIHOTEL,142.8,142.85,137.6,138.95,93327,0.5068,184136
2022-02-09,EIHOTEL,139.65,140.65,134.85,137.35,102416,0.3616,283209
2022-02-10,EIHOTEL,137.65,139.7,136.05,136.5,69141,0.38770000000000004,178352
2022-02-11,EIHOTEL,136.0,136.6,132.0,134.15,264105,0.5642,468066
2022-02-14,EIHOTEL,133.05,136.0,131.0,132.65,177955,0.47409999999999997,375388
2022-02-15,EIHOTEL,133.0,140.5,130.0,138.35,144799,0.4917,294480
2022-02-16,EIHOTEL,140.8,140.8,136.05,137.15,76891,0.2553,301150
2022-02-17,EIHOTEL,137.8,140.6,137.5,139.7,74341,0.2444,304185
2022-02-18,EIHOTEL,140.4,141.0,137.0,139.4,84207,0.3667,229628
2022-02-21,EIHOTEL,138.95,142.35,136.0,137.05,264703,0.3216,823113
2022-02-22,EIHOTEL,134.5,139.0,126.65,130.65,478765,0.4203,1139094
2022-02-23,EIHOTEL,131.9,134.9,131.0,131.45,291343,0.5049,577061
2022-02-24,EIHOTEL,129.8,129.8,125.0,125.3,261458,0.5366,487278
2022-02-25,EIHOTEL,126.8,130.7,126.8,129.65,84240,0.408,206476
2022-02-28,EIHOTEL,129.0,130.2,126.35,129.8,50405,0.3045,165519
2022-03-02,EIHOTEL,130.45,131.0,127.25,128.65,95173,0.4782,199021
2022-03-03,EIHOTEL,130.0,134.4,130.0,132.85,106211,0.2699,393475
2022-03-04,EIHOTEL,131.55,132.3,126.0,127.05,179260,0.444,403744
2022-03-07,EIHOTEL,125.0,126.75,123.0,124.75,313811,0.6705,468025
2022-03-08,EIHOTEL,124.95,128.0,122.25,125.35,244799,0.4719,518785
2022-03-09,EIHOTEL,126.0,130.9,124.3,125.75,681377,0.4828,1411317
2022-03-10,EIHOTEL,128.8,129.95,123.2,124.95,588223,0.5640999999999999,1042728
2022-03-11,EIHOTEL,125.3,127.3,122.6,123.45,239148,0.48740000000000006,490690
2022-03-14,EIHOTEL,124.85,126.4,121.7,124.55,256827,0.4275,600749
2022-03-15,EIHOTEL,124.7,125.3,122.45,123.75,267002,0.45380000000000004,588343
2022-03-16,EIHOTEL,124.4,129.2,123.75,128.4,272085,0.2937,926252
2022-03-17,EIHOTEL,130.5,142.0,129.6,139.25,820345,0.4754,1725696
2022-03-21,EIHOTEL,139.9,140.2,134.6,138.9,174821,0.36310000000000003,481519
2022-03-22,EIHOTEL,139.0,140.4,136.2,137.5,127008,0.30010000000000003,423271
2022-03-23,EIHOTEL,138.45,143.85,137.2,138.35,220891,0.2472,893529
2022-03-24,EIHOTEL,138.3,139.95,136.2,138.7,105579,0.37479999999999997,281707
2022-03-25,EIHOTEL,139.4,150.0,138.85,149.0,972243,0.2616,3716867
2022-03-28,EIHOTEL,152.5,161.7,152.5,158.5,1445448,0.2293,6304727
2022-03-29,EIHOTEL,159.0,160.4,152.7,158.0,400466,0.2831,1414791
2022-03-30,EIHOTEL,159.5,162.7,152.0,154.05,397327,0.34270000000000006,1159238
2022-03-31,EIHOTEL,154.45,157.0,152.1,154.65,292310,0.4855,602075
2022-04-01,EIHOTEL,155.85,161.0,153.85,159.45,368361,0.3115,1182611
2022-04-04,EIHOTEL,159.45,161.95,156.15,157.45,254779,0.4277,595720
2022-04-05,EIHOTEL,160.0,163.95,157.8,160.05,363964,0.317,1148105
2022-04-06,EIHOTEL,160.25,171.75,160.25,166.55,700653,0.1857,3772079
2022-04-07,EIHOTEL,167.4,168.0,161.05,162.1,241124,0.4365,552427
2022-04-08,EIHOTEL,163.0,168.6,163.0,167.2,227292,0.317,716919
2022-04-11,EIHOTEL,168.55,169.85,165.2,166.55,149537,0.3946,378930
2022-04-12,EIHOTEL,165.5,165.5,158.5,161.0,257519,0.4202,612917
2022-04-13,EIHOTEL,162.5,167.45,161.6,165.05,277978,0.3094,898508
2022-04-18,EIHOTEL,164.9,164.9,160.0,161.1,140676,0.45049999999999996,312235
2022-04-19,EIHOTEL,162.4,164.9,155.5,159.8,188768,0.455,414912
2022-04-20,EIHOTEL,159.0,161.75,157.0,160.15,141813,0.40630000000000005,349039
2022-04-21,EIHOTEL,159.6,164.0,159.6,161.1,86884,0.3772,230335
2022-04-22,EIHOTEL,159.95,162.85,157.0,158.4,119639,0.4136,289268
2022-04-25,EIHOTEL,156.0,157.65,149.55,150.9,206591,0.49369999999999997,418476
2022-04-26,EIHOTEL,152.1,161.7,151.5,157.5,217452,0.1945,1118211
2022-04-27,EIHOTEL,156.0,158.7,154.85,155.95,123540,0.40409999999999996,305739
2022-04-28,EIHOTEL,156.75,163.8,156.7,161.6,251898,0.2909,865872
2022-04-29,EIHOTEL,162.7,165.7,158.9,160.4,214650,0.32770000000000005,655005
