Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ELECTHERM,126.0,126.75,124.05,126.5,3836,0.639,6003
2021-09-02,ELECTHERM,127.05,128.7,125.4,126.8,3934,0.4718,8338
2021-09-03,ELECTHERM,126.4,128.75,126.0,126.2,7821,0.7904000000000001,9895
2021-09-06,ELECTHERM,132.0,138.8,127.0,127.7,95444,0.4756,200683
2021-09-07,ELECTHERM,129.0,129.0,125.05,126.35,8087,0.5711,14160
2021-09-08,ELECTHERM,126.55,127.35,124.1,126.4,12393,0.7333,16901
2021-09-09,ELECTHERM,127.9,133.4,126.05,127.15,7543,0.35810000000000003,21065
2021-09-13,ELECTHERM,128.8,130.0,124.95,129.0,10207,0.4816,21196
2021-09-14,ELECTHERM,129.0,130.45,126.1,128.25,7284,0.5663,12863
2021-09-15,ELECTHERM,132.9,136.3,128.95,131.8,27647,0.4193,65936
2021-09-16,ELECTHERM,133.6,133.6,127.0,128.8,28306,0.4872,58096
2021-09-17,ELECTHERM,128.1,130.15,126.0,126.75,13056,0.5395000000000001,24202
2021-09-20,ELECTHERM,128.0,128.0,122.3,124.45,11749,0.8115000000000001,14479
2021-09-21,ELECTHERM,126.15,127.25,123.0,124.35,20969,0.7145999999999999,29343
2021-09-22,ELECTHERM,126.0,126.0,122.5,122.95,9262,0.6927,13371
2021-09-23,ELECTHERM,126.0,126.0,118.0,119.05,90606,0.6637000000000001,136513
2021-09-24,ELECTHERM,121.4,121.5,116.6,117.95,18633,0.45439999999999997,41005
2021-09-27,ELECTHERM,120.3,120.3,116.2,117.15,12785,0.6940000000000001,18421
2021-09-28,ELECTHERM,119.0,119.05,117.05,117.75,4203,0.644,6526
2021-09-29,ELECTHERM,117.45,118.7,116.15,117.65,9627,0.6579,14634
2021-09-30,ELECTHERM,118.9,119.35,117.1,118.4,8914,0.49840000000000007,17887
2021-10-01,ELECTHERM,119.5,119.5,117.3,119.1,7887,0.7632,10334
2021-10-04,ELECTHERM,119.6,122.8,117.4,121.85,11641,0.7117,16356
2021-10-05,ELECTHERM,124.5,134.0,123.8,133.6,100797,0.5522,182526
2021-10-06,ELECTHERM,135.95,146.55,127.7,130.0,128781,0.5243,245646
2021-10-07,ELECTHERM,133.5,144.9,131.05,143.05,65487,0.4683,139837
2021-10-08,ELECTHERM,143.05,143.05,138.25,140.6,19656,0.4779,41129
2021-10-11,ELECTHERM,140.6,148.0,140.0,142.3,63754,0.42,151800
2021-10-12,ELECTHERM,143.0,147.0,136.6,142.5,54635,0.5018,108877
2021-10-13,ELECTHERM,144.85,145.0,138.55,139.6,17138,0.5726,29930
2021-10-14,ELECTHERM,142.95,145.35,140.0,141.7,30402,0.4865,62496
2021-10-18,ELECTHERM,147.0,152.0,132.7,134.6,99948,0.5529000000000001,180765
2021-10-19,ELECTHERM,134.8,136.8,132.1,132.55,16490,0.5795,28458
2021-10-20,ELECTHERM,132.55,134.0,129.0,129.9,13932,0.547,25472
2021-10-21,ELECTHERM,130.25,132.7,126.6,129.15,6403,0.37229999999999996,17198
2021-10-22,ELECTHERM,132.0,132.7,124.35,125.65,17365,0.5707,30429
2021-10-25,ELECTHERM,129.9,129.9,120.2,122.2,7006,0.33549999999999996,20883
2021-10-26,ELECTHERM,126.0,129.0,122.2,125.05,11273,0.5466,20623
2021-10-27,ELECTHERM,128.95,128.95,125.0,125.0,24083,0.8216,29312
2021-10-28,ELECTHERM,128.6,128.65,117.65,120.05,22376,0.8014,27922
2021-10-29,ELECTHERM,124.0,124.0,117.55,120.8,9498,0.6209,15298
2021-11-01,ELECTHERM,120.9,123.4,120.5,122.3,9298,0.7172,12965
2021-11-02,ELECTHERM,123.85,125.9,117.2,121.2,17459,0.469,37225
2021-11-03,ELECTHERM,122.0,124.3,119.3,121.7,10028,0.5838,17178
2021-11-04,ELECTHERM,123.9,125.5,122.15,124.0,4377,0.7182,6094
2021-11-08,ELECTHERM,127.5,128.7,124.45,126.55,12255,0.6095,20107
2021-11-09,ELECTHERM,127.7,127.7,125.75,127.05,8920,0.6886,12953
2021-11-10,ELECTHERM,127.2,129.45,125.05,126.45,9032,0.6717000000000001,13447
2021-11-11,ELECTHERM,126.85,126.85,123.35,123.95,8437,0.7069,11936
