Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,EMAMIREAL,63.45,68.0,63.45,68.0,66112,0.6983,94676
2021-09-02,EMAMIREAL,70.0,71.4,68.4,71.4,66532,0.7256999999999999,91684
2021-09-03,EMAMIREAL,74.95,74.95,72.0,74.95,112484,0.5327000000000001,211165
2021-09-06,EMAMIREAL,76.0,76.8,73.5,74.35,109813,0.7819,140436
2021-09-07,EMAMIREAL,74.35,74.65,71.9,72.05,63558,0.7872,80742
2021-09-08,EMAMIREAL,71.75,72.3,70.0,71.0,18545,0.5032,36857
2021-09-09,EMAMIREAL,71.0,71.0,69.05,69.8,14022,0.6278,22336
2021-09-13,EMAMIREAL,68.45,70.35,67.25,67.6,68785,0.7401000000000001,92940
2021-09-14,EMAMIREAL,67.55,70.95,65.55,69.15,76970,0.5499,139979
2021-09-15,EMAMIREAL,70.55,71.0,70.1,70.6,52999,0.6638,79840
2021-09-16,EMAMIREAL,70.6,72.05,69.55,71.0,31096,0.6265,49632
2021-09-17,EMAMIREAL,73.85,74.0,71.05,71.5,52066,0.5635,92405
2021-09-20,EMAMIREAL,72.0,72.0,69.9,70.3,26750,0.6358,42070
2021-09-21,EMAMIREAL,70.8,70.8,69.0,69.6,13559,0.5318,25497
2021-09-22,EMAMIREAL,69.55,73.05,69.5,73.0,77664,0.4844,160315
2021-09-23,EMAMIREAL,73.45,75.85,71.85,75.0,104605,0.4685,223282
2021-09-24,EMAMIREAL,76.3,78.5,75.0,78.1,188724,0.6017,313657
2021-09-27,EMAMIREAL,79.0,80.45,76.45,77.95,84128,0.5897,142662
2021-09-28,EMAMIREAL,77.25,79.5,74.1,74.1,79571,0.738,107816
2021-09-29,EMAMIREAL,75.0,75.0,71.9,72.35,48474,0.6862,70643
2021-09-30,EMAMIREAL,72.0,75.55,71.05,73.0,39763,0.5618,70781
2021-10-01,EMAMIREAL,72.0,73.85,71.35,72.3,26053,0.6228,41835
2021-10-04,EMAMIREAL,73.15,73.15,70.1,72.05,60098,0.5682,105768
2021-10-05,EMAMIREAL,72.0,72.85,71.05,71.75,26701,0.7208,37044
2021-10-06,EMAMIREAL,72.0,72.75,71.0,71.05,26118,0.7164,36458
2021-10-07,EMAMIREAL,72.0,74.5,71.65,73.0,43824,0.4988,87865
2021-10-08,EMAMIREAL,73.1,74.05,70.85,71.45,37678,0.6365999999999999,59183
2021-10-11,EMAMIREAL,71.45,72.55,71.0,71.7,48226,0.6758,71365
2021-10-12,EMAMIREAL,72.4,72.5,70.25,70.7,38941,0.7173999999999999,54282
2021-10-13,EMAMIREAL,71.35,71.4,69.3,69.55,54387,0.7221,75318
2021-10-14,EMAMIREAL,68.6,70.95,68.6,69.9,31854,0.5833,54608
2021-10-18,EMAMIREAL,70.7,70.75,67.25,68.05,53106,0.5533,95983
