Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,EMMBI,103.5,103.5,97.25,100.0,22114,0.5462,40484
2021-09-02,EMMBI,101.3,108.95,100.25,106.7,52810,0.41490000000000005,127277
2021-09-03,EMMBI,107.5,109.9,105.15,106.5,37682,0.6177,61001
2021-09-06,EMMBI,106.8,106.8,102.25,102.7,34963,0.5992000000000001,58350
2021-09-07,EMMBI,103.95,103.95,100.35,100.85,18503,0.5063000000000001,36545
2021-09-08,EMMBI,101.0,104.45,100.15,103.15,19529,0.4302,45399
2021-09-09,EMMBI,103.3,103.9,102.0,102.55,7961,0.6168,12907
2021-09-13,EMMBI,103.2,105.1,100.0,101.75,21932,0.48729999999999996,45010
2021-09-14,EMMBI,101.9,106.15,101.8,103.65,34011,0.6167,55148
2021-09-15,EMMBI,105.5,105.5,102.05,103.5,19096,0.6565000000000001,29088
2021-09-16,EMMBI,103.6,104.5,101.1,102.0,18102,0.6426999999999999,28166
2021-09-17,EMMBI,103.95,112.25,101.05,109.55,133727,0.3486,383625
2021-09-20,EMMBI,108.95,108.95,103.25,104.4,43702,0.5962,73303
2021-09-21,EMMBI,103.05,108.15,101.95,106.85,32653,0.5942000000000001,54952
2021-09-22,EMMBI,106.6,109.1,104.15,105.75,24610,0.5535,44466
2021-09-23,EMMBI,107.95,109.05,106.0,107.4,39955,0.6567000000000001,60839
2021-09-24,EMMBI,109.0,109.0,105.1,106.35,19435,0.6146,31620
2021-09-27,EMMBI,107.0,107.95,103.45,104.2,19479,0.6278,31025
2021-09-28,EMMBI,103.0,107.7,103.0,106.75,17043,0.6365,26776
2021-09-29,EMMBI,105.0,111.0,104.3,107.1,29940,0.5897,50774
2021-09-30,EMMBI,106.95,109.7,106.95,108.35,24907,0.711,35029
2021-10-01,EMMBI,105.35,108.75,105.05,107.9,26462,0.6315999999999999,41894
2021-10-04,EMMBI,107.6,110.75,105.75,106.65,36115,0.6345000000000001,56915
2021-10-05,EMMBI,105.25,111.4,105.25,108.55,37839,0.522,72487
2021-10-06,EMMBI,109.0,112.1,105.8,106.75,19013,0.5590999999999999,34007
2021-10-07,EMMBI,108.15,109.95,106.2,106.6,23450,0.4922,47640
2021-10-08,EMMBI,109.1,109.1,104.25,105.9,26006,0.6838,38034
2021-10-11,EMMBI,106.0,108.0,104.4,104.95,22430,0.6658,33691
2021-10-12,EMMBI,107.0,107.0,104.65,104.95,17773,0.7505,23681
2021-10-13,EMMBI,106.2,108.85,105.15,107.5,53170,0.5158,103090
2021-10-14,EMMBI,108.95,112.9,107.0,108.05,97078,0.505,192222
2021-10-18,EMMBI,109.5,110.85,106.65,107.15,25795,0.6021,42842
2021-10-19,EMMBI,107.15,107.9,104.0,104.45,21558,0.6817000000000001,31625
2021-10-20,EMMBI,106.35,106.35,101.0,101.65,26692,0.5347,49915
2021-10-21,EMMBI,103.85,103.85,98.4,101.2,24340,0.5277000000000001,46129
2021-10-22,EMMBI,103.9,103.9,100.1,101.4,19516,0.5841,33411
2021-10-25,EMMBI,101.4,103.3,98.4,99.35,19005,0.6729999999999999,28241
2021-10-26,EMMBI,103.0,103.1,99.0,102.55,17852,0.6676000000000001,26742
2021-10-27,EMMBI,104.4,104.4,100.55,103.05,28707,0.7646,37545
2021-10-28,EMMBI,101.3,105.6,101.3,104.25,54274,0.8109999999999999,66921
2021-10-29,EMMBI,104.25,105.85,102.45,103.1,14374,0.6502,22108
2021-11-01,EMMBI,105.5,106.5,102.05,104.0,9651,0.6151,15691
2021-11-02,EMMBI,104.9,106.85,103.15,104.8,34513,0.7406,46600
2021-11-03,EMMBI,107.0,107.8,101.35,101.9,39519,0.494,79994
2021-11-04,EMMBI,106.9,106.9,103.95,104.5,8452,0.7295999999999999,11585
2021-11-08,EMMBI,105.9,105.9,101.6,104.15,23051,0.6731999999999999,34240
2021-11-09,EMMBI,103.5,107.2,102.25,104.0,36910,0.6845,53923
2021-11-10,EMMBI,104.0,106.1,102.65,103.25,8692,0.645,13476
2021-11-11,EMMBI,103.3,107.0,102.35,103.65,22475,0.6315,35590
2021-11-12,EMMBI,103.05,106.9,102.5,103.75,40503,0.723,56017
2021-11-15,EMMBI,103.15,103.65,101.7,102.25,21837,0.7069,30891
2021-11-16,EMMBI,101.9,104.5,101.9,102.85,12775,0.578,22102
2021-11-17,EMMBI,101.0,104.0,101.0,102.2,11682,0.8354,13983
2021-11-18,EMMBI,101.6,103.0,100.25,100.7,24216,0.6592,36736
2021-11-22,EMMBI,100.3,102.0,96.05,97.55,24150,0.6664,36238
2021-11-23,EMMBI,97.4,99.9,96.85,98.75,8201,0.6237,13148
2021-11-24,EMMBI,100.0,100.75,97.9,98.75,26667,0.6778000000000001,39346
2021-11-25,EMMBI,98.1,100.55,98.1,99.7,21731,0.6783,32037
2021-11-26,EMMBI,103.0,103.0,97.0,97.6,12814,0.7145999999999999,17931
2021-11-29,EMMBI,96.2,100.9,92.1,94.95,13222,0.5412,24432
2021-11-30,EMMBI,97.2,97.2,91.65,92.8,12835,0.6319,20311
2021-12-01,EMMBI,91.5,95.1,91.5,93.45,6324,0.4498,14061
2021-12-02,EMMBI,93.65,106.65,93.55,101.35,83132,0.3419,243123
2021-12-03,EMMBI,102.75,103.95,100.0,100.45,15690,0.5417000000000001,28963
2021-12-06,EMMBI,103.8,110.0,102.6,103.25,73078,0.38310000000000005,190750
2021-12-07,EMMBI,105.95,107.65,102.15,104.9,16791,0.6124,27419
2021-12-08,EMMBI,105.0,107.05,105.0,105.95,19165,0.6399,29951
2021-12-09,EMMBI,106.8,109.0,105.35,106.0,41186,0.6553,62848
2021-12-10,EMMBI,106.9,110.45,105.5,107.2,68871,0.6467,106502
2021-12-13,EMMBI,108.8,113.3,106.25,107.65,36344,0.3533,102877
2021-12-14,EMMBI,109.0,109.9,106.25,107.15,17793,0.4858,36623
2021-12-15,EMMBI,107.6,108.7,105.8,106.35,16577,0.6866,24142
2021-12-16,EMMBI,108.0,109.2,104.0,104.75,18580,0.6314000000000001,29426
2021-12-17,EMMBI,105.9,106.15,99.95,100.9,23076,0.5945,38818
2021-12-20,EMMBI,104.4,104.5,98.25,99.0,16023,0.7319,21891
2021-12-21,EMMBI,101.5,102.85,100.0,100.25,6345,0.7414000000000001,8558
2021-12-22,EMMBI,101.7,102.7,99.35,100.65,9950,0.5337,18642
2021-12-23,EMMBI,101.8,103.5,100.55,101.8,9100,0.4968,18318
2021-12-24,EMMBI,102.9,102.9,99.05,100.1,8517,0.6026,14134
2021-12-27,EMMBI,101.0,102.75,97.9,100.05,12016,0.5479,21930
2021-12-28,EMMBI,101.5,104.2,99.5,102.9,16205,0.5986,27071
2021-12-29,EMMBI,103.1,104.45,101.55,102.65,4387,0.488,8990
2021-12-30,EMMBI,102.5,104.3,100.35,101.95,7177,0.5125,14003
2021-12-31,EMMBI,102.6,104.4,100.65,102.9,14272,0.6163000000000001,23158
2022-01-03,EMMBI,101.05,107.9,101.05,105.95,52655,0.6055,86959
2022-01-04,EMMBI,107.9,109.0,104.55,105.45,16950,0.6011,28196
2022-01-05,EMMBI,107.0,108.95,104.0,104.6,30721,0.5482,56037
2022-01-06,EMMBI,104.6,105.15,103.0,104.05,17853,0.6638,26897
2022-01-07,EMMBI,105.5,108.0,103.0,103.8,30957,0.4019,77019
2022-01-10,EMMBI,105.15,106.15,104.15,104.65,18938,0.6881999999999999,27518
2022-01-11,EMMBI,104.1,111.0,104.1,106.2,69327,0.45920000000000005,150974
2022-01-12,EMMBI,106.75,115.65,104.95,111.85,166143,0.43820000000000003,379155
2022-01-13,EMMBI,112.7,131.85,112.7,116.15,184034,0.4825,381429
2022-01-14,EMMBI,115.65,117.0,112.2,114.05,54470,0.5992000000000001,90901
2022-01-17,EMMBI,114.25,118.35,113.0,113.55,42794,0.4229,101192
2022-01-18,EMMBI,113.5,115.35,105.75,106.55,76666,0.6165999999999999,124339
2022-01-19,EMMBI,107.35,112.95,106.0,111.75,50165,0.401,125089
2022-01-20,EMMBI,112.65,115.95,111.0,112.15,53128,0.5458,97333
2022-01-21,EMMBI,112.05,115.0,108.5,109.75,40215,0.4748,84703
2022-01-24,EMMBI,108.0,113.9,101.45,103.15,14290,0.5729,269273
2022-01-25,EMMBI,102.5,107.0,100.5,104.9,15968,0.5113000000000001,31230
2022-01-27,EMMBI,104.9,108.45,102.35,104.3,26121,0.34020000000000006,76777
