Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ENIL,188.65,198.65,186.05,197.3,33031,0.6307,52376
2021-09-02,ENIL,194.4,202.6,194.4,198.6,15189,0.4265,35613
2021-09-03,ENIL,196.65,210.5,195.5,202.35,45445,0.5729,79327
2021-09-06,ENIL,202.35,203.95,196.45,197.95,20056,0.4344,46165
2021-09-07,ENIL,198.25,217.4,198.15,214.45,109525,0.32780000000000004,334083
2021-09-08,ENIL,214.4,221.95,207.55,217.0,97671,0.51,191514
2021-09-09,ENIL,218.75,218.75,206.55,208.0,19794,0.4925,40188
2021-09-13,ENIL,208.9,211.85,205.1,210.05,55449,0.6835,81127
2021-09-14,ENIL,211.75,211.8,205.5,206.3,39966,0.6395000000000001,62499
2021-09-15,ENIL,207.95,212.0,205.0,208.1,13221,0.4657,28390
2021-09-16,ENIL,208.5,211.1,202.55,204.15,24247,0.5662,42827
2021-09-17,ENIL,205.7,206.45,196.05,197.55,36727,0.6548999999999999,56084
2021-09-20,ENIL,192.55,196.7,185.85,189.45,22137,0.5681,38966
2021-09-21,ENIL,190.9,190.9,183.1,187.2,32883,0.6305,52151
2021-09-22,ENIL,190.0,200.0,187.4,190.5,78882,0.5399,146094
2021-09-23,ENIL,193.0,195.0,189.0,189.9,27035,0.6252000000000001,43243
2021-09-24,ENIL,190.4,193.5,185.05,186.7,20357,0.6646,30632
2021-09-27,ENIL,190.0,191.75,183.5,188.95,23835,0.5196000000000001,45876
2021-09-28,ENIL,190.0,191.95,183.3,184.2,34878,0.6707,52005
2021-09-29,ENIL,185.0,186.8,179.15,184.1,36746,0.542,67799
2021-09-30,ENIL,187.5,187.5,181.4,183.55,11791,0.6104999999999999,19313
2021-10-01,ENIL,186.5,186.5,180.0,183.0,26743,0.5341,50072
2021-10-04,ENIL,186.65,193.4,183.15,191.5,62338,0.6313000000000001,98741
2021-10-05,ENIL,193.85,193.85,188.95,191.8,17977,0.7051000000000001,25496
2021-10-06,ENIL,191.8,193.55,186.5,187.45,22036,0.6793000000000001,32439
2021-10-07,ENIL,188.0,192.05,187.7,189.85,13476,0.7844,17179
2021-10-08,ENIL,191.75,196.0,189.85,190.7,28408,0.6770999999999999,41958
2021-10-11,ENIL,190.85,193.45,188.55,190.4,8251,0.6077,13577
2021-10-12,ENIL,192.8,193.85,185.2,185.85,40064,0.7495,53454
2021-10-13,ENIL,188.5,188.5,184.0,185.35,29399,0.6324000000000001,46488
2021-10-14,ENIL,187.0,187.8,185.15,186.4,16181,0.4307,37572
2021-10-18,ENIL,185.05,191.45,185.05,187.2,30318,0.5996,50565
2021-10-19,ENIL,187.75,190.35,185.0,186.2,26845,0.48810000000000003,54998
2021-10-20,ENIL,184.45,187.9,181.05,184.0,7844,0.6083,12896
2021-10-21,ENIL,183.0,186.75,182.1,183.35,14740,0.6663,22123
2021-10-22,ENIL,185.85,187.5,181.0,183.65,28540,0.6025,47370
2021-10-25,ENIL,186.95,186.95,178.0,178.7,14065,0.7152,19666
2021-10-26,ENIL,178.7,195.85,178.0,194.3,67235,0.6244,107687
