Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ERIS,727.3,734.65,722.0,726.05,11597,0.385,30120
2021-09-02,ERIS,727.3,765.0,724.05,757.1,80300,0.45520000000000005,176402
2021-09-03,ERIS,768.0,768.0,743.6,765.45,39554,0.4439,89108
2021-09-06,ERIS,770.0,770.0,747.0,762.45,38254,0.37420000000000003,102217
2021-09-07,ERIS,755.5,782.0,749.45,774.1,65815,0.45909999999999995,143359
2021-09-08,ERIS,765.0,775.95,763.05,770.1,18836,0.4004,47046
2021-09-09,ERIS,763.15,771.95,762.05,767.25,22920,0.4483,51130
2021-09-13,ERIS,756.0,768.9,754.65,760.5,18869,0.5123,36832
2021-09-14,ERIS,764.35,769.05,755.0,761.25,20581,0.3847,53493
2021-09-15,ERIS,764.95,764.95,752.35,756.15,14032,0.4919,28524
2021-09-16,ERIS,758.05,786.95,750.0,780.5,60509,0.2901,208590
2021-09-17,ERIS,786.0,796.95,755.1,766.75,77782,0.3887,200130
2021-09-20,ERIS,761.9,776.55,745.0,757.05,35469,0.3788,93634
2021-09-21,ERIS,750.05,776.95,746.0,757.55,25278,0.30760000000000004,82185
2021-09-22,ERIS,760.0,766.9,745.0,750.25,22262,0.43979999999999997,50623
2021-09-23,ERIS,755.8,759.0,745.0,746.35,13703,0.4886,28047
2021-09-24,ERIS,754.85,754.85,735.0,737.05,15772,0.5155,30598
2021-09-27,ERIS,736.0,753.5,729.05,748.3,33384,0.42310000000000003,78896
2021-09-28,ERIS,745.0,751.0,733.3,741.75,10001,0.3264,30639
2021-09-29,ERIS,733.0,752.15,733.0,748.95,14701,0.43170000000000003,34053
2021-09-30,ERIS,754.0,764.95,746.35,760.55,21597,0.46549999999999997,46393
2021-10-01,ERIS,761.95,775.0,745.55,767.85,34036,0.44430000000000003,76610
2021-10-04,ERIS,773.65,775.0,737.95,749.65,33933,0.41350000000000003,82058
2021-10-05,ERIS,748.8,756.4,746.65,749.95,11179,0.3744,29855
2021-10-06,ERIS,753.9,759.8,744.0,745.6,9033,0.39490000000000003,22877
2021-10-07,ERIS,747.0,768.0,743.1,762.9,31164,0.5046,61761
2021-10-08,ERIS,766.0,794.9,762.1,785.1,56417,0.2457,229657
2021-10-11,ERIS,800.0,825.0,779.5,790.05,71432,0.34509999999999996,206979
2021-10-12,ERIS,797.0,810.0,762.5,794.3,57454,0.44810000000000005,128223
2021-10-13,ERIS,794.8,802.1,771.0,797.5,49814,0.4611,108044
2021-10-14,ERIS,799.95,824.55,775.0,818.4,98331,0.4437,221623
2021-10-18,ERIS,818.4,849.9,818.4,836.45,123058,0.36100000000000004,340905
2021-10-19,ERIS,843.0,863.0,814.7,823.45,57611,0.34090000000000004,168993
2021-10-20,ERIS,823.0,823.0,792.35,811.85,29666,0.4521,65615
2021-10-21,ERIS,815.95,836.0,804.35,810.4,60759,0.6173,98433
2021-10-22,ERIS,806.25,818.5,805.3,811.0,12270,0.4877,25161
2021-10-25,ERIS,815.0,815.0,792.35,810.4,65711,0.7404999999999999,88736
2021-10-26,ERIS,810.0,819.75,805.0,810.0,27350,0.5567000000000001,49129
2021-10-27,ERIS,814.0,824.85,805.05,815.0,25722,0.40880000000000005,62925
2021-10-28,ERIS,819.0,819.0,772.35,783.9,324185,0.8238,393519
2021-10-29,ERIS,787.9,835.0,758.6,821.0,41922,0.3245,129184
2021-11-01,ERIS,814.0,834.9,805.1,813.25,21670,0.4194,51667
