Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ESABINDIA,2226.0,2239.35,2112.0,2155.4,6558,0.3677,17837
2021-09-02,ESABINDIA,2146.0,2190.0,2130.05,2137.0,2971,0.5092,5835
2021-09-03,ESABINDIA,2140.0,2175.35,2101.25,2116.1,4189,0.4949,8464
2021-09-06,ESABINDIA,2116.1,2174.75,2083.35,2142.65,7180,0.4475,16046
2021-09-07,ESABINDIA,2194.95,2246.85,2150.1,2163.1,8099,0.2618,30937
2021-09-08,ESABINDIA,2173.95,2183.75,2112.4,2128.25,2255,0.4324,5215
2021-09-09,ESABINDIA,2130.0,2223.95,2120.0,2184.65,5165,0.4483,11521
2021-09-13,ESABINDIA,2208.9,2255.0,2185.1,2234.75,8395,0.4507,18625
2021-09-14,ESABINDIA,2275.0,2285.25,2194.05,2231.15,379012,0.9279000000000001,408465
2021-09-15,ESABINDIA,2250.0,2319.95,2236.0,2244.3,37533,0.6325000000000001,59339
2021-09-16,ESABINDIA,2276.95,2287.0,2215.6,2246.2,23579,0.7365,32014
2021-09-17,ESABINDIA,2250.0,2294.95,2160.0,2269.8,14967,0.4722,31693
2021-09-20,ESABINDIA,2273.3,2273.3,2175.1,2188.65,23816,0.8307,28669
2021-09-21,ESABINDIA,2202.0,2280.0,2125.0,2264.2,32186,0.6813,47243
2021-09-22,ESABINDIA,2282.0,2282.0,2210.0,2216.5,2247,0.5129,4381
2021-09-23,ESABINDIA,2244.0,2259.0,2201.0,2205.4,2038,0.4581,4449
2021-09-24,ESABINDIA,2215.0,2249.0,2170.0,2176.75,1944,0.5246999999999999,3705
2021-09-27,ESABINDIA,2187.65,2229.45,2140.0,2148.85,2629,0.5708,4606
2021-09-28,ESABINDIA,2174.0,2247.95,2106.4,2197.3,6001,0.36710000000000004,16349
2021-09-29,ESABINDIA,2211.0,2220.0,2176.7,2197.55,1405,0.5475,2566
2021-09-30,ESABINDIA,2197.55,2222.0,2176.0,2196.45,824,0.5189,1588
2021-10-01,ESABINDIA,2169.3,2205.85,2160.15,2183.95,686,0.44060000000000005,1557
2021-10-04,ESABINDIA,2156.0,2268.0,2156.0,2254.05,11947,0.7685,15546
2021-10-05,ESABINDIA,2240.05,2322.0,2237.5,2247.3,2577,0.3944,6534
2021-10-06,ESABINDIA,2247.3,2273.7,2214.15,2261.45,2940,0.5924,4963
2021-10-07,ESABINDIA,2260.0,2340.0,2225.1,2233.3,1884,0.3382,5570
2021-10-08,ESABINDIA,2240.0,2256.65,2201.0,2212.75,1558,0.5444,2862
2021-10-11,ESABINDIA,2223.85,2264.0,2194.85,2245.1,2216,0.5922,3742
2021-10-12,ESABINDIA,2255.0,2350.0,2248.85,2346.15,17599,0.549,32059
2021-10-13,ESABINDIA,2385.0,2491.0,2342.45,2450.55,19401,0.41100000000000003,47209
2021-10-14,ESABINDIA,2481.0,2510.0,2401.95,2423.0,8919,0.4365,20434
2021-10-18,ESABINDIA,2470.0,2500.0,2432.5,2438.5,3274,0.5608,5838
2021-10-19,ESABINDIA,2445.95,2489.75,2341.45,2475.3,10079,0.5544,18180
2021-10-20,ESABINDIA,2480.05,2485.35,2357.35,2422.4,3925,0.5268,7450
2021-10-21,ESABINDIA,2434.55,2459.9,2311.65,2402.55,4077,0.49729999999999996,8198
2021-10-22,ESABINDIA,2389.25,2470.0,2380.1,2394.1,1454,0.47020000000000006,3092
2021-10-25,ESABINDIA,2400.0,2406.05,2230.0,2255.1,3880,0.5004,7754
2021-10-26,ESABINDIA,2266.4,2390.8,2266.4,2325.35,4345,0.1607,27041
2021-10-27,ESABINDIA,2337.0,2355.15,2285.15,2300.0,1363,0.5795,2352
2021-10-28,ESABINDIA,2308.9,2330.0,2255.0,2265.25,794,0.3518,2257
2021-10-29,ESABINDIA,2310.0,2618.0,2266.0,2531.7,17302,0.1386,124791
2021-11-01,ESABINDIA,2531.7,2599.4,2450.0,2467.8,4883,0.19649999999999998,24852
2021-11-02,ESABINDIA,2479.0,2534.0,2425.0,2500.2,1799,0.33170000000000005,5423
2021-11-03,ESABINDIA,2509.0,2550.2,2452.2,2476.55,3226,0.4054,7957
2021-11-04,ESABINDIA,2520.0,2524.9,2480.0,2495.55,1749,0.7798,2243
2021-11-08,ESABINDIA,2490.0,2545.0,2471.75,2535.9,3217,0.5625,5719
2021-11-09,ESABINDIA,2535.0,2840.0,2509.0,2785.1,10310,0.1356,76043
2021-11-10,ESABINDIA,2824.0,2883.25,2750.0,2809.1,7218,0.1385,52113
