Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ESSARSHPNG,10.25,10.25,9.7,9.95,35802,0.6663,53729
2021-09-02,ESSARSHPNG,10.15,10.5,9.65,10.2,45508,0.47409999999999997,95996
2021-09-03,ESSARSHPNG,10.2,10.3,9.95,10.1,31309,0.5473,57209
2021-09-06,ESSARSHPNG,10.1,10.25,10.0,10.05,30657,0.7582,40433
2021-09-07,ESSARSHPNG,10.05,10.5,9.85,10.25,38226,0.6681,57216
2021-09-08,ESSARSHPNG,10.3,10.3,10.0,10.1,39247,0.7844,50037
2021-09-09,ESSARSHPNG,10.15,10.15,9.9,9.95,82717,0.8878,93171
2021-09-13,ESSARSHPNG,10.15,10.15,9.9,10.05,104696,0.8341,125518
2021-09-14,ESSARSHPNG,10.05,10.2,9.9,10.05,39987,0.6972,57350
2021-09-15,ESSARSHPNG,10.2,11.05,9.9,10.2,216564,0.4968,435946
2021-09-16,ESSARSHPNG,10.4,11.05,10.2,10.25,205422,0.6903,297565
2021-09-17,ESSARSHPNG,10.25,10.4,9.6,9.95,203457,0.7017,289929
2021-09-20,ESSARSHPNG,9.85,10.15,9.7,9.9,86815,0.7687999999999999,112919
2021-09-21,ESSARSHPNG,10.1,10.1,9.75,9.9,32477,0.6655,48802
2021-09-22,ESSARSHPNG,9.85,10.05,9.45,9.75,130671,0.7179000000000001,182007
2021-09-23,ESSARSHPNG,9.9,10.0,9.7,9.9,69379,0.7395,93823
2021-09-24,ESSARSHPNG,9.7,10.1,9.7,9.8,51033,0.6478,78773
2021-09-27,ESSARSHPNG,10.0,10.0,9.75,9.9,39756,0.7118000000000001,55851
2021-09-28,ESSARSHPNG,10.0,10.0,9.7,9.75,40825,0.7227,56493
2021-09-29,ESSARSHPNG,9.95,9.95,9.6,9.85,49130,0.5773,85105
2021-09-30,ESSARSHPNG,10.0,10.0,9.7,9.85,48903,0.6341,77116
2021-10-01,ESSARSHPNG,9.85,10.15,9.8,10.0,51294,0.7609,67411
2021-10-04,ESSARSHPNG,10.0,10.25,9.95,10.15,121549,0.774,157047
2021-10-05,ESSARSHPNG,10.2,10.45,10.1,10.15,79884,0.736,108545
2021-10-06,ESSARSHPNG,10.25,10.3,9.9,9.95,88972,0.6492,137046
2021-10-07,ESSARSHPNG,10.15,11.3,9.95,11.1,525270,0.5492,956367
2021-10-08,ESSARSHPNG,11.3,11.9,11.05,11.65,412035,0.6245,659764
2021-10-11,ESSARSHPNG,12.1,13.95,11.65,13.05,1676806,0.5526,3034150
2021-10-12,ESSARSHPNG,13.4,13.5,11.9,12.3,414423,0.5694,727870
2021-10-13,ESSARSHPNG,12.5,12.75,11.45,11.65,356817,0.6873,519190
2021-10-14,ESSARSHPNG,11.85,11.85,11.0,11.15,351233,0.6973999999999999,503666
2021-10-18,ESSARSHPNG,11.15,11.9,10.95,11.0,260046,0.6174000000000001,421206
2021-10-19,ESSARSHPNG,11.05,11.55,10.0,10.3,323287,0.6958,464608
2021-10-20,ESSARSHPNG,10.3,10.7,9.5,10.0,284020,0.6446,440615
2021-10-21,ESSARSHPNG,10.2,10.3,9.75,9.95,122950,0.7073,173819
2021-10-22,ESSARSHPNG,10.2,10.5,9.95,10.25,80395,0.6401000000000001,125592
2021-10-25,ESSARSHPNG,10.5,10.75,9.95,10.0,57154,0.7565000000000001,75550
2021-10-26,ESSARSHPNG,10.15,10.4,9.9,10.15,51873,0.5688000000000001,91202
2021-10-27,ESSARSHPNG,10.25,10.3,9.95,10.15,35100,0.55,63814
2021-10-28,ESSARSHPNG,10.2,10.2,9.85,9.9,142666,0.8459000000000001,168664
2021-10-29,ESSARSHPNG,9.75,9.95,9.15,9.8,68412,0.5986,114285
2021-11-01,ESSARSHPNG,10.1,10.1,9.65,9.85,62912,0.7256,86709
2021-11-02,ESSARSHPNG,10.15,10.2,9.8,10.0,52844,0.5725,92308
2021-11-03,ESSARSHPNG,10.1,10.1,9.8,9.9,40412,0.5885,68674
2021-11-04,ESSARSHPNG,9.9,10.2,9.55,10.0,23216,0.6879000000000001,33748
2021-11-08,ESSARSHPNG,10.1,10.2,9.75,9.85,84446,0.7033,120076
2021-11-09,ESSARSHPNG,9.95,10.05,9.85,9.9,68652,0.8414,81589
2021-11-10,ESSARSHPNG,10.05,10.05,9.75,9.85,54294,0.7386,73512
2021-11-11,ESSARSHPNG,9.95,9.95,9.7,9.75,105749,0.8654000000000001,122195
2021-11-12,ESSARSHPNG,9.7,9.95,9.7,9.85,66477,0.7287,91231
2021-11-15,ESSARSHPNG,10.05,10.3,9.5,9.55,112468,0.7909,142195
2021-11-16,ESSARSHPNG,9.55,9.9,9.55,9.65,112912,0.7452,151511
2021-11-17,ESSARSHPNG,9.8,9.8,9.5,9.6,52996,0.7308,72519
2021-11-18,ESSARSHPNG,9.9,9.9,9.15,9.35,59384,0.6525,91004
2021-11-22,ESSARSHPNG,9.55,9.75,9.1,9.15,104074,0.7973,130533
2021-11-23,ESSARSHPNG,9.5,9.5,9.05,9.15,99103,0.6442,153836
2021-11-24,ESSARSHPNG,9.15,9.7,9.15,9.25,131664,0.5409,243419
2021-11-25,ESSARSHPNG,9.4,9.6,9.15,9.25,125260,0.6479,193329
2021-11-26,ESSARSHPNG,9.25,9.25,9.05,9.1,70997,0.8736,81274
2021-11-29,ESSARSHPNG,9.1,9.3,8.75,8.95,55989,0.7284,76868
2021-11-30,ESSARSHPNG,8.95,9.2,8.7,8.85,101430,0.7279000000000001,139343
2021-12-01,ESSARSHPNG,9.0,9.15,8.85,9.15,31473,0.7170000000000001,43895
2021-12-02,ESSARSHPNG,9.2,9.25,8.9,8.95,66128,0.7663,86295
2021-12-03,ESSARSHPNG,9.15,9.2,8.9,9.05,53993,0.4902,110154
2021-12-06,ESSARSHPNG,9.15,9.35,9.05,9.1,99471,0.7351000000000001,135320
2021-12-07,ESSARSHPNG,9.4,9.4,9.05,9.1,107931,0.8671,124475
2021-12-08,ESSARSHPNG,9.25,9.3,9.15,9.2,116056,0.7991,145242
2021-12-09,ESSARSHPNG,9.25,10.25,9.0,9.8,254933,0.557,457653
2021-12-10,ESSARSHPNG,9.95,9.95,9.6,9.7,181782,0.9247,196588
2021-12-13,ESSARSHPNG,9.9,10.5,9.6,9.65,354398,0.7569,468252
2021-12-14,ESSARSHPNG,9.7,10.15,9.7,9.8,81695,0.6622,123362
2021-12-15,ESSARSHPNG,9.55,9.95,9.55,9.7,151189,0.8123,186116
2021-12-16,ESSARSHPNG,9.9,9.9,9.5,9.7,132051,0.7193,183591
2021-12-17,ESSARSHPNG,9.85,9.85,9.15,9.35,154494,0.6607,233826
2021-12-20,ESSARSHPNG,9.35,9.35,9.0,9.15,62116,0.8111,76579
2021-12-21,ESSARSHPNG,9.35,9.4,9.15,9.15,68083,0.8093000000000001,84128
2021-12-22,ESSARSHPNG,9.45,9.45,9.15,9.2,111388,0.8761,127145
