Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ESTER,133.6,135.0,132.2,133.8,49984,0.5468999999999999,91403
2021-09-02,ESTER,134.8,136.45,133.85,135.95,41065,0.5488000000000001,74833
2021-09-03,ESTER,135.95,146.75,135.7,142.8,179496,0.364,493094
2021-09-06,ESTER,144.4,146.85,137.0,139.85,94435,0.3056,308989
2021-09-07,ESTER,140.8,141.25,136.55,137.7,71672,0.43420000000000003,165079
2021-09-08,ESTER,138.0,139.0,135.25,137.2,70934,0.3392,209112
2021-09-09,ESTER,138.0,139.4,136.15,137.25,36513,0.4736,77094
2021-09-13,ESTER,139.95,149.5,138.35,147.3,512655,0.7167,715270
2021-09-14,ESTER,149.45,156.75,148.15,152.5,323081,0.4466,723397
2021-09-15,ESTER,152.6,153.3,148.25,148.8,83135,0.4148,200406
2021-09-16,ESTER,149.65,151.3,148.0,149.85,60598,0.3472,174511
2021-09-17,ESTER,149.45,153.85,143.5,146.35,115318,0.3793,303993
2021-09-20,ESTER,145.0,147.4,142.0,142.35,104229,0.5055,206193
2021-09-21,ESTER,146.0,146.05,138.7,139.65,61513,0.4315,142561
2021-09-22,ESTER,141.0,143.5,138.1,140.75,50594,0.4278,118265
2021-09-23,ESTER,142.8,152.25,141.75,149.7,713582,0.7212000000000001,989430
2021-09-24,ESTER,150.0,155.3,148.2,152.0,226667,0.3922,577916
2021-09-27,ESTER,151.35,157.0,148.0,149.3,135081,0.4687,288181
2021-09-28,ESTER,149.55,153.5,144.6,146.95,137084,0.6748000000000001,203146
2021-09-29,ESTER,144.5,149.0,144.5,146.55,41206,0.312,132067
2021-09-30,ESTER,146.8,150.9,146.8,147.6,68950,0.48350000000000004,142618
2021-10-01,ESTER,147.6,148.9,146.0,147.5,50057,0.44439999999999996,112647
2021-10-04,ESTER,148.85,150.15,146.55,147.65,52987,0.5388000000000001,98350
2021-10-05,ESTER,147.8,152.7,147.3,149.45,79337,0.4643,170864
2021-10-06,ESTER,150.25,152.0,147.75,149.15,80266,0.5256000000000001,152706
2021-10-07,ESTER,150.35,154.5,146.0,148.65,108277,0.31870000000000004,339756
2021-10-08,ESTER,149.5,149.6,147.2,147.75,50606,0.595,85055
2021-10-11,ESTER,148.0,149.0,145.3,145.95,111433,0.5439,204885
2021-10-12,ESTER,145.05,150.65,144.1,149.5,105371,0.5554,189717
2021-10-13,ESTER,150.55,150.6,145.3,146.35,95989,0.365,262999
2021-10-14,ESTER,147.4,150.25,146.05,148.3,113296,0.4685,241852
2021-10-18,ESTER,151.0,157.3,148.95,150.1,234871,0.46299999999999997,507325
