Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,FACT,120.8,123.6,119.35,121.3,30591,0.20149999999999998,151779
2021-09-02,FACT,121.05,129.0,120.5,127.7,119412,0.1773,673343
2021-09-03,FACT,128.25,128.35,124.3,125.2,45232,0.3556,127209
2021-09-06,FACT,125.2,126.15,122.4,123.7,38819,0.5038,77051
2021-09-07,FACT,124.65,127.6,121.3,125.05,32918,0.1884,174735
2021-09-08,FACT,126.1,131.0,125.65,126.85,84977,0.2852,297946
2021-09-09,FACT,126.3,128.0,124.1,126.95,26537,0.23690000000000003,112031
2021-09-13,FACT,126.95,127.0,124.95,125.35,36397,0.2798,130059
2021-09-14,FACT,126.25,128.0,125.2,126.05,34636,0.3224,107445
2021-09-15,FACT,126.5,128.35,125.55,125.9,48778,0.45420000000000005,107394
2021-09-16,FACT,126.1,129.35,125.1,126.1,59492,0.308,193184
2021-09-17,FACT,126.4,127.1,120.75,122.8,76430,0.4485,170420
2021-09-20,FACT,121.1,125.2,119.2,120.15,51602,0.23170000000000002,222756
2021-09-21,FACT,120.3,122.0,117.3,119.8,29393,0.2095,140299
2021-09-22,FACT,119.8,124.85,119.8,122.85,42296,0.24739999999999998,170956
2021-09-23,FACT,124.9,126.85,122.15,123.65,48175,0.3171,151936
2021-09-24,FACT,124.2,138.8,123.6,132.25,523469,0.15539999999999998,3367517
2021-09-27,FACT,132.9,135.2,128.15,130.2,176824,0.19870000000000002,889916
2021-09-28,FACT,131.7,134.0,126.55,127.85,99472,0.2841,350130
2021-09-29,FACT,126.85,130.4,125.3,128.5,78817,0.2321,339606
2021-09-30,FACT,128.9,130.1,127.0,127.85,45265,0.31370000000000003,144306
2021-10-01,FACT,125.15,129.25,125.15,126.05,44109,0.2368,186309
2021-10-04,FACT,126.6,129.9,125.55,126.35,69966,0.3348,208968
2021-10-05,FACT,127.0,129.8,126.6,127.7,57520,0.2637,218108
2021-10-06,FACT,128.2,129.15,125.0,126.2,68010,0.4455,152667
2021-10-07,FACT,127.1,128.9,126.75,127.25,35081,0.2636,133086
2021-10-08,FACT,129.0,138.0,124.7,132.1,157197,0.2245,700166
2021-10-11,FACT,129.95,129.95,128.0,128.4,71029,0.49340000000000006,143953
2021-10-12,FACT,128.3,132.95,125.55,128.4,78785,0.17010000000000003,463086
2021-10-13,FACT,129.55,130.8,126.5,127.05,70531,0.40280000000000005,175083
2021-10-14,FACT,128.0,130.95,126.5,127.2,54444,0.2841,191655
2021-10-18,FACT,127.5,128.0,126.1,126.45,59924,0.5963,100495
2021-10-19,FACT,127.3,128.55,122.0,123.3,59196,0.38070000000000004,155510
2021-10-20,FACT,124.0,125.1,119.55,122.3,48437,0.3357,144269
2021-10-21,FACT,121.8,124.15,120.6,122.65,33120,0.262,126400
2021-10-22,FACT,121.3,123.5,118.05,120.6,33665,0.38200000000000006,88126
2021-10-25,FACT,121.6,121.6,117.05,117.8,26238,0.30670000000000003,85550
2021-10-26,FACT,118.5,119.9,118.1,118.6,30951,0.4057,76291
2021-10-27,FACT,119.3,119.9,118.15,119.15,18293,0.3666,49898
2021-10-28,FACT,119.8,119.8,114.95,115.95,41917,0.47350000000000003,88533
2021-10-29,FACT,115.0,116.65,111.9,115.1,25692,0.3901,65862
2021-11-01,FACT,116.6,120.0,116.1,118.8,30610,0.4004,76457
2021-11-02,FACT,119.6,128.0,119.6,122.8,58113,0.1748,332444
2021-11-03,FACT,122.0,122.05,119.05,120.0,29535,0.3945,74868
2021-11-04,FACT,120.6,121.0,119.0,120.4,11984,0.6592,18179
2021-11-08,FACT,121.3,122.85,118.2,120.2,27988,0.2897,96607
2021-11-09,FACT,120.75,122.5,119.3,121.05,25837,0.4123,62664
2021-11-10,FACT,121.6,125.15,115.6,118.9,77723,0.0864,899996
2021-11-11,FACT,120.7,120.8,117.0,117.9,29303,0.4208,69632
2021-11-12,FACT,118.85,119.65,117.3,118.05,29863,0.43979999999999997,67909
2021-11-15,FACT,118.95,118.95,116.0,117.0,15718,0.4181,37591
2021-11-16,FACT,116.0,118.5,116.0,117.1,22767,0.2756,82603
2021-11-17,FACT,118.0,118.2,116.0,116.6,15752,0.42840000000000006,36773
2021-11-18,FACT,116.6,120.45,112.2,114.15,45711,0.4243,107726
2021-11-22,FACT,115.8,115.8,108.5,109.0,36042,0.43840000000000007,82217
2021-11-23,FACT,110.0,114.0,109.0,113.15,21030,0.3008,69921
2021-11-24,FACT,113.15,116.0,113.15,113.55,13677,0.378,36179
2021-11-25,FACT,114.5,117.0,113.2,115.35,19407,0.29910000000000003,64883
2021-11-26,FACT,115.7,115.7,110.3,111.5,27189,0.5756,47233
2021-11-29,FACT,108.0,111.0,102.25,106.4,44534,0.4918,90551
2021-11-30,FACT,109.5,117.0,107.1,109.9,62025,0.1636,379227
2021-12-01,FACT,114.0,117.0,112.5,113.8,49358,0.2389,206598
2021-12-02,FACT,114.9,114.9,111.75,113.15,27457,0.5413,50720
2021-12-03,FACT,113.7,116.45,112.25,113.8,42184,0.38780000000000003,108770
2021-12-06,FACT,110.85,115.05,110.5,110.9,25672,0.3763,68217
2021-12-07,FACT,111.1,113.1,111.0,111.5,21982,0.3665,59977
2021-12-08,FACT,113.25,117.75,112.8,114.15,56499,0.2227,253723
2021-12-09,FACT,114.7,115.4,113.4,113.65,30555,0.4355,70164
2021-12-10,FACT,113.9,116.45,112.35,115.0,24853,0.2684,92588
2021-12-13,FACT,115.15,119.7,115.15,117.9,71422,0.4202,169972
2021-12-14,FACT,117.9,118.75,116.05,117.4,18072,0.22160000000000002,81551
2021-12-15,FACT,116.55,120.85,116.45,117.95,72077,0.2541,283636
2021-12-16,FACT,119.0,122.8,116.5,118.3,86339,0.1752,492664
2021-12-17,FACT,118.8,121.5,114.0,114.95,80180,0.2581,310657
2021-12-20,FACT,113.95,113.95,107.1,107.55,47072,0.3498,134553
2021-12-21,FACT,107.9,111.7,107.9,110.0,25096,0.2396,104720
2021-12-22,FACT,110.8,112.85,110.65,112.0,7947,0.29760000000000003,26703
2021-12-23,FACT,112.25,120.4,111.9,118.1,88301,0.4447,198563
2021-12-24,FACT,120.0,121.8,115.35,116.15,63572,0.1637,388341
2021-12-27,FACT,116.15,116.2,114.2,115.15,14972,0.2434,61518
2021-12-28,FACT,115.75,121.9,115.45,120.8,89161,0.42600000000000005,209283
2021-12-29,FACT,119.85,124.1,119.1,122.75,83301,0.363,229453
2021-12-30,FACT,123.6,139.8,121.55,134.05,647564,0.1518,4266199
2021-12-31,FACT,133.0,136.4,130.35,131.85,149317,0.23149999999999998,645031
2022-01-03,FACT,132.8,133.55,129.95,130.7,100220,0.27190000000000003,368612
2022-01-04,FACT,131.35,142.85,127.55,136.5,363591,0.1529,2377337
2022-01-05,FACT,136.3,142.65,133.85,135.1,168753,0.22,766970
2022-01-06,FACT,132.8,138.6,131.7,135.45,78634,0.21670000000000003,362935
2022-01-07,FACT,136.4,136.5,130.55,132.15,87050,0.3602,241695
2022-01-10,FACT,132.3,138.75,132.3,135.95,101577,0.2671,380346
2022-01-11,FACT,136.0,138.4,133.65,134.1,82210,0.287,286425
2022-01-12,FACT,134.9,137.7,132.9,134.05,80352,0.2298,349613
2022-01-13,FACT,134.9,138.0,133.1,134.85,100538,0.25129999999999997,400064
2022-01-14,FACT,135.9,143.0,134.6,141.3,333711,0.2889,1155187
2022-01-17,FACT,141.3,150.0,141.0,146.55,526429,0.244,2157679
2022-01-18,FACT,147.4,159.9,142.5,147.4,813261,0.1446,5624731
2022-01-19,FACT,148.25,153.95,146.0,151.8,266880,0.1602,1665505
2022-01-20,FACT,152.45,153.8,148.5,150.05,172144,0.32130000000000003,535702
2022-01-21,FACT,149.35,149.8,141.0,142.9,174796,0.35350000000000004,494407
2022-01-24,FACT,142.85,143.35,129.45,130.6,217395,0.1811,546400
2022-01-25,FACT,128.0,144.65,123.35,142.2,179756,0.1297,1386467
2022-01-27,FACT,140.5,148.8,138.25,144.3,142921,0.1613,885875
2022-01-28,FACT,145.7,148.95,140.8,141.65,111819,0.228,490428
2022-01-31,FACT,143.1,146.3,140.25,141.65,93694,0.2068,453168
2022-02-01,FACT,143.3,144.6,134.7,138.15,168311,0.2236,752776
2022-02-02,FACT,139.0,139.0,135.5,136.7,95106,0.33299999999999996,285574
2022-02-03,FACT,137.65,140.8,136.5,137.8,86384,0.2245,384869
2022-02-04,FACT,140.0,141.15,129.5,134.25,94222,0.08810000000000001,1069845
2022-02-07,FACT,136.0,136.55,130.2,131.55,69505,0.2552,272346
2022-02-08,FACT,131.75,133.2,127.3,131.4,62635,0.11109999999999999,563942
2022-02-09,FACT,131.4,132.9,129.0,131.15,45483,0.21480000000000002,211791
2022-02-10,FACT,131.4,132.0,129.0,129.95,53717,0.2998,179158
2022-02-11,FACT,127.2,131.85,126.6,127.35,56519,0.2,282545
2022-02-14,FACT,126.5,126.5,113.85,116.2,100410,0.326,307983
2022-02-15,FACT,117.0,121.55,117.0,119.7,56400,0.152,371161
2022-02-16,FACT,123.15,123.5,120.2,121.9,60537,0.3369,179685
2022-02-17,FACT,123.0,123.0,118.95,119.65,32195,0.32020000000000004,100532
2022-02-18,FACT,119.2,121.5,119.2,119.75,21788,0.1959,111238
2022-02-21,FACT,120.0,120.0,113.6,114.4,42367,0.2839,149215
2022-02-22,FACT,114.4,115.45,107.65,112.25,75300,0.36979999999999996,203607
2022-02-23,FACT,113.05,117.3,112.3,113.3,43831,0.1852,236626
2022-02-24,FACT,108.0,111.0,97.55,99.9,118379,0.33140000000000003,357208
2022-02-25,FACT,103.9,119.85,103.7,115.3,106242,0.0784,1354399
2022-02-28,FACT,114.9,114.95,110.25,112.85,51968,0.19090000000000001,272214
2022-03-02,FACT,112.85,116.8,112.1,114.25,60483,0.23440000000000003,258031
2022-03-03,FACT,116.65,116.85,113.1,114.05,38209,0.3191,119739
2022-03-04,FACT,111.0,113.9,110.95,111.85,29655,0.2552,116200
2022-03-07,FACT,111.6,111.6,106.2,109.2,34025,0.25780000000000003,131982
2022-03-08,FACT,110.9,113.4,109.2,112.15,32841,0.22039999999999998,149031
2022-03-09,FACT,112.25,117.6,112.25,115.05,48657,0.20140000000000002,241553
2022-03-10,FACT,116.55,117.95,115.4,115.95,49754,0.3824,130109
2022-03-11,FACT,116.0,129.55,115.6,127.1,222485,0.0698,3185302
2022-03-14,FACT,125.9,137.6,124.6,133.3,216164,0.11699999999999999,1847073
2022-03-15,FACT,132.0,133.2,124.2,125.7,130016,0.2605,499008
2022-03-16,FACT,126.6,133.5,126.6,130.6,72056,0.1229,586075
2022-03-17,FACT,131.65,134.85,128.35,131.55,91357,0.19039999999999999,479821
2022-03-21,FACT,131.95,134.9,126.7,131.1,94711,0.1608,589052
2022-03-22,FACT,131.15,139.5,130.5,136.6,238275,0.17079999999999998,1395026
2022-03-23,FACT,136.8,137.25,129.65,130.85,130092,0.268,485491
2022-03-24,FACT,132.45,135.9,130.2,131.65,84938,0.2052,413995
2022-03-25,FACT,133.4,133.45,128.1,129.1,53018,0.2767,191640
2022-03-28,FACT,130.15,134.05,126.8,129.9,86698,0.2022,428734
2022-03-29,FACT,130.25,140.9,130.1,135.85,323081,0.1392,2321360
2022-03-30,FACT,136.55,137.4,131.8,132.8,115761,0.267,433597
2022-03-31,FACT,133.4,134.5,130.05,130.9,63790,0.3055,208798
2022-04-01,FACT,130.15,137.75,130.15,134.2,131546,0.20440000000000003,643476
2022-04-04,FACT,135.0,143.7,135.0,139.7,256354,0.2071,1238074
2022-04-05,FACT,139.85,142.5,137.4,138.3,132575,0.2503,529645
2022-04-06,FACT,137.45,141.3,136.35,139.8,117908,0.2277,517904
2022-04-07,FACT,139.95,144.5,136.1,136.75,177781,0.1872,949670
2022-04-08,FACT,137.45,140.0,137.05,137.45,67306,0.2535,265514
2022-04-11,FACT,138.0,141.7,136.8,137.35,68109,0.2503,272082
2022-04-12,FACT,138.25,138.25,134.15,135.75,58871,0.3417,172313
2022-04-13,FACT,139.05,140.85,136.0,136.8,125681,0.2519,498891
2022-04-18,FACT,135.75,141.45,132.2,138.65,109411,0.1598,684805
2022-04-19,FACT,139.9,141.45,131.1,133.7,140296,0.3655,383844
2022-04-20,FACT,134.0,136.3,130.05,132.45,62926,0.3411,184465
2022-04-21,FACT,133.8,139.05,133.3,137.5,96447,0.29410000000000003,327934
2022-04-22,FACT,136.0,138.55,134.4,135.1,70625,0.34869999999999995,202564
2022-04-25,FACT,134.5,134.9,129.5,130.25,65374,0.2853,229169
2022-04-26,FACT,132.0,133.6,129.05,130.15,47349,0.2856,165799
2022-04-27,FACT,127.6,132.35,127.35,130.65,52067,0.1198,434599
2022-04-28,FACT,131.45,133.5,129.45,130.0,48836,0.25420000000000004,192096
2022-04-29,FACT,130.1,131.55,125.0,125.6,62340,0.419,148800
2022-05-02,FACT,125.8,125.85,121.8,123.8,48080,0.3425,140395
2022-05-04,FACT,124.9,126.75,119.1,120.45,49919,0.3207,155665
2022-05-05,FACT,122.0,123.65,120.6,121.35,27412,0.3283,83509
2022-05-06,FACT,119.0,136.0,116.5,129.55,186129,0.0724,2571496
2022-05-09,FACT,131.0,131.0,121.25,122.5,107203,0.2198,487822
2022-05-10,FACT,122.5,128.4,122.3,124.45,59488,0.1577,377160
2022-05-11,FACT,124.85,125.7,114.2,116.9,69456,0.2889,240424
2022-05-12,FACT,117.45,117.5,110.8,112.8,66105,0.3689,179216
2022-05-13,FACT,113.5,117.95,111.0,112.9,38782,0.28850000000000003,134433
2022-05-16,FACT,113.2,117.7,112.05,115.5,42530,0.2447,173783
2022-05-17,FACT,116.1,122.4,115.0,121.25,54121,0.3027,178779
2022-05-18,FACT,121.9,128.65,118.8,126.4,61299,0.2225,275472
2022-05-19,FACT,122.1,128.1,121.1,122.3,77705,0.1834,423764
2022-05-20,FACT,124.9,127.0,123.15,125.8,44189,0.233,189644
2022-05-23,FACT,126.9,134.15,123.0,128.5,161386,0.2487,648830
2022-05-24,FACT,130.0,131.6,127.1,129.6,71388,0.2637,270758
2022-05-25,FACT,128.0,129.55,120.0,121.35,56813,0.401,141675
2022-05-26,FACT,121.35,123.7,115.2,120.6,71635,0.3033,236152
2022-05-27,FACT,122.0,123.45,120.45,121.35,28011,0.24309999999999998,115216
2022-05-30,FACT,122.25,126.3,122.15,123.0,36308,0.1749,207618
2022-05-31,FACT,124.9,126.4,122.6,124.4,51919,0.3879,133837
2022-06-01,FACT,124.4,130.0,124.4,128.15,82497,0.2751,299830
2022-06-02,FACT,127.95,130.75,126.45,127.9,47450,0.29760000000000003,159455
2022-06-03,FACT,128.7,129.45,124.6,125.3,26314,0.4253,61874
2022-06-06,FACT,125.0,129.35,123.55,127.55,59018,0.1948,302911
2022-06-07,FACT,127.35,129.9,124.25,125.9,44645,0.2152,207466
2022-06-08,FACT,126.2,126.7,123.9,124.75,34162,0.3149,108488
2022-06-09,FACT,125.0,125.2,123.0,123.7,29088,0.5132,56675
2022-06-10,FACT,122.15,122.6,120.0,120.45,50501,0.5065999999999999,99680
2022-06-13,FACT,118.6,118.6,113.5,113.85,61144,0.5979,102257
2022-06-14,FACT,110.0,115.7,110.0,113.15,24759,0.3086,80226
2022-06-15,FACT,113.75,114.7,112.0,112.4,23148,0.36090000000000005,64148
2022-06-16,FACT,114.0,116.7,109.9,110.4,35023,0.3432,102046
2022-06-17,FACT,110.95,110.95,99.7,101.15,215474,0.6605,326246
2022-06-20,FACT,101.2,101.2,82.35,87.15,295182,0.21489999999999998,1373421
2022-06-21,FACT,89.9,102.5,89.05,97.15,183963,0.065,2831209
2022-06-22,FACT,97.95,98.65,94.25,96.45,65206,0.1334,488783
2022-06-23,FACT,97.55,97.9,94.6,95.95,68317,0.33530000000000004,262867
2022-06-24,FACT,96.45,97.7,95.6,96.5,54248,0.3597,150808
2022-06-27,FACT,97.95,99.85,97.5,98.4,80603,0.41590000000000005,193800
