Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,FCSSOFT,1.5,1.5,1.4,1.45,4186972,0.7599,5510119
2021-10-13,FCSSOFT,1.45,1.5,1.4,1.5,5725228,0.6817000000000001,8398427
2021-10-14,FCSSOFT,1.55,1.55,1.5,1.55,2768232,0.5799000000000001,4773262
2021-10-18,FCSSOFT,1.6,1.6,1.6,1.6,1358780,1.0,1358780
2021-10-19,FCSSOFT,1.65,1.65,1.55,1.55,7485197,0.5345000000000001,14004429
2021-10-20,FCSSOFT,1.5,1.55,1.5,1.5,1924281,0.8408,2288617
2021-10-21,FCSSOFT,1.5,1.55,1.45,1.5,4511231,0.48610000000000003,9280696
2021-10-22,FCSSOFT,1.5,1.55,1.45,1.5,2575585,0.4748,5424868
2021-10-25,FCSSOFT,1.5,1.5,1.45,1.45,2882752,0.7652,3767556
2021-10-26,FCSSOFT,1.4,1.45,1.4,1.4,2190589,0.6365999999999999,3440838
2021-10-27,FCSSOFT,1.4,1.4,1.35,1.35,2482387,0.7406999999999999,3351311
2021-10-28,FCSSOFT,1.4,1.4,1.3,1.35,3127617,0.7156,4370579
2021-10-29,FCSSOFT,1.4,1.4,1.3,1.35,2061401,0.5013000000000001,4112108
2021-11-01,FCSSOFT,1.4,1.4,1.35,1.4,3003151,0.7979,3763921
2021-11-02,FCSSOFT,1.4,1.4,1.35,1.35,1065392,0.5536,1924619
2021-11-03,FCSSOFT,1.4,1.4,1.3,1.35,2339301,0.5733,4080171
2021-11-04,FCSSOFT,1.4,1.4,1.35,1.4,1824577,0.9413,1938456
2021-11-08,FCSSOFT,1.45,1.45,1.4,1.45,1634284,0.6815000000000001,2398188
2021-11-09,FCSSOFT,1.5,1.5,1.45,1.5,987660,0.5176,1908297
2021-11-10,FCSSOFT,1.55,1.55,1.55,1.55,992485,1.0,992485
2021-11-11,FCSSOFT,1.6,1.6,1.6,1.6,1692088,0.6285000000000001,2692088
2021-11-12,FCSSOFT,1.65,1.65,1.65,1.65,1903934,1.0,1903934
2021-11-15,FCSSOFT,1.7,1.7,1.6,1.7,14417338,0.5102,28259692
2021-11-16,FCSSOFT,1.75,1.75,1.75,1.75,1423008,0.988,1440230
2021-11-17,FCSSOFT,1.8,1.8,1.8,1.8,1119544,1.0,1119544
2022-03-29,FCSSOFT,3.75,3.85,3.65,3.85,3455438,0.7963,4339215
2022-03-30,FCSSOFT,4.0,4.0,4.0,4.0,1119838,0.9997,1120170
2022-03-31,FCSSOFT,4.2,4.2,3.85,3.95,6581525,0.5201,12653309
2022-04-01,FCSSOFT,4.0,4.1,3.95,4.05,4954196,0.6423000000000001,7713284
2022-04-04,FCSSOFT,4.1,4.2,3.9,4.0,7456141,0.6222,11983884
2022-04-05,FCSSOFT,4.05,4.05,3.9,3.95,3708080,0.5849000000000001,6339925
2022-04-06,FCSSOFT,3.95,4.1,3.85,4.1,5100423,0.4315,11819335
2022-04-07,FCSSOFT,4.15,4.2,4.0,4.05,4675904,0.5898,7928027
2022-04-08,FCSSOFT,4.0,4.2,3.9,4.1,6558917,0.6245,10502649
2022-04-11,FCSSOFT,4.15,4.2,4.0,4.0,3946700,0.6037,6537284
2022-04-12,FCSSOFT,4.0,4.0,3.9,3.95,2561333,0.5822,4399511
2022-04-13,FCSSOFT,3.95,4.0,3.9,3.95,3518894,0.6218,5659164
2022-04-18,FCSSOFT,3.95,3.95,3.8,3.8,4819780,0.6809999999999999,7077534
2022-04-19,FCSSOFT,3.8,3.95,3.75,3.8,3383426,0.5392,6274814
2022-04-20,FCSSOFT,3.85,3.9,3.65,3.75,2967174,0.5858,5065595
2022-04-21,FCSSOFT,3.75,3.8,3.65,3.65,4683661,0.6135,7634222
2022-04-22,FCSSOFT,3.65,3.7,3.6,3.65,3239215,0.6165,5254310
2022-04-25,FCSSOFT,3.6,3.65,3.5,3.5,4074089,0.6542,6227438
2022-04-26,FCSSOFT,3.55,3.55,3.5,3.5,2423784,0.6519,3718082
2022-04-27,FCSSOFT,3.45,3.5,3.35,3.35,3007138,0.6245,4814917
2022-04-28,FCSSOFT,3.35,3.35,3.2,3.2,5355845,0.6128,8739589
2022-04-29,FCSSOFT,3.2,3.25,3.1,3.15,2277281,0.585,3892609
2022-05-02,FCSSOFT,3.15,3.3,3.1,3.3,2179907,0.6516,3345578
2022-05-04,FCSSOFT,3.45,3.45,3.45,3.45,2276682,0.8745,2603524
2022-05-05,FCSSOFT,3.6,3.6,3.6,3.6,1026146,1.0,1026146
2022-05-06,FCSSOFT,3.6,3.6,3.45,3.45,4476154,0.4656,9612813
2022-05-09,FCSSOFT,3.3,3.35,3.3,3.3,3408341,0.41409999999999997,8230713
2022-05-10,FCSSOFT,3.15,3.2,3.15,3.15,4083124,0.7239,5640135
