Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,FEL,8.45,8.45,8.3,8.4,304336,0.6641,458275
2021-09-02,FEL,8.5,8.8,8.4,8.45,531590,0.5718,929660
2021-09-03,FEL,8.6,8.65,8.45,8.5,223502,0.6466,345650
2021-09-06,FEL,8.55,9.0,8.5,8.65,367285,0.40950000000000003,897005
2021-09-07,FEL,8.7,8.7,8.4,8.5,244209,0.6213000000000001,393045
2021-09-08,FEL,8.6,8.85,8.5,8.6,215948,0.5858,368609
2021-09-09,FEL,9.45,9.45,9.1,9.45,1759044,0.4755,3699270
2021-09-13,FEL,9.3,9.45,8.75,8.85,1252085,0.7169,1746605
2021-09-14,FEL,9.0,9.25,8.8,9.1,406408,0.6556000000000001,619945
2021-09-15,FEL,9.1,9.25,8.95,9.0,532985,0.6758,788645
2021-09-16,FEL,9.0,9.15,8.9,8.95,748859,0.7493000000000001,999436
2021-09-17,FEL,9.05,9.05,8.8,8.9,410998,0.8059000000000001,509973
2021-09-20,FEL,8.9,9.1,8.85,8.85,317103,0.4965,638622
2021-09-21,FEL,8.95,9.05,8.4,8.85,206334,0.5963,346003
2021-09-22,FEL,8.85,9.0,8.45,8.7,706898,0.6070000000000001,1164570
2021-09-23,FEL,8.9,8.95,8.35,8.45,947205,0.6736,1406080
2021-09-24,FEL,8.65,8.75,7.8,8.35,1183799,0.6404000000000001,1848387
2021-09-27,FEL,8.35,8.5,7.95,8.1,860569,0.7478,1150782
2021-09-28,FEL,8.2,8.9,7.95,8.85,1407546,0.5209,2702020
2021-09-29,FEL,9.6,9.6,9.05,9.2,2629376,0.6541,4019970
2021-09-30,FEL,9.3,9.35,8.9,8.95,957519,0.7488,1278769
2021-10-01,FEL,9.1,9.15,8.8,9.0,558762,0.7876000000000001,709488
2021-10-04,FEL,9.2,9.25,8.95,9.0,531223,0.7127,745381
2021-10-05,FEL,9.0,9.35,8.9,8.95,428693,0.3141,1364931
2021-10-06,FEL,9.05,9.1,8.9,8.95,294243,0.6104,482014
2021-10-07,FEL,9.2,9.35,9.0,9.15,623558,0.6616,942480
2021-10-08,FEL,9.15,9.75,9.15,9.25,932246,0.4974,1874332
2021-10-11,FEL,9.4,9.95,9.25,9.3,569079,0.5999,948594
2021-10-12,FEL,9.5,10.75,9.3,9.65,3775243,0.3833,9848286
2021-10-13,FEL,9.9,9.95,9.6,9.65,1064885,0.6755,1576451
2021-10-14,FEL,9.8,9.8,8.8,9.3,923252,0.5174000000000001,1784471
2021-10-18,FEL,9.5,10.45,9.1,9.8,1092893,0.44070000000000004,2480053
2021-10-19,FEL,10.5,10.5,9.55,9.75,1834596,0.6904000000000001,2657446
2021-10-20,FEL,9.6,9.75,9.35,9.4,601033,0.6729999999999999,893112
2021-10-21,FEL,9.4,9.65,8.9,9.15,777940,0.5014000000000001,1551474
2021-10-22,FEL,9.1,9.25,8.9,8.95,1022150,0.7189,1421806
2021-10-25,FEL,8.95,9.15,8.5,8.65,559577,0.5609000000000001,997692
2021-10-26,FEL,8.75,9.1,8.65,8.9,336872,0.5507,611673
2021-10-27,FEL,8.9,9.2,8.8,8.85,480199,0.3704,1296471
2021-10-28,FEL,8.85,8.95,8.6,8.65,318422,0.6927,459681
2021-10-29,FEL,8.8,9.05,8.55,8.75,348978,0.3642,958128
2021-11-01,FEL,8.75,9.0,8.65,8.75,327273,0.48740000000000006,671460
2021-11-02,FEL,8.85,8.9,8.75,8.85,234037,0.7012,333784
2021-11-03,FEL,8.95,9.05,8.8,8.9,335011,0.4816,695578
2021-11-04,FEL,8.85,9.0,8.85,8.95,164480,0.8599,191275
2021-11-08,FEL,9.05,9.05,8.9,8.95,212215,0.6413,330921
2021-11-09,FEL,8.85,8.95,8.75,8.8,430694,0.6731,639909
2021-11-10,FEL,8.8,8.9,8.7,8.75,153478,0.639,240179
2021-11-11,FEL,8.85,9.05,8.7,8.75,222953,0.2655,839808
2021-11-12,FEL,8.8,8.9,8.7,8.75,232190,0.7706000000000001,301308
2021-11-15,FEL,8.8,8.95,8.75,8.8,192130,0.4696,409176
2021-11-16,FEL,8.85,9.05,8.7,8.75,448773,0.5015,894909
2021-11-17,FEL,8.8,8.9,8.55,8.7,376598,0.67,562125
2021-11-18,FEL,8.7,8.75,8.4,8.5,358585,0.7486,478978
