Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,FILATEX,90.45,92.65,90.0,91.2,520318,0.5494,947003
2021-09-02,FILATEX,89.9,93.8,89.6,91.1,207429,0.5177,400702
2021-09-03,FILATEX,88.0,90.85,83.0,89.35,895156,0.2749,3256525
2021-09-06,FILATEX,84.95,90.45,82.0,88.05,843425,0.3185,2647849
2021-09-07,FILATEX,87.7,87.9,85.0,86.2,331880,0.2956,1122810
2021-09-08,FILATEX,86.5,97.85,86.5,96.6,3036517,0.5015,6054441
2021-09-09,FILATEX,97.5,108.45,95.3,106.35,1747973,0.1973,8861669
2021-09-13,FILATEX,103.4,107.05,101.35,105.85,1364490,0.21850000000000003,6244123
2021-09-14,FILATEX,106.0,110.25,106.0,108.55,1101372,0.31510000000000005,3495486
2021-09-15,FILATEX,109.0,118.15,107.65,112.05,1590141,0.40390000000000004,3936683
2021-09-16,FILATEX,112.25,113.6,105.0,106.05,615873,0.2989,2060799
2021-09-17,FILATEX,106.4,106.8,101.2,105.55,300098,0.4123,727874
2021-09-20,FILATEX,103.0,105.25,100.0,101.3,222646,0.511,435670
2021-09-21,FILATEX,102.0,103.3,100.0,101.85,119704,0.5806,206157
2021-09-22,FILATEX,103.0,103.55,100.7,101.0,132511,0.5357999999999999,247328
2021-09-23,FILATEX,102.2,103.8,99.65,101.85,547779,0.255,2147894
2021-09-24,FILATEX,102.0,107.35,101.25,104.0,998867,0.6127,1630152
2021-09-27,FILATEX,105.0,105.45,100.5,100.95,218402,0.6211,351660
2021-09-28,FILATEX,101.05,102.2,97.85,100.85,259740,0.46890000000000004,553902
2021-09-29,FILATEX,100.0,103.0,99.4,100.1,230975,0.4343,531857
2021-09-30,FILATEX,101.0,106.0,100.1,103.5,360963,0.29350000000000004,1229996
2021-10-01,FILATEX,103.2,107.7,102.05,104.5,583703,0.4416,1321741
2021-10-04,FILATEX,106.9,110.4,103.15,107.95,503434,0.15630000000000002,3220374
2021-10-05,FILATEX,107.0,108.75,104.35,105.7,284048,0.0984,2885708
2021-10-06,FILATEX,106.8,109.4,102.8,105.05,334612,0.0873,3834984
2021-10-07,FILATEX,105.95,114.45,105.95,112.3,990199,0.1802,5493858
2021-10-08,FILATEX,113.4,124.9,112.7,117.5,2352539,0.21739999999999998,10821788
2021-10-11,FILATEX,118.5,122.5,116.75,120.4,748227,0.23199999999999998,3224808
2021-10-12,FILATEX,121.0,127.5,118.25,121.05,1075493,0.1506,7142944
2021-10-13,FILATEX,122.15,122.9,114.1,115.55,649286,0.24170000000000003,2686372
2021-10-14,FILATEX,116.45,118.6,114.25,115.55,575414,0.17329999999999998,3319398
2021-10-18,FILATEX,117.3,118.25,114.65,117.6,517526,0.3685,1404509
2021-10-19,FILATEX,117.8,120.0,112.3,113.5,739658,0.2981,2481086
2021-10-20,FILATEX,114.3,115.25,108.5,109.7,396195,0.3249,1219266
2021-10-21,FILATEX,110.95,112.4,109.0,110.75,214204,0.334,641286
2021-10-22,FILATEX,111.0,112.75,103.5,104.8,338438,0.3611,937119
2021-10-25,FILATEX,105.7,107.6,101.5,102.35,198237,0.2838,698582
2021-10-26,FILATEX,103.25,105.85,100.0,101.55,1697550,0.44189999999999996,3841914
2021-10-27,FILATEX,102.7,106.95,99.5,102.2,810557,0.3736,2169691
2021-10-28,FILATEX,102.25,103.7,97.0,97.5,1372925,0.5427000000000001,2529853
2021-10-29,FILATEX,97.9,101.75,95.4,100.1,1557652,0.4685,3324648
2021-11-01,FILATEX,103.0,103.0,99.55,100.8,289277,0.223,1297068
2021-11-02,FILATEX,101.3,106.4,99.0,102.7,933588,0.22899999999999998,4076151
2021-11-03,FILATEX,100.7,103.25,99.6,100.2,766215,0.2346,3266667
2021-11-04,FILATEX,100.8,103.25,99.25,102.0,186989,0.4053,461399
2021-11-08,FILATEX,104.65,112.05,104.05,107.95,1402549,0.3241,4328103
2021-11-09,FILATEX,108.2,109.25,104.5,105.15,1206974,0.32549999999999996,3708015
2021-11-10,FILATEX,105.15,106.65,100.6,101.6,828962,0.41500000000000004,1997533
2021-11-11,FILATEX,105.0,107.5,102.55,103.3,803293,0.2716,2957348
2021-11-12,FILATEX,104.3,105.0,101.6,102.65,285976,0.312,916715
2021-11-15,FILATEX,103.5,103.9,100.4,101.1,286650,0.34759999999999996,824771
2021-11-16,FILATEX,101.45,101.65,99.05,99.75,418213,0.32130000000000003,1301726
2021-11-17,FILATEX,99.15,100.4,97.5,97.75,314992,0.3968,793831
2021-11-18,FILATEX,98.1,98.9,94.5,95.75,252873,0.355,712389
2021-11-22,FILATEX,95.35,96.85,92.2,93.55,344869,0.4168,827519
2021-11-23,FILATEX,93.5,94.85,92.0,94.1,976595,0.663,1473009
2021-11-24,FILATEX,94.3,99.0,94.0,95.0,365638,0.34740000000000004,1052348
2021-11-25,FILATEX,95.75,96.95,93.6,96.25,292622,0.42090000000000005,695270
2021-11-26,FILATEX,95.25,95.8,91.05,93.0,318199,0.5117,621791
2021-11-29,FILATEX,91.8,92.75,86.75,88.6,197839,0.2267,872870
2021-11-30,FILATEX,90.0,92.7,88.65,89.65,169771,0.2121,800468
2021-12-01,FILATEX,90.9,91.7,89.35,91.15,100870,0.23260000000000003,433633
2021-12-02,FILATEX,91.0,92.5,90.05,91.3,163355,0.2715,601762
2021-12-03,FILATEX,91.3,97.25,91.3,94.95,185708,0.278,668077
2021-12-06,FILATEX,97.0,97.45,92.75,94.2,244370,0.2978,820634
2021-12-07,FILATEX,96.0,96.0,92.3,93.05,179377,0.1052,1704919
2021-12-08,FILATEX,93.0,99.8,92.5,95.6,263572,0.1201,2194132
2021-12-09,FILATEX,95.95,97.65,93.25,93.8,263018,0.1151,2284228
2021-12-10,FILATEX,93.7,95.3,92.7,93.8,547073,0.3245,1685672
