Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,FLFL,50.75,51.75,50.25,51.0,78172,0.7362000000000001,106184
2021-09-02,FLFL,51.25,52.6,50.7,51.5,77466,0.5569,139093
2021-09-03,FLFL,51.75,52.2,50.5,50.95,69742,0.6961,100189
2021-09-06,FLFL,51.4,53.35,50.4,52.3,71891,0.5431,132369
2021-09-07,FLFL,52.6,53.35,51.05,51.4,32412,0.4815,67315
2021-09-08,FLFL,51.05,52.5,51.05,51.35,39444,0.4622,85332
2021-09-09,FLFL,52.45,53.9,52.4,53.9,148483,0.4907,302598
2021-09-13,FLFL,54.5,55.95,52.4,52.7,146436,0.5722,255939
2021-09-14,FLFL,51.25,52.5,51.25,51.5,105077,0.6141,171114
2021-09-15,FLFL,52.5,52.5,51.55,52.1,61423,0.633,97033
2021-09-16,FLFL,52.5,53.2,51.25,52.85,122649,0.6157,199218
2021-09-17,FLFL,52.55,54.75,52.0,53.6,136057,0.5286,257380
2021-09-20,FLFL,53.5,56.25,52.6,55.35,203798,0.6106,333771
2021-09-21,FLFL,55.35,56.8,54.3,56.2,150320,0.649,231618
2021-09-22,FLFL,56.2,56.9,55.0,55.55,48338,0.5123,94361
2021-09-23,FLFL,55.05,56.8,55.05,56.05,82768,0.6123,135170
2021-09-24,FLFL,56.1,56.95,55.4,55.7,31700,0.6175,51335
2021-09-27,FLFL,55.5,55.95,54.05,55.35,23888,0.5676,42083
2021-09-28,FLFL,56.0,58.1,54.4,58.1,98665,0.6127,161041
2021-09-29,FLFL,61.0,61.0,60.5,61.0,143655,0.8703000000000001,165059
2021-09-30,FLFL,62.2,62.2,58.5,58.95,164698,0.6509999999999999,252978
2021-10-01,FLFL,58.15,58.95,57.5,58.55,52782,0.5236999999999999,100785
2021-10-04,FLFL,60.0,60.7,58.7,59.3,58092,0.5962,97441
2021-10-05,FLFL,59.75,61.9,57.45,60.75,139764,0.6375000000000001,219247
2021-10-06,FLFL,61.9,61.9,58.65,59.45,105915,0.6241,169697
2021-10-07,FLFL,60.4,62.7,59.1,60.6,73848,0.606,121856
2021-10-08,FLFL,62.0,65.95,60.75,62.25,92494,0.3885,238084
2021-10-11,FLFL,64.0,64.9,62.0,62.7,76308,0.5589000000000001,136522
2021-10-12,FLFL,64.9,68.95,63.55,67.45,264554,0.3547,745771
2021-10-13,FLFL,67.0,69.55,63.3,64.55,207739,0.4826,430466
2021-10-14,FLFL,64.6,66.15,63.55,64.05,64532,0.629,102599
2021-10-18,FLFL,64.35,70.0,60.35,65.65,142042,0.3536,401733
2021-10-19,FLFL,66.9,67.85,63.1,64.25,105937,0.5109,207349
2021-10-20,FLFL,65.0,65.0,61.0,61.5,60207,0.5301,113570
2021-10-21,FLFL,58.6,61.0,56.3,59.05,81549,0.4508,180903
2021-10-22,FLFL,58.55,60.75,57.1,57.75,63811,0.5103,125051
2021-10-25,FLFL,57.7,58.7,53.55,55.1,87388,0.5033,173620
2021-10-26,FLFL,58.8,58.8,55.1,56.95,27360,0.4161,65750
2021-10-27,FLFL,57.55,58.65,56.35,56.8,26482,0.40890000000000004,64762
2021-10-28,FLFL,56.1,57.9,55.05,55.3,47227,0.6099,77428
2021-10-29,FLFL,55.35,56.8,53.65,55.05,36403,0.3121,116639
2021-11-01,FLFL,55.05,56.25,53.65,54.95,39029,0.47850000000000004,81561
2021-11-02,FLFL,55.25,55.95,54.35,55.35,51857,0.5860000000000001,88492
2021-11-03,FLFL,56.3,58.1,55.15,55.8,32728,0.5012,65299
2021-11-04,FLFL,54.8,58.9,54.8,56.55,11712,0.5576,21003
2021-11-08,FLFL,57.65,57.65,55.45,55.75,63077,0.5273,119623
2021-11-09,FLFL,55.7,56.0,54.3,54.75,71723,0.6872,104373
2021-11-10,FLFL,55.6,55.6,53.8,54.4,82171,0.7188,114323
2021-11-11,FLFL,54.9,55.35,53.65,53.95,144436,0.3893,370982
2021-11-12,FLFL,54.85,55.2,53.7,54.2,77024,0.6627,116226
2021-11-15,FLFL,55.6,55.6,53.75,54.0,95922,0.6481,148015
2021-11-16,FLFL,54.05,55.6,53.75,55.3,130473,0.6108,213594
2021-11-17,FLFL,55.95,57.2,53.85,54.6,91499,0.5372,170324
2021-11-18,FLFL,54.5,54.95,52.55,52.8,66213,0.484,136797
2021-11-22,FLFL,53.4,53.95,50.95,51.2,83762,0.6154999999999999,136080
2021-11-23,FLFL,52.0,56.3,52.0,53.95,209969,0.5226,401807
2021-11-24,FLFL,54.1,54.5,52.8,53.3,138398,0.7573000000000001,182744
2021-11-25,FLFL,53.4,55.35,53.4,54.7,181076,0.5175,349880
2021-11-26,FLFL,54.55,55.75,52.85,53.1,227305,0.5538000000000001,410471
2021-11-29,FLFL,53.15,57.0,51.6,54.25,97377,0.3215,302909
2021-11-30,FLFL,54.95,54.95,50.3,51.85,95086,0.49520000000000003,192004
2021-12-01,FLFL,51.9,52.75,50.8,51.35,91761,0.6636,138270
2021-12-02,FLFL,51.35,52.4,50.85,51.9,43017,0.5197999999999999,82755
2021-12-03,FLFL,51.9,52.8,51.4,51.7,81107,0.5901,137442
2021-12-06,FLFL,51.7,55.5,50.5,51.45,103407,0.5131,201551
2021-12-07,FLFL,51.75,52.5,51.1,51.55,79886,0.6586,121293
2021-12-08,FLFL,51.9,52.2,50.5,51.5,64175,0.5757,111464
2021-12-09,FLFL,51.6,52.5,50.1,51.6,79206,0.4086,193859
2021-12-10,FLFL,51.55,54.9,51.55,52.55,333565,0.3565,935742
2021-12-13,FLFL,52.75,53.75,52.0,52.05,137200,0.6141,223412
2021-12-14,FLFL,51.6,52.9,51.5,52.1,51003,0.5367000000000001,95029
2021-12-15,FLFL,52.15,52.55,50.6,50.95,277201,0.6063000000000001,457169
2021-12-16,FLFL,51.1,51.6,50.25,50.35,68755,0.6468,106296
2021-12-17,FLFL,50.15,51.75,49.55,49.85,98091,0.4007,244772
2021-12-20,FLFL,59.8,59.8,57.15,59.8,2413578,0.53,4554030
2021-12-21,FLFL,61.95,62.45,52.3,54.0,817969,0.4215,1940679
2021-12-22,FLFL,54.05,57.2,54.0,55.1,111117,0.2779,399880
2021-12-23,FLFL,55.3,55.85,53.5,53.8,165518,0.5554,298008
2021-12-24,FLFL,53.85,54.25,51.2,51.7,180974,0.5690999999999999,318022
2021-12-27,FLFL,51.7,51.9,50.75,50.95,108729,0.48369999999999996,224785
2021-12-28,FLFL,50.9,51.85,50.7,51.25,104104,0.47090000000000004,221072
2021-12-29,FLFL,51.35,52.85,51.2,51.5,67377,0.4329,155633
2021-12-30,FLFL,51.4,52.1,50.55,51.05,91309,0.5165,176783
2021-12-31,FLFL,51.5,52.85,50.1,50.9,428200,0.5706,750452
2022-01-03,FLFL,50.9,51.95,50.3,50.75,529686,0.6849,773397
2022-01-04,FLFL,52.1,53.95,51.6,52.3,607156,0.5526,1098777
2022-01-05,FLFL,50.4,51.6,50.4,51.4,322896,0.543,594650
2022-01-06,FLFL,55.0,58.5,53.0,54.25,615779,0.43460000000000004,1416737
2022-01-07,FLFL,54.65,56.25,53.8,55.6,356569,0.6072,587263
2022-01-10,FLFL,54.5,57.1,54.5,56.7,282216,0.5406000000000001,522006
2022-01-11,FLFL,56.05,58.25,56.0,56.35,330715,0.5726,577560
2022-01-12,FLFL,57.2,57.4,55.0,55.35,336331,0.6779000000000001,496101
2022-01-13,FLFL,56.35,56.4,52.4,53.75,285078,0.6234000000000001,457291
2022-01-14,FLFL,53.75,54.5,53.0,54.15,162187,0.5174000000000001,313480
2022-01-17,FLFL,53.9,53.9,52.5,53.6,117921,0.49060000000000004,240353
2022-01-18,FLFL,53.2,53.85,52.1,52.5,125698,0.5804,216554
2022-01-19,FLFL,53.0,53.0,51.75,52.3,98153,0.5684,172679
2022-01-20,FLFL,52.5,53.5,52.2,53.05,91959,0.5894,156034
2022-01-21,FLFL,53.2,54.3,53.05,53.45,169668,0.6452,262974
2022-01-24,FLFL,54.1,54.1,51.0,51.3,89895,0.5696,249825
2022-01-25,FLFL,52.9,52.9,50.0,51.35,104942,0.5808,180672
2022-01-27,FLFL,51.85,52.4,50.9,51.05,155017,0.6663,232638
2022-01-28,FLFL,51.5,51.9,47.0,51.05,153674,0.6625,231958
2022-01-31,FLFL,52.0,52.3,51.1,51.4,58355,0.5337,109348
2022-02-01,FLFL,52.3,55.85,50.5,51.55,306829,0.4213,728298
2022-02-02,FLFL,52.5,53.0,50.8,52.2,189861,0.5383,352737
2022-02-03,FLFL,52.0,52.35,48.2,49.85,277416,0.4943,561256
2022-02-04,FLFL,49.35,49.8,48.85,49.15,207480,0.6293,329718
2022-02-07,FLFL,49.4,49.5,48.2,49.15,184771,0.7506999999999999,246136
2022-02-08,FLFL,49.35,50.6,49.1,50.25,112000,0.42450000000000004,263857
2022-02-09,FLFL,50.6,50.65,49.7,50.15,70502,0.48810000000000003,144442
2022-02-10,FLFL,50.1,50.15,49.1,49.6,94643,0.6724,140746
2022-02-11,FLFL,48.7,49.55,48.5,48.7,123510,0.8118000000000001,152137
2022-02-14,FLFL,48.7,49.0,47.5,47.9,101345,0.5355,189245
2022-02-15,FLFL,48.9,48.9,47.0,47.75,102955,0.4497,228946
