Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,FSL,181.6,182.7,178.5,179.5,570566,0.3129,1823683
2021-09-02,FSL,179.6,192.8,179.25,190.9,1677347,0.2373,7069722
2021-09-03,FSL,192.0,197.55,189.1,190.4,1258965,0.212,5939265
2021-09-06,FSL,191.0,197.35,186.55,192.8,911034,0.1821,5002665
2021-09-07,FSL,193.0,193.8,188.55,190.6,532084,0.19579999999999997,2717783
2021-09-08,FSL,189.5,192.45,188.4,189.4,576518,0.27030000000000004,2132710
2021-09-09,FSL,188.5,193.7,188.05,191.4,575021,0.2091,2749546
2021-09-13,FSL,192.4,203.95,191.1,202.2,2246443,0.2859,7856139
2021-09-14,FSL,203.8,206.4,200.25,202.65,1653145,0.3331,4963574
2021-09-15,FSL,203.5,206.1,199.35,202.1,1672213,0.3,5573358
2021-09-16,FSL,203.3,205.7,201.4,202.4,1242179,0.38070000000000004,3262694
2021-09-17,FSL,204.05,209.45,200.55,207.8,2747143,0.2982,9211305
2021-09-20,FSL,207.3,214.0,201.0,203.8,2241971,0.2488,9011970
2021-09-21,FSL,204.6,207.4,193.35,196.45,2070733,0.3144,6586813
2021-09-22,FSL,197.6,204.3,197.45,201.0,883420,0.2377,3716672
2021-09-23,FSL,202.85,204.25,195.55,199.2,1194746,0.46490000000000004,2569970
2021-09-24,FSL,201.0,204.8,197.0,197.85,1039125,0.284,3658576
2021-09-27,FSL,199.8,199.8,194.1,195.2,756097,0.3685,2051923
2021-09-28,FSL,196.3,198.35,193.15,195.35,1056870,0.35710000000000003,2959919
2021-09-29,FSL,193.5,197.0,192.05,195.45,497647,0.284,1752343
2021-09-30,FSL,196.4,196.9,194.15,195.5,703849,0.4239,1660603
2021-10-01,FSL,195.0,197.55,193.3,195.15,624984,0.3185,1962124
2021-10-04,FSL,196.15,197.65,195.0,195.9,562832,0.4168,1350203
2021-10-05,FSL,195.1,195.7,193.1,194.0,920320,0.5109,1801504
2021-10-06,FSL,195.05,199.9,192.85,193.55,1349427,0.4001,3372846
2021-10-07,FSL,200.0,210.8,200.0,206.65,4537172,0.3607,12578874
2021-10-08,FSL,208.45,214.45,207.0,211.4,2757135,0.33340000000000003,8270252
2021-10-11,FSL,212.0,212.75,205.0,205.4,1319116,0.3751,3516755
2021-10-12,FSL,205.5,210.9,198.0,208.05,2315295,0.3594,6441378
2021-10-13,FSL,206.0,211.5,206.0,207.9,1176523,0.37,3180209
2021-10-14,FSL,210.0,222.7,209.15,217.6,4333937,0.2992,14483970
2021-10-18,FSL,219.0,220.9,214.4,215.6,1725412,0.3886,4440298
2021-10-19,FSL,216.4,220.25,211.05,214.6,1805280,0.33630000000000004,5368146
2021-10-20,FSL,215.0,215.35,203.5,204.55,1880877,0.3987,4717574
2021-10-21,FSL,206.0,211.25,201.55,204.9,1607648,0.3457,4650952
2021-10-22,FSL,204.8,207.45,198.5,200.85,1034609,0.3153,3281303
2021-10-25,FSL,201.9,203.65,195.1,199.55,1127911,0.3575,3154713
2021-10-26,FSL,193.5,203.25,192.5,200.85,1207291,0.3718,3246837
2021-10-27,FSL,202.1,209.7,200.45,208.75,1097966,0.3113,3526804
2021-10-28,FSL,207.2,209.75,202.25,204.7,858083,0.2806,3058073
2021-10-29,FSL,205.0,205.0,194.4,197.65,1141519,0.2725,4188360
2021-11-01,FSL,199.0,204.9,199.0,204.15,988999,0.3739,2644962
2021-11-02,FSL,205.0,209.35,200.3,201.3,1105789,0.3447,3207522
2021-11-03,FSL,202.85,203.35,198.3,199.55,551746,0.3369,1637843
2021-11-04,FSL,200.75,202.0,200.1,200.55,245593,0.4905,500656
2021-11-08,FSL,201.0,203.4,198.2,201.95,801762,0.3945,2032107
2021-11-09,FSL,201.9,203.5,198.15,198.75,1023553,0.41759999999999997,2450751
2021-11-10,FSL,198.7,206.65,178.9,180.05,8248802,0.3586,23004270
2021-11-11,FSL,179.0,184.0,176.0,179.05,3633341,0.36560000000000004,9937686
2021-11-12,FSL,182.0,182.3,177.0,177.55,1665017,0.4747,3507485
2021-11-15,FSL,179.35,179.35,167.1,167.9,2694099,0.41840000000000005,6438320
2021-11-16,FSL,168.0,177.3,167.25,174.5,1951739,0.2334,8361250
2021-11-17,FSL,174.0,179.2,171.15,178.0,1800555,0.2816,6393179
2021-11-18,FSL,179.0,179.15,172.25,173.55,1320733,0.27890000000000004,4735107
2021-11-22,FSL,173.15,174.0,167.25,169.45,1108095,0.3171,3494955
2021-11-23,FSL,169.4,171.7,165.0,170.0,1699782,0.39520000000000005,4301287
2021-11-24,FSL,171.75,177.05,171.25,175.15,2044288,0.3247,6295932
2021-11-25,FSL,175.15,176.3,170.25,171.95,992728,0.303,3276676
2021-11-26,FSL,170.5,171.2,165.25,166.2,888808,0.33390000000000003,2662274
2021-11-29,FSL,164.0,165.95,158.55,163.55,1199762,0.4081,2939828
2021-11-30,FSL,164.05,171.55,163.1,169.6,3058934,0.5281,5792281
2021-12-01,FSL,171.0,172.85,167.65,168.85,567850,0.2556,2221783
2021-12-02,FSL,167.5,174.45,167.5,173.35,941897,0.2664,3536020
2021-12-03,FSL,174.0,177.2,172.2,172.8,1092379,0.37340000000000007,2925132
2021-12-06,FSL,169.5,172.5,168.05,168.9,655560,0.2812,2330889
2021-12-07,FSL,169.6,171.45,168.65,169.05,683017,0.4425,1543368
2021-12-08,FSL,171.5,173.9,170.2,171.55,1039706,0.3986,2608150
2021-12-09,FSL,173.15,179.9,171.7,178.15,1667058,0.24600000000000002,6777836
