Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,GENUSPAPER,11.7,11.7,11.15,11.3,161309,0.7093,227408
2021-10-13,GENUSPAPER,11.5,11.85,11.5,11.85,289491,0.863,335438
2021-10-14,GENUSPAPER,12.4,12.4,12.4,12.4,178171,1.0,178171
2021-10-18,GENUSPAPER,13.0,13.0,11.8,12.05,637338,0.7212999999999999,883613
2021-10-19,GENUSPAPER,11.9,11.9,11.45,11.45,307060,0.7226,424951
2021-10-20,GENUSPAPER,11.45,12.0,11.05,11.3,157161,0.6859999999999999,229106
2021-10-21,GENUSPAPER,11.5,11.5,10.9,11.2,110980,0.632,175596
2021-10-22,GENUSPAPER,11.45,11.45,10.7,10.8,174213,0.6235,279413
2021-10-25,GENUSPAPER,10.8,10.9,10.35,10.6,86467,0.7482,115568
2021-10-26,GENUSPAPER,10.6,11.0,10.5,10.8,91547,0.6070000000000001,150808
2021-10-27,GENUSPAPER,10.8,11.3,10.4,11.2,147467,0.562,262383
2021-10-28,GENUSPAPER,11.25,11.25,10.8,10.9,75338,0.6712,112238
2021-10-29,GENUSPAPER,10.9,10.9,10.55,10.55,102370,0.5037,203255
2021-11-01,GENUSPAPER,10.6,10.75,10.35,10.45,67135,0.6716,99961
2021-11-02,GENUSPAPER,10.6,10.65,10.5,10.55,37229,0.7489,49712
2021-11-03,GENUSPAPER,10.55,10.75,10.4,10.45,82897,0.6744,122921
2021-11-04,GENUSPAPER,10.6,10.75,10.25,10.55,55403,0.6209,89237
2021-11-08,GENUSPAPER,10.7,10.8,10.5,10.6,119349,0.6631999999999999,179960
2021-11-09,GENUSPAPER,10.7,11.05,10.7,10.95,208667,0.7046,296157
2021-11-10,GENUSPAPER,11.15,11.45,11.15,11.45,365482,0.8135,449274
2021-11-11,GENUSPAPER,11.55,11.95,11.25,11.3,320599,0.7382,434279
2021-11-12,GENUSPAPER,11.5,11.5,11.0,11.1,172397,0.765,225370
2021-11-15,GENUSPAPER,10.55,10.55,10.55,10.55,123865,1.0,123865
2021-11-16,GENUSPAPER,10.05,10.5,10.05,10.15,528142,0.5,1056236
2021-11-17,GENUSPAPER,10.35,10.4,9.9,10.05,186186,0.7415999999999999,251048
2021-11-18,GENUSPAPER,10.2,10.2,9.6,10.05,199405,0.8220999999999999,242543
2021-11-22,GENUSPAPER,10.25,10.3,9.8,9.95,193034,0.7602,253914
2021-11-23,GENUSPAPER,9.9,10.2,9.8,10.15,114398,0.7685,148865
2021-11-24,GENUSPAPER,10.15,10.6,10.05,10.4,86859,0.3969,218848
2021-11-25,GENUSPAPER,10.55,10.55,10.15,10.3,98933,0.6537999999999999,151326
2021-11-26,GENUSPAPER,10.4,10.4,10.05,10.2,144439,0.7323000000000001,197227
2021-11-29,GENUSPAPER,10.05,10.2,9.75,10.0,179768,0.7459,241009
2021-11-30,GENUSPAPER,9.85,10.25,9.85,10.0,81908,0.8085,101311
2021-12-01,GENUSPAPER,9.9,10.25,9.9,10.0,61985,0.6761,91679
2021-12-02,GENUSPAPER,10.1,10.5,9.9,10.25,256689,0.7089,362099
2021-12-03,GENUSPAPER,10.45,10.7,10.3,10.55,140148,0.5936,236105
2021-12-06,GENUSPAPER,10.65,10.95,10.5,10.55,107901,0.7295,147907
2021-12-07,GENUSPAPER,10.9,10.9,10.25,10.55,61631,0.6637000000000001,92863
2021-12-08,GENUSPAPER,10.8,10.8,10.4,10.65,94839,0.72,131725
2021-12-09,GENUSPAPER,10.9,11.7,10.7,11.7,514169,0.7188,715331
2021-12-10,GENUSPAPER,12.0,12.25,11.5,11.85,546982,0.6755,809757
2021-12-13,GENUSPAPER,12.0,12.3,11.4,11.55,226148,0.6905,327522
2021-12-14,GENUSPAPER,11.35,12.0,11.2,11.65,210234,0.6470999999999999,324881
2021-12-15,GENUSPAPER,11.75,11.9,11.5,11.7,146174,0.5717,255698
2021-12-16,GENUSPAPER,11.85,11.85,11.35,11.4,209146,0.7989,261796
2021-12-17,GENUSPAPER,11.25,11.35,10.95,11.25,140507,0.7561,185828
2021-12-20,GENUSPAPER,11.0,11.15,10.5,10.85,156098,0.5249,297403
2021-12-21,GENUSPAPER,11.0,11.9,10.6,11.25,248674,0.42840000000000006,580416
2021-12-22,GENUSPAPER,11.65,11.65,11.25,11.35,172775,0.755,228856
2021-12-23,GENUSPAPER,11.4,11.5,10.55,11.25,180655,0.6607999999999999,273392
2021-12-24,GENUSPAPER,11.4,11.4,11.05,11.1,48934,0.6874,71188
2021-12-27,GENUSPAPER,11.1,11.25,10.7,11.0,107403,0.7084,151616
2021-12-28,GENUSPAPER,11.0,11.7,10.95,11.55,321460,0.6615000000000001,485980
2021-12-29,GENUSPAPER,11.75,11.75,11.3,11.35,134326,0.6059,221703
2021-12-30,GENUSPAPER,11.5,11.55,11.2,11.4,210642,0.7028,299708
2021-12-31,GENUSPAPER,11.5,11.85,11.25,11.7,279095,0.5881000000000001,474540
2022-01-03,GENUSPAPER,12.6,12.85,12.25,12.85,1193155,0.8440000000000001,1413727
2022-01-04,GENUSPAPER,13.75,13.75,12.5,12.9,1262583,0.6731999999999999,1875512
2022-01-05,GENUSPAPER,13.15,13.6,12.75,12.95,582856,0.6459999999999999,902265
2022-01-06,GENUSPAPER,13.0,13.3,12.5,13.2,495677,0.5889,841670
2022-01-07,GENUSPAPER,13.5,13.7,13.1,13.25,497970,0.7284999999999999,683599
2022-01-10,GENUSPAPER,13.55,14.15,13.25,14.05,958079,0.7236,1323967
2022-01-11,GENUSPAPER,14.45,14.5,13.75,13.95,712491,0.6942,1026344
2022-01-12,GENUSPAPER,14.1,14.1,13.1,13.2,482375,0.7502,643012
2022-01-13,GENUSPAPER,13.2,13.2,12.5,12.95,445991,0.6163000000000001,723639
2022-01-14,GENUSPAPER,12.95,14.2,12.85,14.2,640233,0.8433,759209
2022-01-17,GENUSPAPER,14.5,14.85,13.75,14.0,867529,0.7488,1158572
2022-01-18,GENUSPAPER,14.2,14.2,13.4,13.55,412638,0.684,603231
2022-01-19,GENUSPAPER,13.85,13.85,13.2,13.4,186066,0.6248,297813
2022-01-20,GENUSPAPER,13.75,13.8,13.3,13.45,176252,0.6729,261937
2022-01-21,GENUSPAPER,13.6,13.7,13.05,13.4,221627,0.5539000000000001,400100
2022-01-24,GENUSPAPER,13.65,13.65,12.25,12.7,148832,0.5588000000000001,539064
2022-01-25,GENUSPAPER,12.15,13.35,11.85,13.15,173789,0.5608,309883
2022-01-27,GENUSPAPER,13.3,13.5,12.65,13.1,235954,0.5972,395100
2022-01-28,GENUSPAPER,12.95,13.4,12.75,12.8,180812,0.5596,323095
2022-01-31,GENUSPAPER,12.8,13.0,12.5,12.65,219934,0.7036,312586
2022-02-01,GENUSPAPER,12.65,12.9,12.0,12.35,189674,0.5761999999999999,329206
2022-02-02,GENUSPAPER,12.6,13.55,12.25,13.55,326400,0.7422,439746
2022-02-03,GENUSPAPER,14.25,14.9,13.75,14.9,1662975,0.7042,2361507
2022-02-04,GENUSPAPER,14.95,15.8,14.45,15.2,943360,0.4733,1993022
2022-02-07,GENUSPAPER,15.45,16.2,15.35,15.55,806621,0.7099,1136306
2022-02-08,GENUSPAPER,15.7,16.2,14.25,15.8,560259,0.5213,1074668
2022-02-09,GENUSPAPER,15.9,16.1,14.9,15.25,395935,0.6257,632787
2022-02-10,GENUSPAPER,15.45,15.95,14.9,15.8,445630,0.7767000000000001,573738
2022-02-11,GENUSPAPER,15.55,16.5,15.4,15.7,430461,0.6172,697437
2022-02-14,GENUSPAPER,15.05,15.5,13.8,14.35,292584,0.5596,522854
2022-02-15,GENUSPAPER,14.6,15.7,12.1,14.65,278639,0.4606,604921
2022-02-16,GENUSPAPER,14.85,15.45,14.6,14.75,254428,0.4697,541661
2022-02-17,GENUSPAPER,14.75,15.2,14.5,15.0,235985,0.6367,370633
2022-02-18,GENUSPAPER,15.0,15.0,14.1,14.25,135059,0.6687000000000001,201961
2022-02-21,GENUSPAPER,14.1,14.2,13.55,13.65,134031,0.6133,218554
2022-02-22,GENUSPAPER,13.0,13.95,12.4,13.2,183335,0.5236,350141
2022-02-23,GENUSPAPER,13.15,13.9,13.15,13.6,101928,0.6054,168377
2022-02-24,GENUSPAPER,13.0,13.75,11.75,12.15,441297,0.6652,663362
2022-02-25,GENUSPAPER,12.5,13.3,12.3,12.55,361930,0.5959000000000001,607405
2022-02-28,GENUSPAPER,12.8,13.25,12.35,12.7,159043,0.34770000000000006,457352
2022-03-02,GENUSPAPER,12.9,13.85,12.8,13.2,200127,0.544,367911
2022-03-03,GENUSPAPER,13.35,13.6,12.9,13.0,141654,0.5715,247868
2022-03-04,GENUSPAPER,13.0,13.25,12.5,12.75,156900,0.5777,271595
2022-03-07,GENUSPAPER,12.5,12.9,11.25,12.55,130640,0.6262,208616
2022-03-08,GENUSPAPER,12.35,12.95,12.2,12.8,68189,0.5301,128637
2022-03-09,GENUSPAPER,12.95,13.15,12.8,12.95,95915,0.75,127895
2022-03-10,GENUSPAPER,13.45,13.8,13.1,13.15,173099,0.7148000000000001,242161
2022-03-11,GENUSPAPER,13.45,14.35,13.15,14.05,346347,0.5095000000000001,679805
2022-03-14,GENUSPAPER,14.05,14.65,13.8,13.9,233487,0.5509000000000001,423832
2022-03-15,GENUSPAPER,13.95,15.35,13.95,14.6,530425,0.37770000000000004,1404516
2022-03-16,GENUSPAPER,15.2,16.0,14.4,15.0,1497032,0.4326,3460825
2022-03-17,GENUSPAPER,15.25,15.9,15.25,15.6,726747,0.5603,1297069
2022-03-21,GENUSPAPER,16.0,16.3,15.3,15.4,651876,0.5674,1148921
2022-03-22,GENUSPAPER,15.45,15.7,14.65,14.8,326990,0.5428000000000001,602403
2022-03-23,GENUSPAPER,14.95,15.25,14.85,14.95,232472,0.6764,343684
2022-03-24,GENUSPAPER,14.85,15.2,14.7,14.85,164394,0.653,251763
2022-03-25,GENUSPAPER,14.85,15.0,14.5,14.75,136066,0.6001,226741
2022-03-28,GENUSPAPER,14.75,14.75,13.35,13.7,387885,0.5178,749132
2022-03-29,GENUSPAPER,14.0,14.4,13.2,13.85,316342,0.4817,656671
2022-03-30,GENUSPAPER,14.2,14.4,13.75,13.8,131994,0.6165,214093
2022-03-31,GENUSPAPER,13.9,14.1,13.8,13.9,125473,0.7046,178066
2022-04-01,GENUSPAPER,14.0,15.55,13.9,15.4,738518,0.5074000000000001,1455433
2022-04-04,GENUSPAPER,15.9,18.45,15.8,18.45,1878383,0.6886,2727973
2022-04-05,GENUSPAPER,21.4,21.4,18.85,19.85,5401803,0.5423,9961313
2022-04-06,GENUSPAPER,20.1,20.8,19.3,19.45,1046155,0.5720000000000001,1829056
2022-04-07,GENUSPAPER,19.8,20.0,17.75,18.3,924629,0.6058,1526189
2022-04-08,GENUSPAPER,18.7,19.5,18.3,18.65,603555,0.5395000000000001,1118792
2022-04-11,GENUSPAPER,19.0,19.5,18.65,19.15,598628,0.6934,863340
2022-04-12,GENUSPAPER,19.2,19.3,17.8,18.1,668910,0.7132,937959
2022-04-13,GENUSPAPER,18.5,19.25,18.1,19.05,597521,0.6342,942141
2022-04-18,GENUSPAPER,18.9,20.95,18.35,20.7,1952378,0.6808,2867930
2022-04-19,GENUSPAPER,21.9,22.75,20.15,22.0,2518888,0.4796,5252479
2022-04-20,GENUSPAPER,23.0,23.55,21.5,21.75,1329171,0.5777,2300854
2022-04-21,GENUSPAPER,22.75,23.9,22.2,23.9,2410795,0.654,3686430
2022-04-22,GENUSPAPER,23.9,25.05,23.05,25.0,2896161,0.4928,5876432
2022-04-25,GENUSPAPER,25.0,26.0,24.6,25.6,1163096,0.611,1903477
2022-04-26,GENUSPAPER,26.3,26.55,24.35,24.35,1894482,0.7728,2451542
2022-04-27,GENUSPAPER,24.0,24.0,23.15,23.15,935255,0.8175,1144034
2022-04-28,GENUSPAPER,22.3,22.45,22.0,22.0,275107,0.7028,391434
2022-04-29,GENUSPAPER,20.9,22.15,20.9,20.9,677172,0.6419,1054980
2022-05-02,GENUSPAPER,20.25,20.4,19.9,19.9,178544,0.7127,250531
2022-05-04,GENUSPAPER,19.1,19.5,18.95,18.95,428009,0.7704000000000001,555574
2022-05-05,GENUSPAPER,18.55,19.85,18.05,19.85,858723,0.5384000000000001,1594874
2022-05-06,GENUSPAPER,19.3,19.7,18.9,18.9,531002,0.7545999999999999,703657
2022-05-09,GENUSPAPER,18.45,18.8,18.0,18.25,332263,0.6215,534636
2022-05-10,GENUSPAPER,18.05,18.7,17.4,17.45,233767,0.6125,381643
2022-05-11,GENUSPAPER,17.45,18.0,16.6,16.6,385537,0.6399,602482
2022-05-12,GENUSPAPER,16.0,16.2,15.8,15.8,142046,0.8892,159751
2022-05-13,GENUSPAPER,15.75,16.55,15.2,16.55,295707,0.5892000000000001,501852
2022-05-16,GENUSPAPER,15.8,17.25,15.8,16.45,274861,0.38810000000000006,708303
2022-05-17,GENUSPAPER,16.65,17.25,16.15,17.25,181942,0.5325,341661
2022-05-18,GENUSPAPER,17.9,18.1,17.25,17.85,491017,0.7189,682967
2022-05-19,GENUSPAPER,17.25,17.8,17.0,17.0,253431,0.5728,442457
2022-05-20,GENUSPAPER,17.45,17.85,17.2,17.85,190331,0.7209000000000001,264002
2022-05-23,GENUSPAPER,18.2,18.65,17.2,17.3,188188,0.6781999999999999,277478
2022-05-24,GENUSPAPER,17.75,17.75,17.0,17.4,57931,0.5588000000000001,103674
2022-05-25,GENUSPAPER,17.4,17.5,16.55,16.55,135841,0.6147,220985
2022-05-26,GENUSPAPER,16.6,17.35,15.95,16.65,115945,0.4375,265042
2022-05-27,GENUSPAPER,17.45,17.45,16.8,17.4,170838,0.6688,255456
2022-05-30,GENUSPAPER,17.9,17.9,17.1,17.25,111775,0.6497,172051
2022-05-31,GENUSPAPER,17.25,17.35,16.6,17.1,76952,0.5411,142208
2022-06-01,GENUSPAPER,16.8,17.35,16.8,17.0,135380,0.7238,187037
2022-06-02,GENUSPAPER,16.85,17.65,16.85,17.45,122243,0.6261,195232
2022-06-03,GENUSPAPER,17.2,17.8,17.1,17.25,71669,0.5583,128380
2022-06-06,GENUSPAPER,17.6,17.6,16.65,16.85,125160,0.5771000000000001,216882
2022-06-07,GENUSPAPER,16.8,17.25,16.55,16.9,87484,0.6023,145261
2022-06-08,GENUSPAPER,16.85,17.7,16.85,16.95,53605,0.5507,97341
2022-06-09,GENUSPAPER,17.1,17.15,16.85,17.0,68463,0.5815,117742
2022-06-10,GENUSPAPER,17.0,17.2,16.75,17.05,56152,0.7444,75428
2022-06-13,GENUSPAPER,16.4,16.6,16.2,16.2,113438,0.7532,150616
2022-06-14,GENUSPAPER,15.75,16.55,15.4,15.85,115568,0.5784,199798
2022-06-15,GENUSPAPER,16.15,16.15,15.35,15.6,73842,0.6444,114592
2022-06-16,GENUSPAPER,15.75,16.1,14.85,14.85,139604,0.41270000000000007,338245
2022-06-17,GENUSPAPER,14.3,15.5,14.15,14.25,153769,0.6319,243356
2022-06-20,GENUSPAPER,14.0,14.45,13.55,13.55,104021,0.45189999999999997,230196
2022-06-21,GENUSPAPER,13.55,14.2,13.05,13.95,134078,0.706,189910
2022-06-22,GENUSPAPER,14.05,14.4,13.6,14.1,85809,0.5476,156706
2022-06-23,GENUSPAPER,14.25,14.55,14.05,14.25,32023,0.5393,77239
2022-06-24,GENUSPAPER,14.2,14.95,14.2,14.95,60090,0.8168000000000001,73571
2022-06-27,GENUSPAPER,14.9,15.65,14.9,15.65,79902,0.5742,139152
2022-06-28,GENUSPAPER,15.65,16.4,15.1,16.4,166513,0.46020000000000005,361839
2022-06-29,GENUSPAPER,16.65,17.2,16.4,17.2,202920,0.6799,298469
2022-06-30,GENUSPAPER,17.5,17.85,16.35,16.35,234023,0.5891,397274
2022-07-01,GENUSPAPER,16.35,16.9,15.85,16.2,136185,0.4155,327773
2022-07-04,GENUSPAPER,16.45,16.95,16.2,16.35,145411,0.6436000000000001,225920
2022-07-05,GENUSPAPER,16.75,17.05,16.55,16.6,87057,0.6874,126654
2022-07-06,GENUSPAPER,17.0,17.0,16.2,16.25,59483,0.555,107169
2022-07-07,GENUSPAPER,16.45,16.8,16.2,16.3,48107,0.5715,84177
2022-07-08,GENUSPAPER,16.65,16.7,16.0,16.2,78189,0.6596,118548
2022-07-11,GENUSPAPER,16.2,16.45,15.95,16.1,56745,0.4201,135063
2022-07-12,GENUSPAPER,15.95,16.5,15.85,16.3,100941,0.653,154573
2022-07-13,GENUSPAPER,16.65,17.1,16.45,17.1,187923,0.5634,333540
2022-07-14,GENUSPAPER,17.1,17.7,16.25,16.3,164912,0.5339,308889
2022-07-15,GENUSPAPER,16.65,17.1,16.4,17.05,145596,0.5529999999999999,263264
2022-07-18,GENUSPAPER,17.65,17.9,17.25,17.75,198145,0.6513,304242
2022-07-19,GENUSPAPER,17.95,17.95,17.05,17.35,128752,0.4547,283181
2022-07-20,GENUSPAPER,17.55,17.75,16.9,17.15,130891,0.631,207431
2022-07-21,GENUSPAPER,17.4,17.4,16.6,17.1,63981,0.46630000000000005,137220
2022-07-22,GENUSPAPER,17.3,17.6,16.55,17.1,150073,0.5283,284054
2022-07-25,GENUSPAPER,17.35,17.35,16.8,17.05,65887,0.6936,94992
2022-07-26,GENUSPAPER,17.1,17.15,16.6,16.7,118900,0.5834,203819
2022-07-27,GENUSPAPER,17.05,17.2,16.6,16.95,151806,0.7361,206242
2022-07-28,GENUSPAPER,17.25,17.4,16.85,17.1,171688,0.627,273817
2022-07-29,GENUSPAPER,17.25,17.25,16.5,16.75,169749,0.6668000000000001,254577
2022-08-01,GENUSPAPER,16.95,17.55,16.85,17.15,665916,0.6934,960379
2022-08-02,GENUSPAPER,17.15,17.8,16.8,17.5,324817,0.5721,567741
2022-08-03,GENUSPAPER,17.55,17.55,16.9,17.1,97928,0.6786,144315
2022-08-04,GENUSPAPER,17.35,17.5,16.7,17.1,168948,0.38070000000000004,443806
2022-08-05,GENUSPAPER,17.5,17.6,16.85,16.95,142815,0.6209,230009
2022-08-08,GENUSPAPER,16.95,17.3,16.8,17.0,176356,0.6298,280035
2022-08-10,GENUSPAPER,17.2,17.85,16.9,17.3,466011,0.43100000000000005,1081349
2022-08-11,GENUSPAPER,17.7,17.9,17.1,17.2,293091,0.5777,507341
2022-08-12,GENUSPAPER,17.3,17.5,17.05,17.15,126926,0.6251,203057
2022-08-16,GENUSPAPER,17.2,17.3,16.8,17.0,184000,0.6798000000000001,270685
2022-08-17,GENUSPAPER,16.85,17.4,16.85,17.15,166288,0.6763,245897
2022-08-18,GENUSPAPER,16.95,17.75,16.95,17.15,201056,0.6638,302898
2022-08-19,GENUSPAPER,17.15,17.25,16.95,16.95,118272,0.7236,163440
2022-08-22,GENUSPAPER,16.95,17.1,16.5,16.65,146839,0.6064,242165
2022-08-23,GENUSPAPER,16.7,16.9,16.5,16.7,108501,0.5592,194027
2022-08-24,GENUSPAPER,16.5,17.35,16.5,16.95,223026,0.5476,407312
2022-08-25,GENUSPAPER,17.15,17.2,16.9,17.0,145929,0.6048,241287
2022-08-26,GENUSPAPER,17.3,17.3,16.9,16.9,102771,0.7393000000000001,139005
2022-08-29,GENUSPAPER,16.8,16.95,16.15,16.55,126787,0.5367000000000001,236224
2022-08-30,GENUSPAPER,16.75,16.85,16.6,16.7,121036,0.6245,193810
2022-09-01,GENUSPAPER,16.75,17.1,16.7,17.05,165312,0.7065,233986
2022-09-02,GENUSPAPER,17.2,17.2,16.85,16.9,157302,0.5949,264411
2022-09-05,GENUSPAPER,17.1,17.1,16.5,16.8,239058,0.6048,395298
2022-09-06,GENUSPAPER,17.05,17.05,16.7,16.7,103021,0.5881000000000001,175172
2022-09-07,GENUSPAPER,16.9,17.0,16.7,16.8,135066,0.7016,192504
2022-09-08,GENUSPAPER,16.95,17.5,16.8,16.9,486986,0.6011,810130
2022-09-09,GENUSPAPER,17.1,17.1,16.65,16.75,202084,0.7534000000000001,268236
2022-09-12,GENUSPAPER,16.9,16.9,16.6,16.7,94780,0.6431,147381
2022-09-13,GENUSPAPER,16.9,16.9,16.65,16.75,97723,0.5674,172233
2022-09-14,GENUSPAPER,16.6,16.9,16.6,16.75,150502,0.6807,221098
2022-09-15,GENUSPAPER,16.75,16.85,16.6,16.6,155018,0.6892,224921
2022-09-16,GENUSPAPER,16.6,16.75,15.3,15.6,588534,0.8637,681404
2022-09-19,GENUSPAPER,15.4,16.5,15.2,15.8,330997,0.7334,451326
2022-09-20,GENUSPAPER,16.25,16.65,16.0,16.25,150323,0.6616,227209
2022-09-21,GENUSPAPER,16.25,16.4,15.8,15.95,75424,0.6831999999999999,110392
2022-09-22,GENUSPAPER,15.95,16.0,15.6,15.85,54172,0.5827,92964
2022-09-23,GENUSPAPER,15.85,16.4,15.6,15.85,102163,0.5584,182964
2022-09-26,GENUSPAPER,15.65,15.7,14.75,15.2,138558,0.6702,206733
2022-09-27,GENUSPAPER,15.2,15.6,14.95,15.15,59801,0.623,108181
2022-09-28,GENUSPAPER,15.2,16.5,14.85,15.9,269253,0.5518,487976
