Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,GEOJITFSL,78.5,79.9,77.55,78.35,91311,0.4232,215765
2021-09-02,GEOJITFSL,78.45,79.9,78.05,78.8,122848,0.532,230930
2021-09-03,GEOJITFSL,78.8,80.6,77.4,78.0,138954,0.4131,336400
2021-09-06,GEOJITFSL,78.1,79.55,78.1,78.65,114808,0.5571,206097
2021-09-07,GEOJITFSL,79.25,79.25,77.3,77.45,89462,0.5598,159811
2021-09-08,GEOJITFSL,77.9,78.6,76.7,77.35,84142,0.3523,238836
2021-09-09,GEOJITFSL,77.35,79.2,77.05,78.45,90412,0.434,208337
2021-09-13,GEOJITFSL,79.0,81.5,78.6,79.25,145292,0.4215,344671
2021-09-14,GEOJITFSL,79.55,80.45,78.95,79.15,136699,0.5336,256190
2021-09-15,GEOJITFSL,79.2,81.0,79.2,79.75,149196,0.5590999999999999,266839
2021-09-16,GEOJITFSL,79.75,80.6,79.05,79.45,154257,0.5393,286008
2021-09-17,GEOJITFSL,79.5,81.25,77.1,80.05,269969,0.5247999999999999,514433
2021-09-20,GEOJITFSL,79.5,80.0,77.2,77.4,113943,0.5889,193489
2021-09-21,GEOJITFSL,77.8,78.5,73.6,76.85,167708,0.4455,376422
2021-09-22,GEOJITFSL,78.9,78.9,76.4,76.7,111701,0.5086999999999999,219572
2021-09-23,GEOJITFSL,77.95,79.15,77.1,77.4,112461,0.41490000000000005,271078
2021-09-24,GEOJITFSL,77.1,79.8,76.3,76.55,100768,0.5458,184631
2021-09-27,GEOJITFSL,77.0,77.95,75.0,76.4,120814,0.4949,244141
2021-09-28,GEOJITFSL,76.55,79.25,76.35,76.8,140600,0.4058,346470
2021-09-29,GEOJITFSL,76.9,77.95,76.25,77.1,122622,0.46380000000000005,264377
2021-09-30,GEOJITFSL,77.4,78.7,75.5,76.4,109656,0.5224,209899
2021-10-01,GEOJITFSL,76.45,80.5,76.4,79.75,230567,0.457,504566
2021-10-04,GEOJITFSL,80.8,82.35,80.8,81.85,436971,0.5493,795530
2021-10-05,GEOJITFSL,82.2,82.3,80.35,80.8,189679,0.6027,314716
2021-10-06,GEOJITFSL,81.3,82.1,78.8,79.1,171381,0.5975,286845
2021-10-07,GEOJITFSL,79.95,80.8,79.25,79.7,135006,0.5748,234886
2021-10-08,GEOJITFSL,80.5,81.75,79.7,80.4,158526,0.44560000000000005,355734
2021-10-11,GEOJITFSL,80.8,85.35,80.4,83.25,393292,0.4804,818717
2021-10-12,GEOJITFSL,83.0,88.75,83.0,87.85,780255,0.4662,1673638
2021-10-13,GEOJITFSL,88.7,89.5,86.0,86.55,415472,0.3975,1045237
2021-10-14,GEOJITFSL,87.1,87.45,86.0,86.55,245513,0.5524,444438
2021-10-18,GEOJITFSL,87.0,88.5,85.7,86.1,304327,0.5817,523196
2021-10-19,GEOJITFSL,86.65,86.9,81.75,82.4,247267,0.5579,443230
2021-10-20,GEOJITFSL,83.0,84.0,80.5,81.45,186578,0.4282,435751
2021-10-21,GEOJITFSL,83.3,90.3,82.1,89.0,790506,0.6189,1277238
2021-10-22,GEOJITFSL,89.5,89.7,86.0,87.5,351111,0.5463,642728
2021-10-25,GEOJITFSL,87.55,88.4,82.0,83.85,214675,0.4047,530441
2021-10-26,GEOJITFSL,84.05,86.25,83.3,85.6,108538,0.4282,253472
2021-10-27,GEOJITFSL,85.5,88.8,82.8,83.75,206395,0.3753,549893
2021-10-28,GEOJITFSL,84.7,85.0,81.4,81.85,119935,0.5286,226882
2021-10-29,GEOJITFSL,82.0,83.2,79.0,80.85,114680,0.34520000000000006,332258
2021-11-01,GEOJITFSL,81.2,83.55,79.85,81.1,122620,0.47340000000000004,258995
2021-11-02,GEOJITFSL,81.25,82.65,80.85,81.4,84197,0.5004,168271
2021-11-03,GEOJITFSL,81.9,83.1,80.5,80.75,66226,0.4598,144028
2021-11-04,GEOJITFSL,81.4,82.45,80.75,82.05,65415,0.7047,92829
2021-11-08,GEOJITFSL,82.6,82.6,80.25,81.1,107240,0.5635,190316
2021-11-09,GEOJITFSL,81.0,82.5,80.9,81.5,109055,0.5301,205717
2021-11-10,GEOJITFSL,81.3,82.2,80.5,80.7,116207,0.6206,187257
2021-11-11,GEOJITFSL,80.6,80.9,79.75,79.95,109112,0.5376,202951
2021-11-12,GEOJITFSL,80.0,81.55,79.7,79.9,78872,0.47909999999999997,164614
2021-11-15,GEOJITFSL,80.4,80.4,77.0,78.05,123267,0.5682,216932
2021-11-16,GEOJITFSL,78.35,79.0,77.05,78.4,81792,0.5925,138055
2021-11-17,GEOJITFSL,78.15,78.75,77.5,78.0,79508,0.5987,132803
2021-11-18,GEOJITFSL,78.4,78.4,76.1,76.8,94539,0.5353,176612
2021-11-22,GEOJITFSL,76.8,76.8,72.6,73.25,170607,0.5396,316198
2021-11-23,GEOJITFSL,72.0,76.7,72.0,75.6,71338,0.45420000000000005,157064
2021-11-24,GEOJITFSL,76.3,77.9,74.55,75.75,76545,0.3246,235846
2021-11-25,GEOJITFSL,75.45,76.05,74.2,74.65,73905,0.6031000000000001,122544
2021-11-26,GEOJITFSL,74.25,74.65,72.4,72.7,121984,0.5959000000000001,204689
2021-11-29,GEOJITFSL,71.2,72.35,65.65,68.65,201256,0.38770000000000004,519130
2021-11-30,GEOJITFSL,67.4,73.95,67.4,71.3,96656,0.3243,298075
2021-12-01,GEOJITFSL,72.8,75.0,72.1,74.35,146517,0.5145000000000001,284801
2021-12-02,GEOJITFSL,75.0,76.1,73.1,74.05,114151,0.4289,266163
2021-12-03,GEOJITFSL,74.7,75.3,73.4,73.8,72449,0.525,138003
2021-12-06,GEOJITFSL,74.6,74.6,72.05,72.25,56324,0.4669,120636
2021-12-07,GEOJITFSL,74.0,74.0,72.45,72.85,57809,0.5693,101550
2021-12-08,GEOJITFSL,73.55,73.95,73.1,73.3,83599,0.6886,121408
2021-12-09,GEOJITFSL,74.0,74.9,72.6,73.6,129525,0.5115,253207
2021-12-10,GEOJITFSL,74.25,74.5,73.25,74.1,80226,0.5193,154490
2021-12-13,GEOJITFSL,75.0,75.5,74.05,74.3,72058,0.6015,119794
2021-12-14,GEOJITFSL,73.9,75.25,73.4,74.65,74202,0.4336,171116
2021-12-15,GEOJITFSL,75.1,77.2,74.25,75.3,107956,0.4243,254421
2021-12-16,GEOJITFSL,75.1,76.25,72.95,73.4,86377,0.37770000000000004,228708
2021-12-17,GEOJITFSL,74.9,74.9,72.25,72.4,66756,0.554,120498
2021-12-20,GEOJITFSL,71.0,72.0,68.0,69.05,137085,0.538,254819
2021-12-21,GEOJITFSL,70.45,71.35,69.45,70.0,60573,0.46390000000000003,130581
2021-12-22,GEOJITFSL,70.8,72.5,70.5,71.1,55186,0.4318,127813
2021-12-23,GEOJITFSL,72.45,72.85,71.45,72.15,54175,0.4932,109845
2021-12-24,GEOJITFSL,73.5,73.5,71.25,71.5,33911,0.46590000000000004,72784
2021-12-27,GEOJITFSL,70.35,71.55,70.35,71.2,44222,0.5578000000000001,79277
2021-12-28,GEOJITFSL,71.2,73.0,71.2,72.2,70647,0.5162,136873
2021-12-29,GEOJITFSL,72.1,73.0,69.7,71.65,93565,0.4927,189888
2021-12-30,GEOJITFSL,72.3,79.45,72.0,77.25,387070,0.2761,1401924
2021-12-31,GEOJITFSL,77.25,77.4,74.6,75.25,137578,0.4678,294109
2022-01-03,GEOJITFSL,76.5,76.95,75.5,76.0,113587,0.5229,217240
2022-01-04,GEOJITFSL,76.4,76.95,75.8,76.05,101231,0.5714,177165
2022-01-05,GEOJITFSL,76.45,79.0,75.8,76.55,170760,0.43229999999999996,394971
2022-01-06,GEOJITFSL,76.2,78.0,75.3,77.05,102082,0.4144,246347
2022-01-07,GEOJITFSL,78.0,79.0,77.2,78.5,191015,0.5546,344437
2022-01-10,GEOJITFSL,79.15,81.75,78.8,81.2,324987,0.5103,636914
2022-01-11,GEOJITFSL,81.6,81.6,79.4,80.85,146424,0.4965,294891
2022-01-12,GEOJITFSL,81.0,81.3,78.7,79.1,104233,0.5274,197653
2022-01-13,GEOJITFSL,79.7,85.0,78.85,82.5,383329,0.4905,781489
2022-01-14,GEOJITFSL,82.0,83.3,81.65,82.75,154741,0.5355,288954
2022-01-17,GEOJITFSL,83.2,85.0,82.85,83.75,204061,0.534,382104
2022-01-18,GEOJITFSL,84.4,86.25,81.8,82.55,242384,0.4963,488338
2022-01-19,GEOJITFSL,82.25,83.9,80.4,83.0,111329,0.438,254198
2022-01-20,GEOJITFSL,83.6,85.25,82.8,84.4,178664,0.5417000000000001,329834
2022-01-21,GEOJITFSL,84.0,86.9,82.4,84.25,287010,0.4514,635820
2022-01-24,GEOJITFSL,84.25,85.0,75.05,77.45,75542,0.4495,687248
2022-01-25,GEOJITFSL,75.0,79.75,74.7,79.55,86231,0.45659999999999995,188871
2022-01-27,GEOJITFSL,78.9,81.4,77.2,80.8,118768,0.4061,292435
2022-01-28,GEOJITFSL,81.45,83.9,81.05,81.7,140730,0.5139,273865
2022-01-31,GEOJITFSL,81.0,87.4,76.6,79.6,710793,0.261,2723448
2022-02-01,GEOJITFSL,80.6,83.3,78.2,81.1,193349,0.2668,724666
2022-02-02,GEOJITFSL,81.3,83.45,80.8,81.65,213069,0.45189999999999997,471544
2022-02-03,GEOJITFSL,81.65,82.4,79.8,80.3,140698,0.5003,281238
2022-02-04,GEOJITFSL,80.0,80.8,78.6,78.8,98557,0.5158,191075
2022-02-07,GEOJITFSL,78.95,81.7,78.15,79.95,163867,0.3616,453180
2022-02-08,GEOJITFSL,79.2,79.9,76.9,77.55,133363,0.5391,247363
2022-02-09,GEOJITFSL,77.95,78.8,77.3,77.95,64782,0.44200000000000006,146554
2022-02-10,GEOJITFSL,77.8,82.4,77.35,80.3,226499,0.3454,655701
2022-02-11,GEOJITFSL,78.75,79.8,78.0,78.3,137897,0.5452,252909
2022-02-14,GEOJITFSL,77.05,77.15,73.6,74.1,219998,0.5981000000000001,367854
2022-02-15,GEOJITFSL,75.6,75.7,72.8,74.75,280146,0.5836,480013
2022-02-16,GEOJITFSL,75.9,76.55,74.5,74.75,118203,0.5288,223524
2022-02-17,GEOJITFSL,75.2,75.3,72.0,72.55,108613,0.6563,165497
2022-02-18,GEOJITFSL,72.4,72.95,71.0,71.3,170084,0.6032000000000001,281974
2022-02-21,GEOJITFSL,69.55,70.5,67.3,67.95,168598,0.6194,272185
2022-02-22,GEOJITFSL,64.0,67.8,64.0,66.85,167129,0.5061,330233
2022-02-23,GEOJITFSL,67.0,69.9,67.0,68.3,247355,0.5944,416177
2022-02-24,GEOJITFSL,67.0,67.0,62.0,63.1,244503,0.5427000000000001,450493
2022-02-25,GEOJITFSL,65.4,66.7,64.05,65.6,183767,0.5801,316767
2022-02-28,GEOJITFSL,65.95,65.95,63.2,64.35,145218,0.5214,278531
2022-03-02,GEOJITFSL,65.0,65.0,63.5,64.0,114045,0.5846,195072
2022-03-03,GEOJITFSL,64.05,64.75,64.05,64.45,132261,0.6245,211789
2022-03-04,GEOJITFSL,63.85,64.25,62.0,62.35,159681,0.6686,238841
2022-03-07,GEOJITFSL,61.5,62.3,60.0,61.2,176231,0.6084,289684
2022-03-08,GEOJITFSL,62.4,63.0,60.5,61.3,129840,0.6262,207349
2022-03-09,GEOJITFSL,62.8,64.55,61.5,62.85,253066,0.5906,428518
2022-03-10,GEOJITFSL,63.85,63.85,63.0,63.15,165131,0.5948,277612
2022-03-11,GEOJITFSL,63.5,64.0,62.1,62.95,118293,0.5529000000000001,213950
2022-03-14,GEOJITFSL,63.0,63.0,61.2,61.8,202088,0.43100000000000005,468918
2022-03-15,GEOJITFSL,62.75,62.75,60.55,61.05,158047,0.6109,258723
2022-03-16,GEOJITFSL,62.95,63.85,61.85,63.15,365146,0.6509999999999999,560900
2022-03-17,GEOJITFSL,63.3,64.85,63.0,63.6,299816,0.4319,694178
2022-03-21,GEOJITFSL,63.6,64.3,61.95,62.4,406996,0.6619,614917
2022-03-22,GEOJITFSL,63.0,63.2,61.1,61.95,198339,0.5335,371747
2022-03-23,GEOJITFSL,62.0,62.75,61.4,61.55,182188,0.6472,281483
2022-03-24,GEOJITFSL,61.45,62.35,60.1,60.35,259457,0.6403,405204
2022-03-25,GEOJITFSL,61.4,62.45,60.35,60.65,356890,0.6362,560937
2022-03-28,GEOJITFSL,61.8,61.8,58.55,58.85,502001,0.7631,657835
2022-03-29,GEOJITFSL,59.0,59.4,57.0,57.8,462744,0.7267,636790
2022-03-30,GEOJITFSL,59.35,60.0,58.15,58.35,454824,0.5468999999999999,831636
2022-03-31,GEOJITFSL,58.6,64.3,58.6,62.5,371926,0.27690000000000003,1343365
2022-04-01,GEOJITFSL,63.0,65.9,62.6,65.2,373759,0.40030000000000004,933775
2022-04-04,GEOJITFSL,65.7,66.45,65.2,66.05,240482,0.4715,510078
2022-04-05,GEOJITFSL,66.3,68.0,65.65,66.75,231721,0.3948,586874
2022-04-06,GEOJITFSL,66.4,68.1,66.2,67.75,161973,0.2849,568441
2022-04-07,GEOJITFSL,68.45,69.9,67.65,68.4,214449,0.4194,511368
2022-04-08,GEOJITFSL,68.95,70.2,68.1,69.2,260644,0.4078,639137
2022-04-11,GEOJITFSL,69.7,70.6,69.0,70.15,200529,0.2901,691254
2022-04-12,GEOJITFSL,70.3,70.5,67.7,68.7,169691,0.2523,672523
2022-04-13,GEOJITFSL,69.45,70.15,69.0,69.85,137545,0.2469,557062
2022-04-18,GEOJITFSL,69.5,69.5,66.9,67.5,159995,0.43060000000000004,371566
2022-04-19,GEOJITFSL,67.5,69.4,64.8,66.85,164050,0.305,537902
2022-04-20,GEOJITFSL,67.85,70.5,66.8,69.55,396731,0.33520000000000005,1183527
2022-04-21,GEOJITFSL,70.5,71.3,67.45,69.25,225630,0.36920000000000003,611205
2022-04-22,GEOJITFSL,68.85,70.35,68.0,69.45,153025,0.25010000000000004,611800
2022-04-25,GEOJITFSL,68.0,68.55,67.1,67.55,103935,0.157,662166
2022-04-26,GEOJITFSL,68.25,68.75,67.4,67.75,114665,0.2479,462544
2022-04-27,GEOJITFSL,68.05,71.9,68.0,69.5,304271,0.2168,1403215
2022-04-28,GEOJITFSL,71.6,71.6,66.95,67.55,182476,0.31329999999999997,582512
2022-04-29,GEOJITFSL,68.3,68.55,65.05,65.75,283706,0.43579999999999997,650997
2022-05-02,GEOJITFSL,64.0,65.0,63.65,64.0,191157,0.4103,465862
2022-05-04,GEOJITFSL,66.0,67.45,62.6,63.5,189936,0.35509999999999997,534810
2022-05-05,GEOJITFSL,64.0,64.0,59.4,59.9,473812,0.46770000000000006,1013133
2022-05-06,GEOJITFSL,59.45,59.45,58.5,58.95,174241,0.5085000000000001,342670
2022-05-09,GEOJITFSL,58.5,58.85,56.1,57.2,171512,0.3889,441068
2022-05-10,GEOJITFSL,57.95,58.25,55.8,56.5,159604,0.5738000000000001,278140
2022-05-11,GEOJITFSL,56.5,57.25,52.9,53.6,199248,0.5545,359356
2022-05-12,GEOJITFSL,53.5,53.5,51.95,52.5,132817,0.4905,270773
2022-05-13,GEOJITFSL,53.2,54.3,53.2,53.6,161635,0.5615,287866
2022-05-16,GEOJITFSL,54.4,54.65,52.6,52.95,145375,0.41850000000000004,347378
2022-05-17,GEOJITFSL,54.05,54.2,52.4,53.3,443050,0.6642,667064
2022-05-18,GEOJITFSL,54.15,57.35,53.2,53.6,499808,0.4579,1091448
2022-05-19,GEOJITFSL,52.6,53.25,51.6,52.05,224635,0.5786,388249
2022-05-20,GEOJITFSL,53.7,53.7,50.8,51.25,395997,0.5204,760929
2022-05-23,GEOJITFSL,51.95,52.05,50.65,51.0,287926,0.6112,471060
2022-05-24,GEOJITFSL,51.65,51.65,50.3,50.8,100990,0.5659000000000001,178444
2022-05-25,GEOJITFSL,51.0,51.45,49.7,50.0,166425,0.5632,295476
2022-05-26,GEOJITFSL,50.45,50.7,48.7,49.85,146963,0.5491,267660
2022-05-27,GEOJITFSL,50.65,51.2,49.7,50.05,134840,0.5089,264947
2022-05-30,GEOJITFSL,51.05,51.2,49.75,49.9,320543,0.6479,494734
2022-05-31,GEOJITFSL,50.4,50.9,49.7,50.1,306550,0.6203000000000001,494165
2022-06-01,GEOJITFSL,50.25,50.7,49.8,50.2,314034,0.6462000000000001,485986
2022-06-02,GEOJITFSL,50.3,50.85,49.85,50.0,287656,0.538,534691
2022-06-03,GEOJITFSL,50.75,50.75,49.85,50.05,274858,0.6102000000000001,450461
2022-06-06,GEOJITFSL,50.2,50.3,49.15,49.65,80702,0.5892000000000001,136958
2022-06-07,GEOJITFSL,50.0,50.0,49.35,49.7,41340,0.5754,71846
2022-06-08,GEOJITFSL,50.15,50.15,48.75,49.15,194106,0.7302,265813
2022-06-09,GEOJITFSL,49.05,49.35,48.8,49.05,77422,0.7429000000000001,104211
2022-06-10,GEOJITFSL,48.75,49.25,48.7,48.95,94951,0.6931,136998
2022-06-13,GEOJITFSL,48.5,49.0,47.05,47.4,223631,0.6261,357160
2022-06-14,GEOJITFSL,47.3,49.0,47.0,48.8,94666,0.6115,154816
2022-06-15,GEOJITFSL,49.6,50.35,48.5,49.85,105221,0.6275000000000001,167693
2022-06-16,GEOJITFSL,50.7,50.7,47.1,47.55,78454,0.5324,147349
2022-06-17,GEOJITFSL,47.55,48.0,45.5,46.4,128140,0.5373,238510
2022-06-20,GEOJITFSL,46.8,46.8,43.35,43.8,145742,0.7272,200408
2022-06-21,GEOJITFSL,44.45,49.5,44.05,47.6,107407,0.48490000000000005,221495
2022-06-22,GEOJITFSL,47.6,48.55,47.0,48.0,102289,0.5236999999999999,195313
2022-06-23,GEOJITFSL,48.05,49.65,48.05,49.0,87022,0.6219,185934
2022-06-24,GEOJITFSL,49.5,52.75,49.5,51.4,203269,0.6718999999999999,302545
2022-06-27,GEOJITFSL,53.75,53.8,52.0,53.05,265427,0.5838,454670
2022-06-28,GEOJITFSL,53.8,55.1,53.2,54.85,292010,0.6067,481345
2022-06-29,GEOJITFSL,54.6,55.4,54.1,55.05,203719,0.5846,348484
2022-06-30,GEOJITFSL,55.2,55.55,52.55,53.25,286169,0.6081000000000001,470628
2022-07-01,GEOJITFSL,50.95,52.0,49.9,51.4,120863,0.3527,342707
2022-07-04,GEOJITFSL,50.6,51.85,48.6,49.55,111200,0.48360000000000003,229938
2022-07-05,GEOJITFSL,49.7,50.25,49.45,49.7,71661,0.4867,147239
2022-07-06,GEOJITFSL,49.7,50.0,49.2,49.85,52633,0.5481,96032
2022-07-07,GEOJITFSL,49.55,50.7,49.55,50.3,58952,0.49820000000000003,118339
2022-07-08,GEOJITFSL,50.8,51.85,50.35,51.5,74072,0.3981,186076
2022-07-11,GEOJITFSL,51.7,52.5,51.05,52.2,79613,0.5154,154473
2022-07-12,GEOJITFSL,52.2,53.0,51.0,51.4,57820,0.5596,103321
2022-07-13,GEOJITFSL,51.9,52.15,51.2,51.55,43360,0.6153000000000001,70472
2022-07-14,GEOJITFSL,51.95,51.95,50.75,51.0,38646,0.5676,68092
2022-07-15,GEOJITFSL,51.85,51.85,44.8,47.9,375553,0.3764,997786
2022-07-18,GEOJITFSL,48.65,49.65,48.6,49.3,92961,0.5403,172054
2022-07-19,GEOJITFSL,49.8,50.2,49.6,50.05,82034,0.6337,129456
2022-07-20,GEOJITFSL,51.45,51.9,50.55,51.4,148017,0.5353,276491
2022-07-21,GEOJITFSL,51.9,51.9,50.5,50.85,78067,0.5428000000000001,143817
2022-07-22,GEOJITFSL,50.55,51.45,50.55,50.95,85508,0.5438000000000001,157248
2022-07-25,GEOJITFSL,51.1,51.25,50.15,50.35,62345,0.573,108807
2022-07-26,GEOJITFSL,50.5,51.7,50.05,50.5,80884,0.5979,135290
2022-07-27,GEOJITFSL,51.0,51.45,50.0,50.3,53115,0.5415,98095
2022-07-28,GEOJITFSL,50.95,50.95,50.05,50.15,56758,0.6099,93058
2022-07-29,GEOJITFSL,50.25,50.75,50.05,50.5,84418,0.6035,139877
2022-08-01,GEOJITFSL,51.0,52.4,49.9,51.1,301878,0.5113000000000001,590466
2022-08-02,GEOJITFSL,51.7,52.2,50.8,51.45,164341,0.5702,288195
2022-08-03,GEOJITFSL,49.9,49.9,48.5,49.15,352487,0.6847,514835
2022-08-04,GEOJITFSL,49.85,49.85,48.2,48.55,180813,0.693,260927
2022-08-05,GEOJITFSL,48.6,49.0,48.0,48.8,94211,0.5569,169174
2022-08-08,GEOJITFSL,48.9,48.9,47.65,48.05,323371,0.7284999999999999,443891
2022-08-10,GEOJITFSL,48.7,48.7,46.7,46.85,333491,0.7454000000000001,447428
2022-08-11,GEOJITFSL,47.45,47.85,46.75,46.95,202401,0.5857,345592
2022-08-12,GEOJITFSL,47.2,47.35,46.75,47.0,193361,0.7162999999999999,269941
2022-08-16,GEOJITFSL,47.0,47.3,46.6,46.95,245153,0.6553,374121
2022-08-17,GEOJITFSL,47.0,47.95,46.9,47.55,360432,0.7162000000000001,503233
2022-08-18,GEOJITFSL,47.75,48.7,47.3,47.4,365856,0.6104999999999999,599284
2022-08-19,GEOJITFSL,47.5,47.75,47.0,47.15,203371,0.6774,300237
2022-08-22,GEOJITFSL,47.0,47.0,45.2,46.35,276081,0.6394,431762
2022-08-23,GEOJITFSL,46.3,47.3,45.6,45.95,492719,0.668,737642
2022-08-24,GEOJITFSL,46.0,46.65,45.5,45.8,308814,0.5994,515236
2022-08-25,GEOJITFSL,46.0,47.65,45.8,46.0,534743,0.5801,921756
2022-08-26,GEOJITFSL,46.55,46.65,45.8,46.05,378482,0.5825,649758
2022-08-29,GEOJITFSL,45.5,46.1,45.2,45.95,175142,0.715,244967
2022-08-30,GEOJITFSL,46.55,46.7,45.8,46.0,407062,0.5486,742011
2022-09-01,GEOJITFSL,48.9,49.7,46.8,47.25,1198358,0.5637,2126059
2022-09-02,GEOJITFSL,48.0,48.0,45.9,46.0,1231628,0.6829000000000001,1803444
2022-09-05,GEOJITFSL,46.35,47.0,46.15,46.8,321105,0.5953,539399
2022-09-06,GEOJITFSL,47.15,47.15,46.25,46.55,284113,0.5847,485916
2022-09-07,GEOJITFSL,46.5,46.95,46.25,46.65,234881,0.5414,433855
2022-09-08,GEOJITFSL,47.0,47.9,46.8,47.4,658593,0.5822999999999999,1131063
2022-09-09,GEOJITFSL,47.7,48.0,47.15,47.3,446543,0.5861999999999999,761767
2022-09-12,GEOJITFSL,47.65,47.95,47.25,47.5,353611,0.6426999999999999,550198
2022-09-13,GEOJITFSL,47.6,48.5,47.6,48.1,626688,0.6697,935779
2022-09-14,GEOJITFSL,47.85,47.9,47.35,47.65,362611,0.6667000000000001,543850
2022-09-15,GEOJITFSL,48.25,55.1,47.85,52.95,1968628,0.40049999999999997,4914845
2022-09-16,GEOJITFSL,52.45,52.8,49.5,50.2,668284,0.4841,1380467
2022-09-19,GEOJITFSL,49.55,52.35,49.55,51.15,435380,0.5135000000000001,847920
2022-09-20,GEOJITFSL,52.0,53.7,51.6,51.95,571639,0.5079,1125445
2022-09-21,GEOJITFSL,51.8,52.8,50.45,50.9,250455,0.49229999999999996,508758
2022-09-22,GEOJITFSL,50.4,51.85,50.15,51.0,208687,0.5032,414747
2022-09-23,GEOJITFSL,51.2,51.6,49.5,49.7,192101,0.5194,369842
2022-09-26,GEOJITFSL,49.0,49.45,46.85,47.75,279184,0.5793,481970
2022-09-27,GEOJITFSL,48.15,48.6,47.2,47.7,109445,0.3473,344532
