Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,GESHIP,359.75,367.95,353.2,355.95,175955,0.36869999999999997,477255
2021-09-02,GESHIP,358.8,363.75,355.5,357.4,175280,0.3944,444428
2021-09-03,GESHIP,359.6,363.3,355.0,359.7,234297,0.6037,388112
2021-09-06,GESHIP,364.9,367.9,355.75,357.1,175845,0.4336,405592
2021-09-07,GESHIP,360.8,364.9,356.0,358.5,126739,0.30870000000000003,410573
2021-09-08,GESHIP,358.05,363.9,355.5,359.9,73043,0.31620000000000004,231025
2021-09-09,GESHIP,359.0,364.95,351.4,353.85,96585,0.4507,214282
2021-09-13,GESHIP,356.1,367.8,352.95,363.1,383499,0.5118,749365
2021-09-14,GESHIP,368.8,375.5,364.75,367.75,427086,0.4354,980860
2021-09-15,GESHIP,373.0,374.9,366.0,368.35,141528,0.3669,385741
2021-09-16,GESHIP,366.0,372.45,360.1,369.2,206848,0.4814,429670
2021-09-17,GESHIP,369.6,379.2,357.85,376.2,670271,0.545,1229953
2021-09-20,GESHIP,370.0,373.7,360.35,362.1,105870,0.3803,278375
2021-09-21,GESHIP,363.95,367.9,351.2,365.9,132060,0.4046,326387
2021-09-22,GESHIP,374.0,374.0,365.25,367.95,222833,0.6617000000000001,336733
2021-09-23,GESHIP,372.0,373.3,363.5,364.35,84984,0.5025000000000001,169112
2021-09-24,GESHIP,367.05,371.0,359.1,363.15,83687,0.2295,364578
2021-09-27,GESHIP,365.5,367.1,352.0,354.05,138548,0.5966,232245
2021-09-28,GESHIP,358.0,362.7,351.1,353.6,81642,0.4561,178987
2021-09-29,GESHIP,356.0,372.0,353.4,364.9,137759,0.3814,361229
2021-09-30,GESHIP,370.0,375.7,365.1,368.7,125171,0.3521,355505
2021-10-01,GESHIP,365.3,374.8,365.1,367.25,49014,0.29050000000000004,168697
2021-10-04,GESHIP,370.0,382.0,368.55,370.0,301862,0.46659999999999996,646901
2021-10-05,GESHIP,371.8,375.7,369.1,372.3,235557,0.642,366905
2021-10-06,GESHIP,374.0,382.25,366.0,366.9,550803,0.7212000000000001,763685
2021-10-07,GESHIP,371.0,378.75,367.1,369.15,345836,0.6844,505279
2021-10-08,GESHIP,371.0,377.0,368.0,369.3,944043,0.8189000000000001,1152857
2021-10-11,GESHIP,371.7,375.5,368.35,373.45,250372,0.6076,412047
2021-10-12,GESHIP,374.0,376.9,368.6,370.85,213862,0.5938,360172
2021-10-13,GESHIP,372.5,373.15,360.55,362.45,265001,0.6007,441185
2021-10-14,GESHIP,364.1,365.5,356.35,358.45,98472,0.5307000000000001,185543
2021-10-18,GESHIP,360.0,361.7,343.65,345.1,255270,0.633,403265
2021-10-19,GESHIP,347.8,352.0,335.0,336.05,219023,0.6633,330215
2021-10-20,GESHIP,335.2,340.5,329.2,333.1,76961,0.4123,186681
2021-10-21,GESHIP,336.4,336.4,319.9,321.8,286787,0.6824,420243
2021-10-22,GESHIP,323.65,329.35,314.3,317.4,143529,0.5411,265238
2021-10-25,GESHIP,319.5,321.75,312.4,314.6,100793,0.5287,190647
2021-10-26,GESHIP,314.0,318.9,310.8,314.65,116278,0.5096,228197
2021-10-27,GESHIP,315.0,334.35,314.35,327.55,151103,0.34740000000000004,434914
2021-10-28,GESHIP,327.55,327.6,315.0,316.65,58360,0.4394,132831
2021-10-29,GESHIP,318.0,325.0,313.85,321.95,56007,0.47500000000000003,117921
2021-11-01,GESHIP,326.8,332.0,326.1,330.25,91931,0.4292,214185
2021-11-02,GESHIP,333.8,349.8,330.4,342.15,174732,0.21309999999999998,819977
2021-11-03,GESHIP,343.6,346.0,337.0,343.25,101088,0.43950000000000006,229983
2021-11-04,GESHIP,344.25,346.5,342.0,342.8,18272,0.5488000000000001,33293
2021-11-08,GESHIP,347.0,349.8,343.15,347.6,107629,0.512,210227
2021-11-09,GESHIP,349.0,352.1,345.8,346.5,57148,0.49770000000000003,114817
2021-11-10,GESHIP,345.4,347.1,337.8,341.95,175545,0.775,226517
2021-11-11,GESHIP,339.85,340.25,335.9,337.3,30006,0.4539,66106
2021-11-12,GESHIP,339.7,339.9,329.25,333.65,75484,0.5288,142737
2021-11-15,GESHIP,335.5,335.5,320.05,321.85,76232,0.5985,127364
2021-11-16,GESHIP,323.8,326.0,318.65,320.7,55835,0.441,126617
2021-11-17,GESHIP,322.35,327.0,322.0,324.6,56390,0.5099,110597
2021-11-18,GESHIP,324.6,326.2,316.9,319.2,45982,0.4545,101176
2021-11-22,GESHIP,324.4,324.4,311.6,313.05,42030,0.49979999999999997,84097
2021-11-23,GESHIP,310.0,319.85,309.6,313.85,47901,0.4305,111273
2021-11-24,GESHIP,315.45,322.0,311.95,314.6,40592,0.4537,89467
2021-11-25,GESHIP,315.9,319.4,309.6,316.6,43879,0.4936,88901
2021-11-26,GESHIP,313.9,323.85,307.5,309.15,48966,0.4569,107167
2021-11-29,GESHIP,307.0,309.55,296.05,301.35,70321,0.4819,145910
2021-11-30,GESHIP,302.9,312.4,291.3,293.65,106978,0.5102,209673
2021-12-01,GESHIP,297.3,300.45,293.4,299.2,46161,0.38810000000000006,118941
2021-12-02,GESHIP,299.2,305.0,298.5,300.6,86515,0.5640999999999999,153375
2021-12-03,GESHIP,301.7,304.0,294.1,296.7,102386,0.6,170639
2021-12-06,GESHIP,298.3,305.45,292.9,294.75,197645,0.7140000000000001,276829
2021-12-07,GESHIP,295.0,305.0,295.0,300.25,56567,0.4667,121199
2021-12-08,GESHIP,301.8,305.0,299.45,300.55,47311,0.5547,85292
2021-12-09,GESHIP,300.9,304.0,298.05,299.75,262991,0.8456999999999999,310987
2021-12-10,GESHIP,300.0,309.7,299.95,304.35,181718,0.564,322216
2021-12-13,GESHIP,305.65,309.15,299.2,299.85,92393,0.5499,168009
2021-12-14,GESHIP,298.85,301.05,297.0,300.4,75637,0.6487,116606
2021-12-15,GESHIP,301.7,302.1,293.0,294.0,87115,0.5625,154861
2021-12-16,GESHIP,295.5,296.0,285.85,287.85,95079,0.5992000000000001,158670
2021-12-17,GESHIP,288.6,288.6,275.05,277.35,116092,0.5955,194963
2021-12-20,GESHIP,276.0,276.7,265.0,268.55,100366,0.5579,179888
2021-12-21,GESHIP,269.4,278.5,266.6,271.65,84989,0.46049999999999996,184564
2021-12-22,GESHIP,271.9,277.0,270.0,274.3,121195,0.6512000000000001,186106
2021-12-23,GESHIP,295.2,299.95,287.05,294.9,700156,0.1734,4037608
2021-12-24,GESHIP,297.0,298.65,288.0,295.15,214912,0.3039,707100
2021-12-27,GESHIP,295.15,300.5,291.1,293.2,225392,0.4189,538026
2021-12-28,GESHIP,290.0,298.35,285.5,295.05,458510,0.4061,1128948
2021-12-29,GESHIP,294.9,298.85,292.05,297.0,333123,0.48310000000000003,689512
2021-12-30,GESHIP,297.0,301.3,291.3,299.65,339952,0.5062,671559
2021-12-31,GESHIP,299.5,300.9,295.85,298.2,248186,0.589,421375
2022-01-03,GESHIP,298.9,302.9,297.1,302.1,229180,0.58,395148
2022-01-04,GESHIP,304.65,304.65,296.0,300.0,354917,0.4832,734554
2022-01-05,GESHIP,300.9,304.0,294.85,296.05,125484,0.4924,254867
2022-01-06,GESHIP,295.45,303.7,294.6,300.7,117303,0.5954,197006
2022-01-07,GESHIP,302.1,308.95,302.1,305.75,219969,0.5362,410207
2022-01-10,GESHIP,307.9,313.95,305.2,309.85,119164,0.46840000000000004,254388
2022-01-11,GESHIP,310.1,313.75,307.15,310.9,147507,0.45920000000000005,321251
2022-01-12,GESHIP,313.7,315.75,311.0,313.85,252550,0.615,410683
2022-01-13,GESHIP,315.6,316.4,311.0,313.55,79233,0.5356000000000001,147937
2022-01-14,GESHIP,314.7,316.5,310.5,313.95,102731,0.5336,192510
2022-01-17,GESHIP,314.9,314.9,311.1,312.5,75274,0.4867,154661
2022-01-18,GESHIP,312.0,319.9,311.2,315.0,211745,0.5313,398505
2022-01-19,GESHIP,314.0,324.75,312.4,320.4,149359,0.44189999999999996,337957
2022-01-20,GESHIP,323.75,325.6,320.1,321.05,79737,0.4758,167572
2022-01-21,GESHIP,318.7,323.1,313.3,314.95,50755,0.5118,99161
2022-01-24,GESHIP,320.0,321.0,303.95,306.15,57325,0.5115999999999999,187417
2022-01-25,GESHIP,306.0,314.4,301.0,308.95,68374,0.47759999999999997,143150
2022-01-27,GESHIP,306.9,322.9,305.45,319.75,129744,0.5555,233565
2022-01-28,GESHIP,323.0,325.0,310.0,311.75,167234,0.36979999999999996,452265
2022-01-31,GESHIP,314.0,315.9,308.85,314.05,89388,0.5526,161748
2022-02-01,GESHIP,316.05,317.25,312.3,313.5,35992,0.384,93717
2022-02-02,GESHIP,315.9,318.95,312.1,318.05,69488,0.5607,123924
2022-02-03,GESHIP,318.5,319.8,314.85,318.95,90077,0.6681,134833
2022-02-04,GESHIP,320.5,320.5,316.3,318.1,46090,0.6024,76516
2022-02-07,GESHIP,319.8,321.9,317.05,319.65,58600,0.5813,100807
2022-02-08,GESHIP,321.3,321.5,315.6,320.1,100709,0.6374000000000001,158009
2022-02-09,GESHIP,320.95,323.35,317.25,320.95,77795,0.6915000000000001,112497
2022-02-10,GESHIP,321.05,322.45,315.0,321.55,58763,0.6025,97526
2022-02-11,GESHIP,321.9,323.0,317.05,321.6,680649,0.885,769109
2022-02-14,GESHIP,319.5,325.65,305.25,311.0,836741,0.8306,1007402
2022-02-15,GESHIP,312.6,314.7,304.5,307.35,55047,0.5041,109196
2022-02-16,GESHIP,308.25,313.95,307.25,312.7,67781,0.5831000000000001,116248
2022-02-17,GESHIP,313.95,316.0,311.0,315.0,105321,0.6187,170237
2022-02-18,GESHIP,312.0,318.25,311.95,317.0,43537,0.5416,80392
