Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,GET&D,142.2,143.2,135.1,136.65,156789,0.4425,354360
2021-09-02,GET&D,138.15,141.3,136.5,139.25,78946,0.3575,220821
2021-09-03,GET&D,140.95,142.4,133.95,134.5,272067,0.4396,618919
2021-09-06,GET&D,135.75,136.8,134.9,135.25,46472,0.46399999999999997,100153
2021-09-07,GET&D,135.9,137.0,132.75,133.7,63060,0.30010000000000003,210124
2021-09-08,GET&D,135.9,135.9,132.0,133.55,70660,0.4464,158293
2021-09-09,GET&D,134.3,135.4,132.45,133.15,62353,0.4789,130193
2021-09-13,GET&D,133.85,133.9,131.5,131.75,73939,0.5502,134378
2021-09-14,GET&D,132.7,135.6,132.0,134.35,86045,0.47490000000000004,181186
2021-09-15,GET&D,135.0,136.1,133.65,134.05,79902,0.518,154251
2021-09-16,GET&D,135.6,135.6,132.25,133.05,66690,0.5713,116733
2021-09-17,GET&D,134.75,134.75,131.5,131.75,101455,0.7120000000000001,142495
2021-09-20,GET&D,131.7,132.95,128.7,130.4,71040,0.645,110143
2021-09-21,GET&D,130.75,132.85,128.25,131.75,74786,0.5643,132524
2021-09-22,GET&D,131.85,132.4,130.15,131.25,50050,0.47380000000000005,105631
2021-09-23,GET&D,130.55,135.8,130.55,132.35,68298,0.45409999999999995,150417
2021-09-24,GET&D,133.6,133.6,130.35,130.65,46533,0.5371,86630
2021-09-27,GET&D,131.75,131.85,125.7,126.9,118273,0.5884,201013
2021-09-28,GET&D,128.0,128.8,125.1,126.05,70219,0.5655,124178
2021-09-29,GET&D,126.1,131.5,125.55,127.0,139935,0.5209,268625
2021-09-30,GET&D,128.4,130.35,126.6,128.6,42226,0.4404,95888
2021-10-01,GET&D,127.5,128.8,126.6,127.4,63063,0.5145000000000001,122577
2021-10-04,GET&D,128.1,128.15,125.2,125.7,136087,0.5892000000000001,230967
2021-10-05,GET&D,126.95,127.4,125.3,125.7,79961,0.5934,134751
2021-10-06,GET&D,126.8,127.2,125.4,125.65,61622,0.5558,110875
2021-10-07,GET&D,126.25,127.5,126.0,126.65,38088,0.5401,70523
2021-10-08,GET&D,127.55,132.95,127.55,131.1,130993,0.3835,341550
2021-10-11,GET&D,132.3,133.5,130.9,131.85,56522,0.5297999999999999,106680
2021-10-12,GET&D,131.9,132.75,130.55,131.45,62083,0.6136,101186
2021-10-13,GET&D,132.5,135.55,131.7,134.75,93365,0.4585,203627
2021-10-14,GET&D,135.5,136.0,133.05,133.5,62719,0.5095000000000001,123101
2021-10-18,GET&D,133.2,134.5,131.0,132.05,40496,0.5371,75398
2021-10-19,GET&D,132.35,135.3,129.35,130.65,56736,0.47159999999999996,120314
2021-10-20,GET&D,130.6,130.6,126.0,127.2,81282,0.5860000000000001,138714
2021-10-21,GET&D,128.3,129.8,126.9,127.85,287757,0.8541,336895
2021-10-22,GET&D,128.0,133.9,127.85,131.1,126060,0.5663,222586
2021-10-25,GET&D,132.2,132.2,125.4,127.05,38315,0.5292,72397
2021-10-26,GET&D,127.6,132.95,127.45,129.3,31693,0.41020000000000006,77259
2021-10-27,GET&D,129.9,129.9,127.3,127.75,22931,0.4633,49500
2021-10-28,GET&D,128.1,128.15,125.5,126.85,67312,0.668,100771
2021-10-29,GET&D,127.4,128.9,124.7,127.95,44734,0.5205,85943
2021-11-01,GET&D,128.75,130.6,127.0,129.0,79732,0.613,130061
2021-11-02,GET&D,128.75,130.5,127.05,127.5,40618,0.5103,79589
2021-11-03,GET&D,128.4,129.6,126.2,127.5,71633,0.6691,107056
2021-11-04,GET&D,128.45,128.85,127.7,128.3,9377,0.6241,15026
2021-11-08,GET&D,128.45,132.95,127.4,132.5,63887,0.5291,120754
2021-11-09,GET&D,133.2,134.4,131.75,133.15,67200,0.5841,115045
2021-11-10,GET&D,132.0,135.0,132.0,133.9,59907,0.5594,107100
2021-11-11,GET&D,129.9,130.95,127.05,130.2,210397,0.6215999999999999,338495
2021-11-12,GET&D,130.5,130.9,129.35,130.0,182367,0.8520000000000001,214049
2021-11-15,GET&D,130.0,130.85,126.05,126.7,61853,0.6274000000000001,98589
2021-11-16,GET&D,127.6,128.7,121.3,123.35,69596,0.5382,129306
2021-11-17,GET&D,123.75,125.05,122.35,123.1,33947,0.5525,61439
2021-11-18,GET&D,123.1,123.7,120.5,121.15,26419,0.5115,51655
2021-11-22,GET&D,121.15,121.2,114.0,115.0,46890,0.5242,89447
2021-11-23,GET&D,114.0,117.85,112.25,116.75,36347,0.42119999999999996,86295
2021-11-24,GET&D,117.85,119.9,116.0,116.55,36776,0.48600000000000004,75678
2021-11-25,GET&D,116.4,119.9,115.25,118.55,31488,0.4439,70927
2021-11-26,GET&D,118.0,119.8,117.4,118.05,66007,0.6099,108229
