Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,GICRE,149.0,151.2,147.0,149.95,203852,0.155,1315332
2021-09-02,GICRE,150.4,151.35,149.05,149.9,196784,0.28500000000000003,690418
2021-09-03,GICRE,150.2,151.9,148.2,149.45,198887,0.2914,682449
2021-09-06,GICRE,150.9,150.9,147.3,147.8,178731,0.3031,589709
2021-09-07,GICRE,148.8,149.4,146.5,147.1,216045,0.3848,561408
2021-09-08,GICRE,147.2,147.8,144.6,144.95,240634,0.4073,590796
2021-09-09,GICRE,145.35,145.9,143.6,144.2,246735,0.4365,565260
2021-09-13,GICRE,144.8,146.2,143.5,144.15,355404,0.35619999999999996,997729
2021-09-14,GICRE,144.7,150.3,144.55,147.95,632903,0.3281,1928828
2021-09-15,GICRE,149.0,149.45,147.05,147.4,323383,0.5205,621259
2021-09-16,GICRE,148.0,148.0,145.35,147.25,558410,0.47700000000000004,1170632
2021-09-17,GICRE,147.8,150.8,141.8,147.8,1270494,0.4491,2828858
2021-09-20,GICRE,147.0,147.3,144.15,145.9,355930,0.4601,773605
2021-09-21,GICRE,144.5,146.2,143.55,144.75,251863,0.48979999999999996,514251
2021-09-22,GICRE,145.45,145.65,143.5,143.9,293571,0.5835,503125
2021-09-23,GICRE,144.4,145.3,143.1,143.25,419959,0.5842,718832
2021-09-24,GICRE,143.35,148.8,143.15,145.95,379236,0.3168,1197190
2021-09-27,GICRE,147.0,147.0,143.55,143.95,322239,0.561,574441
2021-09-28,GICRE,144.5,144.8,142.25,142.65,260080,0.554,469458
2021-09-29,GICRE,142.0,143.6,135.9,137.6,1392266,0.6693000000000001,2080255
2021-09-30,GICRE,138.0,147.4,137.5,145.05,977960,0.1402,6973381
2021-10-01,GICRE,144.85,145.4,142.5,144.2,252199,0.3356,751535
2021-10-04,GICRE,144.35,146.0,143.7,144.2,264420,0.49479999999999996,534377
2021-10-05,GICRE,144.4,148.9,144.05,144.85,521214,0.4439,1174043
2021-10-06,GICRE,145.0,146.45,142.55,143.3,352448,0.5125,687719
2021-10-07,GICRE,143.7,148.8,143.7,145.65,420976,0.4026,1045546
2021-10-08,GICRE,146.6,147.9,145.0,146.1,438322,0.5791,756928
2021-10-11,GICRE,146.75,147.9,145.4,145.85,382352,0.5327000000000001,717771
2021-10-12,GICRE,146.45,146.45,144.55,145.9,259060,0.5528000000000001,468630
2021-10-13,GICRE,146.2,152.8,145.5,149.6,991817,0.38630000000000003,2567151
2021-10-14,GICRE,150.9,151.8,147.35,148.0,381070,0.48869999999999997,779834
2021-10-18,GICRE,148.2,148.9,146.45,146.75,500995,0.5916,846820
2021-10-19,GICRE,147.85,149.5,144.0,144.25,383905,0.5231,733851
2021-10-20,GICRE,144.1,145.0,140.4,140.9,573973,0.5443,1054561
2021-10-21,GICRE,142.0,142.4,139.1,140.45,311577,0.4869,639901
2021-10-22,GICRE,140.1,142.2,137.65,138.95,321944,0.4781,673343
2021-10-25,GICRE,139.0,139.9,135.5,136.0,440354,0.4447,990259
2021-10-26,GICRE,137.0,138.8,135.6,136.45,269120,0.4458,603741
2021-10-27,GICRE,137.0,138.95,136.1,137.25,256486,0.512,500965
2021-10-28,GICRE,137.2,137.9,134.0,134.8,250137,0.47520000000000007,526363
2021-10-29,GICRE,135.2,135.95,132.45,133.3,325250,0.46140000000000003,704936
2021-11-01,GICRE,133.6,134.55,131.65,133.2,251160,0.443,566952
2021-11-02,GICRE,134.1,138.3,133.7,135.95,224485,0.19030000000000002,1179437
2021-11-03,GICRE,136.7,137.45,135.0,135.7,234628,0.43320000000000003,541619
2021-11-04,GICRE,135.75,138.55,135.75,137.8,90131,0.751,120011
2021-11-08,GICRE,138.5,141.5,136.75,139.75,291484,0.4986,584626
2021-11-09,GICRE,140.9,141.15,139.4,139.8,166320,0.6162,269904
2021-11-10,GICRE,137.5,140.8,137.45,140.3,181727,0.439,413910
2021-11-11,GICRE,144.0,149.9,142.6,147.95,1226433,0.17739999999999997,6914107
2021-11-12,GICRE,149.0,149.5,144.1,147.35,515813,0.3125,1650822
2021-11-15,GICRE,145.9,147.5,143.8,144.45,200715,0.40750000000000003,492498
2021-11-16,GICRE,144.55,145.2,143.1,144.2,185138,0.4569,405180
2021-11-17,GICRE,143.9,144.25,142.3,142.95,276513,0.6637000000000001,416625
2021-11-18,GICRE,143.5,147.0,141.0,145.9,476925,0.26030000000000003,1832061
2021-11-22,GICRE,147.0,148.5,141.5,142.2,355570,0.38380000000000003,926436
2021-11-23,GICRE,142.0,144.4,116.6,142.9,182170,0.4305,423206
2021-11-24,GICRE,144.4,149.25,144.1,147.6,498697,0.309,1614038
2021-11-25,GICRE,148.4,148.8,144.1,145.3,163922,0.3788,432755
2021-11-26,GICRE,144.95,144.95,140.0,141.55,192830,0.32909999999999995,585891
2021-11-29,GICRE,140.0,143.3,134.1,142.05,292561,0.33520000000000005,872825
2021-11-30,GICRE,142.0,144.2,139.55,141.75,181512,0.3031,598798
2021-12-01,GICRE,142.0,144.25,140.8,143.35,119862,0.34590000000000004,346569
2021-12-02,GICRE,143.9,143.9,140.85,142.35,303073,0.54,561223
2021-12-03,GICRE,142.45,144.4,140.5,141.3,156828,0.34149999999999997,459266
2021-12-06,GICRE,141.4,142.7,139.05,140.3,123356,0.469,263016
2021-12-07,GICRE,141.1,143.35,139.55,140.55,128042,0.3591,356589
2021-12-08,GICRE,142.8,143.5,140.55,141.9,96674,0.31760000000000005,304345
2021-12-09,GICRE,142.2,143.2,140.7,141.2,148883,0.4315,345019
2021-12-10,GICRE,141.15,141.95,139.8,140.2,247290,0.4991,495506
2021-12-13,GICRE,142.2,142.2,138.65,138.95,262145,0.5651,463856
2021-12-14,GICRE,140.3,142.2,137.1,139.45,261253,0.2416,1081362
2021-12-15,GICRE,139.95,140.25,138.0,138.55,90080,0.41590000000000005,216613
