Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,GILLANDERS,63.0,66.9,61.8,63.3,11285,0.7276,15509
2021-10-13,GILLANDERS,62.1,62.5,60.15,60.15,3504,0.6939000000000001,5050
2021-10-14,GILLANDERS,57.4,59.8,57.25,58.1,3565,0.768,4642
2021-10-18,GILLANDERS,57.55,58.65,55.55,57.5,3989,0.75,5319
2021-10-19,GILLANDERS,59.85,60.0,55.3,56.25,4236,0.6990999999999999,6059
2021-10-20,GILLANDERS,53.8,57.1,53.5,53.95,2882,0.7232,3985
2021-10-21,GILLANDERS,56.25,56.25,53.75,54.5,465,0.3619,1285
2021-10-22,GILLANDERS,54.0,54.8,51.8,52.3,4393,0.7054,6228
2021-10-25,GILLANDERS,49.8,52.0,49.7,49.8,1377,0.5246000000000001,2625
2021-10-26,GILLANDERS,51.3,51.35,49.7,49.7,1586,0.6759999999999999,2346
2021-10-27,GILLANDERS,48.25,50.0,48.2,49.85,605,0.9837,615
2021-10-28,GILLANDERS,48.2,51.3,48.2,50.1,2214,0.6388,3466
2021-10-29,GILLANDERS,48.4,51.0,48.25,49.5,1013,0.6253000000000001,1620
2021-11-01,GILLANDERS,51.0,51.65,49.4,50.85,499,0.5905,845
2021-11-02,GILLANDERS,49.3,51.45,48.35,49.0,2563,0.8688,2950
2021-11-03,GILLANDERS,49.95,49.95,49.0,49.15,2041,0.9869,2068
2021-11-04,GILLANDERS,50.0,50.0,48.65,49.1,880,0.9167000000000001,960
2021-11-08,GILLANDERS,49.8,50.95,47.5,49.75,2521,0.7413,3401
2021-11-09,GILLANDERS,52.0,52.0,48.2,50.25,5422,0.9853000000000001,5503
2021-11-10,GILLANDERS,50.2,51.4,50.0,51.4,1455,0.8998,1617
2021-11-11,GILLANDERS,50.0,52.0,50.0,51.0,1673,0.9761,1714
2021-11-12,GILLANDERS,52.0,52.0,49.65,51.0,1361,0.7482,1819
2021-11-15,GILLANDERS,53.55,53.55,53.0,53.35,22752,0.9737000000000001,23367
2021-11-16,GILLANDERS,54.0,54.0,51.5,53.2,1877,0.6475,2899
2021-11-17,GILLANDERS,55.7,55.85,53.2,55.85,17052,0.8854000000000001,19260
2021-11-18,GILLANDERS,56.2,58.5,54.0,56.3,7519,0.8573000000000001,8771
