Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,GILLETTE,5850.0,5859.0,5753.5,5803.65,4536,0.6872,6601
2021-09-02,GILLETTE,5839.6,5849.35,5785.05,5797.55,3216,0.6704000000000001,4797
2021-09-03,GILLETTE,5830.0,5831.45,5797.55,5823.35,2709,0.6993,3874
2021-09-06,GILLETTE,5838.5,5870.05,5811.6,5855.45,7089,0.8059000000000001,8796
2021-09-07,GILLETTE,5860.0,5968.5,5812.1,5936.25,8279,0.6076,13625
2021-09-08,GILLETTE,5990.0,6000.0,5950.0,5981.6,6146,0.7594,8093
2021-09-09,GILLETTE,5999.8,6275.0,5949.25,6098.85,22279,0.3114,71541
2021-09-13,GILLETTE,6100.0,6250.0,6016.25,6145.5,9987,0.5128,19476
2021-09-14,GILLETTE,6155.0,6174.9,6025.15,6051.7,4121,0.51,8081
2021-09-15,GILLETTE,6093.0,6096.6,5982.7,5999.8,18976,0.7956000000000001,23851
2021-09-16,GILLETTE,6013.7,6066.0,5989.95,6026.1,3053,0.5881000000000001,5191
2021-09-17,GILLETTE,6040.0,6069.95,5906.05,5945.5,10095,0.6605,15285
2021-09-20,GILLETTE,6038.0,6038.0,5898.0,5931.85,5398,0.5776,9345
2021-09-21,GILLETTE,5903.15,5964.0,5850.0,5894.8,5917,0.5536,10688
2021-09-22,GILLETTE,5970.0,6040.6,5910.0,5927.4,3408,0.41950000000000004,8124
2021-09-23,GILLETTE,5986.0,6024.95,5922.15,5973.95,2744,0.5315,5163
2021-09-24,GILLETTE,5973.6,6025.7,5912.0,5962.4,7234,0.318,22749
2021-09-27,GILLETTE,6020.0,6048.0,5960.6,5973.65,7737,0.3922,19729
2021-09-28,GILLETTE,6025.0,6025.0,5923.0,5939.95,7575,0.7646,9907
2021-09-29,GILLETTE,5992.55,5992.55,5915.0,5940.25,1040,0.4986,2086
2021-09-30,GILLETTE,5985.0,5988.5,5885.0,5898.95,3143,0.6659,4720
2021-10-01,GILLETTE,5868.1,5932.0,5861.0,5869.15,1882,0.5633,3341
2021-10-04,GILLETTE,5929.0,5929.0,5845.0,5854.1,3102,0.7018000000000001,4420
2021-10-05,GILLETTE,5899.0,5900.0,5802.15,5841.55,4174,0.5356000000000001,7793
2021-10-06,GILLETTE,5860.0,5886.05,5815.2,5836.4,2603,0.6520999999999999,3992
2021-10-07,GILLETTE,5836.4,5890.0,5832.0,5850.7,2109,0.6375000000000001,3308
2021-10-08,GILLETTE,5876.0,5879.0,5810.7,5833.9,4019,0.5927,6781
2021-10-11,GILLETTE,5855.0,5910.4,5814.0,5823.95,3878,0.5951,6517
2021-10-12,GILLETTE,5823.0,5850.0,5805.0,5818.65,1859,0.5586,3328
2021-10-13,GILLETTE,5818.65,5847.4,5810.0,5823.3,2501,0.541,4623
2021-10-14,GILLETTE,5823.1,5874.25,5805.0,5832.85,2820,0.5702,4946
2021-10-18,GILLETTE,5855.0,5878.0,5802.25,5808.65,5080,0.7098000000000001,7157
