Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,GMDCLTD,70.15,70.6,68.1,68.4,366478,0.4056,903492
2021-09-02,GMDCLTD,68.5,69.65,67.65,68.2,226854,0.28550000000000003,794542
2021-09-03,GMDCLTD,68.05,69.35,67.65,67.95,220827,0.4173,529222
2021-09-06,GMDCLTD,67.55,73.3,66.9,71.95,1263642,0.2633,4798901
2021-09-07,GMDCLTD,72.05,72.4,68.6,69.15,522819,0.3904,1339050
2021-09-08,GMDCLTD,69.3,70.45,68.3,68.65,252263,0.326,773881
2021-09-09,GMDCLTD,68.3,69.7,68.3,68.6,193305,0.3496,552997
2021-09-13,GMDCLTD,68.75,70.4,68.6,68.85,237998,0.2967,802269
2021-09-14,GMDCLTD,69.35,71.1,68.9,69.1,333501,0.2888,1154826
2021-09-15,GMDCLTD,69.6,71.3,69.1,70.65,547288,0.3895,1404969
2021-09-16,GMDCLTD,71.6,72.6,70.05,70.4,628634,0.45670000000000005,1376429
2021-09-17,GMDCLTD,71.0,71.45,67.6,68.75,423707,0.41409999999999997,1023162
2021-09-20,GMDCLTD,67.4,68.45,65.8,66.2,329734,0.42560000000000003,774723
2021-09-21,GMDCLTD,66.65,66.65,65.0,66.0,258550,0.4289,602850
2021-09-22,GMDCLTD,66.45,70.45,66.45,69.85,447753,0.2699,1659079
2021-09-23,GMDCLTD,70.4,71.9,69.6,69.95,620545,0.4632,1339772
2021-09-24,GMDCLTD,70.1,71.0,68.3,68.45,281483,0.45030000000000003,625076
2021-09-27,GMDCLTD,68.65,70.85,68.1,69.5,506012,0.47490000000000004,1065591
2021-09-28,GMDCLTD,70.0,72.1,69.5,69.95,624968,0.3858,1619920
2021-09-29,GMDCLTD,69.95,76.2,69.5,73.65,2655680,0.3553,7475239
2021-09-30,GMDCLTD,74.5,76.6,73.9,74.95,1204735,0.37450000000000006,3216863
2021-10-01,GMDCLTD,73.5,76.85,73.45,75.4,678728,0.3102,2187842
2021-10-04,GMDCLTD,76.5,78.9,76.05,77.3,1248008,0.41020000000000006,3042418
2021-10-05,GMDCLTD,76.95,81.25,76.7,79.2,1882486,0.37090000000000006,5075791
2021-10-06,GMDCLTD,80.45,83.25,77.6,78.8,2372310,0.3494,6788793
2021-10-07,GMDCLTD,80.4,81.75,78.7,79.1,777749,0.3833,2029155
2021-10-08,GMDCLTD,79.3,80.1,77.0,77.3,640639,0.37020000000000003,1730470
2021-10-11,GMDCLTD,78.1,80.8,78.1,79.0,728177,0.35840000000000005,2031858
2021-10-12,GMDCLTD,78.7,79.8,77.6,78.45,490061,0.4656,1052603
2021-10-13,GMDCLTD,78.9,79.3,77.0,77.3,659485,0.509,1295580
2021-10-14,GMDCLTD,77.9,79.8,77.25,78.05,604419,0.33520000000000005,1802912
2021-10-18,GMDCLTD,79.0,79.4,77.2,77.35,915517,0.5211,1756898
2021-10-19,GMDCLTD,77.9,79.2,74.0,74.65,713679,0.42490000000000006,1679720
2021-10-20,GMDCLTD,74.6,74.6,70.7,71.15,756160,0.4731,1598366
2021-10-21,GMDCLTD,71.8,76.5,71.75,74.7,736554,0.3529,2086881
2021-10-22,GMDCLTD,75.3,75.7,71.45,72.75,533218,0.4293,1242084
2021-10-25,GMDCLTD,73.3,79.4,70.5,74.6,1226406,0.1461,8393494
2021-10-26,GMDCLTD,74.5,75.3,73.3,73.8,457376,0.36350000000000005,1258211
2021-10-27,GMDCLTD,74.2,75.6,73.85,74.55,344049,0.40950000000000003,840151
2021-10-28,GMDCLTD,75.5,75.6,72.35,73.0,384675,0.4817,798532
2021-10-29,GMDCLTD,73.1,75.4,71.0,73.45,751791,0.4421,1700379
2021-11-01,GMDCLTD,74.0,74.7,73.0,74.4,272068,0.4132,658471
2021-11-02,GMDCLTD,74.85,74.9,72.55,72.9,375378,0.5773,650251
