Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,GMRINFRA,29.2,30.65,28.9,30.3,3276264,0.2853,11482944
2021-09-02,GMRINFRA,30.6,31.0,30.3,30.45,3030751,0.2335,12981990
2021-09-03,GMRINFRA,30.55,30.85,30.1,30.45,1581389,0.21789999999999998,7256786
2021-09-06,GMRINFRA,30.55,31.5,30.45,30.85,2891619,0.2288,12635608
2021-09-07,GMRINFRA,31.0,31.15,30.35,30.6,1494160,0.2165,6902092
2021-09-08,GMRINFRA,30.6,30.8,30.1,30.5,969349,0.1906,5086075
2021-09-09,GMRINFRA,30.45,30.6,29.95,30.1,1128008,0.2348,4804373
2021-09-13,GMRINFRA,30.0,30.2,29.6,30.0,1506165,0.2594,5806279
2021-09-14,GMRINFRA,30.2,30.3,29.8,30.0,1449768,0.3346,4332410
2021-09-15,GMRINFRA,30.1,32.55,30.05,32.3,9434790,0.29050000000000004,32482573
2021-09-16,GMRINFRA,32.35,32.65,31.65,32.15,7813401,0.5149,15173568
2021-09-17,GMRINFRA,32.4,33.1,31.35,31.55,7706443,0.3215,23968716
2021-09-20,GMRINFRA,31.35,36.2,30.85,34.05,15498946,0.1732,89463138
2021-09-21,GMRINFRA,34.3,35.65,33.45,35.3,10887307,0.2147,50711004
2021-09-22,GMRINFRA,35.5,36.45,34.6,36.25,9393071,0.192,48916676
2021-09-23,GMRINFRA,36.4,36.8,35.65,36.0,20925821,0.4682,44695923
2021-09-24,GMRINFRA,36.15,38.15,35.95,36.3,12130291,0.22530000000000003,53833205
2021-09-27,GMRINFRA,36.3,37.0,35.5,36.5,9341679,0.2525,36996586
2021-09-28,GMRINFRA,36.7,37.1,35.55,35.85,13347742,0.3829,34863839
2021-09-29,GMRINFRA,35.6,39.4,35.5,38.0,10117690,0.1522,66470480
2021-09-30,GMRINFRA,38.6,39.4,38.15,38.35,7187783,0.20940000000000003,34318100
2021-10-01,GMRINFRA,38.3,41.65,37.5,41.0,15912318,0.1373,115868519
2021-10-04,GMRINFRA,41.35,41.75,40.3,40.75,9942225,0.2601,38220398
2021-10-05,GMRINFRA,40.8,41.7,40.4,40.55,6499111,0.26170000000000004,24837131
2021-10-06,GMRINFRA,40.6,41.0,39.05,39.3,7327999,0.2543,28817707
2021-10-07,GMRINFRA,39.65,40.95,39.55,39.9,4964240,0.2509,19782082
2021-10-08,GMRINFRA,40.35,40.4,39.2,39.4,3082975,0.22260000000000002,13851107
2021-10-11,GMRINFRA,39.75,45.0,39.6,43.05,16832549,0.21530000000000002,78174022
2021-10-12,GMRINFRA,43.45,43.65,42.4,43.0,5711656,0.22030000000000002,25924498
2021-10-13,GMRINFRA,43.0,46.1,42.9,44.5,11668027,0.222,52559607
2021-10-14,GMRINFRA,44.9,45.55,43.2,43.4,6524243,0.3079,21192063
2021-10-18,GMRINFRA,43.6,44.45,42.7,43.0,6980501,0.35740000000000005,19529191
2021-10-19,GMRINFRA,43.1,44.4,41.5,41.75,4615798,0.1915,24101482
2021-10-20,GMRINFRA,42.05,42.6,40.4,41.95,4651336,0.2028,22936970
2021-10-21,GMRINFRA,42.35,42.8,40.9,41.45,5500924,0.2484,22141937
2021-10-22,GMRINFRA,41.5,41.75,39.6,39.85,6571066,0.3319,19796472
2021-10-25,GMRINFRA,40.05,41.1,38.8,40.8,4064313,0.2114,19221455
2021-10-26,GMRINFRA,41.1,41.6,40.6,41.2,2350314,0.19140000000000001,12280853
2021-10-27,GMRINFRA,41.6,42.15,40.4,40.7,2290340,0.18230000000000002,12566321
2021-10-28,GMRINFRA,40.55,41.05,39.5,39.75,3525499,0.2064,17082320
