Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,GNA,738.0,739.0,719.05,728.75,39900,0.5191,76867
2021-09-02,GNA,711.0,743.0,711.0,729.45,37584,0.5496,68383
2021-09-03,GNA,744.0,747.95,725.0,734.25,41416,0.5364,77208
2021-09-06,GNA,742.0,744.0,727.55,730.1,35328,0.6805,51917
2021-09-07,GNA,741.95,750.0,730.0,738.45,43329,0.4798,90302
2021-09-08,GNA,741.35,750.0,735.95,744.4,32944,0.5086999999999999,64762
2021-09-09,GNA,742.0,830.0,736.85,790.8,174395,0.24980000000000002,698262
2021-09-13,GNA,798.4,834.75,785.0,813.9,80255,0.37340000000000007,214958
2021-09-14,GNA,820.0,825.0,805.0,813.95,43998,0.5860000000000001,75078
2021-09-15,GNA,823.9,855.0,816.25,837.95,71399,0.41950000000000004,170180
2021-09-16,GNA,847.0,859.4,819.0,824.2,45996,0.5151,89287
2021-09-17,GNA,839.9,840.0,792.15,816.15,55912,0.5307000000000001,105360
2021-09-20,GNA,815.05,874.4,795.0,824.5,88007,0.45310000000000006,194217
2021-09-21,GNA,825.0,846.0,779.55,837.55,52374,0.4501,116354
2021-09-22,GNA,845.9,851.1,834.0,848.55,47176,0.5915,79763
2021-09-23,GNA,875.0,949.9,865.6,913.45,197812,0.34450000000000003,574183
2021-09-24,GNA,923.0,936.5,893.55,919.45,62703,0.4147,151206
2021-09-27,GNA,925.0,978.0,919.0,948.85,84610,0.3086,274212
2021-09-28,GNA,950.1,956.4,911.5,938.15,58666,0.4642,126371
2021-09-29,GNA,936.9,958.15,916.5,941.3,40868,0.4721,86563
2021-09-30,GNA,950.0,969.2,927.8,943.45,25948,0.524,49520
2021-10-01,GNA,945.9,964.5,930.3,950.8,60065,0.6467,92877
2021-10-04,GNA,960.0,1056.0,959.1,1009.45,139991,0.4097,341706
2021-10-05,GNA,1015.3,1030.0,1007.0,1018.65,53072,0.5457,97256
2021-10-06,GNA,1027.95,1076.0,1027.95,1046.05,82276,0.49310000000000004,166842
2021-10-07,GNA,1069.9,1069.9,1031.8,1048.35,38393,0.5959000000000001,64430
2021-10-08,GNA,1063.9,1063.9,1035.1,1038.5,39529,0.6009000000000001,65783
2021-10-11,GNA,1039.0,1058.05,1030.0,1043.05,35062,0.5595,62672
2021-10-12,GNA,1043.05,1065.0,1041.2,1049.05,30070,0.529,56845
2021-10-13,GNA,1049.55,1064.1,1040.85,1052.05,40295,0.5034000000000001,80042
2021-10-14,GNA,1066.0,1111.55,1054.0,1076.8,49641,0.47270000000000006,105012
2021-10-18,GNA,1099.9,1099.9,1073.0,1076.6,34947,0.5269,66326
2021-10-19,GNA,1092.0,1092.9,955.55,987.95,74755,0.5926,126137
2021-10-20,GNA,1050.0,1050.0,925.0,936.45,56726,0.5745,98747
2021-10-21,GNA,945.0,947.0,886.0,889.25,60298,0.5988,100696
2021-10-22,GNA,896.9,965.0,888.5,917.9,36056,0.3847,93716
2021-10-25,GNA,924.9,927.0,832.6,845.5,65164,0.5408,120486
2021-10-26,GNA,846.5,954.6,846.05,943.85,40984,0.38520000000000004,106403
2021-10-27,GNA,951.25,979.0,932.7,945.55,22943,0.4412,52000
2021-10-28,GNA,945.0,950.3,900.0,907.75,26793,0.5212,51404
2021-10-29,GNA,906.05,932.2,852.0,861.9,52266,0.5143,101626
2021-11-01,GNA,821.0,861.0,790.0,805.05,85099,0.506,168182
2021-11-02,GNA,812.8,837.55,783.9,801.25,67003,0.6142000000000001,109091
2021-11-03,GNA,809.8,811.7,776.5,783.95,41811,0.5075999999999999,82370
2021-11-04,GNA,789.95,816.0,785.35,808.6,12073,0.5329,22656
2021-11-08,GNA,814.0,814.95,774.6,779.85,55662,0.6289,88511
2021-11-09,GNA,786.1,799.0,757.1,770.6,66513,0.6018,110523
2021-11-10,GNA,769.9,780.0,751.55,755.45,59751,0.6335000000000001,94323
2021-11-11,GNA,755.45,780.0,747.0,750.65,49716,0.5529000000000001,89926
2021-11-12,GNA,757.0,763.65,751.05,756.85,15760,0.544,28973
2021-11-15,GNA,762.0,766.0,750.0,751.9,23270,0.6469,35970
2021-11-16,GNA,751.9,769.0,729.1,747.9,39935,0.38310000000000005,104244
2021-11-17,GNA,747.9,787.45,747.9,772.95,41357,0.4629,89335
2021-11-18,GNA,779.7,779.7,745.0,750.4,24080,0.5986,40228
2021-11-22,GNA,750.0,750.0,705.0,707.75,35434,0.5637,62865
2021-11-23,GNA,706.0,719.8,690.0,716.6,24375,0.45060000000000006,54089
2021-11-24,GNA,732.5,744.6,715.4,738.45,30809,0.5527000000000001,55742
2021-11-25,GNA,742.7,744.65,721.55,732.75,12704,0.5204,24411
2021-11-26,GNA,727.0,739.0,711.9,714.95,31930,0.6333,50419
2021-11-29,GNA,701.0,709.15,650.0,698.55,29249,0.5241,55810
2021-11-30,GNA,685.0,713.35,671.0,677.25,27979,0.5821000000000001,48063
2021-12-01,GNA,682.0,715.0,679.3,696.0,13029,0.3747,34773
2021-12-02,GNA,701.0,710.0,696.0,698.65,11388,0.5807,19611
2021-12-03,GNA,709.95,749.0,705.0,741.2,34490,0.4242,81297
2021-12-06,GNA,739.1,741.0,705.65,710.0,19928,0.5926,33630
2021-12-07,GNA,722.0,725.0,704.05,714.9,11959,0.47880000000000006,24975
2021-12-08,GNA,722.9,724.5,716.0,720.25,13594,0.5726,23739
