Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,GOLDTECH,18.45,18.45,18.45,18.45,44187,1.0,44187
2021-09-02,GOLDTECH,19.35,19.35,19.35,19.35,71783,1.0,71783
2021-09-03,GOLDTECH,20.3,20.3,18.4,20.3,586540,0.532,1102462
2021-09-06,GOLDTECH,21.0,21.3,20.8,21.3,69473,0.7997,86878
2021-09-07,GOLDTECH,22.35,22.35,22.35,22.35,106229,0.7815000000000001,135938
2021-09-08,GOLDTECH,23.45,23.45,23.45,23.45,49849,0.9998,49859
2022-03-29,GOLDTECH,63.45,69.8,63.45,69.8,21539,0.8271,26042
2022-03-30,GOLDTECH,73.25,73.25,73.25,73.25,8795,1.0,8795
2022-03-31,GOLDTECH,75.9,76.9,74.0,76.9,21155,0.8153,25946
2022-04-01,GOLDTECH,80.7,80.7,79.0,80.7,35168,0.5768,60976
2022-04-04,GOLDTECH,84.7,84.7,78.65,80.0,144645,0.7284999999999999,198543
2022-04-05,GOLDTECH,82.0,82.0,76.0,76.65,60937,0.6708,90848
2022-04-06,GOLDTECH,76.0,79.4,76.0,77.9,67428,0.7576999999999999,88991
2022-04-07,GOLDTECH,80.0,80.3,74.65,75.4,45549,0.6835,66645
2022-04-08,GOLDTECH,78.5,78.5,74.05,76.35,19028,0.6228,30550
2022-04-11,GOLDTECH,76.0,77.0,74.0,74.4,26797,0.6391,41932
2022-04-12,GOLDTECH,73.0,75.9,71.15,72.45,31956,0.6835,46755
2022-04-13,GOLDTECH,75.25,75.25,71.3,73.85,33658,0.756,44521
2022-04-18,GOLDTECH,74.95,74.95,71.0,72.85,37991,0.5768,65870
2022-04-19,GOLDTECH,72.0,76.45,72.0,76.45,66435,0.816,81415
2022-04-20,GOLDTECH,79.0,80.25,76.35,79.65,107795,0.5303,203290
2022-04-21,GOLDTECH,79.3,79.3,75.7,75.7,73529,0.7544,97469
2022-04-22,GOLDTECH,75.0,75.0,72.55,73.1,24744,0.6581,37599
2022-04-25,GOLDTECH,74.5,74.5,71.0,71.9,24555,0.6569,37379
2022-04-26,GOLDTECH,71.05,74.45,70.4,70.8,23734,0.6856,34619
2022-04-27,GOLDTECH,70.3,72.35,67.3,67.3,46794,0.7428,62999
2022-04-28,GOLDTECH,69.0,69.0,64.3,64.85,35038,0.6364,55058
2022-04-29,GOLDTECH,66.0,68.05,61.65,66.1,31612,0.49340000000000006,64066
2022-05-02,GOLDTECH,66.1,69.4,65.7,69.4,18859,0.7729,24400
2022-05-04,GOLDTECH,72.85,72.85,67.05,67.6,42507,0.46490000000000004,91436
2022-05-05,GOLDTECH,69.0,70.5,65.15,66.4,18330,0.6197,29580
2022-05-06,GOLDTECH,63.8,65.7,63.1,63.1,23021,0.7761,29661
2022-05-09,GOLDTECH,62.9,62.95,59.95,62.15,30955,0.6006,51539
2022-05-10,GOLDTECH,64.9,65.0,59.05,59.4,14796,0.5153,28713
2022-05-11,GOLDTECH,61.85,61.85,56.45,56.45,39899,0.7304,54628
