Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-27,GPIL,1170.0,1199.0,1150.0,1156.1,55116,0.7011000000000001,78609
2021-09-28,GPIL,1165.0,1194.0,1158.0,1170.7,45661,0.6531999999999999,69905
2021-09-29,GPIL,1161.0,1229.2,1150.0,1229.2,63713,0.7121,89466
2021-09-30,GPIL,1254.0,1290.65,1227.4,1278.95,127467,0.5914,215525
2021-10-01,GPIL,1268.1,1315.0,1251.0,1280.9,42894,0.5194,82590
2021-10-04,GPIL,1295.0,1300.0,1276.0,1282.55,54044,0.6751,80055
2021-10-05,GPIL,1282.55,1296.0,1265.05,1269.45,46465,0.7093,65512
2021-10-06,GPIL,1274.45,1295.0,1260.05,1266.95,55248,0.6672,82809
2021-10-07,GPIL,1277.0,1291.35,1265.0,1284.2,51838,0.6593000000000001,78624
2021-10-08,GPIL,1290.0,1325.25,1290.0,1303.9,73642,0.6639,110917
2021-10-11,GPIL,1329.0,1369.05,1302.0,1365.0,111949,0.6554000000000001,170821
2021-10-12,GPIL,1365.0,1433.25,1364.1,1386.0,144440,0.6149,234884
2021-10-13,GPIL,1393.0,1420.0,1341.0,1397.4,100351,0.6076,165162
2021-10-14,GPIL,1390.2,1411.15,1350.0,1356.7,100298,0.5775,173673
2021-10-18,GPIL,1424.5,1424.5,1402.0,1424.5,66798,0.927,72057
2021-10-19,GPIL,1495.7,1495.7,1438.45,1463.35,212518,0.5914,359342
2021-10-20,GPIL,1475.0,1482.9,1390.2,1393.05,133468,0.663,201314
2021-10-21,GPIL,1410.0,1449.85,1380.0,1431.55,90975,0.595,152911
2021-10-22,GPIL,1461.0,1469.4,1360.0,1361.95,161864,0.6428,251830
2021-10-25,GPIL,1415.0,1419.0,1291.0,1313.0,148098,0.5645,262349
2021-10-26,GPIL,339.0,361.05,339.0,361.05,248255,0.5499,451424
2021-10-27,GPIL,374.0,397.15,370.0,391.45,593953,0.3814,1557252
2021-10-28,GPIL,372.75,374.75,354.2,361.55,227941,0.4939,461502
2021-11-04,GPIL,340.0,347.4,340.0,347.2,111146,0.8462000000000001,131353
2021-11-08,GPIL,353.0,353.4,336.0,339.85,107181,0.7021,152653
2021-11-09,GPIL,340.0,342.0,326.35,328.5,123398,0.7101999999999999,173745
2021-11-10,GPIL,321.0,321.0,312.1,312.1,305786,0.6315,484228
2021-11-11,GPIL,299.05,310.7,297.15,305.9,298255,0.644,463149
2021-11-12,GPIL,304.0,305.9,290.65,296.6,365250,0.6755,540708
2021-11-15,GPIL,296.6,297.35,281.8,281.8,279265,0.6796,410933
2021-11-16,GPIL,272.05,293.8,271.2,284.5,303903,0.5540999999999999,548507
2021-11-17,GPIL,282.0,298.7,281.85,292.9,217655,0.49960000000000004,435669
2021-11-18,GPIL,294.5,294.5,278.65,289.75,173588,0.5372,323114
2021-11-22,GPIL,288.0,288.0,275.3,275.3,142034,0.7912,179522
2021-11-23,GPIL,264.25,284.9,261.55,270.4,564263,0.5502,1025527
2021-11-24,GPIL,268.0,278.9,264.2,265.5,302084,0.6458,467795
2021-11-25,GPIL,266.95,274.0,266.0,268.1,117578,0.6102000000000001,192703
2021-11-26,GPIL,266.9,267.0,254.7,255.05,291511,0.6202000000000001,470027
2021-11-29,GPIL,249.9,272.8,231.35,269.3,319973,0.5545,577054
2021-11-30,GPIL,269.95,278.0,257.75,263.9,184385,0.5106,361083
2021-12-01,GPIL,263.9,269.95,261.0,263.8,72594,0.5851,124065
2021-12-02,GPIL,264.0,268.15,255.1,263.15,88990,0.526,169186
2021-12-03,GPIL,263.0,267.1,261.1,262.15,87353,0.6058,144193
2021-12-06,GPIL,262.0,263.3,252.5,253.3,137382,0.6681,205638
2021-12-07,GPIL,255.9,263.0,254.35,259.85,138505,0.6502,213035
2021-12-08,GPIL,263.9,269.5,260.8,267.25,139831,0.6425,217646
2021-12-09,GPIL,270.0,270.0,259.35,265.15,112643,0.5576,202007
2021-12-10,GPIL,265.0,269.4,263.0,264.05,116514,0.5545,210121
2021-12-13,GPIL,267.4,274.4,267.0,270.2,174113,0.6820999999999999,255275
2021-12-14,GPIL,272.0,273.95,265.0,266.3,132149,0.6194,213346
2021-12-15,GPIL,265.2,266.3,255.7,260.9,168560,0.6136,274699
2021-12-16,GPIL,261.0,263.75,252.6,253.55,160045,0.6887000000000001,232379
2021-12-17,GPIL,253.0,254.9,247.0,248.75,117388,0.5578000000000001,210462
2021-12-20,GPIL,244.0,247.9,234.05,240.5,200007,0.6211,322030
2021-12-21,GPIL,245.7,246.75,239.0,240.65,133719,0.6149,217464
2021-12-22,GPIL,241.0,246.8,240.0,245.65,103119,0.5857,176050
2021-12-23,GPIL,246.0,251.45,245.8,248.45,104077,0.6446,161466
2021-12-24,GPIL,252.75,254.7,248.0,250.4,85988,0.5049,170314
2021-12-27,GPIL,253.9,253.9,244.05,246.3,138528,0.6920999999999999,200150
2021-12-28,GPIL,246.5,252.75,246.5,247.55,109242,0.6735,162199
2021-12-29,GPIL,247.9,259.25,244.45,253.1,206241,0.5692,362325
2021-12-30,GPIL,253.1,278.4,251.8,278.4,328532,0.7184,457294
2021-12-31,GPIL,288.4,292.4,275.0,277.45,322947,0.4742,681056
2022-01-03,GPIL,279.0,283.0,274.85,276.45,163717,0.6473000000000001,252915
2022-01-04,GPIL,280.0,280.0,269.45,272.2,156024,0.5904,264280
2022-01-05,GPIL,275.0,276.4,270.0,271.15,138092,0.693,199269
2022-01-06,GPIL,270.2,273.9,267.6,268.9,108643,0.5351,203032
2022-01-07,GPIL,270.3,285.0,270.3,278.8,221108,0.5449,405745
2022-01-10,GPIL,283.85,284.0,273.35,274.95,182205,0.5904,308612
2022-01-11,GPIL,277.0,277.0,266.3,267.85,156177,0.6862,227611
2022-01-12,GPIL,263.85,266.65,261.0,262.35,217336,0.6456000000000001,336637
2022-01-13,GPIL,262.0,288.45,262.0,279.8,455604,0.5025000000000001,906738
2022-01-14,GPIL,278.9,288.4,276.25,281.0,193977,0.6089,318585
2022-01-17,GPIL,287.9,289.35,273.0,274.9,190829,0.5834,327114
2022-01-18,GPIL,275.5,277.05,267.9,268.95,115015,0.7243,158789
2022-01-19,GPIL,266.4,274.0,265.3,270.25,107763,0.6004,179499
2022-01-20,GPIL,272.0,287.0,271.2,281.4,279947,0.6174000000000001,453432
2022-01-21,GPIL,281.0,283.85,273.2,275.45,123357,0.6055,203744
2022-01-24,GPIL,270.5,279.7,257.9,267.75,134483,0.5454,392056
2022-01-25,GPIL,256.0,279.2,256.0,275.5,160312,0.5605,286034
2022-01-27,GPIL,272.0,280.0,268.0,277.35,208789,0.6084,343160
2022-01-28,GPIL,278.5,298.05,277.95,290.1,454941,0.5642,806383
2022-01-31,GPIL,300.0,310.0,293.1,299.65,384882,0.6579,585056
2022-02-01,GPIL,329.6,329.6,311.5,329.6,1004025,0.5666,1772150
2022-02-02,GPIL,331.5,336.0,316.0,317.55,635760,0.6084,1045004
2022-02-03,GPIL,322.0,328.0,313.7,320.85,263915,0.5471,482366
2022-02-04,GPIL,321.0,330.9,317.15,323.95,317225,0.5907,536991
2022-02-07,GPIL,327.1,330.05,321.75,323.8,225532,0.6046,373057
2022-02-08,GPIL,327.05,330.0,315.05,327.8,282105,0.5887,479160
2022-02-09,GPIL,331.0,339.85,331.0,333.3,349349,0.5926,589566
2022-02-10,GPIL,335.0,345.0,331.25,342.6,304514,0.5355,568601
2022-02-11,GPIL,339.45,340.0,328.0,332.4,215018,0.5528000000000001,388995
2022-02-14,GPIL,324.0,324.0,303.55,305.5,351295,0.6634000000000001,529503
2022-02-15,GPIL,299.6,314.0,296.2,309.5,171828,0.518,331690
2022-02-16,GPIL,309.55,317.9,306.0,308.6,110769,0.5673,195241
2022-02-17,GPIL,314.0,314.4,301.0,303.65,112736,0.479,235340
2022-02-18,GPIL,301.0,303.5,299.0,300.55,78836,0.5867,134380
2022-02-21,GPIL,311.0,318.0,306.05,313.2,421967,0.5315,793929
2022-02-22,GPIL,304.45,306.9,297.55,303.85,194363,0.6009000000000001,323476
2022-02-23,GPIL,307.0,318.5,306.95,312.6,131527,0.5953,220945
2022-02-24,GPIL,295.0,304.0,282.0,284.1,335949,0.6411,524014
2022-02-25,GPIL,290.0,303.95,285.55,295.3,180303,0.5729,314733
2022-02-28,GPIL,291.0,322.7,288.6,319.4,377111,0.5679,664082
2022-03-02,GPIL,319.4,351.3,313.0,351.3,1103109,0.6434000000000001,1714518
2022-03-03,GPIL,368.5,384.0,357.3,364.05,747549,0.47869999999999996,1561691
2022-03-04,GPIL,359.0,374.7,351.3,355.0,342178,0.4057,843330
2022-03-07,GPIL,348.0,360.0,342.0,347.15,260271,0.5115,508797
2022-03-08,GPIL,352.4,359.0,334.55,350.8,323920,0.5152,628753
2022-03-09,GPIL,353.0,359.7,348.0,355.25,230311,0.5226,440741
2022-03-10,GPIL,360.0,366.95,354.5,357.05,282732,0.5412,522388
2022-03-11,GPIL,355.2,392.75,355.2,385.85,705277,0.43450000000000005,1623102
2022-03-14,GPIL,389.0,389.0,375.95,380.3,199220,0.51,390634
2022-03-15,GPIL,373.85,376.9,357.0,361.5,410613,0.5681,722804
2022-03-16,GPIL,360.0,378.0,359.9,369.6,257860,0.4908,525406
2022-03-17,GPIL,377.0,385.65,371.7,378.9,353616,0.5618,629488
2022-03-21,GPIL,382.25,385.65,376.55,378.5,249217,0.5870000000000001,424529
2022-03-22,GPIL,384.4,401.0,375.0,388.95,396057,0.3554,1114519
2022-03-23,GPIL,392.4,399.3,386.95,395.95,274798,0.47350000000000003,580357
2022-03-24,GPIL,396.0,408.0,391.0,392.85,268003,0.4171,642481
2022-03-25,GPIL,395.25,399.65,387.7,389.1,183292,0.5275,347447
2022-03-28,GPIL,389.1,389.75,375.05,378.45,218775,0.5031,434825
2022-03-29,GPIL,380.8,383.0,369.1,372.75,226566,0.5515,410781
2022-03-30,GPIL,379.95,387.65,370.65,382.6,163996,0.44070000000000004,372102
2022-03-31,GPIL,382.6,394.0,380.35,386.45,217917,0.5585,390182
2022-04-01,GPIL,387.9,404.45,385.85,390.15,398034,0.5532,719535
2022-04-04,GPIL,393.3,408.0,393.1,405.55,454113,0.5675,800153
2022-04-05,GPIL,407.55,426.2,407.4,419.8,479769,0.46880000000000005,1023379
2022-04-06,GPIL,418.95,429.9,408.0,413.2,345444,0.4526,763277
2022-04-07,GPIL,416.95,449.0,416.95,433.25,713500,0.38270000000000004,1864350
2022-04-08,GPIL,439.0,445.0,433.3,439.65,232400,0.4625,502472
2022-04-11,GPIL,447.0,483.0,443.55,477.1,717150,0.38670000000000004,1854387
2022-04-12,GPIL,483.0,491.0,452.85,479.25,605239,0.34380000000000005,1760408
2022-04-13,GPIL,483.0,493.0,471.05,479.55,372573,0.37840000000000007,984721
2022-04-18,GPIL,478.9,484.75,468.1,477.05,189573,0.3811,497391
2022-04-19,GPIL,481.0,497.8,425.0,464.25,247496,0.36229999999999996,683036
2022-04-20,GPIL,470.8,482.35,450.0,454.85,323429,0.47340000000000004,683256
2022-04-21,GPIL,454.85,459.15,442.0,445.35,255637,0.4972,514196
2022-04-22,GPIL,445.0,473.0,441.6,466.8,218853,0.3447,634984
2022-04-25,GPIL,455.0,457.7,430.0,436.4,364868,0.47659999999999997,765635
2022-04-26,GPIL,444.0,447.7,420.05,422.5,251450,0.4106,612369
2022-04-27,GPIL,419.0,432.4,415.1,427.0,188383,0.35979999999999995,523522
