Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,GRAPHITE,639.0,650.0,636.0,641.5,106013,0.43170000000000003,245555
2021-09-02,GRAPHITE,644.8,648.0,640.5,643.85,82888,0.4897,169259
2021-09-03,GRAPHITE,646.0,649.9,637.6,640.75,76346,0.3456,220883
2021-09-06,GRAPHITE,638.2,661.0,638.2,643.35,140840,0.3329,423062
2021-09-07,GRAPHITE,644.0,648.4,631.0,636.7,106074,0.44229999999999997,239806
2021-09-08,GRAPHITE,636.7,641.15,631.0,633.05,70753,0.4394,161029
2021-09-09,GRAPHITE,634.4,635.0,626.4,630.55,85873,0.4157,206552
2021-09-13,GRAPHITE,630.0,645.0,626.5,636.85,129268,0.38130000000000003,339060
2021-09-14,GRAPHITE,640.0,645.0,632.1,633.85,93207,0.401,232448
2021-09-15,GRAPHITE,637.0,640.85,632.0,638.35,95843,0.49700000000000005,192844
2021-09-16,GRAPHITE,640.5,645.55,631.0,632.35,108435,0.5374,201783
2021-09-17,GRAPHITE,638.5,638.5,619.5,622.35,275736,0.7034999999999999,391946
2021-09-20,GRAPHITE,620.5,645.0,602.9,606.9,228652,0.4814,475008
2021-09-21,GRAPHITE,608.0,617.0,592.25,600.1,225556,0.5936,379960
2021-09-22,GRAPHITE,607.95,607.95,595.35,599.7,225223,0.6249,360390
2021-09-23,GRAPHITE,600.0,619.9,600.0,610.9,292748,0.5314,550854
2021-09-24,GRAPHITE,614.0,614.0,597.0,601.05,159091,0.5979,266065
2021-09-27,GRAPHITE,600.5,604.75,585.3,594.7,151016,0.46399999999999997,325472
2021-09-28,GRAPHITE,599.0,609.0,594.7,598.5,143638,0.39420000000000005,364345
2021-09-29,GRAPHITE,596.0,629.8,593.0,624.3,442226,0.4335,1020112
2021-09-30,GRAPHITE,625.9,629.0,602.8,604.55,330900,0.5639000000000001,586808
2021-10-01,GRAPHITE,599.9,604.35,596.0,599.1,142763,0.4241,336594
2021-10-04,GRAPHITE,600.0,625.5,593.0,618.6,1280413,0.4072,3144501
2021-10-05,GRAPHITE,618.0,628.0,610.0,613.05,683175,0.4495,1519700
2021-10-06,GRAPHITE,616.9,623.0,602.0,605.8,261384,0.44450000000000006,588005
2021-10-07,GRAPHITE,611.5,617.0,605.6,607.3,232644,0.45520000000000005,511028
2021-10-08,GRAPHITE,610.0,612.6,601.7,602.65,228703,0.5305,431100
2021-10-11,GRAPHITE,607.0,607.8,597.15,599.45,244204,0.4888,499639
2021-10-12,GRAPHITE,599.4,612.0,599.3,601.65,199399,0.48369999999999996,412218
2021-10-13,GRAPHITE,606.0,612.0,600.0,607.85,284698,0.494,576328
2021-10-14,GRAPHITE,609.4,611.95,600.5,602.0,167411,0.4947,338403
2021-10-18,GRAPHITE,606.95,629.0,600.0,619.75,906803,0.4548,1993854
2021-10-19,GRAPHITE,628.0,634.35,600.05,604.45,584998,0.4585,1275940
2021-10-20,GRAPHITE,605.0,607.5,575.2,579.7,515534,0.5803,888317
2021-10-21,GRAPHITE,580.25,589.55,570.5,573.25,215777,0.4805,449078
2021-10-22,GRAPHITE,574.9,584.4,545.0,550.7,323612,0.5063000000000001,639139
2021-10-25,GRAPHITE,555.1,559.5,512.0,514.05,484455,0.598,810061
2021-10-26,GRAPHITE,520.9,567.2,516.15,556.75,305303,0.3739,816529
2021-10-27,GRAPHITE,561.8,585.0,555.0,578.5,274091,0.3407,804548
2021-10-28,GRAPHITE,579.4,579.6,550.0,552.0,172977,0.43119999999999997,401149
2021-10-29,GRAPHITE,545.15,550.6,531.0,536.4,130876,0.35369999999999996,370028
2021-11-01,GRAPHITE,539.8,559.6,523.95,526.5,428016,0.40740000000000004,1050559
2021-11-02,GRAPHITE,530.9,534.9,514.0,516.25,341259,0.6088,560499
2021-11-03,GRAPHITE,521.0,526.0,511.0,517.7,199362,0.4719,422457
2021-11-04,GRAPHITE,520.9,526.0,520.25,524.3,53082,0.7351000000000001,72208
2021-11-08,GRAPHITE,527.15,528.0,508.5,510.0,611780,0.7195999999999999,850210
2021-11-09,GRAPHITE,513.2,524.85,511.85,520.1,365952,0.569,643178
2021-11-10,GRAPHITE,526.2,568.0,526.2,548.4,758944,0.3141,2416434
2021-11-11,GRAPHITE,551.9,551.9,521.1,523.25,462176,0.5756,802919
2021-11-12,GRAPHITE,526.9,532.85,520.0,527.75,268780,0.5622,478104
2021-11-15,GRAPHITE,532.0,532.0,512.35,515.8,213877,0.5584,382998
2021-11-16,GRAPHITE,518.9,520.6,510.3,512.15,248595,0.5519,450441
2021-11-17,GRAPHITE,512.0,514.9,500.0,501.45,326933,0.6647,491875
2021-11-18,GRAPHITE,501.6,507.05,476.05,479.9,360195,0.6008,599514
2021-11-22,GRAPHITE,482.85,485.05,450.15,453.85,400463,0.662,604956
2021-11-23,GRAPHITE,450.0,459.5,438.05,450.25,401718,0.5965,673462
2021-11-24,GRAPHITE,450.25,476.4,450.25,458.9,551645,0.5192,1062432
2021-11-25,GRAPHITE,461.45,463.15,448.1,450.85,241984,0.5775,419034
2021-11-26,GRAPHITE,447.0,449.8,428.55,431.9,286793,0.5335,537552
2021-11-29,GRAPHITE,430.0,431.0,405.9,417.0,196236,0.3567,550112
2021-11-30,GRAPHITE,420.0,434.0,405.0,408.8,253171,0.44560000000000005,568127
2021-12-01,GRAPHITE,412.9,420.9,403.2,406.7,316055,0.3873,816120
2021-12-02,GRAPHITE,409.0,419.8,403.55,417.1,276310,0.4512,612382
2021-12-03,GRAPHITE,417.9,423.25,415.0,417.7,282780,0.56,504976
2021-12-06,GRAPHITE,419.3,426.0,409.1,415.25,252092,0.3962,636339
2021-12-07,GRAPHITE,415.6,418.5,411.95,415.25,238553,0.4939,482992
2021-12-08,GRAPHITE,418.15,434.7,417.1,431.55,509313,0.4953,1028301
2021-12-09,GRAPHITE,431.95,432.9,423.5,427.35,227240,0.4454,510146
2021-12-10,GRAPHITE,425.1,447.35,425.1,436.15,506343,0.3749,1350602
2021-12-13,GRAPHITE,437.9,439.0,427.0,429.5,392659,0.549,715254
2021-12-14,GRAPHITE,427.0,439.9,425.05,432.2,233770,0.46380000000000005,504001
2021-12-15,GRAPHITE,434.0,436.85,420.6,423.25,192711,0.5311,362866
2021-12-16,GRAPHITE,425.15,429.6,411.05,414.45,247911,0.49450000000000005,501342
2021-12-17,GRAPHITE,416.9,424.2,403.6,421.45,457431,0.48810000000000003,937250
2021-12-20,GRAPHITE,415.0,418.5,404.1,415.4,572147,0.6165999999999999,927833
2021-12-21,GRAPHITE,410.65,418.4,408.2,410.2,365900,0.6309,579977
2021-12-22,GRAPHITE,412.85,424.0,409.75,411.2,319410,0.3471,920309
2021-12-23,GRAPHITE,415.0,417.0,408.15,409.25,193455,0.4648,416223
2021-12-24,GRAPHITE,412.25,413.0,405.3,407.45,122509,0.3564,343712
2021-12-27,GRAPHITE,407.0,407.0,396.0,398.1,267533,0.4547,588341
2021-12-28,GRAPHITE,399.9,419.5,399.9,411.1,352318,0.33159999999999995,1062446
2021-12-29,GRAPHITE,410.3,448.5,409.15,439.65,686855,0.2165,3171821
2021-12-30,GRAPHITE,441.7,527.55,436.0,523.55,2309421,0.1641,14073176
2021-12-31,GRAPHITE,528.0,544.0,503.85,508.95,1178589,0.1394,8454871
2022-01-03,GRAPHITE,515.0,519.0,505.0,507.9,501207,0.3059,1638675
2022-01-04,GRAPHITE,511.45,543.0,505.85,508.5,1121613,0.3003,3735024
2022-01-05,GRAPHITE,509.8,518.8,506.0,507.9,302670,0.3156,959043
2022-01-06,GRAPHITE,500.0,505.0,495.3,496.85,476811,0.49820000000000003,956978
2022-01-07,GRAPHITE,501.0,521.0,500.65,508.05,339132,0.3768,900025
2022-01-10,GRAPHITE,511.25,523.0,511.1,512.95,228819,0.37200000000000005,615139
2022-01-11,GRAPHITE,516.0,516.8,503.0,505.3,416119,0.49310000000000004,843968
2022-01-12,GRAPHITE,510.0,549.9,510.0,544.5,1371063,0.2557,5361285
2022-01-13,GRAPHITE,549.85,569.0,548.0,555.35,1034132,0.2452,4218108
2022-01-14,GRAPHITE,555.35,560.0,543.3,553.2,344070,0.2908,1182999
2022-01-17,GRAPHITE,554.0,563.0,544.7,554.55,285280,0.2378,1199546
2022-01-18,GRAPHITE,555.0,573.0,534.05,538.9,480905,0.19399999999999998,2478777
2022-01-19,GRAPHITE,539.0,549.7,527.85,539.05,328286,0.2457,1336225
2022-01-20,GRAPHITE,542.0,548.95,529.0,533.45,351258,0.3642,964552
2022-01-21,GRAPHITE,530.0,531.85,510.5,515.45,267143,0.3464,771159
2022-01-24,GRAPHITE,515.0,516.1,480.5,485.7,229666,0.22390000000000002,1053620
2022-01-25,GRAPHITE,473.1,502.9,462.1,496.7,218791,0.1956,1118453
2022-01-27,GRAPHITE,493.0,501.0,482.5,487.65,205105,0.2898,707706
2022-01-28,GRAPHITE,493.5,506.45,484.0,487.6,221600,0.317,698944
2022-01-31,GRAPHITE,494.2,496.85,484.0,486.9,199150,0.3494,569987
2022-02-01,GRAPHITE,490.25,534.9,484.0,529.2,469198,0.2133,2199257
2022-02-02,GRAPHITE,532.0,549.45,531.0,545.15,494093,0.23760000000000003,2079740
2022-02-03,GRAPHITE,545.0,545.0,532.2,535.75,184105,0.2305,798778
2022-02-04,GRAPHITE,538.4,554.0,531.05,539.1,263312,0.2101,1253197
2022-02-07,GRAPHITE,539.1,542.55,518.15,523.1,205099,0.3057,670872
