Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,GRASIM,1510.0,1514.5,1480.2,1486.0,271849,0.4094,664026
2021-09-02,GRASIM,1490.0,1507.0,1485.0,1499.25,530979,0.5215,1018243
2021-09-03,GRASIM,1510.0,1519.95,1492.5,1510.45,336234,0.2961,1135652
2021-09-06,GRASIM,1512.0,1567.0,1512.0,1531.0,758324,0.30210000000000004,2510335
2021-09-07,GRASIM,1538.0,1557.9,1514.75,1554.45,534229,0.4612,1158223
2021-09-08,GRASIM,1562.0,1608.65,1552.4,1576.7,858423,0.21050000000000002,4078147
2021-09-09,GRASIM,1579.85,1603.0,1570.0,1597.9,234485,0.2783,842587
2021-09-13,GRASIM,1610.0,1613.5,1579.55,1606.35,341915,0.3532,968009
2021-09-14,GRASIM,1610.0,1619.9,1594.0,1611.8,396847,0.3665,1082767
2021-09-15,GRASIM,1615.0,1622.65,1590.0,1606.8,336372,0.33659999999999995,999398
2021-09-16,GRASIM,1615.0,1618.0,1574.0,1578.45,327816,0.3847,852067
2021-09-17,GRASIM,1587.25,1609.8,1562.35,1568.8,1107314,0.5659000000000001,1956743
2021-09-20,GRASIM,1565.0,1567.55,1528.55,1535.6,366326,0.4732,774163
2021-09-21,GRASIM,1535.0,1565.0,1526.7,1557.15,190728,0.2481,768602
2021-09-22,GRASIM,1551.3,1582.65,1546.95,1574.65,442387,0.4826,916746
2021-09-23,GRASIM,1578.7,1625.0,1573.45,1606.85,405441,0.33409999999999995,1213696
2021-09-24,GRASIM,1615.0,1658.0,1615.0,1629.75,628806,0.3141,2001841
2021-09-27,GRASIM,1635.1,1657.25,1622.2,1648.8,375697,0.41340000000000005,908804
2021-09-28,GRASIM,1653.0,1684.6,1641.1,1648.75,381446,0.2441,1562917
2021-09-29,GRASIM,1642.0,1678.5,1635.05,1669.9,362539,0.4428,818653
2021-09-30,GRASIM,1660.0,1694.3,1660.0,1669.45,428149,0.3973,1077540
2021-10-01,GRASIM,1659.95,1687.65,1635.5,1677.15,214246,0.305,702503
2021-10-04,GRASIM,1652.0,1654.85,1621.0,1641.15,250881,0.2182,1149637
2021-10-05,GRASIM,1641.15,1653.45,1623.0,1627.0,195699,0.3615,541290
2021-10-06,GRASIM,1621.0,1640.0,1592.0,1599.0,485453,0.4681,1037021
2021-10-07,GRASIM,1608.95,1627.0,1590.0,1592.0,2806396,0.8761,3203275
2021-10-08,GRASIM,1596.0,1616.8,1591.65,1598.8,285878,0.4122,693600
2021-10-11,GRASIM,1607.0,1665.5,1606.95,1651.75,788361,0.4645,1697164
2021-10-12,GRASIM,1651.75,1665.0,1628.55,1637.65,245520,0.3195,768555
2021-10-13,GRASIM,1637.65,1713.25,1622.8,1677.05,393528,0.292,1347796
2021-10-14,GRASIM,1680.0,1775.0,1680.0,1752.5,776735,0.33640000000000003,2309191
2021-10-18,GRASIM,1762.0,1798.4,1746.0,1753.95,596548,0.4473,1333785
2021-10-19,GRASIM,1757.0,1770.45,1711.55,1717.9,189875,0.3454,549783
2021-10-20,GRASIM,1710.1,1723.95,1681.8,1692.5,416917,0.49950000000000006,834655
2021-10-21,GRASIM,1709.4,1754.0,1690.05,1745.8,445447,0.32530000000000003,1369162
2021-10-22,GRASIM,1748.6,1764.75,1710.1,1713.8,189675,0.26480000000000004,716250
2021-10-25,GRASIM,1700.0,1719.7,1669.15,1710.65,137709,0.24,573813
2021-10-26,GRASIM,1717.0,1767.0,1704.25,1739.4,537289,0.4025,1334788
2021-10-27,GRASIM,1744.0,1754.65,1722.7,1728.4,225913,0.42960000000000004,525885
2021-10-28,GRASIM,1735.95,1735.95,1692.55,1702.4,296768,0.4569,649517
2021-10-29,GRASIM,1705.0,1742.5,1675.45,1721.1,456184,0.396,1152110
2021-11-01,GRASIM,1722.0,1795.85,1719.2,1789.0,421329,0.2986,1410919
2021-11-02,GRASIM,1792.0,1805.0,1737.5,1744.05,300335,0.2687,1117548
2021-11-03,GRASIM,1745.0,1793.2,1735.2,1785.55,415558,0.41409999999999997,1003482
2021-11-04,GRASIM,1797.0,1800.0,1785.55,1791.6,36388,0.3822,95198
2021-11-08,GRASIM,1791.6,1857.1,1779.5,1848.95,447415,0.2998,1492531
2021-11-09,GRASIM,1851.0,1879.9,1848.55,1863.85,453363,0.4337,1045350
2021-11-10,GRASIM,1846.9,1879.4,1842.0,1874.45,181973,0.3601,505300
2021-11-11,GRASIM,1877.8,1893.0,1831.8,1844.35,339531,0.3591,945543
2021-11-12,GRASIM,1857.9,1875.0,1842.5,1858.45,454822,0.3945,1152941
2021-11-15,GRASIM,1859.05,1889.95,1840.05,1855.85,165696,0.2545,651129
2021-11-16,GRASIM,1860.0,1875.0,1817.0,1823.15,162528,0.3144,516932
2021-11-17,GRASIM,1825.3,1825.3,1786.65,1792.65,226657,0.33990000000000004,666765
2021-11-18,GRASIM,1783.2,1811.95,1763.35,1774.5,127754,0.2688,475222
2021-11-22,GRASIM,1769.45,1798.3,1750.0,1778.3,272332,0.3655,745137
2021-11-23,GRASIM,1779.0,1804.5,1765.45,1783.35,777056,0.5304,1465028
2021-11-24,GRASIM,1790.0,1793.95,1734.1,1746.95,327942,0.47130000000000005,695846
2021-11-25,GRASIM,1716.0,1773.0,1716.0,1766.75,240846,0.34130000000000005,705771
2021-11-26,GRASIM,1757.3,1757.85,1679.0,1690.1,318273,0.4253,748265
2021-11-29,GRASIM,1680.0,1720.1,1642.7,1683.95,519166,0.35840000000000005,1448550
2021-11-30,GRASIM,1680.0,1709.65,1650.3,1662.45,1024967,0.6237,1643449
2021-12-01,GRASIM,1667.0,1694.4,1653.35,1679.6,342831,0.3969,863737
2021-12-02,GRASIM,1676.6,1750.05,1673.45,1723.85,420467,0.4286,980913
2021-12-03,GRASIM,1735.25,1742.1,1698.1,1703.9,415517,0.45280000000000004,917560
2021-12-06,GRASIM,1701.0,1718.6,1657.15,1660.75,489568,0.5774,847880
2021-12-07,GRASIM,1667.0,1697.0,1667.0,1685.55,475624,0.5792,821172
2021-12-08,GRASIM,1700.0,1742.0,1694.0,1716.25,332731,0.3312,1004508
2021-12-09,GRASIM,1729.8,1730.0,1702.0,1722.75,282677,0.4344,650798
2021-12-10,GRASIM,1715.0,1757.2,1715.0,1749.2,353374,0.36450000000000005,969438
2021-12-13,GRASIM,1762.0,1769.7,1727.25,1732.45,328100,0.45990000000000003,713443
2021-12-14,GRASIM,1715.0,1744.9,1710.45,1722.0,315998,0.5156000000000001,612932
2021-12-15,GRASIM,1715.0,1732.0,1698.0,1704.4,273658,0.47880000000000006,571551
2021-12-16,GRASIM,1711.9,1739.85,1701.9,1717.3,429379,0.48610000000000003,883358
2021-12-17,GRASIM,1705.55,1714.6,1656.2,1665.8,311769,0.5067,615334
2021-12-20,GRASIM,1655.8,1655.8,1601.0,1616.45,442270,0.4681,944832
2021-12-21,GRASIM,1618.15,1668.8,1618.15,1636.45,485611,0.5136999999999999,945319
2021-12-22,GRASIM,1647.9,1662.0,1629.2,1638.6,501851,0.5604,895467
2021-12-23,GRASIM,1647.0,1669.9,1636.15,1659.6,568967,0.5141,1106826
2021-12-24,GRASIM,1660.2,1668.0,1595.25,1610.9,378995,0.33840000000000003,1119890
2021-12-27,GRASIM,1600.5,1616.25,1592.2,1602.55,699042,0.5839,1197256
2021-12-28,GRASIM,1617.0,1639.4,1612.0,1621.95,786249,0.5509000000000001,1427238
2021-12-29,GRASIM,1624.0,1638.9,1598.0,1604.65,402718,0.5351,752575
2021-12-30,GRASIM,1605.0,1620.3,1587.55,1593.65,647157,0.5574,1160926
2021-12-31,GRASIM,1603.1,1644.0,1600.55,1622.25,706385,0.4264,1656520
2022-01-03,GRASIM,1629.75,1666.85,1617.0,1661.6,195916,0.3127,626473
2022-01-04,GRASIM,1671.0,1696.5,1658.0,1692.0,324943,0.3644,891638
2022-01-05,GRASIM,1685.0,1753.1,1684.0,1747.05,850686,0.4822,1764235
2022-01-06,GRASIM,1746.1,1746.1,1710.6,1720.55,695364,0.6025,1154118
2022-01-07,GRASIM,1722.0,1807.0,1722.0,1797.65,661287,0.2285,2894295
2022-01-10,GRASIM,1810.0,1845.0,1793.6,1838.85,642544,0.4393,1462664
2022-01-11,GRASIM,1834.15,1871.0,1821.0,1846.9,487874,0.3458,1410909
2022-01-12,GRASIM,1857.95,1877.45,1845.0,1874.0,224492,0.3214,698473
2022-01-13,GRASIM,1880.0,1883.0,1850.0,1856.85,427719,0.5085000000000001,841198
2022-01-14,GRASIM,1859.9,1867.75,1832.35,1857.3,652012,0.5281,1234583
2022-01-17,GRASIM,1857.3,1929.0,1846.0,1918.7,349870,0.2796,1251260
2022-01-18,GRASIM,1927.95,1929.8,1842.7,1852.25,241184,0.2561,941752
2022-01-19,GRASIM,1845.0,1863.9,1796.3,1806.5,180197,0.22350000000000003,806090
2022-01-20,GRASIM,1817.0,1836.75,1813.6,1831.0,198343,0.278,713340
2022-01-21,GRASIM,1829.0,1829.0,1779.0,1792.1,114296,0.2177,524966
2022-01-24,GRASIM,1791.8,1791.8,1684.0,1690.7,248990,0.3575,1018776
2022-01-25,GRASIM,1668.6,1726.2,1658.05,1721.3,306807,0.3676,834681
2022-01-27,GRASIM,1697.1,1700.0,1660.1,1687.05,378907,0.4651,814635
2022-01-28,GRASIM,1700.0,1736.35,1691.05,1697.0,409250,0.35990000000000005,1137085
2022-01-31,GRASIM,1705.9,1737.0,1702.0,1727.5,232352,0.4546,511167
