Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,GREENPOWER,2.95,2.95,2.9,2.9,474115,0.5161,918695
2021-09-02,GREENPOWER,2.95,3.0,2.85,2.95,1340123,0.478,2803587
2021-09-03,GREENPOWER,3.0,3.0,2.9,2.95,794306,0.4999,1588980
2021-09-06,GREENPOWER,3.0,3.0,2.9,2.9,804964,0.5897,1365132
2021-09-07,GREENPOWER,2.95,3.0,2.9,2.95,786327,0.41200000000000003,1908602
2021-09-08,GREENPOWER,3.0,3.05,2.95,3.0,1177144,0.47130000000000005,2497812
2021-09-09,GREENPOWER,3.05,3.05,2.95,3.0,1149560,0.4504,2552247
2021-09-13,GREENPOWER,3.05,3.05,3.0,3.0,862075,0.5739,1502177
2021-09-14,GREENPOWER,3.0,3.15,3.0,3.15,1924287,0.6063000000000001,3173671
2021-09-15,GREENPOWER,3.2,3.3,3.2,3.3,2097607,0.5231,4009713
2021-09-16,GREENPOWER,3.35,3.45,3.3,3.3,2004740,0.5991,3346255
2021-09-17,GREENPOWER,3.35,3.35,3.15,3.15,1709250,0.6487,2634767
2021-09-20,GREENPOWER,3.15,3.15,3.0,3.0,1519549,0.4326,3512888
2021-09-21,GREENPOWER,3.0,3.15,2.95,3.15,1699943,0.6978,2436273
2021-09-22,GREENPOWER,3.15,3.2,3.05,3.1,859571,0.5416,1587024
2021-09-23,GREENPOWER,3.1,3.15,3.05,3.05,1272230,0.7145,1780700
2021-09-24,GREENPOWER,3.05,3.1,3.0,3.05,1161052,0.6367,1823404
2021-09-27,GREENPOWER,3.05,3.1,3.0,3.05,1047345,0.6246,1676892
2021-09-28,GREENPOWER,3.05,3.15,3.0,3.05,1625859,0.436,3728691
2021-09-29,GREENPOWER,3.1,3.2,3.05,3.15,2146798,0.5125,4188805
2021-09-30,GREENPOWER,3.15,3.15,3.05,3.1,1316233,0.6779999999999999,1941210
2021-10-01,GREENPOWER,3.1,3.15,3.05,3.1,1263391,0.5959000000000001,2120167
2021-10-04,GREENPOWER,3.15,3.25,3.15,3.2,1777178,0.6814,2608094
2021-10-05,GREENPOWER,3.25,3.35,3.15,3.35,3226611,0.7414000000000001,4352225
2021-10-06,GREENPOWER,3.45,3.5,3.4,3.45,5635959,0.6814,8270993
2021-10-07,GREENPOWER,3.55,3.75,3.55,3.75,3551834,0.6972,5094531
2021-10-08,GREENPOWER,4.1,4.1,4.05,4.1,1340458,0.8235,1627710
2021-10-11,GREENPOWER,4.5,4.5,4.5,4.5,735030,0.9999,735130
2021-10-12,GREENPOWER,4.7,4.7,4.7,4.7,929188,1.0,929188
2021-10-13,GREENPOWER,4.9,4.9,4.75,4.9,5877582,0.7345999999999999,8001326
2021-10-14,GREENPOWER,5.1,5.1,4.7,4.7,11178342,0.5586,20010237
2021-10-18,GREENPOWER,4.9,4.9,4.7,4.85,6822890,0.6161,11073931
2021-10-19,GREENPOWER,5.0,5.05,4.85,4.95,6837571,0.6003000000000001,11389561
2021-10-20,GREENPOWER,5.05,5.05,4.75,4.75,2439556,0.4424,5514130
2022-03-29,GREENPOWER,13.55,14.35,13.2,13.2,7709543,0.8775000000000001,8785793
2022-03-30,GREENPOWER,12.55,13.0,12.55,12.55,8447758,0.9712000000000001,8698144
2022-03-31,GREENPOWER,12.05,13.1,11.95,12.2,13491035,0.3993,33783522
2022-04-01,GREENPOWER,12.35,12.8,11.95,12.5,6245426,0.5711,10936726
2022-04-04,GREENPOWER,12.55,12.55,11.9,11.95,9204101,0.6557,14037220
2022-04-05,GREENPOWER,12.0,12.5,11.85,12.5,6415903,0.5188,12367104
2022-04-06,GREENPOWER,12.5,13.1,12.25,13.1,7220091,0.5999,12035503
2022-04-07,GREENPOWER,13.2,13.6,12.55,12.6,8102227,0.5956,13604263
2022-04-08,GREENPOWER,12.8,12.85,12.0,12.3,7192065,0.6718999999999999,10704329
2022-04-11,GREENPOWER,12.4,12.9,12.3,12.75,5489336,0.631,8698916
2022-04-12,GREENPOWER,12.8,12.9,12.15,12.3,3857548,0.6591,5852446
2022-04-13,GREENPOWER,12.55,12.7,12.3,12.5,2758828,0.6664,4140118
2022-04-18,GREENPOWER,12.5,12.5,12.0,12.1,2636083,0.634,4157685
2022-04-19,GREENPOWER,12.2,12.6,12.05,12.15,3954129,0.5533,7146139
2022-04-20,GREENPOWER,12.2,12.45,12.1,12.2,2762651,0.6609999999999999,4179565
2022-04-21,GREENPOWER,12.3,12.4,12.1,12.2,1947601,0.6236,3123054
2022-04-22,GREENPOWER,12.05,12.2,11.9,12.05,2913842,0.6873,4239478
2022-04-25,GREENPOWER,12.0,12.2,11.8,11.8,2587159,0.7087000000000001,3650460
2022-04-26,GREENPOWER,11.95,11.95,11.25,11.3,3049522,0.664,4592451
2022-04-27,GREENPOWER,11.25,11.3,10.75,10.8,3172265,0.6384000000000001,4969295
2022-04-28,GREENPOWER,10.95,11.3,10.3,11.3,3458261,0.5463,6330026
2022-04-29,GREENPOWER,11.75,11.85,11.05,11.65,2024765,0.5786,3499411
2022-05-02,GREENPOWER,11.25,11.4,11.1,11.1,2157075,0.5959000000000001,3619942
2022-05-04,GREENPOWER,11.1,11.2,10.55,10.6,2427950,0.6693000000000001,3627419
2022-05-05,GREENPOWER,10.75,11.1,10.75,11.05,1621183,0.48009999999999997,3376783
2022-05-06,GREENPOWER,10.75,10.9,10.55,10.75,1632405,0.6191,2636784
2022-05-09,GREENPOWER,10.75,10.8,10.4,10.5,1426706,0.533,2676548
2022-05-10,GREENPOWER,10.45,11.0,10.25,10.35,1610496,0.54,2982301
2022-05-11,GREENPOWER,10.5,10.6,9.85,10.05,2086220,0.6249,3338462
2022-05-12,GREENPOWER,9.85,10.05,9.55,9.55,1653704,0.648,2552202
2022-05-13,GREENPOWER,9.35,10.0,9.35,10.0,1695834,0.6849,2475870
2022-05-16,GREENPOWER,10.35,10.5,10.15,10.5,1239600,0.563,2201781
2022-05-17,GREENPOWER,10.9,11.0,10.75,11.0,966847,0.7881,1226815
2022-05-18,GREENPOWER,11.55,11.55,11.45,11.55,1363802,0.5165,2640711
2022-05-19,GREENPOWER,11.4,11.4,11.0,11.0,1971578,0.52,3791445
2022-05-20,GREENPOWER,11.15,11.55,10.85,11.55,5770505,0.6811,8471833
2022-05-23,GREENPOWER,11.0,11.0,11.0,11.0,779524,0.9999,779605
2022-05-24,GREENPOWER,10.45,10.45,10.45,10.45,730453,1.0,730453
2022-05-25,GREENPOWER,9.95,9.95,9.95,9.95,775369,1.0,775369
2022-05-26,GREENPOWER,9.5,9.5,9.5,9.5,1032776,0.9858,1047700
2022-05-27,GREENPOWER,9.05,9.5,9.05,9.05,8176374,0.5524,14802776
2022-05-30,GREENPOWER,8.6,9.4,8.6,8.6,7280469,0.37450000000000006,19440047
2022-05-31,GREENPOWER,8.75,9.0,8.25,9.0,3946591,0.4497,8776820
2022-06-01,GREENPOWER,9.15,9.45,9.0,9.45,2776635,0.6114,4541138
2022-06-02,GREENPOWER,9.65,9.9,9.1,9.35,3183523,0.4944,6439452
2022-06-03,GREENPOWER,9.4,9.5,8.9,8.95,2482423,0.7189,3452892
2022-06-06,GREENPOWER,8.95,8.95,8.65,8.7,1724399,0.6222,2771384
2022-06-07,GREENPOWER,8.7,9.0,8.65,8.9,1486865,0.5679,2618408
2022-06-08,GREENPOWER,8.95,9.05,8.7,8.75,1082507,0.5601,1932854
2022-06-09,GREENPOWER,8.7,8.9,8.6,8.75,934138,0.5659000000000001,1650725
2022-06-10,GREENPOWER,8.75,8.9,8.45,8.8,983861,0.5804,1695063
2022-06-13,GREENPOWER,8.6,8.65,8.4,8.4,1396036,0.5835,2392437
2022-06-14,GREENPOWER,8.25,8.45,8.15,8.25,1167753,0.48119999999999996,2426719
2022-06-15,GREENPOWER,8.3,8.45,8.15,8.2,801877,0.4422,1813467
2022-06-16,GREENPOWER,8.3,8.35,7.8,7.8,1462175,0.6011,2432337
2022-06-17,GREENPOWER,7.7,7.75,7.45,7.45,1253526,0.49960000000000004,2508890
2022-06-20,GREENPOWER,7.55,7.6,7.1,7.1,1121087,0.457,2453402
2022-06-21,GREENPOWER,6.9,7.35,6.8,7.15,2483876,0.5146000000000001,4826837
2022-06-22,GREENPOWER,7.1,7.15,6.8,6.85,1373193,0.5776,2377567
2022-06-23,GREENPOWER,6.9,7.15,6.85,7.15,1008667,0.5987,1826330
2022-06-24,GREENPOWER,7.5,7.5,7.35,7.5,422617,0.8062,524187
2022-06-27,GREENPOWER,7.85,7.85,7.85,7.85,163475,1.0,163475
