Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,GROBTEA,1096.5,1096.5,999.5,1045.7,1063,0.4183,2541
2021-09-02,GROBTEA,1011.55,1063.0,967.7,1012.6,476,0.3625,1313
2021-09-03,GROBTEA,1012.6,1092.45,982.3,1051.55,1625,0.5920000000000001,2745
2021-09-06,GROBTEA,1094.0,1094.0,990.0,1023.2,526,0.595,884
2021-09-07,GROBTEA,1026.6,1059.9,1021.0,1030.5,460,0.1349,3409
2021-09-08,GROBTEA,1058.9,1058.9,1015.0,1022.4,200,0.0558,3582
2021-09-09,GROBTEA,1040.55,1042.95,1005.0,1020.05,87,0.2159,403
2021-09-13,GROBTEA,1049.0,1049.0,995.0,1012.1,245,0.5658,433
2021-09-14,GROBTEA,1038.5,1055.0,1000.0,1008.5,481,0.6422,749
2021-09-15,GROBTEA,1039.95,1055.0,1029.4,1045.35,380,0.33390000000000003,1138
2021-09-16,GROBTEA,1045.35,1080.0,1010.0,1041.5,565,0.7328,771
2021-09-17,GROBTEA,1036.8,1042.0,1010.0,1028.45,226,0.6647,340
2021-09-20,GROBTEA,1039.0,1039.0,1002.0,1023.55,140,0.0895,1564
2021-09-21,GROBTEA,1003.5,1030.0,990.1,999.95,273,0.1611,1695
2021-09-22,GROBTEA,1028.55,1030.0,1006.05,1016.2,119,0.7628,156
2021-09-23,GROBTEA,1019.0,1019.0,972.5,996.25,211,0.8084,261
2021-09-24,GROBTEA,1003.7,1033.15,1000.0,1021.2,198,0.6923,286
2021-09-27,GROBTEA,1021.2,1028.65,990.0,1004.25,236,0.6648000000000001,355
2021-09-28,GROBTEA,1001.0,1034.95,993.7,1010.15,248,0.6986,355
2021-09-29,GROBTEA,1000.5,1001.0,915.55,990.8,275,0.6840999999999999,402
2021-09-30,GROBTEA,980.0,998.65,970.0,978.75,270,0.8207,329
2021-10-01,GROBTEA,1000.0,1076.6,980.0,1076.6,776,0.227,3418
2021-10-04,GROBTEA,1170.0,1170.0,1022.7,1104.95,1213,0.37420000000000003,3242
2021-10-05,GROBTEA,1094.45,1140.0,1094.45,1122.55,608,0.579,1050
2021-10-06,GROBTEA,1139.0,1140.15,1061.0,1112.55,1045,0.6419,1628
2021-10-07,GROBTEA,1082.0,1335.05,1082.0,1335.05,6436,0.35850000000000004,17951
2021-10-08,GROBTEA,1394.0,1444.8,1260.0,1292.75,4975,0.43810000000000004,11357
2021-10-11,GROBTEA,1292.75,1292.8,1176.4,1213.65,1081,0.4579,2361
2021-10-12,GROBTEA,1225.0,1324.8,1158.85,1210.35,1687,0.3993,4225
2021-10-13,GROBTEA,1200.6,1285.0,1197.85,1208.75,821,0.39840000000000003,2061
2021-10-14,GROBTEA,1233.6,1280.0,1192.0,1264.7,1161,0.6117,1898
2021-10-18,GROBTEA,1285.0,1285.0,1251.1,1263.75,455,0.7609,598
2021-10-19,GROBTEA,1240.05,1260.0,1133.2,1176.05,626,0.5225,1198
2021-10-20,GROBTEA,1210.95,1395.0,1102.35,1150.5,908,0.5203,1745
2021-10-21,GROBTEA,1150.0,1161.25,1105.0,1124.2,222,0.47740000000000005,465
2021-10-22,GROBTEA,1172.0,1220.0,1105.0,1124.95,250,0.4216,593
2021-10-25,GROBTEA,1180.0,1210.0,961.35,1015.9,1458,0.49460000000000004,2948
2021-10-26,GROBTEA,1043.0,1094.0,985.95,1064.1,847,0.6223,1361
2021-10-27,GROBTEA,1074.0,1085.0,1017.0,1033.6,480,0.6676000000000001,719
2021-10-28,GROBTEA,1054.0,1054.0,1020.0,1032.15,122,0.6421,190
2021-10-29,GROBTEA,1011.9,1056.0,1011.9,1039.9,130,0.19760000000000003,658
2021-11-01,GROBTEA,1044.45,1082.25,1015.5,1027.75,276,0.4554,606
2021-11-02,GROBTEA,1048.5,1049.9,1027.8,1033.9,185,0.6679,277
2021-11-03,GROBTEA,1031.65,1098.9,1026.45,1065.55,370,0.4756,778
2021-11-04,GROBTEA,1078.95,1078.95,1012.25,1055.3,115,0.5502,209
2021-11-08,GROBTEA,1114.0,1114.0,1030.0,1049.1,282,0.7031999999999999,401
2021-11-09,GROBTEA,1060.0,1123.35,1034.5,1113.05,1158,0.5039,2298
2021-11-10,GROBTEA,1129.0,1178.8,1036.55,1162.2,834,0.4389,1900
2021-11-11,GROBTEA,1173.0,1353.3,1136.9,1224.0,1126,0.7131000000000001,1579
2021-11-12,GROBTEA,1295.0,1348.0,1245.95,1289.5,2191,0.5092,4303
2021-11-15,GROBTEA,1289.5,1297.0,1188.25,1204.2,1053,0.6321,1666
2021-11-16,GROBTEA,1204.2,1247.0,1179.15,1207.8,253,0.5394,469
2021-11-17,GROBTEA,1201.2,1220.0,1161.0,1179.1,348,0.5668,614
