Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,GRPLTD,965.0,979.0,950.15,976.6,466,0.599,778
2021-09-02,GRPLTD,975.0,987.8,950.15,950.95,801,0.3592,2230
2021-09-03,GRPLTD,940.0,1036.05,940.0,974.25,987,0.5013000000000001,1969
2021-09-06,GRPLTD,993.0,993.0,972.05,985.75,567,0.6889000000000001,823
2021-09-07,GRPLTD,989.9,989.9,965.0,983.0,933,0.7149,1305
2021-09-08,GRPLTD,990.0,990.0,921.55,940.3,967,0.6646,1455
2021-09-09,GRPLTD,950.0,986.0,926.65,938.25,1245,0.5826,2137
2021-09-13,GRPLTD,940.0,965.0,925.1,949.85,965,0.8305,1162
2021-09-14,GRPLTD,956.4,973.4,940.5,955.05,1322,0.7772,1701
2021-09-15,GRPLTD,956.4,956.4,930.05,947.15,215,0.6056,355
2021-09-16,GRPLTD,947.6,974.35,931.55,953.75,1988,0.7177,2770
2021-09-17,GRPLTD,937.35,972.85,935.4,957.85,2076,0.8271,2510
2021-09-20,GRPLTD,974.0,975.0,939.5,965.0,1373,0.7645000000000001,1796
2021-09-21,GRPLTD,990.0,998.0,952.5,972.8,708,0.7299,970
2021-09-22,GRPLTD,969.45,984.95,963.95,965.55,830,0.7143,1162
2021-09-23,GRPLTD,970.55,998.0,968.65,990.05,208,0.3954,526
2021-09-24,GRPLTD,999.0,999.0,935.0,938.8,2192,0.6679,3282
2021-09-27,GRPLTD,941.85,969.9,930.0,948.4,1680,0.7540000000000001,2228
2021-09-28,GRPLTD,957.0,963.0,930.0,934.6,1361,0.6983,1949
2021-09-29,GRPLTD,930.45,958.0,930.45,937.9,1355,0.738,1836
2021-09-30,GRPLTD,935.0,947.4,926.4,929.8,476,0.4512,1055
2021-10-01,GRPLTD,923.0,937.7,906.05,917.2,1204,0.6011,2003
2021-10-04,GRPLTD,917.2,934.45,912.5,928.8,733,0.5466,1341
2021-10-05,GRPLTD,917.55,945.0,901.5,924.85,790,0.4728,1671
2021-10-06,GRPLTD,924.45,963.5,923.0,940.95,727,0.5141,1414
2021-10-07,GRPLTD,937.9,1018.45,933.05,991.9,1558,0.5221,2984
2021-10-08,GRPLTD,1009.0,1009.0,961.05,967.35,444,0.5133,865
2021-10-11,GRPLTD,968.05,1005.0,950.0,959.15,534,0.43270000000000003,1234
2021-10-12,GRPLTD,981.45,981.45,950.0,954.15,249,0.3583,695
2021-10-13,GRPLTD,949.95,990.0,949.95,968.35,485,0.48740000000000006,995
2021-10-14,GRPLTD,968.95,985.45,957.4,963.15,100,0.3861,259
2021-10-18,GRPLTD,965.0,1015.0,961.5,972.8,421,0.4136,1018
2021-10-19,GRPLTD,970.0,970.0,930.2,949.3,430,0.6698000000000001,642
2021-10-20,GRPLTD,950.3,1000.0,926.0,974.1,756,0.4737,1596
2021-10-21,GRPLTD,960.0,984.0,945.2,965.85,179,0.6047,296
2021-10-22,GRPLTD,965.2,999.0,965.1,983.6,438,0.5414,809
2021-10-25,GRPLTD,983.6,1003.0,937.05,954.4,396,0.3367,1176
2021-10-26,GRPLTD,979.95,979.95,936.2,946.85,969,0.603,1607
2021-10-27,GRPLTD,946.85,985.0,903.0,960.25,1351,0.5092,2653
2021-10-28,GRPLTD,965.6,980.0,942.0,969.5,398,0.4239,939
2021-10-29,GRPLTD,969.95,976.0,948.0,960.15,262,0.3764,696
2021-11-01,GRPLTD,1000.0,1000.0,931.0,943.25,1537,0.5355,2870
2021-11-02,GRPLTD,950.05,968.95,943.25,949.6,729,0.8497,858
2021-11-03,GRPLTD,945.15,985.0,945.15,957.2,697,0.4535,1537
2021-11-04,GRPLTD,1000.0,1000.0,965.0,981.2,592,0.6135,965
2021-11-08,GRPLTD,975.0,995.05,960.55,976.9,629,0.5242,1200
2021-11-09,GRPLTD,975.1,993.0,960.1,963.95,460,0.563,817
2021-11-10,GRPLTD,972.6,977.4,950.05,964.4,399,0.4872,819
2021-11-11,GRPLTD,975.55,975.55,950.2,969.85,214,0.39780000000000004,538
2021-11-12,GRPLTD,954.8,978.0,938.3,950.8,238,0.373,638
2021-11-15,GRPLTD,949.9,977.5,945.25,966.0,506,0.47509999999999997,1065
2021-11-16,GRPLTD,957.55,975.0,947.15,950.7,388,0.3514,1104
2021-11-17,GRPLTD,951.0,962.0,905.0,911.25,1858,0.5949,3123
2021-11-18,GRPLTD,928.0,959.0,900.9,934.75,2389,0.6949,3438
2021-11-22,GRPLTD,930.05,950.0,915.6,922.65,154,0.2391,644
2021-11-23,GRPLTD,934.1,950.0,905.0,934.8,375,0.4518,830
2021-11-24,GRPLTD,920.05,960.0,920.05,952.6,936,0.4415,2120
2021-11-25,GRPLTD,970.0,970.0,942.0,958.75,632,0.5534,1142
2021-11-26,GRPLTD,967.0,967.0,932.95,953.65,1668,0.6622,2519
2021-11-29,GRPLTD,950.45,959.4,901.15,950.45,573,0.4347,1318
2021-11-30,GRPLTD,954.5,1140.5,941.4,959.5,1106,0.5700999999999999,1940
2021-12-01,GRPLTD,959.95,971.55,947.0,950.2,43,0.5513,78
2021-12-02,GRPLTD,956.85,959.8,954.9,955.7,212,0.9217000000000001,230
2021-12-03,GRPLTD,950.0,980.0,950.0,958.25,237,0.37979999999999997,624
2021-12-06,GRPLTD,949.55,976.0,946.0,959.1,648,0.3155,2054
2021-12-07,GRPLTD,970.0,998.9,956.45,975.5,516,0.4264,1210
2021-12-08,GRPLTD,964.45,987.8,964.45,970.0,1031,0.7476,1379
2021-12-09,GRPLTD,974.35,996.0,960.0,970.35,1183,0.4944,2393
2021-12-10,GRPLTD,980.5,994.7,960.3,975.25,450,0.4865,925
2021-12-13,GRPLTD,975.25,1020.0,970.0,1009.25,6151,0.8829000000000001,6967
2021-12-14,GRPLTD,1020.0,1100.0,1000.6,1097.1,6681,0.6489,10296
2021-12-15,GRPLTD,1099.85,1099.85,1052.0,1064.6,873,0.6363000000000001,1372
2021-12-16,GRPLTD,1090.0,1090.0,1006.0,1017.1,1182,0.6321,1870
2021-12-17,GRPLTD,1030.2,1038.0,1004.0,1010.3,481,0.4572,1052
2021-12-20,GRPLTD,1028.1,1028.1,945.0,957.6,853,0.7162000000000001,1191
2021-12-21,GRPLTD,950.0,983.0,950.0,956.1,455,0.4769,954
2021-12-22,GRPLTD,958.0,1041.75,958.0,1021.7,362,0.3961,914
2021-12-23,GRPLTD,1038.0,1044.45,1002.0,1010.15,489,0.4072,1201
2021-12-24,GRPLTD,997.95,1029.0,985.7,1003.85,369,0.4132,893
2021-12-27,GRPLTD,1010.5,1070.0,976.1,1013.15,549,0.42560000000000003,1290
2021-12-28,GRPLTD,1013.15,1059.95,1005.5,1052.05,653,0.4457,1465
2021-12-29,GRPLTD,1039.5,1068.0,1026.05,1063.3,485,0.4303,1127
2021-12-30,GRPLTD,1054.0,1079.9,1035.0,1035.25,366,0.4103,892
2021-12-31,GRPLTD,1024.0,1057.75,995.0,1012.55,480,0.3241,1481
2022-01-03,GRPLTD,1001.7,1049.85,1001.7,1031.7,388,0.3613,1074
2022-01-04,GRPLTD,1021.5,1069.0,1021.5,1056.95,1393,0.7347,1896
2022-01-05,GRPLTD,1048.5,1268.3,1046.5,1268.3,7943,0.34850000000000003,22794
2022-01-06,GRPLTD,1355.0,1521.95,1350.1,1506.5,23190,0.1433,161790
2022-01-07,GRPLTD,1524.9,1572.85,1441.25,1460.6,8300,0.2224,37324
2022-01-10,GRPLTD,1461.0,1517.2,1332.7,1373.65,5919,0.4303,13755
2022-01-11,GRPLTD,1373.65,1430.9,1350.0,1385.3,2520,0.4414,5709
2022-01-12,GRPLTD,1392.6,1515.0,1380.1,1463.75,3830,0.3945,9709
2022-01-13,GRPLTD,1480.95,1490.0,1424.05,1481.65,1900,0.5596,3395
2022-01-14,GRPLTD,1471.65,1490.0,1442.4,1462.65,823,0.5505,1495
