Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,GULFOILLUB,612.9,613.8,598.0,601.95,21621,0.5955,36306
2021-09-02,GULFOILLUB,607.95,607.95,601.95,605.7,10751,0.5254,20463
2021-09-03,GULFOILLUB,609.0,612.35,604.0,608.8,17852,0.4509,39596
2021-09-06,GULFOILLUB,613.95,618.0,609.1,609.9,19544,0.5369,36403
2021-09-07,GULFOILLUB,617.75,617.75,604.55,608.6,17361,0.5650000000000001,30728
2021-09-08,GULFOILLUB,613.95,619.95,605.0,613.6,20355,0.6131000000000001,33200
2021-09-09,GULFOILLUB,617.95,617.95,605.25,612.25,18455,0.48590000000000005,37978
2021-09-13,GULFOILLUB,613.0,614.3,600.0,603.9,18600,0.6037,30812
2021-09-14,GULFOILLUB,606.0,609.25,602.75,606.05,18482,0.5274,35043
2021-09-15,GULFOILLUB,613.0,613.0,603.0,605.85,13914,0.5339,26059
2021-09-16,GULFOILLUB,608.9,623.8,606.4,609.6,38715,0.4656,83153
2021-09-17,GULFOILLUB,618.0,620.5,604.95,615.85,71795,0.7581,94710
2021-09-20,GULFOILLUB,615.0,616.45,606.5,608.15,10740,0.5462,19664
2021-09-21,GULFOILLUB,611.2,611.2,600.0,603.2,11415,0.449,25424
2021-09-22,GULFOILLUB,608.9,614.95,592.0,596.3,21305,0.5462,39007
2021-09-23,GULFOILLUB,599.3,607.0,591.5,593.7,27662,0.6301,43903
2021-09-24,GULFOILLUB,593.7,597.1,587.0,589.0,24614,0.7456,33011
2021-09-27,GULFOILLUB,589.0,593.55,579.3,585.9,16671,0.4447,37487
2021-09-28,GULFOILLUB,587.3,595.0,583.7,586.45,25182,0.593,42466
2021-09-29,GULFOILLUB,584.5,595.0,581.1,584.75,24229,0.6092000000000001,39770
2021-09-30,GULFOILLUB,588.4,592.5,583.0,584.2,39649,0.7726000000000001,51316
2021-10-01,GULFOILLUB,584.0,592.45,581.05,583.55,19887,0.6384000000000001,31151
2021-10-04,GULFOILLUB,586.5,592.9,583.1,587.15,22937,0.7023999999999999,32656
2021-10-05,GULFOILLUB,593.0,598.0,588.0,592.8,36393,0.7021,51833
2021-10-06,GULFOILLUB,594.25,599.9,588.0,590.1,27091,0.5784,46840
2021-10-07,GULFOILLUB,591.0,593.55,585.95,589.95,44738,0.7859,56928
2021-10-08,GULFOILLUB,593.0,597.55,585.8,588.4,142144,0.8665,164046
2021-10-11,GULFOILLUB,593.95,593.95,585.0,585.35,50020,0.8177,61171
2021-10-12,GULFOILLUB,589.85,595.0,587.55,590.5,20803,0.5879,35385
2021-10-13,GULFOILLUB,594.95,596.0,590.0,591.85,22425,0.5988,37452
2021-10-14,GULFOILLUB,594.75,598.0,591.6,593.8,26399,0.631,41836
2021-10-18,GULFOILLUB,599.0,606.0,590.0,599.15,32619,0.5872999999999999,55544
2021-10-19,GULFOILLUB,599.9,601.05,585.5,587.8,31040,0.6339,48967
2021-10-20,GULFOILLUB,587.8,594.75,580.5,583.45,16118,0.5155,31264
2021-10-21,GULFOILLUB,583.55,589.15,578.55,582.95,84075,0.777,108204
2021-10-22,GULFOILLUB,585.9,588.45,570.0,576.85,37880,0.6518,58118
2021-10-25,GULFOILLUB,585.75,585.75,568.9,573.95,30585,0.5487,55741
2021-10-26,GULFOILLUB,570.0,620.0,570.0,593.65,30355,0.5705,53208
2021-10-27,GULFOILLUB,599.0,603.25,580.85,586.0,171943,0.8444,203639
2021-10-28,GULFOILLUB,593.9,617.0,583.7,588.55,27569,0.4339,63541
2021-10-29,GULFOILLUB,591.5,591.5,575.0,578.75,14106,0.4421,31907
2021-11-01,GULFOILLUB,582.0,595.0,570.0,584.5,17803,0.5119,34779
2021-11-02,GULFOILLUB,592.0,617.55,586.0,594.6,24101,0.6002000000000001,40156
2021-11-03,GULFOILLUB,595.2,603.55,591.0,595.15,31239,0.5028,62136
2021-11-04,GULFOILLUB,601.95,602.8,595.15,598.6,6070,0.6654000000000001,9123
2021-11-08,GULFOILLUB,601.25,601.25,586.0,592.3,15626,0.6394,24437
2021-11-09,GULFOILLUB,600.0,615.0,593.95,609.35,81313,0.6323,128590
2021-11-10,GULFOILLUB,602.6,609.5,596.8,597.8,19698,0.6362,30961
2021-11-11,GULFOILLUB,601.85,604.0,591.8,597.6,8225,0.5647,14566
2021-11-12,GULFOILLUB,605.0,605.0,589.0,591.0,11561,0.5822,19859
2021-11-15,GULFOILLUB,592.5,595.0,579.0,583.85,6949,0.4606,15088
2021-11-16,GULFOILLUB,576.3,606.0,576.3,594.3,17006,0.5293,32128
2021-11-17,GULFOILLUB,594.95,595.9,585.25,586.75,8351,0.5456000000000001,15305
2021-11-18,GULFOILLUB,585.1,601.05,576.5,599.6,59867,0.7288,82144
2021-11-22,GULFOILLUB,599.6,600.0,575.55,582.1,15463,0.4841,31943
2021-11-23,GULFOILLUB,589.75,589.75,576.0,578.8,11840,0.454,26079
2021-11-24,GULFOILLUB,578.0,584.0,575.0,576.85,11092,0.6147,18045
2021-11-25,GULFOILLUB,579.75,585.0,571.5,575.0,10021,0.5001,20036
2021-11-26,GULFOILLUB,570.0,574.2,562.0,564.85,12384,0.5681,21799
2021-11-29,GULFOILLUB,564.85,565.3,545.0,547.1,27901,0.6162,45279
2021-11-30,GULFOILLUB,546.15,554.6,499.75,512.3,261282,0.7372,354442
2021-12-01,GULFOILLUB,527.7,531.85,515.0,519.85,37953,0.5255,72219
2021-12-02,GULFOILLUB,522.45,523.95,516.0,519.4,21002,0.4829,43492
2021-12-03,GULFOILLUB,522.0,522.0,513.95,517.7,19146,0.5449,35139
2021-12-06,GULFOILLUB,518.5,528.1,504.0,506.6,34516,0.6968000000000001,49537
2021-12-07,GULFOILLUB,509.15,511.9,495.0,497.8,61433,0.6707,91594
2021-12-08,GULFOILLUB,504.9,515.0,496.9,499.9,104673,0.6509999999999999,160782
2021-12-09,GULFOILLUB,506.0,506.0,489.15,493.0,107441,0.601,178771
2021-12-10,GULFOILLUB,495.85,507.85,489.0,490.35,171149,0.5739,298208
2021-12-13,GULFOILLUB,505.0,505.0,487.95,489.9,330858,0.6956,475631
2021-12-14,GULFOILLUB,496.0,496.0,460.6,465.5,299054,0.5523,541514
2021-12-15,GULFOILLUB,475.0,484.0,468.1,471.0,201195,0.4386,458681
2021-12-16,GULFOILLUB,473.4,487.35,472.0,475.0,110833,0.41950000000000004,264174
2021-12-17,GULFOILLUB,480.5,480.5,457.0,459.0,112366,0.6199,181257
2021-12-20,GULFOILLUB,458.0,458.4,425.0,433.7,102164,0.47090000000000004,216962
2021-12-21,GULFOILLUB,439.95,442.4,430.0,433.5,30335,0.4607,65849
2021-12-22,GULFOILLUB,437.35,444.55,435.7,443.1,56063,0.6009000000000001,93304
2021-12-23,GULFOILLUB,443.5,451.4,438.05,439.5,51669,0.5496,94014
2021-12-24,GULFOILLUB,441.7,447.0,435.45,439.5,16377,0.39299999999999996,41673
2021-12-27,GULFOILLUB,445.0,445.0,430.05,432.05,45822,0.5394,84949
2021-12-28,GULFOILLUB,435.5,436.85,433.25,435.0,47069,0.6748000000000001,69756
2021-12-29,GULFOILLUB,437.85,440.7,437.0,438.35,41245,0.7007,58865
2021-12-30,GULFOILLUB,442.0,442.0,438.0,440.05,32095,0.708,45335
2021-12-31,GULFOILLUB,443.0,457.0,440.75,451.15,50129,0.5105,98187
2022-01-03,GULFOILLUB,454.5,460.5,454.0,456.5,45741,0.594,77011
2022-01-04,GULFOILLUB,459.95,459.95,452.6,457.4,45327,0.6179,73360
2022-01-05,GULFOILLUB,458.0,469.0,454.85,463.8,59223,0.5496,107756
2022-01-06,GULFOILLUB,465.0,465.0,456.9,460.05,48406,0.6607999999999999,73257
2022-01-07,GULFOILLUB,462.4,464.95,458.0,460.3,47145,0.6104,77233
2022-01-10,GULFOILLUB,462.65,464.5,458.5,459.65,39183,0.7088,55279
2022-01-11,GULFOILLUB,460.0,463.8,453.1,454.4,34746,0.7698,45138
