Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2022-08-19,GVKPIL,4.75,4.75,4.75,4.75,147262,1.0,147263
2022-08-22,GVKPIL,4.55,4.55,4.55,4.55,165320,1.0,165320
2022-08-23,GVKPIL,4.35,4.35,4.35,4.35,169893,1.0,169893
2022-08-24,GVKPIL,4.15,4.3,4.15,4.15,7361011,0.41850000000000004,17590758
2022-08-25,GVKPIL,3.95,4.05,3.95,3.95,7097211,0.5867,12097300
2022-08-26,GVKPIL,3.8,3.8,3.8,3.8,636518,0.9983,637607
2022-08-29,GVKPIL,3.45,3.85,3.45,3.45,11507502,0.4175,27560108
2022-08-30,GVKPIL,3.5,3.75,3.5,3.75,3440145,0.6683,5147728
2022-09-01,GVKPIL,4.05,4.1,3.95,4.1,4890193,0.7315,6685602
2022-09-02,GVKPIL,4.5,4.5,4.5,4.5,1273431,1.0,1273432
2022-09-05,GVKPIL,4.7,4.7,4.5,4.7,10735623,0.3992,26889908
2022-09-06,GVKPIL,4.85,4.85,4.5,4.5,9474653,0.5545,17086417
2022-09-07,GVKPIL,4.3,4.6,4.3,4.3,8403308,0.4048,20758192
2022-09-08,GVKPIL,4.3,4.5,4.3,4.35,4034175,0.6007,6716008
2022-09-09,GVKPIL,4.45,4.5,4.15,4.15,4297149,0.693,6201053
2022-09-12,GVKPIL,4.05,4.2,3.95,4.0,2402816,0.4425,5429588
