Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,HARRMALAYA,200.0,200.0,194.6,197.25,20810,0.1552,134042
2021-09-02,HARRMALAYA,195.6,204.2,195.6,201.6,44885,0.37320000000000003,120259
2021-09-03,HARRMALAYA,202.8,204.0,196.35,198.55,33577,0.24059999999999998,139578
2021-09-06,HARRMALAYA,198.55,201.25,196.7,199.85,18165,0.2938,61827
2021-09-07,HARRMALAYA,201.0,208.85,200.05,202.15,63683,0.23600000000000002,269831
2021-09-08,HARRMALAYA,202.3,203.9,198.0,200.35,25613,0.34270000000000006,74743
2021-09-09,HARRMALAYA,200.0,201.5,197.0,198.15,31548,0.32299999999999995,97674
2021-09-13,HARRMALAYA,198.9,200.0,196.0,196.6,23350,0.20940000000000003,111530
2021-09-14,HARRMALAYA,197.65,198.95,196.0,196.3,24359,0.3864,63041
2021-09-15,HARRMALAYA,198.0,211.7,196.65,208.7,144376,0.35350000000000004,408404
2021-09-16,HARRMALAYA,208.7,208.7,202.2,202.8,50925,0.38189999999999996,133360
2021-09-17,HARRMALAYA,203.5,203.7,197.0,198.3,43138,0.5228,82509
2021-09-20,HARRMALAYA,196.0,200.7,193.5,194.6,28136,0.3177,88551
2021-09-21,HARRMALAYA,194.6,196.0,190.05,193.1,22107,0.3062,72208
2021-09-22,HARRMALAYA,194.0,199.95,193.5,196.2,28251,0.2918,96818
2021-09-23,HARRMALAYA,196.9,198.65,195.0,195.6,27504,0.2715,101321
2021-09-24,HARRMALAYA,196.7,198.7,193.1,194.15,24146,0.31870000000000004,75764
2021-09-27,HARRMALAYA,191.2,193.2,187.25,188.6,70093,0.5718,122589
2021-09-28,HARRMALAYA,189.9,191.0,181.8,185.4,52560,0.5083,103398
2021-09-29,HARRMALAYA,184.2,187.0,177.35,183.45,32267,0.2949,109425
2021-09-30,HARRMALAYA,186.0,187.35,182.0,184.75,24586,0.3503,70188
2021-10-01,HARRMALAYA,183.4,190.5,182.8,189.4,41564,0.3289,126363
2021-10-04,HARRMALAYA,190.0,194.85,187.0,192.55,50049,0.4425,113095
2021-10-05,HARRMALAYA,191.7,194.4,189.35,190.4,20648,0.3693,55911
2021-10-06,HARRMALAYA,191.4,198.4,186.95,188.9,54528,0.23420000000000002,232872
2021-10-07,HARRMALAYA,190.65,193.45,189.05,190.7,38011,0.2939,129339
2021-10-08,HARRMALAYA,191.5,192.95,190.0,191.05,25260,0.4387,57585
2021-10-11,HARRMALAYA,191.95,192.75,188.0,189.15,23763,0.4683,50740
2021-10-12,HARRMALAYA,189.3,197.5,188.8,191.2,76169,0.3171,240180
2021-10-13,HARRMALAYA,192.4,195.85,190.05,191.65,26840,0.2152,124714
2021-10-14,HARRMALAYA,192.55,194.5,184.65,187.55,70666,0.49820000000000003,141837
2021-10-18,HARRMALAYA,188.8,190.05,183.15,184.75,63012,0.5659000000000001,111357
2021-10-19,HARRMALAYA,185.1,187.75,180.1,181.4,48277,0.47009999999999996,102698
2021-10-20,HARRMALAYA,181.9,182.0,175.0,177.35,38383,0.4753,80751
2021-10-21,HARRMALAYA,179.55,179.55,173.2,174.6,20883,0.3563,58608
2021-10-22,HARRMALAYA,174.6,177.5,173.9,175.65,14810,0.38780000000000003,38191
2021-10-25,HARRMALAYA,177.7,177.7,165.15,166.2,25462,0.43700000000000006,58260
2021-10-26,HARRMALAYA,168.2,168.95,167.05,167.65,27088,0.5239,51709
2021-10-27,HARRMALAYA,168.65,174.65,167.55,173.45,30603,0.4389,69720
2021-10-28,HARRMALAYA,174.0,176.0,167.0,168.05,15997,0.4875,32816
2021-10-29,HARRMALAYA,168.95,172.5,166.8,168.55,17047,0.37460000000000004,45503
2021-11-01,HARRMALAYA,169.5,170.55,165.5,165.85,28351,0.644,44022
2021-11-02,HARRMALAYA,166.45,172.9,166.45,172.3,30350,0.5171,58691
2021-11-03,HARRMALAYA,172.3,176.55,170.1,174.4,29758,0.5061,58804
2021-11-04,HARRMALAYA,174.9,181.0,173.0,176.95,21210,0.775,27368
2021-11-08,HARRMALAYA,179.0,179.0,173.05,174.25,25881,0.634,40822
2021-11-09,HARRMALAYA,174.8,174.8,171.9,172.35,19147,0.5182,36947
2021-11-10,HARRMALAYA,171.6,178.0,171.0,176.35,21168,0.5285,40056
2021-11-11,HARRMALAYA,176.3,176.3,173.05,173.55,11292,0.5168,21849
2021-11-12,HARRMALAYA,175.4,177.45,168.5,170.9,17254,0.5714,30198
2021-11-15,HARRMALAYA,166.5,173.8,163.25,169.7,61093,0.4719,129461
2021-11-16,HARRMALAYA,171.15,171.95,163.3,164.2,33241,0.4282,77635
2021-11-17,HARRMALAYA,165.1,168.0,165.0,165.5,24640,0.5029,48991
2021-11-18,HARRMALAYA,166.4,166.65,158.05,158.8,30747,0.5257000000000001,58484
2021-11-22,HARRMALAYA,159.6,159.6,150.15,150.9,29446,0.508,57963
2021-11-23,HARRMALAYA,150.0,159.7,148.05,158.35,28005,0.5211,53742
