Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,HCG,241.0,242.9,230.7,233.25,68157,0.4482,152079
2021-09-02,HCG,236.8,240.1,233.25,234.6,76498,0.5728,133542
2021-09-03,HCG,236.4,240.0,233.2,236.8,73149,0.5528000000000001,132330
2021-09-06,HCG,244.4,252.9,241.05,242.4,308237,0.3622,850949
2021-09-07,HCG,242.5,244.4,235.1,240.2,55987,0.4562,122728
2021-09-08,HCG,243.5,243.5,237.0,239.5,34113,0.5091,67002
2021-09-09,HCG,242.8,250.0,239.1,241.7,215984,0.5925,364510
2021-09-13,HCG,242.7,246.0,240.0,241.05,49303,0.5403,91243
2021-09-14,HCG,240.1,243.7,236.9,238.55,72121,0.6197,116375
2021-09-15,HCG,240.8,243.4,238.55,240.55,109012,0.7016,155379
2021-09-16,HCG,244.9,247.6,239.6,240.9,92273,0.5465,168845
2021-09-17,HCG,254.95,255.0,247.05,253.5,371360,0.5065,733256
2021-09-20,HCG,249.2,258.0,248.05,253.2,274557,0.6497,422560
2021-09-21,HCG,250.0,255.85,242.2,243.5,124030,0.5922,209426
2021-09-22,HCG,244.95,252.0,242.3,243.9,205020,0.5767,355482
2021-09-23,HCG,244.25,250.9,244.25,249.2,87172,0.5928,147050
2021-09-24,HCG,253.0,254.9,247.0,248.65,80011,0.5089,157220
2021-09-27,HCG,245.55,249.9,241.05,244.75,49055,0.5565,88146
2021-09-28,HCG,244.75,248.0,240.0,242.0,36455,0.5841,62414
2021-09-29,HCG,242.0,244.4,237.05,238.2,72414,0.6611,109539
2021-09-30,HCG,238.0,249.85,237.05,247.4,98254,0.2422,405602
2021-10-01,HCG,245.9,247.75,240.3,245.4,37291,0.4204,88712
2021-10-04,HCG,249.45,253.9,244.55,250.9,98745,0.5785,170699
2021-10-05,HCG,252.7,253.75,244.6,247.75,40879,0.35369999999999996,115583
2021-10-06,HCG,248.95,248.95,239.1,242.85,61050,0.5484,111331
2021-10-07,HCG,243.5,247.45,243.25,245.35,34390,0.5766,59644
2021-10-08,HCG,244.6,247.75,241.2,243.9,41814,0.6049,69124
2021-10-11,HCG,243.9,248.1,243.0,244.45,35182,0.4722,74513
2021-10-12,HCG,247.0,248.0,240.35,243.5,37353,0.5082,73502
2021-10-13,HCG,254.5,259.45,251.5,254.95,232767,0.5342,435743
2021-10-14,HCG,255.0,259.1,254.0,255.95,75935,0.5731,132492
2021-10-18,HCG,258.1,258.1,251.4,254.6,101305,0.6704000000000001,151110
2021-10-19,HCG,257.45,257.45,239.55,241.55,78997,0.5621,140528
2021-10-20,HCG,243.8,245.25,236.75,240.3,41618,0.5378000000000001,77386
2021-10-21,HCG,238.6,243.0,235.5,237.95,50740,0.5332,95164
2021-10-22,HCG,242.5,242.5,229.0,231.4,50380,0.47090000000000004,106978
2021-10-25,HCG,238.5,238.5,224.0,228.95,38178,0.4893,78027
2021-10-26,HCG,225.15,231.0,225.15,228.5,36040,0.5944,60637
2021-10-27,HCG,230.0,236.9,226.4,229.25,57053,0.4486,127179
2021-10-28,HCG,228.2,233.9,225.05,226.5,37895,0.5214,72676
2021-10-29,HCG,227.5,233.95,222.25,225.6,49059,0.4565,107457
2021-11-01,HCG,225.45,243.9,225.45,239.95,64523,0.4903,131599
2021-11-02,HCG,244.45,244.45,235.55,237.9,82645,0.6916,119490
2021-11-03,HCG,238.2,240.0,232.2,232.7,29266,0.41840000000000005,69944
2021-11-04,HCG,234.2,243.9,233.2,241.4,19313,0.6867,28124
2021-11-08,HCG,245.85,282.4,239.65,267.9,338277,0.6224000000000001,543501
2021-11-09,HCG,270.0,273.4,260.0,261.85,93421,0.4911,190209
2021-11-10,HCG,262.0,269.9,260.0,265.05,133978,0.5397,248244
2021-11-11,HCG,260.25,272.1,253.5,264.4,125673,0.4644,270599
2021-11-12,HCG,278.0,281.9,256.0,258.75,239022,0.5208,458947
2021-11-15,HCG,266.95,266.95,252.0,258.15,131749,0.4826,272986
2021-11-16,HCG,258.95,266.0,252.25,253.6,89140,0.4728,188533
2021-11-17,HCG,254.0,266.75,253.1,255.3,109510,0.4112,266295
2021-11-18,HCG,257.95,258.55,243.85,251.6,79761,0.4841,164758
2021-11-22,HCG,255.95,264.7,244.7,250.0,130995,0.4308,304103
2021-11-23,HCG,252.75,257.3,248.7,255.85,96142,0.6757,142280
2021-11-24,HCG,256.5,259.2,249.0,250.4,55627,0.545,102071
2021-11-25,HCG,254.0,259.9,250.15,252.5,133976,0.5265,254444
2021-11-26,HCG,246.5,260.0,246.5,250.45,191668,0.588,325945
2021-11-29,HCG,254.0,254.9,241.05,252.95,161533,0.5778,279548
2021-11-30,HCG,256.45,258.0,250.2,253.05,108118,0.5085000000000001,212609
2021-12-01,HCG,251.05,254.8,246.55,250.2,52476,0.4832,108609
2021-12-02,HCG,252.5,253.0,245.6,247.95,44918,0.4305,104344
2021-12-03,HCG,250.45,254.2,246.2,249.45,41497,0.3983,104183
2021-12-06,HCG,255.7,258.0,249.15,250.45,91390,0.5181,176393
2021-12-07,HCG,252.0,255.9,251.0,254.55,86616,0.5138,168577
2021-12-08,HCG,255.0,260.0,254.6,256.35,140095,0.5866,238828
2021-12-09,HCG,260.0,263.95,251.3,254.95,81475,0.43950000000000006,185392
2021-12-10,HCG,255.0,256.7,252.0,252.9,42757,0.5885,72649
2021-12-13,HCG,258.45,263.85,254.1,259.45,101146,0.4864,207946
2021-12-14,HCG,258.9,260.3,254.5,257.4,38908,0.46950000000000003,82867
2021-12-15,HCG,258.85,259.2,253.0,253.75,47571,0.43729999999999997,108789
2021-12-16,HCG,253.1,257.35,250.2,251.55,28421,0.5806,48955
2021-12-17,HCG,254.85,254.85,240.1,241.8,56752,0.5771000000000001,98344
2021-12-20,HCG,244.8,244.8,222.3,234.05,92685,0.41659999999999997,222481
2021-12-21,HCG,241.0,241.45,228.8,231.05,51885,0.39630000000000004,130912
2021-12-22,HCG,235.5,235.5,230.35,231.4,31955,0.5324,60020
2021-12-23,HCG,234.7,235.05,229.5,232.95,43075,0.5032,85598
2021-12-24,HCG,234.55,234.55,226.1,228.55,35302,0.5402,65350
2021-12-27,HCG,231.5,232.0,225.55,226.45,44481,0.5256000000000001,84632
2021-12-28,HCG,228.55,233.3,226.5,230.45,44234,0.47490000000000004,93144
2021-12-29,HCG,232.4,236.2,229.0,233.5,35387,0.39159999999999995,90357
2021-12-30,HCG,235.0,240.9,234.7,238.8,41245,0.5017,82215
2021-12-31,HCG,242.75,242.75,232.05,239.05,58931,0.5227,112747
2022-01-03,HCG,246.85,260.0,237.55,245.05,195477,0.5069,385665
2022-01-04,HCG,247.75,250.0,242.45,243.8,78324,0.5717,137006
2022-01-05,HCG,245.0,245.5,238.0,240.8,75622,0.46020000000000005,164317
2022-01-06,HCG,238.0,242.4,237.35,239.05,40260,0.5032,80008
2022-01-07,HCG,242.75,242.9,235.55,236.9,56614,0.6182,91581
2022-01-10,HCG,247.95,247.95,239.2,241.7,101902,0.5791,175962
2022-01-11,HCG,241.4,245.9,238.75,243.85,70694,0.5614,125914
2022-01-12,HCG,241.45,245.75,240.8,242.35,57193,0.5242,109110
2022-01-13,HCG,245.9,252.0,240.7,247.25,122012,0.6203000000000001,196696
2022-01-14,HCG,250.0,250.9,246.05,247.75,47873,0.4207,113805
2022-01-17,HCG,249.95,254.9,247.75,253.25,108142,0.5720000000000001,189055
2022-01-18,HCG,257.0,257.9,249.5,251.25,153834,0.6046,254419
2022-01-19,HCG,254.0,254.0,245.15,252.95,63479,0.5611,113136
2022-01-20,HCG,255.0,255.0,247.5,251.4,39860,0.3716,107253
2022-01-21,HCG,251.4,252.45,243.6,247.55,46451,0.5822,79788
2022-01-24,HCG,251.5,251.5,237.0,239.05,44483,0.5353,341995
2022-01-25,HCG,240.0,244.5,234.45,239.3,51452,0.5123,100427
2022-01-27,HCG,242.0,243.0,237.15,239.7,58185,0.4802,121163
2022-01-28,HCG,240.0,246.0,238.95,243.95,74777,0.5047,148164
2022-01-31,HCG,246.0,253.25,244.3,248.0,46690,0.5495,84973
2022-02-01,HCG,250.5,254.9,244.9,247.9,49676,0.6873,72275
2022-02-02,HCG,249.0,253.7,247.0,248.5,66413,0.5604,118510
2022-02-03,HCG,245.4,253.45,245.4,249.35,68370,0.5860000000000001,116670
2022-02-04,HCG,248.0,257.5,247.8,250.05,87226,0.5064,172258
2022-02-07,HCG,253.8,255.0,250.65,253.55,46471,0.585,79442
