Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,HCLTECH,1190.0,1190.5,1161.75,1164.65,2037053,0.6365,3200410
2021-09-02,HCLTECH,1172.0,1182.0,1154.0,1172.75,3688291,0.706,5224479
2021-09-03,HCLTECH,1173.5,1180.6,1158.25,1174.75,2868614,0.6328,4533364
2021-09-06,HCLTECH,1175.0,1210.1,1174.0,1200.15,2463066,0.5686,4331916
2021-09-07,HCLTECH,1214.0,1214.95,1180.1,1182.2,1780382,0.47840000000000005,3721585
2021-09-08,HCLTECH,1185.0,1191.15,1167.05,1188.8,1678071,0.5381,3118518
2021-09-09,HCLTECH,1192.0,1204.95,1183.0,1198.55,2089217,0.6165999999999999,3388292
2021-09-13,HCLTECH,1192.0,1215.0,1176.45,1208.4,2021003,0.5428000000000001,3723138
2021-09-14,HCLTECH,1216.0,1240.6,1207.0,1238.65,3339205,0.5970000000000001,5593286
2021-09-15,HCLTECH,1238.65,1288.95,1230.25,1273.25,3140860,0.518,6063895
2021-09-16,HCLTECH,1287.2,1295.3,1255.2,1263.1,2013510,0.5568,3616292
2021-09-17,HCLTECH,1265.0,1281.0,1258.5,1263.3,2935615,0.6093999999999999,4817180
2021-09-20,HCLTECH,1258.0,1298.8,1250.0,1276.15,2694469,0.4941,5453683
2021-09-21,HCLTECH,1289.0,1315.0,1277.0,1299.5,1664606,0.3583,4645597
2021-09-22,HCLTECH,1300.0,1328.65,1299.6,1315.5,2673325,0.49810000000000004,5367303
2021-09-23,HCLTECH,1326.85,1336.45,1313.9,1328.3,1678148,0.5525,3037295
2021-09-24,HCLTECH,1340.0,1377.75,1337.0,1358.2,4552036,0.5725,7951730
2021-09-27,HCLTECH,1366.0,1367.95,1290.05,1295.2,5199330,0.6793000000000001,7653504
2021-09-28,HCLTECH,1304.95,1304.95,1254.0,1269.0,5862044,0.6838,8572321
2021-09-29,HCLTECH,1270.0,1301.45,1258.8,1281.2,2295061,0.49460000000000004,4639821
2021-09-30,HCLTECH,1291.45,1291.45,1268.85,1279.55,2297485,0.64,3589722
2021-10-01,HCLTECH,1274.0,1284.0,1260.65,1273.75,2006146,0.5948,3372796
2021-10-04,HCLTECH,1281.5,1293.6,1273.75,1278.65,1708223,0.6311,2706626
2021-10-05,HCLTECH,1270.0,1313.6,1262.2,1305.15,1974620,0.5322,3710314
2021-10-06,HCLTECH,1312.0,1319.85,1271.8,1275.45,1340570,0.4685,2861608
2021-10-07,HCLTECH,1284.05,1317.85,1284.05,1306.3,1176187,0.4857,2421641
2021-10-08,HCLTECH,1306.3,1338.0,1294.05,1322.15,2611719,0.5025000000000001,5197831
2021-10-11,HCLTECH,1300.0,1324.9,1235.65,1302.9,2526334,0.4798,5264998
2021-10-12,HCLTECH,1306.95,1309.0,1236.3,1250.35,6494039,0.5069,12811641
2021-10-13,HCLTECH,1263.0,1270.8,1243.45,1265.35,3121837,0.5471,5705730
2021-10-14,HCLTECH,1289.4,1293.25,1244.05,1251.15,5246553,0.5064,10360519
2021-10-18,HCLTECH,1240.0,1272.5,1215.0,1221.4,16805980,0.7043,23861603
2021-10-19,HCLTECH,1230.0,1253.0,1225.0,1232.1,6207983,0.6092000000000001,10189780
2021-10-20,HCLTECH,1239.0,1263.4,1220.4,1232.9,4402812,0.5355,8222562
2021-10-21,HCLTECH,1238.9,1238.9,1189.0,1210.7,2842462,0.47380000000000005,5998795
