Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,HDFC,2790.0,2796.95,2736.6,2747.75,1887231,0.6119,3084291
2021-09-02,HDFC,2756.9,2785.0,2737.25,2777.7,1070921,0.6176,1734037
2021-09-03,HDFC,2768.1,2784.15,2742.1,2758.6,1150278,0.6008,1914438
2021-09-06,HDFC,2765.0,2777.7,2741.2,2765.3,1205801,0.6973999999999999,1729080
2021-09-07,HDFC,2769.8,2853.65,2749.95,2837.0,2094239,0.5142,4072518
2021-09-08,HDFC,2838.25,2852.0,2802.25,2829.3,1298763,0.5710000000000001,2274494
2021-09-09,HDFC,2815.2,2853.85,2813.8,2830.1,1321975,0.6653,1986913
2021-09-13,HDFC,2844.0,2875.85,2833.3,2849.8,2213310,0.674,3283960
2021-09-14,HDFC,2864.95,2869.0,2810.0,2818.05,1238079,0.5531,2238463
2021-09-15,HDFC,2805.7,2843.0,2795.0,2815.45,955738,0.4965,1924840
2021-09-16,HDFC,2800.0,2823.9,2798.5,2812.35,1113081,0.6078,1831201
2021-09-17,HDFC,2832.25,2851.95,2801.7,2825.65,2883353,0.6483,4447386
2021-09-20,HDFC,2795.3,2808.65,2733.0,2742.5,1252505,0.6087,2057743
2021-09-21,HDFC,2760.0,2780.7,2724.75,2774.35,1318742,0.6223,2119275
2021-09-22,HDFC,2765.0,2773.95,2717.7,2734.7,2087590,0.6834,3054547
2021-09-23,HDFC,2756.1,2828.5,2730.0,2817.4,2322610,0.6242,3720965
2021-09-24,HDFC,2818.6,2850.0,2800.0,2839.0,1416290,0.5821000000000001,2433032
2021-09-27,HDFC,2845.75,2869.4,2824.8,2839.8,1741306,0.6487,2684448
2021-09-28,HDFC,2842.0,2850.0,2760.95,2804.95,1614411,0.6102000000000001,2645677
2021-09-29,HDFC,2786.5,2792.95,2739.1,2746.45,2493615,0.7481,3333322
2021-09-30,HDFC,2729.9,2785.0,2721.2,2754.3,2574563,0.6149,4186802
2021-10-01,HDFC,2738.6,2752.0,2693.6,2711.65,1405148,0.5706,2462648
2021-10-04,HDFC,2740.15,2770.0,2720.6,2725.2,1296416,0.5972,2170643
2021-10-05,HDFC,2720.0,2754.95,2715.45,2741.45,1362695,0.6409999999999999,2125952
2021-10-06,HDFC,2729.0,2795.0,2717.0,2750.95,2347027,0.6546,3585605
2021-10-07,HDFC,2770.7,2774.95,2722.6,2727.0,1564729,0.6961,2247842
2021-10-08,HDFC,2731.0,2745.6,2716.0,2720.65,1085176,0.6311,1719442
2021-10-11,HDFC,2739.0,2769.0,2726.8,2749.25,1165709,0.6574,1773236
2021-10-12,HDFC,2749.7,2767.0,2735.0,2755.1,855534,0.6086,1405800
2021-10-13,HDFC,2775.0,2775.0,2748.2,2765.6,1024393,0.6768000000000001,1513606
2021-10-14,HDFC,2758.3,2815.55,2751.85,2808.75,1956778,0.7148000000000001,2737670
2021-10-18,HDFC,2848.0,2848.0,2788.05,2811.5,1645449,0.6304,2609969
2021-10-19,HDFC,2825.0,2827.95,2800.0,2822.9,1417438,0.7107,1994376
2021-10-20,HDFC,2833.0,2839.85,2773.4,2795.1,1388924,0.6593000000000001,2106814
2021-10-21,HDFC,2814.0,2857.4,2797.85,2844.1,2513264,0.6707,3747385
2021-10-22,HDFC,2858.8,2938.35,2856.0,2903.95,2031579,0.46549999999999997,4364342
2021-10-25,HDFC,2905.0,2919.0,2856.25,2896.15,2208406,0.6376,3463553
2021-10-26,HDFC,2908.0,2934.0,2896.0,2911.65,1665057,0.6851999999999999,2430141
2021-10-27,HDFC,2920.05,2948.0,2901.4,2915.0,1893869,0.6039,3136213
2021-10-28,HDFC,2891.0,2924.3,2863.15,2900.8,2292601,0.6940999999999999,3302920
2021-10-29,HDFC,2891.0,2893.0,2791.2,2844.7,2441876,0.6374000000000001,3830779
2021-11-01,HDFC,2873.0,2947.9,2838.05,2887.95,2901531,0.5860000000000001,4951039
2021-11-02,HDFC,2887.9,2917.25,2865.65,2900.05,3146703,0.7223999999999999,4355642
2021-11-03,HDFC,2908.0,2932.9,2872.0,2895.9,2824627,0.7571,3731077
2021-11-04,HDFC,2899.05,2909.0,2895.05,2899.7,64595,0.5004,129087
2021-11-08,HDFC,2929.0,3002.0,2906.15,2979.55,3663154,0.6683,5481172
2021-11-09,HDFC,2955.05,2966.95,2916.1,2941.6,2021450,0.6858,2947787
2021-11-10,HDFC,2920.0,2951.0,2886.05,2945.6,2180120,0.6618,3294239
2021-11-11,HDFC,2932.0,2932.0,2885.15,2908.85,1732282,0.6983,2480671
2021-11-12,HDFC,2925.0,2998.0,2905.45,2992.65,1929909,0.6887000000000001,2802442
2021-11-15,HDFC,3004.0,3021.1,2971.0,3000.85,2406342,0.7408,3248126
2021-11-16,HDFC,2986.2,2999.25,2957.7,2975.45,3189316,0.7518000000000001,4242014
2021-11-17,HDFC,2956.1,2977.2,2932.25,2948.4,1686756,0.7033,2398355
2021-11-18,HDFC,2936.1,2964.05,2916.75,2925.4,2583517,0.742,3481704
2021-11-22,HDFC,2902.0,2934.0,2885.15,2894.85,2972330,0.7521,3951901
2021-11-23,HDFC,2855.0,2915.0,2855.0,2906.5,2431524,0.728,3340056
2021-11-24,HDFC,2905.05,2923.0,2864.5,2883.55,1406312,0.6066,2318225
2021-11-25,HDFC,2890.45,2890.45,2847.0,2867.75,1470311,0.662,2221089
2021-11-26,HDFC,2820.35,2856.0,2723.0,2741.7,2019741,0.6023,3353278
2021-11-29,HDFC,2745.0,2747.5,2682.3,2713.8,2411498,0.6752,3571428
2021-11-30,HDFC,2665.0,2764.9,2656.0,2673.1,5331025,0.6988,7628539
2021-12-01,HDFC,2712.8,2757.45,2696.2,2703.65,2454104,0.6379,3847384
2021-12-02,HDFC,2701.05,2814.95,2701.05,2807.8,2710705,0.5931000000000001,4570690
2021-12-03,HDFC,2790.0,2823.95,2765.0,2771.65,1898390,0.6409999999999999,2961572
2021-12-06,HDFC,2774.5,2799.9,2760.0,2768.8,1109089,0.6589,1683131
2021-12-07,HDFC,2795.0,2838.05,2769.45,2817.5,1633985,0.6423000000000001,2543784
2021-12-08,HDFC,2825.25,2864.0,2820.05,2853.0,1252041,0.7065,1772235
2021-12-09,HDFC,2872.0,2877.75,2829.05,2842.05,1560360,0.7662000000000001,2036491
2021-12-10,HDFC,2823.3,2838.25,2788.5,2808.75,2701770,0.7818,3455657
2021-12-13,HDFC,2832.8,2838.8,2766.05,2771.85,2076575,0.7803,2661378
2021-12-14,HDFC,2750.0,2764.0,2720.6,2751.95,1360949,0.6673,2039433
2021-12-15,HDFC,2755.0,2759.95,2715.0,2721.8,913259,0.6739,1355100
2021-12-16,HDFC,2749.4,2755.25,2687.8,2699.6,2361537,0.7497,3149777
2021-12-17,HDFC,2700.0,2712.3,2611.0,2617.35,3239567,0.7193,4503515
2021-12-20,HDFC,2594.0,2594.0,2506.05,2550.3,2334798,0.6702,3483707
2021-12-21,HDFC,2583.75,2588.9,2530.0,2540.85,1548344,0.6188,2502122
2021-12-22,HDFC,2551.95,2557.15,2520.15,2539.0,1844291,0.6673,2763684
2021-12-23,HDFC,2558.0,2582.0,2543.35,2571.15,1032294,0.5809000000000001,1777068
2021-12-24,HDFC,2585.0,2585.0,2525.5,2534.55,541308,0.5238,1033480
2021-12-27,HDFC,2520.0,2564.9,2509.45,2558.85,351712,0.38430000000000003,915233
