Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,HDFCAMC,3076.0,3110.95,3052.05,3097.95,151033,0.49770000000000003,303442
2021-09-02,HDFCAMC,3100.0,3127.0,3097.5,3111.1,107956,0.5389,200314
2021-09-03,HDFCAMC,3109.0,3199.0,3082.05,3164.15,246160,0.5732,429455
2021-09-06,HDFCAMC,3197.0,3262.6,3151.0,3188.75,165065,0.307,537741
2021-09-07,HDFCAMC,3210.0,3210.0,3100.1,3125.4,102828,0.3858,266529
2021-09-08,HDFCAMC,3139.4,3299.0,3125.75,3267.65,307307,0.3761,817014
2021-09-09,HDFCAMC,3295.45,3365.0,3221.85,3248.4,204028,0.16140000000000002,1264083
2021-09-13,HDFCAMC,3258.5,3316.0,3158.4,3302.05,157413,0.2644,595412
2021-09-14,HDFCAMC,3314.0,3338.0,3255.0,3268.9,104178,0.3492,298333
2021-09-15,HDFCAMC,3278.0,3291.65,3228.95,3255.8,177510,0.5288,335701
2021-09-16,HDFCAMC,3259.0,3300.0,3201.75,3288.95,103460,0.3667,282130
2021-09-17,HDFCAMC,3298.0,3325.0,3232.1,3268.8,201145,0.409,491747
2021-09-20,HDFCAMC,3255.0,3259.95,3152.05,3217.75,322617,0.5197999999999999,620651
2021-09-21,HDFCAMC,3210.0,3233.0,3151.9,3203.95,72495,0.33030000000000004,219468
2021-09-22,HDFCAMC,3201.0,3240.0,3163.0,3213.1,143284,0.4757,301230
2021-09-23,HDFCAMC,3225.0,3292.0,3225.0,3240.65,157764,0.4633,340496
2021-09-24,HDFCAMC,3254.1,3264.5,3188.5,3208.2,174780,0.5356000000000001,326338
2021-09-27,HDFCAMC,3230.0,3238.0,3150.0,3167.95,205897,0.632,325812
2021-09-28,HDFCAMC,3167.95,3177.4,3040.0,3074.35,274493,0.6234000000000001,440283
2021-09-29,HDFCAMC,2910.0,2936.8,2875.65,2905.15,2980652,0.4062,7338287
2021-09-30,HDFCAMC,2919.0,2934.0,2905.15,2908.6,256282,0.44560000000000005,575176
2021-10-01,HDFCAMC,2898.5,2948.65,2881.1,2932.25,254327,0.48130000000000006,528417
2021-10-04,HDFCAMC,2930.0,2939.9,2902.1,2908.55,851554,0.7919,1075319
2021-10-05,HDFCAMC,2908.55,2924.4,2900.05,2905.75,525507,0.6956,755420
2021-10-06,HDFCAMC,2910.0,2924.95,2885.1,2894.5,295932,0.605,489173
2021-10-07,HDFCAMC,2905.2,2920.5,2905.0,2908.85,157792,0.5464,288775
2021-10-08,HDFCAMC,2915.0,2921.0,2887.55,2893.75,204850,0.6088,336473
2021-10-11,HDFCAMC,2907.7,2920.95,2894.0,2914.2,165248,0.5814,284235
2021-10-12,HDFCAMC,2912.0,2919.9,2895.65,2906.85,120367,0.5273,228279
2021-10-13,HDFCAMC,2910.0,2920.0,2898.35,2900.4,128650,0.6496,198056
2021-10-14,HDFCAMC,2918.0,2964.5,2902.05,2950.15,353478,0.5403,654193
2021-10-18,HDFCAMC,2979.0,2979.0,2930.1,2932.45,167068,0.5429,307747
2021-10-19,HDFCAMC,2935.1,2952.7,2900.0,2904.65,123548,0.3755,329037
2021-10-20,HDFCAMC,2900.0,2913.6,2848.15,2860.6,159648,0.5272,302847
2021-10-21,HDFCAMC,2888.0,2888.0,2826.2,2842.25,131788,0.531,248210
2021-10-22,HDFCAMC,2850.0,2867.0,2766.45,2781.4,230134,0.46030000000000004,500002
2021-10-25,HDFCAMC,2785.15,2802.55,2727.0,2768.7,138618,0.409,338917
2021-10-26,HDFCAMC,2728.0,2770.0,2679.6,2736.15,300506,0.3876,775280
2021-10-27,HDFCAMC,2759.75,2759.75,2697.8,2701.25,272897,0.5665,481734
2021-10-28,HDFCAMC,2701.25,2713.95,2621.0,2629.45,249533,0.493,506165
2021-10-29,HDFCAMC,2634.45,2669.9,2600.1,2647.2,129631,0.4142,312973
2021-11-01,HDFCAMC,2660.0,2665.0,2630.45,2655.8,94416,0.5488000000000001,172039
2021-11-02,HDFCAMC,2660.4,2684.15,2646.0,2665.0,144104,0.6064,237638
2021-11-03,HDFCAMC,2652.1,2669.95,2621.0,2627.35,273188,0.6970999999999999,391877
2021-11-04,HDFCAMC,2658.3,2659.8,2642.0,2654.95,45427,0.6843000000000001,66383
2021-11-08,HDFCAMC,2678.5,2678.5,2640.25,2663.8,215109,0.7417,290013
2021-11-09,HDFCAMC,2670.0,2681.5,2647.35,2672.9,195813,0.6822,287046
2021-11-10,HDFCAMC,2672.9,2699.0,2660.0,2688.75,111336,0.5136999999999999,216744
2021-11-11,HDFCAMC,2690.05,2697.0,2641.35,2647.95,138724,0.5972999999999999,232239
2021-11-12,HDFCAMC,2659.95,2685.0,2653.25,2678.7,74995,0.5542,135309
2021-11-15,HDFCAMC,2678.0,2688.0,2660.0,2680.75,90334,0.5911,152823
2021-11-16,HDFCAMC,2688.0,2688.0,2655.0,2660.55,86315,0.5839,147832
2021-11-17,HDFCAMC,2652.05,2673.0,2644.1,2647.65,95989,0.5246000000000001,182993
2021-11-18,HDFCAMC,2650.0,2656.3,2589.9,2601.4,189174,0.5978,316439
2021-11-22,HDFCAMC,2600.0,2613.05,2495.6,2510.5,232943,0.5484,424744
2021-11-23,HDFCAMC,2510.0,2596.95,2480.4,2549.9,270943,0.6631999999999999,408561
2021-11-24,HDFCAMC,2560.0,2569.95,2533.0,2538.9,263640,0.7017,375742
2021-11-25,HDFCAMC,2548.0,2548.0,2522.05,2533.0,274299,0.7606,360634
2021-11-26,HDFCAMC,2525.0,2540.8,2487.3,2512.95,191381,0.5836,327956
2021-11-29,HDFCAMC,2487.3,2527.0,2425.2,2508.5,260438,0.5523,471574
2021-11-30,HDFCAMC,2500.0,2572.65,2500.0,2511.3,314143,0.5672,553802
2021-12-01,HDFCAMC,2544.0,2554.95,2518.15,2551.2,147927,0.6465000000000001,228822
2021-12-02,HDFCAMC,2545.0,2567.45,2540.9,2556.7,176542,0.7059000000000001,250100
2021-12-03,HDFCAMC,2535.25,2621.5,2535.25,2579.35,261124,0.5511,473810
2021-12-06,HDFCAMC,2599.0,2599.0,2523.05,2527.95,150566,0.5739,262349
2021-12-07,HDFCAMC,2542.0,2554.95,2517.0,2521.6,138876,0.6146,225961
2021-12-08,HDFCAMC,2548.0,2575.5,2537.65,2569.8,47074,0.3943,119373
2021-12-09,HDFCAMC,2590.0,2591.85,2551.55,2577.95,66019,0.4793,137736
2021-12-10,HDFCAMC,2591.3,2591.3,2545.15,2549.75,136671,0.6384000000000001,214070
2021-12-13,HDFCAMC,2569.95,2569.95,2510.0,2513.9,193248,0.6014,321340
2021-12-14,HDFCAMC,2504.0,2513.4,2476.0,2487.2,135862,0.5613,242029
2021-12-15,HDFCAMC,2489.0,2498.0,2451.0,2456.75,135670,0.6412000000000001,211591
2021-12-16,HDFCAMC,2485.0,2485.0,2411.0,2437.75,148704,0.5373,276775
2021-12-17,HDFCAMC,2435.0,2447.9,2378.3,2397.95,771932,0.6291,1227058
2021-12-20,HDFCAMC,2396.5,2397.0,2280.0,2313.6,228704,0.5458,419054
2021-12-21,HDFCAMC,2335.0,2361.15,2315.6,2327.15,89233,0.4877,182979
2021-12-22,HDFCAMC,2334.95,2373.0,2333.45,2357.55,147391,0.5974,246728
2021-12-23,HDFCAMC,2362.25,2384.45,2345.1,2378.3,212628,0.6273,338975
2021-12-24,HDFCAMC,2389.35,2390.0,2325.4,2349.1,156873,0.5601,280056
2021-12-27,HDFCAMC,2340.0,2376.0,2325.95,2372.2,60218,0.4282,140630
2021-12-28,HDFCAMC,2378.1,2427.15,2368.25,2417.9,63198,0.408,154901
2021-12-29,HDFCAMC,2415.0,2433.95,2406.05,2418.8,57952,0.5233,110745
2021-12-30,HDFCAMC,2420.9,2424.95,2382.0,2408.55,134253,0.4855,276518
2021-12-31,HDFCAMC,2415.95,2449.95,2411.0,2446.1,61668,0.5241,117665
2022-01-03,HDFCAMC,2465.65,2474.45,2450.0,2466.2,94386,0.589,160239
2022-01-04,HDFCAMC,2475.0,2481.9,2452.0,2475.8,87592,0.6215999999999999,140925
2022-01-05,HDFCAMC,2480.0,2491.0,2466.9,2479.65,76231,0.5818,131020
2022-01-06,HDFCAMC,2468.0,2468.0,2441.2,2450.2,107870,0.6703,160936
2022-01-07,HDFCAMC,2467.75,2467.75,2435.4,2440.75,168339,0.7219,233181
2022-01-10,HDFCAMC,2460.0,2530.0,2445.0,2518.25,91873,0.3216,285654
2022-01-11,HDFCAMC,2500.45,2538.0,2481.0,2487.25,72449,0.44689999999999996,162099
2022-01-12,HDFCAMC,2509.0,2509.0,2465.05,2491.3,90287,0.554,162960
2022-01-13,HDFCAMC,2503.9,2507.35,2467.25,2474.0,115090,0.6052000000000001,190160
2022-01-14,HDFCAMC,2470.0,2499.0,2455.0,2470.6,498007,0.8455,589008
2022-01-17,HDFCAMC,2484.4,2494.6,2463.3,2489.15,115034,0.6361,180829
2022-01-18,HDFCAMC,2494.0,2504.95,2430.65,2449.5,267804,0.7141,375035
2022-01-19,HDFCAMC,2463.2,2463.2,2388.55,2394.2,161264,0.6093999999999999,264613
2022-01-20,HDFCAMC,2388.0,2399.0,2356.75,2393.1,147668,0.611,241681
2022-01-21,HDFCAMC,2388.9,2388.9,2347.15,2369.4,118912,0.5363,221731
2022-01-24,HDFCAMC,2379.8,2379.8,2235.0,2258.85,198957,0.419,418139
2022-01-25,HDFCAMC,2225.0,2254.0,2170.65,2230.65,250614,0.4393,570533
2022-01-27,HDFCAMC,2234.7,2234.7,2118.0,2140.75,524806,0.5335,983786
2022-01-28,HDFCAMC,2174.9,2251.4,2141.8,2183.8,347990,0.43229999999999996,805044
2022-01-31,HDFCAMC,2229.0,2229.0,2192.25,2205.2,270781,0.585,462838
2022-02-01,HDFCAMC,2229.0,2229.9,2186.4,2216.25,203827,0.5637,361619
2022-02-02,HDFCAMC,2226.15,2310.0,2221.05,2295.3,89004,0.3824,232739
2022-02-03,HDFCAMC,2301.05,2333.05,2281.0,2308.75,174694,0.493,354323
2022-02-04,HDFCAMC,2312.2,2319.0,2290.0,2300.3,77957,0.4792,162681
2022-02-07,HDFCAMC,2302.0,2304.25,2196.25,2209.7,175558,0.5047,347872
2022-02-08,HDFCAMC,2220.0,2227.75,2176.0,2209.45,131185,0.47509999999999997,276126
2022-02-09,HDFCAMC,2212.0,2244.0,2212.0,2232.8,116575,0.5774,201889
2022-02-10,HDFCAMC,2242.8,2245.0,2203.7,2220.9,112716,0.5511,204512
2022-02-11,HDFCAMC,2200.0,2224.05,2190.35,2211.85,147408,0.5846,252172
2022-02-14,HDFCAMC,2151.25,2184.4,2135.0,2172.35,282495,0.6146,459612
2022-02-15,HDFCAMC,2172.0,2211.25,2167.2,2201.1,133186,0.4918,270837
2022-02-16,HDFCAMC,2217.0,2231.95,2191.05,2205.6,192043,0.5646,340115
2022-02-17,HDFCAMC,2210.0,2219.8,2182.05,2205.85,142957,0.5531,258458
2022-02-18,HDFCAMC,2200.0,2213.9,2181.0,2199.25,63746,0.4575,139339
2022-02-21,HDFCAMC,2190.0,2195.0,2161.2,2171.15,89642,0.51,175758
2022-02-22,HDFCAMC,2152.0,2189.9,2107.0,2181.7,128544,0.4365,294465
2022-02-23,HDFCAMC,2199.85,2206.0,2171.65,2182.95,117761,0.6008,196013
2022-02-24,HDFCAMC,2121.0,2147.8,2010.0,2021.05,331924,0.5468999999999999,606929
2022-02-25,HDFCAMC,2055.0,2109.9,2051.3,2080.95,174578,0.5299,329430
2022-02-28,HDFCAMC,2076.0,2116.4,2030.0,2086.2,150216,0.5393,278550
2022-03-02,HDFCAMC,2070.0,2124.0,2055.05,2118.4,126712,0.4434,285743
2022-03-03,HDFCAMC,2135.0,2141.65,2080.0,2088.35,150062,0.5258,285404
2022-03-04,HDFCAMC,2071.95,2105.3,2048.0,2081.5,87200,0.4554,191483
2022-03-07,HDFCAMC,2080.0,2080.0,1987.85,2038.55,177001,0.5841,303012
2022-03-08,HDFCAMC,2030.0,2110.0,2007.05,2103.9,126455,0.4924,256820
2022-03-09,HDFCAMC,2125.0,2155.95,2080.15,2133.4,101602,0.3929,258617
2022-03-10,HDFCAMC,2185.0,2185.0,2140.45,2169.4,187712,0.5885,318952
2022-03-11,HDFCAMC,2173.0,2179.0,2140.0,2167.8,160940,0.5658,284426
2022-03-14,HDFCAMC,2164.9,2173.7,2118.0,2154.65,129792,0.538,241260
2022-03-15,HDFCAMC,2151.15,2173.95,2118.65,2132.15,139882,0.5372,260369
2022-03-16,HDFCAMC,2150.0,2227.0,2145.9,2209.2,168054,0.34950000000000003,480898
2022-03-17,HDFCAMC,2245.0,2249.5,2227.0,2238.0,240395,0.6345000000000001,378862
2022-03-21,HDFCAMC,2246.75,2255.75,2145.6,2152.85,235132,0.6391,367894
2022-03-22,HDFCAMC,2152.85,2166.85,2121.0,2160.35,126351,0.4554,277448
2022-03-23,HDFCAMC,2169.6,2242.8,2169.6,2218.95,299130,0.5025000000000001,595258
2022-03-24,HDFCAMC,2180.0,2225.0,2170.0,2180.15,160647,0.5557,289097
2022-03-25,HDFCAMC,2182.05,2198.75,2142.15,2147.35,134603,0.6228,216125
2022-03-28,HDFCAMC,2151.8,2166.65,2082.15,2094.7,224757,0.5117,439196
2022-03-29,HDFCAMC,2096.2,2113.45,2084.55,2094.05,337473,0.643,524815
2022-03-30,HDFCAMC,2112.0,2170.0,2110.0,2163.3,249439,0.5675,439542
2022-03-31,HDFCAMC,2163.3,2191.75,2134.9,2146.05,207520,0.5018,413524
2022-04-01,HDFCAMC,2159.95,2292.1,2158.45,2276.5,226616,0.30260000000000004,748793
2022-04-04,HDFCAMC,2300.0,2480.0,2288.65,2355.0,370046,0.177,2091074
2022-04-05,HDFCAMC,2375.1,2377.0,2321.8,2341.45,117583,0.327,359559
2022-04-06,HDFCAMC,2329.95,2351.0,2305.65,2324.3,86706,0.46649999999999997,185877
2022-04-07,HDFCAMC,2320.0,2353.95,2281.1,2286.7,67699,0.384,176322
2022-04-08,HDFCAMC,2290.0,2320.5,2258.0,2272.6,118052,0.4841,243881
2022-04-11,HDFCAMC,2272.55,2287.5,2249.05,2257.0,65255,0.44770000000000004,145744
2022-04-12,HDFCAMC,2255.0,2255.0,2211.15,2221.4,78472,0.4814,162997
2022-04-13,HDFCAMC,2224.5,2232.5,2193.4,2198.25,61511,0.4204,146304
2022-04-18,HDFCAMC,2153.0,2224.55,2152.7,2183.7,148769,0.473,314551
2022-04-19,HDFCAMC,2191.0,2209.25,2078.2,2109.55,101613,0.4932,206043
2022-04-20,HDFCAMC,2129.0,2150.0,2086.0,2096.65,109554,0.4474,244863
2022-04-21,HDFCAMC,2105.0,2115.0,2084.55,2092.75,255201,0.6184000000000001,412691
2022-04-22,HDFCAMC,2093.95,2093.95,2041.0,2046.55,174925,0.5529000000000001,316393
2022-04-25,HDFCAMC,2040.0,2040.0,1985.0,2005.0,269776,0.5214,517361
2022-04-26,HDFCAMC,2029.95,2094.0,1995.0,2087.35,362141,0.43920000000000003,824631
2022-04-27,HDFCAMC,2060.0,2129.0,2046.5,2071.95,133270,0.30350000000000005,439088
2022-04-28,HDFCAMC,2048.0,2092.0,2045.0,2053.25,146126,0.3616,404105
2022-04-29,HDFCAMC,2072.7,2088.95,2035.0,2041.75,79652,0.282,282435
2022-05-02,HDFCAMC,2030.0,2038.8,2009.0,2028.8,62798,0.2932,214189
2022-05-04,HDFCAMC,2040.0,2056.95,1975.0,1995.4,128009,0.4274,299527
2022-05-05,HDFCAMC,2005.5,2022.8,1942.0,1950.4,153231,0.39549999999999996,387425
2022-05-06,HDFCAMC,1940.0,1986.25,1918.8,1958.0,114866,0.2278,504335
2022-05-09,HDFCAMC,1956.0,1972.25,1912.0,1932.55,105679,0.2922,361661
2022-05-10,HDFCAMC,1926.0,1967.0,1905.0,1917.65,60687,0.35490000000000005,171015
2022-05-11,HDFCAMC,1929.95,1929.95,1842.1,1876.75,226769,0.44189999999999996,513224
2022-05-12,HDFCAMC,1876.0,1899.55,1823.0,1840.05,131691,0.3273,402347
2022-05-13,HDFCAMC,1857.0,1861.0,1751.0,1770.05,186391,0.35479999999999995,525367
2022-05-16,HDFCAMC,1782.8,1806.7,1752.7,1761.0,145529,0.4096,355309
2022-05-17,HDFCAMC,1772.8,1815.0,1744.05,1811.4,132584,0.37270000000000003,355760
2022-05-18,HDFCAMC,1818.1,1830.6,1770.15,1775.1,173658,0.44930000000000003,386514
2022-05-19,HDFCAMC,1753.65,1753.65,1701.4,1706.75,217529,0.4786,454497
2022-05-20,HDFCAMC,1724.9,1736.15,1704.0,1706.8,232205,0.5032,461456
2022-05-23,HDFCAMC,1712.0,1758.9,1702.5,1735.25,212830,0.42100000000000004,505475
2022-05-24,HDFCAMC,1736.35,1739.45,1690.0,1702.35,450591,0.579,778181
2022-05-25,HDFCAMC,1712.35,1720.0,1693.1,1704.4,174046,0.44070000000000004,394964
2022-05-26,HDFCAMC,1705.0,1743.6,1690.95,1738.15,359538,0.4999,719268
2022-05-27,HDFCAMC,1751.95,1814.65,1742.5,1807.2,526757,0.5411,973424
2022-05-30,HDFCAMC,1820.9,1843.75,1809.2,1835.3,493248,0.6743000000000001,731502
2022-05-31,HDFCAMC,1826.8,1945.2,1808.15,1896.8,4237730,0.6242,6788518
2022-06-01,HDFCAMC,1855.0,1888.65,1835.0,1854.25,334932,0.49570000000000003,675732
2022-06-02,HDFCAMC,1835.1,1890.05,1835.1,1885.05,202734,0.49670000000000003,408162
2022-06-03,HDFCAMC,1886.0,1898.0,1857.05,1862.05,357232,0.5904,605078
2022-06-06,HDFCAMC,1846.2,1874.35,1818.0,1858.0,280374,0.48960000000000004,572717
2022-06-07,HDFCAMC,1835.2,1877.4,1811.5,1870.85,275774,0.5033,547969
2022-06-08,HDFCAMC,1872.0,1918.0,1857.45,1900.85,335274,0.4471,749904
2022-06-09,HDFCAMC,1851.0,1885.45,1841.2,1881.1,287741,0.5042,570643
2022-06-10,HDFCAMC,1856.0,1872.0,1843.25,1868.35,304814,0.5773,528035
2022-06-13,HDFCAMC,1834.1,1846.75,1800.0,1813.8,315769,0.5253,601176
2022-06-14,HDFCAMC,1805.0,1826.0,1798.85,1820.65,303692,0.5567000000000001,545533
2022-06-15,HDFCAMC,1815.0,1832.9,1798.05,1829.0,184046,0.4978,369751
2022-06-16,HDFCAMC,1838.5,1856.7,1776.1,1784.95,369158,0.6325999999999999,583590
2022-06-17,HDFCAMC,1768.0,1779.45,1713.1,1768.25,392521,0.5012,783177
2022-06-20,HDFCAMC,1768.0,1794.95,1756.0,1787.35,128068,0.4495,284912
2022-06-21,HDFCAMC,1796.0,1863.05,1784.3,1855.05,85890,0.2983,287952
2022-06-22,HDFCAMC,1841.0,1849.2,1819.75,1828.5,151640,0.6096,248738
2022-06-23,HDFCAMC,1828.0,1840.45,1804.5,1815.8,97609,0.4877,279256
2022-06-24,HDFCAMC,1835.0,1847.85,1806.2,1816.05,140222,0.45770000000000005,306362
2022-06-27,HDFCAMC,1813.0,1841.6,1751.5,1757.95,409619,0.31870000000000004,1285209
2022-06-28,HDFCAMC,1753.0,1790.65,1744.0,1750.1,160359,0.2157,743510
2022-06-29,HDFCAMC,1769.7,1774.65,1737.85,1744.85,130617,0.2343,557376
2022-06-30,HDFCAMC,1750.0,1798.0,1750.0,1792.35,238240,0.3761,633532
2022-07-01,HDFCAMC,1782.0,1839.0,1779.7,1834.1,192931,0.4308,447884
2022-07-04,HDFCAMC,1837.8,1876.8,1832.6,1870.25,62425,0.2749,227102
2022-07-05,HDFCAMC,1880.0,1893.75,1857.0,1862.8,119026,0.4561,260971
2022-07-06,HDFCAMC,1870.0,1914.9,1860.2,1910.9,98346,0.4449,221066
2022-07-07,HDFCAMC,1912.5,1924.45,1899.0,1906.0,95695,0.474,201876
2022-07-08,HDFCAMC,1915.0,1962.75,1914.65,1957.25,410057,0.6461,634656
2022-07-11,HDFCAMC,1950.0,1968.4,1935.05,1958.75,273168,0.6074,449747
2022-07-12,HDFCAMC,1954.9,1954.9,1908.8,1917.1,112172,0.5861999999999999,191362
2022-07-13,HDFCAMC,1927.95,1934.05,1895.95,1906.85,64140,0.46390000000000003,138265
2022-07-14,HDFCAMC,1906.85,1933.0,1889.95,1897.7,157848,0.5937,265885
2022-07-15,HDFCAMC,1907.8,1916.95,1885.05,1897.9,66280,0.5212,127178
2022-07-18,HDFCAMC,1910.0,1935.0,1904.4,1930.55,75822,0.5145000000000001,147379
2022-07-19,HDFCAMC,1928.0,1936.9,1915.15,1931.55,41738,0.4657,89618
2022-07-20,HDFCAMC,1944.0,1953.45,1917.0,1921.7,35740,0.33649999999999997,106222
2022-07-21,HDFCAMC,1920.0,1937.0,1891.0,1925.05,85129,0.3114,273387
2022-07-22,HDFCAMC,1938.0,1939.8,1872.0,1901.75,153032,0.22719999999999999,673444
2022-07-25,HDFCAMC,1889.5,1906.25,1840.0,1860.35,331273,0.5095000000000001,650149
2022-07-26,HDFCAMC,1865.0,1889.0,1848.15,1862.3,268538,0.5051,531666
2022-07-27,HDFCAMC,1860.0,1916.0,1852.35,1906.2,447803,0.7056,634649
2022-07-28,HDFCAMC,1924.45,1958.0,1912.15,1945.15,203974,0.45439999999999997,448907
2022-07-29,HDFCAMC,1969.0,1985.0,1937.45,1947.3,206046,0.564,365354
2022-08-01,HDFCAMC,1961.4,2022.15,1943.0,1999.85,131899,0.3342,394694
2022-08-02,HDFCAMC,1999.85,2018.0,1992.6,2009.6,135784,0.4635,292946
2022-08-03,HDFCAMC,2009.7,2032.0,1989.0,2001.55,265612,0.49340000000000006,538320
2022-08-04,HDFCAMC,2001.55,2023.1,1965.0,1987.35,178418,0.5503,324198
2022-08-05,HDFCAMC,1992.6,2008.8,1975.6,2002.05,66861,0.349,191580
2022-08-08,HDFCAMC,2000.0,2016.9,1984.05,2004.7,78269,0.3507,223183
2022-08-10,HDFCAMC,2012.4,2013.85,1978.0,1984.5,57389,0.4598,124810
2022-08-11,HDFCAMC,1998.35,2046.0,1986.0,2027.2,155608,0.35009999999999997,444511
2022-08-12,HDFCAMC,2031.0,2039.95,1948.15,1956.5,494114,0.5299,932487
2022-08-16,HDFCAMC,1969.5,2218.85,1935.5,2181.35,1850441,0.33880000000000005,5461044
2022-08-17,HDFCAMC,2175.0,2203.15,2154.55,2172.5,236082,0.3054,773058
2022-08-18,HDFCAMC,2160.0,2193.8,2150.0,2181.35,168404,0.3627,464330
2022-08-19,HDFCAMC,2188.0,2213.0,2140.0,2157.1,193866,0.3689,525591
