Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,HDFCBANK,1575.0,1598.0,1574.5,1579.1,3924656,0.6319,6211279
2021-09-02,HDFCBANK,1574.1,1592.0,1571.25,1589.0,3165332,0.6581999999999999,4809262
2021-09-03,HDFCBANK,1586.1,1598.0,1568.3,1576.05,3543509,0.6602,5367667
2021-09-06,HDFCBANK,1579.95,1580.95,1561.95,1565.7,2534940,0.6436000000000001,3938448
2021-09-07,HDFCBANK,1562.5,1582.0,1555.2,1569.25,1967275,0.543,3622748
2021-09-08,HDFCBANK,1571.95,1580.5,1565.6,1576.4,2005117,0.5964,3362040
2021-09-09,HDFCBANK,1574.0,1579.45,1561.0,1568.6,2668239,0.6468,4125474
2021-09-13,HDFCBANK,1562.0,1584.0,1553.65,1555.55,3354836,0.7489,4479582
2021-09-14,HDFCBANK,1560.0,1564.5,1546.6,1548.55,3748148,0.7682,4879253
2021-09-15,HDFCBANK,1535.0,1554.8,1535.0,1546.8,5419693,0.7313,7411499
2021-09-16,HDFCBANK,1537.75,1564.3,1536.3,1559.95,2478795,0.4832,5130275
2021-09-17,HDFCBANK,1569.0,1589.0,1559.2,1582.15,6160971,0.6011,10249051
2021-09-20,HDFCBANK,1564.0,1581.7,1558.0,1559.85,2618610,0.5964,4390805
2021-09-21,HDFCBANK,1562.0,1568.65,1528.95,1551.95,4642760,0.6285000000000001,7387498
2021-09-22,HDFCBANK,1549.0,1550.15,1530.0,1533.7,3043041,0.5751,5291101
2021-09-23,HDFCBANK,1542.0,1572.0,1542.0,1570.0,4366722,0.6391,6832152
2021-09-24,HDFCBANK,1579.0,1607.95,1575.0,1601.55,6212213,0.5971000000000001,10403351
2021-09-27,HDFCBANK,1615.7,1635.5,1608.0,1625.1,5061617,0.6167,8207731
2021-09-28,HDFCBANK,1632.0,1632.0,1582.0,1615.05,3472588,0.5437,6386895
2021-09-29,HDFCBANK,1597.0,1606.6,1585.15,1593.85,5400885,0.6642,8131518
2021-09-30,HDFCBANK,1586.0,1606.35,1583.1,1594.95,4213557,0.5275,7987674
2021-10-01,HDFCBANK,1583.0,1589.0,1565.25,1582.7,3862291,0.6940999999999999,5564298
2021-10-04,HDFCBANK,1589.0,1601.35,1583.6,1585.75,2240254,0.6354,3525514
2021-10-05,HDFCBANK,1592.0,1597.5,1576.25,1595.45,3346622,0.6525,5128589
2021-10-06,HDFCBANK,1596.0,1626.85,1587.0,1614.9,6227027,0.6695000000000001,9300415
2021-10-07,HDFCBANK,1626.6,1627.7,1607.0,1610.5,3460296,0.6143,5632862
2021-10-08,HDFCBANK,1612.0,1622.0,1600.15,1602.65,2298470,0.6344,3622781
2021-10-11,HDFCBANK,1599.9,1645.0,1599.0,1633.8,4288726,0.6557,6540424
2021-10-12,HDFCBANK,1625.0,1641.55,1625.0,1629.6,2149685,0.5258,4088473
2021-10-13,HDFCBANK,1637.0,1648.0,1630.0,1639.4,1798733,0.5778,3112822
2021-10-14,HDFCBANK,1638.0,1690.0,1638.0,1687.4,3835435,0.5197999999999999,7378644
2021-10-18,HDFCBANK,1705.0,1725.0,1667.05,1670.3,8220482,0.5697,14428228
2021-10-19,HDFCBANK,1675.45,1692.45,1671.0,1688.7,2218411,0.49369999999999997,4493770
2021-10-20,HDFCBANK,1689.1,1698.75,1664.45,1673.85,3521937,0.6456999999999999,5454284
2021-10-21,HDFCBANK,1671.8,1681.95,1660.85,1676.3,2926337,0.601,4869095
2021-10-22,HDFCBANK,1680.1,1708.0,1670.75,1680.75,3171466,0.521,6087777
2021-10-25,HDFCBANK,1690.0,1690.0,1613.8,1657.0,4006629,0.4878,8213383
2021-10-26,HDFCBANK,1650.0,1673.85,1646.35,1652.75,4294683,0.7104,6045328
2021-10-27,HDFCBANK,1652.75,1665.05,1637.3,1642.8,4849303,0.7320000000000001,6624821
2021-10-28,HDFCBANK,1650.0,1650.0,1587.15,1593.6,5321326,0.598,8898875
2021-10-29,HDFCBANK,1590.0,1602.0,1560.0,1582.85,3509518,0.5657,6203437
2021-11-01,HDFCBANK,1585.0,1611.0,1583.55,1605.3,2186450,0.5384000000000001,4061160
2021-11-02,HDFCBANK,1606.0,1622.0,1600.05,1606.75,4327632,0.6537999999999999,6618861
2021-11-03,HDFCBANK,1605.1,1609.9,1575.55,1581.45,3013031,0.5904,5103669
2021-11-04,HDFCBANK,1595.0,1597.85,1590.1,1593.95,327517,0.5972,548404
2021-11-08,HDFCBANK,1592.1,1604.7,1570.45,1600.25,7415309,0.7829,9471790
2021-11-09,HDFCBANK,1594.6,1594.6,1569.05,1572.25,4613239,0.7268000000000001,6347738
2021-11-10,HDFCBANK,1568.0,1569.0,1550.0,1555.25,5316027,0.7753,6857063
2021-11-11,HDFCBANK,1550.05,1554.9,1535.6,1548.3,2359811,0.59,3999702
2021-11-12,HDFCBANK,1550.0,1559.05,1545.05,1553.0,6028992,0.8085,7457046
2021-11-15,HDFCBANK,1562.1,1571.85,1554.4,1557.25,3348551,0.7025,4766797
2021-11-16,HDFCBANK,1555.0,1557.2,1541.6,1548.0,3120847,0.757,4122703
2021-11-17,HDFCBANK,1536.9,1544.0,1528.5,1530.8,2426211,0.6386000000000001,3799439
2021-11-18,HDFCBANK,1526.05,1543.5,1525.25,1539.4,2775777,0.6065,4576437
2021-11-22,HDFCBANK,1546.0,1552.7,1499.05,1515.35,5181802,0.6790999999999999,7630636
2021-11-23,HDFCBANK,1502.0,1527.8,1496.35,1515.55,3430808,0.6107,5617607
2021-11-24,HDFCBANK,1524.0,1536.35,1514.05,1518.05,13238732,0.8595999999999999,15401143
2021-11-25,HDFCBANK,1514.8,1533.3,1507.0,1525.95,3449892,0.6729999999999999,5125826
2021-11-26,HDFCBANK,1500.0,1506.7,1485.0,1489.9,7121233,0.7647,9312468
2021-11-29,HDFCBANK,1494.8,1507.65,1462.0,1501.25,4000943,0.616,6495498
2021-11-30,HDFCBANK,1495.0,1529.0,1486.55,1493.55,9136547,0.7245,12610771
2021-12-01,HDFCBANK,1495.0,1507.05,1489.1,1504.65,2602790,0.5999,4338817
2021-12-02,HDFCBANK,1504.5,1528.8,1500.0,1525.75,3834955,0.6846,5601555
2021-12-03,HDFCBANK,1525.8,1535.95,1507.05,1513.55,2722337,0.6701,4062347
2021-12-06,HDFCBANK,1513.0,1518.8,1497.35,1503.8,1870296,0.5321,3514766
2021-12-07,HDFCBANK,1513.95,1532.0,1509.9,1525.7,4333305,0.6973999999999999,6213767
2021-12-08,HDFCBANK,1536.0,1555.05,1534.0,1553.8,5641750,0.7377,7647767
