Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,HDFCLIFE,720.0,724.6,707.3,718.55,3359761,0.6731,4991772
2021-09-02,HDFCLIFE,722.45,775.65,720.0,759.0,4985952,0.3062,16281725
2021-09-03,HDFCLIFE,738.95,747.75,727.2,734.4,8023402,0.5143,15600504
2021-09-06,HDFCLIFE,740.0,743.75,728.7,736.05,5747011,0.7109000000000001,8084343
2021-09-07,HDFCLIFE,737.0,743.4,730.6,734.25,1697736,0.5871000000000001,2891731
2021-09-08,HDFCLIFE,739.0,747.0,733.85,743.65,1204349,0.3922,3070612
2021-09-09,HDFCLIFE,742.55,746.15,735.0,737.35,1847844,0.6443000000000001,2867987
2021-09-13,HDFCLIFE,736.95,742.7,723.45,734.9,1565821,0.543,2883674
2021-09-14,HDFCLIFE,737.8,744.0,736.1,739.2,1161336,0.5881000000000001,1974670
2021-09-15,HDFCLIFE,740.9,752.0,740.0,746.3,1766717,0.5569,3172198
2021-09-16,HDFCLIFE,747.0,756.2,743.5,755.15,2257880,0.7036,3209102
2021-09-17,HDFCLIFE,759.0,759.6,740.0,747.75,7403914,0.6349,11661592
2021-09-20,HDFCLIFE,739.05,746.9,727.0,730.15,696778,0.48130000000000006,1447672
2021-09-21,HDFCLIFE,729.7,737.7,724.25,735.8,1018795,0.5504,1850978
2021-09-22,HDFCLIFE,733.4,740.05,731.0,733.05,604275,0.525,1150957
2021-09-23,HDFCLIFE,733.75,735.85,722.2,724.65,1438265,0.6154000000000001,2336977
2021-09-24,HDFCLIFE,728.9,731.3,720.75,725.8,1142996,0.515,2219394
2021-09-27,HDFCLIFE,729.4,730.25,718.3,721.0,1222687,0.6412000000000001,1906863
2021-09-28,HDFCLIFE,722.0,733.35,721.5,725.8,1310248,0.5442,2407512
2021-09-29,HDFCLIFE,724.7,738.0,721.0,734.75,3878728,0.7459,5200234
2021-09-30,HDFCLIFE,740.0,740.0,720.7,722.4,2143789,0.6625,3235673
2021-10-01,HDFCLIFE,720.0,730.5,714.3,729.45,852535,0.4601,1852758
2021-10-04,HDFCLIFE,725.4,733.35,725.0,726.65,944120,0.5845,1615207
2021-10-05,HDFCLIFE,724.2,735.95,722.05,733.15,1467747,0.6561,2236948
2021-10-06,HDFCLIFE,736.0,741.7,724.0,725.65,952465,0.49119999999999997,1939154
2021-10-07,HDFCLIFE,730.0,732.35,719.3,725.35,1437689,0.5859000000000001,2453970
2021-10-08,HDFCLIFE,729.0,731.45,720.3,722.1,943212,0.5995,1573419
2021-10-11,HDFCLIFE,724.9,724.9,714.9,717.3,2121809,0.7055,3007329
2021-10-12,HDFCLIFE,716.9,717.95,699.0,703.4,2115779,0.6528,3241303
2021-10-13,HDFCLIFE,704.3,709.8,700.0,700.9,2301990,0.7443000000000001,3092746
2021-10-14,HDFCLIFE,702.5,702.7,693.0,693.8,3007107,0.7375,4077281
2021-10-18,HDFCLIFE,700.0,706.05,689.05,703.6,2490683,0.5418000000000001,4597120
2021-10-19,HDFCLIFE,708.0,709.05,698.55,702.8,956090,0.4473,2137420
2021-10-20,HDFCLIFE,703.4,709.5,695.3,703.4,1164897,0.44700000000000006,2606119
2021-10-21,HDFCLIFE,706.95,711.0,691.0,694.55,1728447,0.5043,3427729
