Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,HIL,5692.0,5740.0,5572.0,5581.05,4819,0.6596,7306
2021-09-02,HIL,5648.0,5673.9,5450.0,5501.4,6584,0.7339,8971
2021-09-03,HIL,5508.0,5640.0,5420.0,5445.1,6431,0.6484000000000001,9918
2021-09-06,HIL,5490.0,5500.0,5336.3,5359.6,8134,0.6853,11869
2021-09-07,HIL,5399.95,5530.0,5360.0,5394.45,5821,0.5272,11041
2021-09-08,HIL,5399.8,5435.0,5280.0,5315.05,6914,0.6505,10628
2021-09-09,HIL,5315.05,5385.85,5281.1,5307.6,4930,0.6625,7441
2021-09-13,HIL,5350.0,5375.9,5250.05,5263.75,9669,0.7703,12553
2021-09-14,HIL,5312.0,5330.8,5205.55,5264.55,10786,0.7819,13795
2021-09-15,HIL,5286.0,5379.9,5205.55,5263.0,13249,0.6406999999999999,20679
2021-09-16,HIL,5265.0,5347.95,5244.55,5278.4,7617,0.5781000000000001,13175
2021-09-17,HIL,5295.0,5337.0,5215.55,5286.05,13538,0.7572,17880
2021-09-20,HIL,5220.1,5276.25,5160.0,5172.35,7337,0.5352,13708
2021-09-21,HIL,5165.0,5250.05,5054.3,5161.55,6084,0.5371,11327
2021-09-22,HIL,5160.95,5350.0,5129.0,5290.35,9587,0.5710000000000001,16789
2021-09-23,HIL,5329.0,5470.0,5250.0,5265.35,14686,0.5797,25335
2021-09-24,HIL,5300.0,5311.95,5188.0,5204.75,6196,0.5072,12217
2021-09-27,HIL,5205.05,5259.9,5107.0,5133.9,4935,0.5881000000000001,8392
2021-09-28,HIL,5144.0,5180.0,5050.0,5084.0,5306,0.6287,8440
2021-09-29,HIL,5084.0,5170.0,5053.0,5156.95,5567,0.6063000000000001,9182
2021-09-30,HIL,5200.0,5202.0,5110.0,5146.5,3733,0.6472,5768
2021-10-01,HIL,5112.0,5128.9,5050.5,5067.75,12285,0.8007,15342
2021-10-04,HIL,5030.0,5040.0,4855.0,4915.55,31269,0.6525,47922
2021-10-05,HIL,4900.0,4964.65,4850.0,4860.55,14833,0.6546,22661
2021-10-06,HIL,4862.0,4963.0,4862.0,4887.35,9832,0.6032000000000001,16299
2021-10-07,HIL,4920.0,4983.3,4886.6,4931.9,9723,0.616,15783
2021-10-08,HIL,4980.0,5289.15,4940.0,5214.4,16365,0.484,33815
2021-10-11,HIL,5328.0,5375.0,5250.0,5258.8,16195,0.5468999999999999,29612
2021-10-12,HIL,5327.95,5327.95,5130.0,5170.1,5268,0.5459,9651
2021-10-13,HIL,5199.45,5290.0,5152.1,5161.75,6598,0.6265,10531
2021-10-14,HIL,5161.3,5337.1,5150.0,5195.25,6718,0.5384000000000001,12478
2021-10-18,HIL,5220.0,5291.9,5151.0,5195.65,5471,0.5870000000000001,9320
2021-10-19,HIL,5250.0,5250.05,4982.0,5031.4,18700,0.7922,23606
2021-10-20,HIL,5020.0,5100.0,4880.0,5000.45,8508,0.5902000000000001,14416
2021-10-21,HIL,5005.1,5100.0,5000.0,5043.45,4569,0.6152000000000001,7427
2021-10-22,HIL,5050.0,5097.15,4890.05,4912.35,7271,0.6245,11643
2021-10-25,HIL,5000.0,5000.0,4685.1,4791.75,14124,0.6703,21071
2021-10-26,HIL,4790.0,5099.0,4775.0,4997.25,7476,0.52,14377
2021-10-27,HIL,4960.0,5199.0,4926.25,5155.85,9721,0.6147,15814
2021-10-28,HIL,4650.0,4773.7,4428.0,4524.65,69909,0.6315999999999999,110678
2021-10-29,HIL,4480.0,4625.0,4255.0,4468.65,19366,0.3768,51400
2021-11-01,HIL,4500.0,4619.0,4470.5,4541.15,12688,0.7149,17749
2021-11-02,HIL,4589.0,4774.7,4550.05,4665.35,18601,0.4033,46122
2021-11-03,HIL,4698.0,4728.85,4550.0,4576.05,6744,0.6107,11043
2021-11-04,HIL,4606.4,4670.0,4580.0,4649.75,1770,0.5845,3028
2021-11-08,HIL,4670.0,4680.0,4529.1,4556.75,9267,0.7007,13226
2021-11-09,HIL,4600.0,4600.0,4483.4,4504.85,6684,0.7069,9456
2021-11-10,HIL,4500.0,4541.0,4475.05,4490.8,3150,0.5658,5567
2021-11-11,HIL,4509.95,4565.0,4360.0,4401.1,7585,0.6572,11541
2021-11-12,HIL,4449.0,4490.0,4401.0,4429.1,4316,0.6194,6968
2021-11-15,HIL,4420.0,4451.0,4322.0,4361.95,5069,0.5786,8761
2021-11-16,HIL,4375.0,4447.95,4350.0,4400.15,3642,0.5174000000000001,7039
2021-11-17,HIL,4428.0,4445.0,4361.0,4374.75,3358,0.5432,6182
2021-11-18,HIL,4390.0,4525.25,4362.4,4495.7,7058,0.4462,15817
2021-11-22,HIL,4526.0,4526.0,4252.0,4317.9,8333,0.6237,13361
2021-11-23,HIL,4246.0,4493.0,4246.0,4413.2,7718,0.5589000000000001,13810
2021-11-24,HIL,4453.25,4453.25,4330.0,4343.7,4151,0.5769,7195
2021-11-25,HIL,4380.0,4398.0,4323.0,4365.3,2473,0.6054,4085
2021-11-26,HIL,4348.5,4455.2,4254.0,4283.1,6012,0.5347999999999999,11242
2021-11-29,HIL,4300.0,4330.0,4200.0,4218.4,7106,0.5863,12121
2021-11-30,HIL,4202.2,4425.0,4202.2,4389.6,8353,0.6957,12007
2021-12-01,HIL,4375.0,4395.0,4300.0,4356.3,2548,0.5579,4567
2021-12-02,HIL,4385.0,4469.9,4320.0,4441.8,4691,0.6051,7753
2021-12-03,HIL,4446.0,4490.0,4384.95,4464.0,2233,0.6008,3717
2021-12-06,HIL,4490.0,4497.0,4301.15,4310.8,3470,0.5994,5789
2021-12-07,HIL,4328.0,4500.0,4310.0,4436.45,3924,0.3088,12709
2021-12-08,HIL,4508.0,4508.0,4390.2,4404.65,2263,0.46950000000000003,4820
