Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,HONDAPOWER,1234.05,1248.0,1220.0,1222.9,2194,0.2341,9372
2021-09-02,HONDAPOWER,1225.0,1244.95,1212.7,1222.8,2096,0.4252,4929
2021-09-03,HONDAPOWER,1228.95,1237.0,1212.7,1217.0,2978,0.5034000000000001,5916
2021-09-06,HONDAPOWER,1217.0,1228.15,1190.15,1199.3,6090,0.6086,10007
2021-09-07,HONDAPOWER,1205.3,1209.95,1190.05,1204.95,5174,0.7221,7165
2021-09-08,HONDAPOWER,1211.0,1211.0,1190.0,1206.3,2749,0.7041,3904
2021-09-09,HONDAPOWER,1220.0,1220.0,1198.0,1203.25,3537,0.5752,6149
2021-09-13,HONDAPOWER,1199.0,1215.0,1190.0,1210.5,4556,0.562,8107
2021-09-14,HONDAPOWER,1220.3,1220.3,1202.55,1213.4,2390,0.5568,4292
2021-09-15,HONDAPOWER,1219.5,1236.0,1215.0,1222.2,3606,0.6589,5473
2021-09-16,HONDAPOWER,1224.0,1239.45,1213.05,1215.85,3248,0.5858,5545
2021-09-17,HONDAPOWER,1221.95,1245.0,1195.2,1197.0,4895,0.5770000000000001,8483
2021-09-20,HONDAPOWER,1196.0,1208.55,1178.0,1186.85,2410,0.6729999999999999,3581
2021-09-21,HONDAPOWER,1176.0,1189.95,1172.1,1177.3,3337,0.7331000000000001,4552
2021-09-22,HONDAPOWER,1175.0,1197.95,1165.2,1171.45,5069,0.6526000000000001,7767
2021-09-23,HONDAPOWER,1177.35,1197.95,1177.35,1184.45,3811,0.6846,5567
2021-09-24,HONDAPOWER,1190.4,1190.4,1170.35,1177.0,1454,0.5332,2727
2021-09-27,HONDAPOWER,1190.0,1210.05,1174.0,1175.9,6212,0.7928000000000001,7836
2021-09-28,HONDAPOWER,1181.75,1194.0,1165.05,1172.75,3110,0.6031000000000001,5157
2021-09-29,HONDAPOWER,1165.4,1280.0,1165.4,1252.85,18972,0.2261,83902
2021-09-30,HONDAPOWER,1260.0,1307.95,1251.0,1258.5,21754,0.38520000000000004,56480
2021-10-01,HONDAPOWER,1260.0,1295.25,1210.6,1220.55,18834,0.509,37002
2021-10-04,HONDAPOWER,1234.0,1249.95,1232.3,1236.8,4970,0.6115,8127
2021-10-05,HONDAPOWER,1237.0,1264.0,1225.0,1241.05,3999,0.5333,7498
2021-10-06,HONDAPOWER,1250.0,1256.45,1214.1,1217.8,6536,0.7573000000000001,8631
2021-10-07,HONDAPOWER,1223.9,1255.0,1223.9,1228.25,3492,0.539,6479
2021-10-08,HONDAPOWER,1234.4,1245.0,1200.1,1207.1,7707,0.6931,11119
2021-10-11,HONDAPOWER,1230.0,1443.0,1214.3,1418.8,90557,0.2625,344987
2021-10-12,HONDAPOWER,1388.0,1426.0,1344.9,1360.85,24214,0.37939999999999996,63821
2021-10-13,HONDAPOWER,1389.4,1397.0,1356.4,1378.7,15724,0.47750000000000004,32930
2021-10-14,HONDAPOWER,1391.4,1444.0,1354.65,1398.35,23128,0.5398,42846
2021-10-18,HONDAPOWER,1440.0,1440.0,1382.95,1403.6,15741,0.6481,24288
2021-10-19,HONDAPOWER,1401.0,1415.35,1355.0,1378.7,13123,0.6219,21102
2021-10-20,HONDAPOWER,1380.0,1381.75,1331.0,1333.75,8173,0.6435,12700
2021-10-21,HONDAPOWER,1320.0,1400.0,1320.0,1353.4,5041,0.5749000000000001,8768
2021-10-22,HONDAPOWER,1360.2,1365.0,1310.0,1349.05,9619,0.6803,14139
2021-10-25,HONDAPOWER,1349.05,1351.15,1270.0,1288.95,5737,0.4993,11490
2021-10-26,HONDAPOWER,1295.4,1325.0,1276.25,1305.9,4391,0.5115,8585
2021-10-27,HONDAPOWER,1306.0,1341.1,1289.9,1298.85,2115,0.5297,3993
2021-10-28,HONDAPOWER,1300.0,1314.35,1275.0,1301.3,5509,0.7255,7593
2021-10-29,HONDAPOWER,1276.05,1329.0,1276.05,1315.45,4040,0.6928,5831
2021-11-01,HONDAPOWER,1322.05,1327.05,1297.3,1316.55,6426,0.6393,10051
2021-11-02,HONDAPOWER,1339.0,1356.9,1307.55,1328.75,4537,0.7598,5971
2021-11-03,HONDAPOWER,1328.75,1359.7,1323.05,1325.35,2172,0.6209,3498
2021-11-04,HONDAPOWER,1326.0,1344.9,1309.0,1320.85,1016,0.6833,1487
2021-11-08,HONDAPOWER,1310.0,1375.0,1310.0,1358.3,4851,0.6851999999999999,7080
2021-11-09,HONDAPOWER,1360.0,1380.0,1340.1,1355.7,6008,0.6781,8860
2021-11-10,HONDAPOWER,1342.55,1394.0,1342.55,1364.75,7132,0.5806,12283
2021-11-11,HONDAPOWER,1340.05,1366.0,1330.0,1351.3,3964,0.675,5873
2021-11-12,HONDAPOWER,1380.0,1380.0,1325.0,1350.65,7495,0.6518,11499
2021-11-15,HONDAPOWER,1303.0,1425.0,1303.0,1401.1,27610,0.6534000000000001,42256
2021-11-16,HONDAPOWER,1402.0,1431.9,1400.0,1416.0,10316,0.5112,20178
