Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,HSCL,47.4,47.45,46.25,46.55,771314,0.3297,2339545
2021-09-02,HSCL,46.6,47.9,46.45,47.2,858175,0.2963,2896135
2021-09-03,HSCL,47.4,47.45,46.7,46.85,780434,0.3615,2158764
2021-09-06,HSCL,47.0,47.3,46.3,46.55,711359,0.3693,1926470
2021-09-07,HSCL,46.75,46.75,45.35,45.6,794039,0.41409999999999997,1917398
2021-09-08,HSCL,45.6,46.75,45.4,46.15,560843,0.2368,2368120
2021-09-09,HSCL,46.1,46.9,45.65,46.35,717091,0.33590000000000003,2134806
2021-09-13,HSCL,46.45,47.35,46.35,46.8,1073433,0.3754,2859696
2021-09-14,HSCL,47.1,47.85,46.95,47.2,854015,0.3755,2274376
2021-09-15,HSCL,47.45,48.0,47.1,47.3,1086279,0.3628,2994308
2021-09-16,HSCL,47.45,48.0,47.2,47.4,1124854,0.3909,2877493
2021-09-17,HSCL,47.7,50.9,47.55,50.05,4768010,0.2511,18987396
2021-09-20,HSCL,49.0,51.15,47.85,48.55,1898586,0.3166,5996317
2021-09-21,HSCL,48.4,53.8,48.3,53.0,9424661,0.3264,28870392
2021-09-22,HSCL,53.7,55.65,52.35,53.8,5238358,0.269,19475161
2021-09-23,HSCL,54.0,54.7,51.9,52.25,2451413,0.31629999999999997,7751089
2021-09-24,HSCL,52.55,55.0,51.4,52.35,2342272,0.2248,10421298
2021-09-27,HSCL,52.75,53.35,51.1,51.65,1781738,0.312,5710168
2021-09-28,HSCL,51.85,53.95,50.5,53.1,2225157,0.28600000000000003,7780223
2021-09-29,HSCL,53.25,53.75,51.9,52.2,1796620,0.35850000000000004,5012165
2021-09-30,HSCL,52.5,52.85,51.25,51.55,1326164,0.39890000000000003,3324261
2021-10-01,HSCL,51.45,52.45,51.1,51.55,945150,0.2591,3647876
2021-10-04,HSCL,51.9,53.7,51.8,53.15,2651152,0.3864,6860393
2021-10-05,HSCL,53.2,56.1,53.2,53.75,6423472,0.3381,18996276
2021-10-06,HSCL,54.25,54.55,52.05,52.45,2211255,0.34759999999999996,6362395
2021-10-07,HSCL,52.9,53.5,52.5,52.75,1295929,0.3262,3972811
2021-10-08,HSCL,53.0,53.25,51.85,51.95,1317133,0.4171,3157503
