Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ICICILIQ,1000.0,1000.0,999.5,999.99,19187,0.6082,31545
2021-09-02,ICICILIQ,999.99,1000.0,990.0,999.99,13427,0.9187000000000001,14616
2021-09-03,ICICILIQ,999.5,1000.0,990.0,999.99,119475,0.9465000000000001,126231
2021-09-06,ICICILIQ,1000.0,1000.0,999.99,999.99,4859,0.7633,6366
2021-09-07,ICICILIQ,999.99,1000.0,999.99,1000.0,4221,0.9998,4222
2021-09-08,ICICILIQ,1005.0,1008.95,999.99,999.99,1595,0.5916,2696
2021-09-09,ICICILIQ,1000.0,1000.0,998.0,1000.0,252584,0.7609,331976
2021-09-13,ICICILIQ,1000.0,1000.01,999.99,999.99,356840,0.9215000000000001,387233
2021-09-14,ICICILIQ,1005.0,1008.9,999.01,999.99,17093,0.777,22000
2021-09-15,ICICILIQ,999.0,1000.01,998.8,999.99,60208,0.7273999999999999,82770
2021-09-16,ICICILIQ,1000.0,1001.0,999.0,999.99,35904,0.7139,50296
2021-09-17,ICICILIQ,1000.0,1000.0,999.99,1000.0,2572,0.4497,5720
2021-09-20,ICICILIQ,1005.0,1005.0,998.0,999.99,1515,0.6199,2444
2021-09-21,ICICILIQ,999.99,1000.01,991.05,999.99,113279,0.9631000000000001,117618
2021-09-22,ICICILIQ,1000.0,1000.01,999.99,999.99,40588,0.9331999999999999,43494
2021-09-23,ICICILIQ,1000.0,1000.0,999.99,1000.0,7431,0.9711,7652
2021-09-24,ICICILIQ,1000.0,1000.0,999.5,999.99,29835,0.9826,30362
2021-09-27,ICICILIQ,1000.0,1000.01,999.5,999.99,53072,0.9256000000000001,57339
2021-09-28,ICICILIQ,1000.0,1000.0,999.99,999.99,18327,0.9973000000000001,18377
2021-09-29,ICICILIQ,1000.0,1000.0,999.51,999.99,19282,0.9618000000000001,20048
2021-09-30,ICICILIQ,1000.0,1000.01,999.99,1000.0,139253,0.968,143852
2021-10-01,ICICILIQ,1000.0,1000.01,999.5,999.99,36527,0.8588,42533
2021-10-04,ICICILIQ,999.0,1000.0,991.15,999.99,2844,0.9401999999999999,3025
2021-10-05,ICICILIQ,999.5,1000.0,999.5,999.99,39238,0.9944,39460
2021-10-06,ICICILIQ,1000.0,1000.0,999.98,999.99,10284,0.6299,16326
2021-10-07,ICICILIQ,999.5,1000.0,999.0,999.73,71519,0.8628,82890
2021-10-08,ICICILIQ,1000.0,1000.0,999.99,999.99,177642,0.9671,183676
2021-10-11,ICICILIQ,1000.0,1000.0,998.51,999.99,2797,0.8774,3188
2021-10-12,ICICILIQ,1000.0,1000.01,999.99,999.99,27223,0.9829000000000001,27698
2021-10-13,ICICILIQ,999.99,1000.0,990.0,999.99,399592,0.9826,406683
2021-10-14,ICICILIQ,1000.0,1000.0,998.01,999.99,13422,0.9022,14877
2021-10-18,ICICILIQ,1005.0,1005.0,999.5,999.58,3407,0.9208,3700
2021-10-19,ICICILIQ,1000.0,1000.0,999.99,999.99,8053,0.6925,11629
2021-10-20,ICICILIQ,1000.7,1000.7,999.99,999.99,4709,0.5797,8123
2021-10-21,ICICILIQ,1000.0,1000.0,999.99,999.99,30837,0.5383,57288
2021-10-22,ICICILIQ,1000.0,1000.0,999.99,999.99,5647,0.991,5698
2021-10-25,ICICILIQ,999.99,1000.0,971.5,999.99,7926,0.9509000000000001,8335
2021-10-26,ICICILIQ,1005.0,1008.5,990.15,999.99,27639,0.7666,36053
2021-10-27,ICICILIQ,1000.0,1000.0,999.99,999.99,39561,0.9983,39627
