Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ICICINIFTY,210.9,210.9,181.15,183.12,601516,0.8782,684921
2021-09-02,ICICINIFTY,194.1,194.1,182.5,184.65,184394,0.8,230484
2021-09-03,ICICINIFTY,195.0,195.7,184.0,185.56,151292,0.8604,175843
2021-09-06,ICICINIFTY,194.8,194.8,185.1,186.37,105673,0.6065,174242
2021-09-07,ICICINIFTY,194.8,194.8,185.45,185.88,218566,0.7794,280432
2021-09-08,ICICINIFTY,199.8,199.8,185.16,186.16,92070,0.8104000000000001,113610
2021-09-09,ICICINIFTY,187.2,187.2,183.2,186.0,114690,0.8383,136810
2021-09-13,ICICINIFTY,187.45,187.45,184.8,186.05,80609,0.7309,110290
2021-09-14,ICICINIFTY,199.0,199.0,185.75,186.51,100956,0.7101999999999999,142154
2021-09-15,ICICINIFTY,203.3,203.3,186.35,187.84,135711,0.7975,170163
2021-09-16,ICICINIFTY,188.74,189.36,187.35,189.11,52288,0.5887,88824
2021-09-17,ICICINIFTY,206.1,206.1,187.0,188.78,70328,0.6620999999999999,106222
2021-09-20,ICICINIFTY,217.1,217.1,186.5,186.78,101925,0.7682,132686
2021-09-21,ICICINIFTY,218.0,218.0,186.0,188.29,52302,0.5946,87960
2021-09-22,ICICINIFTY,198.86,198.86,186.05,188.38,58432,0.7528,77619
2021-09-23,ICICINIFTY,218.0,218.0,188.55,191.11,105194,0.7535,139601
2021-09-24,ICICINIFTY,208.3,208.3,179.6,191.04,84992,0.6508,130598
2021-09-27,ICICINIFTY,192.7,192.7,190.77,191.16,109299,0.7001999999999999,156088
2021-09-28,ICICINIFTY,202.6,202.6,188.75,190.32,93520,0.6829000000000001,136945
2021-09-29,ICICINIFTY,194.8,194.8,188.7,189.89,62420,0.542,115175
2021-09-30,ICICINIFTY,218.0,218.0,185.0,189.09,72332,0.7039,102752
2021-10-01,ICICINIFTY,218.0,218.0,187.0,188.2,57466,0.6714,85585
2021-10-04,ICICINIFTY,205.1,205.1,176.95,189.81,53248,0.5972,89167
2021-10-05,ICICINIFTY,178.4,206.9,178.4,191.3,43221,0.6973999999999999,61972
2021-10-06,ICICINIFTY,197.8,197.8,180.55,189.48,55991,0.6165,90827
2021-10-07,ICICINIFTY,199.8,199.8,189.4,190.67,67238,0.723,92997
2021-10-08,ICICINIFTY,218.0,218.0,190.7,191.42,79092,0.7191,109991
2021-10-11,ICICINIFTY,216.3,216.3,179.9,192.04,116849,0.7922,147504
2021-10-12,ICICINIFTY,200.44,200.44,188.4,192.53,27302,0.4401,62037
2021-10-13,ICICINIFTY,209.9,209.9,185.1,194.48,175600,0.5485,320162
2021-10-14,ICICINIFTY,212.0,212.0,190.45,196.0,67219,0.4072,165074
2021-10-18,ICICINIFTY,231.3,231.3,195.55,197.89,65260,0.696,93768
2021-10-19,ICICINIFTY,200.0,200.0,196.15,197.24,55075,0.5007,109990
2021-10-20,ICICINIFTY,209.1,209.1,189.4,196.17,40786,0.6369,64035
2021-10-21,ICICINIFTY,197.63,197.63,193.16,194.93,604543,0.7868,768343
2021-10-22,ICICINIFTY,206.6,206.6,191.6,194.47,52622,0.4841,108705
2021-10-25,ICICINIFTY,212.0,212.0,182.8,194.62,80331,0.7451000000000001,107819
2021-10-26,ICICINIFTY,223.8,223.8,193.1,196.59,182325,0.9329999999999999,195414
2021-10-27,ICICINIFTY,214.3,214.3,195.05,195.51,44090,0.6374000000000001,69170
2021-10-28,ICICINIFTY,213.1,213.1,191.3,191.88,151572,0.6552,231350
2021-10-29,ICICINIFTY,209.0,209.0,180.4,189.96,105816,0.7998999999999999,132290
2021-11-01,ICICINIFTY,214.7,214.7,185.86,192.72,62199,0.691,90008
2021-11-02,ICICINIFTY,204.3,204.3,191.6,192.06,31745,0.4289,74010
2021-11-03,ICICINIFTY,217.0,217.0,190.0,191.66,84554,0.8179000000000001,103385
2021-11-04,ICICINIFTY,203.2,203.2,185.81,192.56,27052,0.7092,38145
2021-11-08,ICICINIFTY,216.6,216.6,191.55,194.04,72817,0.4582,158916
2021-11-09,ICICINIFTY,194.95,194.95,193.0,193.85,45498,0.6887000000000001,66065
2021-11-10,ICICINIFTY,205.5,205.5,190.0,193.37,320790,0.8672,369913
2021-11-11,ICICINIFTY,193.5,193.5,191.21,192.01,172978,0.8181,211439
2021-11-12,ICICINIFTY,167.0,203.5,167.0,194.55,537513,0.9151,587384
2021-11-15,ICICINIFTY,206.2,206.2,193.75,194.48,51251,0.6554000000000001,78196
2021-11-16,ICICINIFTY,206.1,206.1,193.15,193.44,33563,0.6925,48468
2021-11-17,ICICINIFTY,210.8,210.8,192.25,192.44,28128,0.7328,38383
2021-11-18,ICICINIFTY,167.4,217.5,167.4,191.0,59963,0.6524,91914
2021-11-22,ICICINIFTY,195.45,195.45,184.0,187.4,182080,0.8764000000000001,207770
2021-11-23,ICICINIFTY,198.6,198.6,176.2,188.15,155583,0.6034,257825
2021-11-24,ICICINIFTY,189.4,189.5,186.6,187.31,41098,0.6051,67915
2021-11-25,ICICINIFTY,198.5,198.5,181.15,188.35,51171,0.512,99943
2021-11-26,ICICINIFTY,199.7,199.7,177.0,182.85,547575,0.5794,945142
2021-11-29,ICICINIFTY,206.6,206.6,178.0,183.47,133374,0.7524,177272
