Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ICICINV20,94.09,94.3,92.1,92.78,15997,0.7987000000000001,20028
2021-09-02,ICICINV20,93.59,93.59,90.68,93.47,10574,0.802,13184
2021-09-03,ICICINV20,94.14,94.14,93.07,93.91,16351,0.7906000000000001,20682
2021-09-06,ICICINV20,97.8,97.8,93.5,94.58,20901,0.7661,27282
2021-09-07,ICICINV20,95.29,95.29,93.51,94.01,19342,0.7119,27171
2021-09-08,ICICINV20,94.79,94.79,93.15,93.69,11948,0.7259000000000001,16459
2021-09-09,ICICINV20,94.39,94.74,93.1,93.78,24453,0.8411,29073
2021-09-13,ICICINV20,94.49,94.7,87.7,94.48,16633,0.7389,22512
2021-09-14,ICICINV20,95.19,95.19,94.0,95.04,15293,0.8540000000000001,17907
2021-09-15,ICICINV20,95.74,97.72,94.92,96.13,36124,0.8548,42259
2021-09-16,ICICINV20,96.89,96.99,95.51,96.46,16426,0.6840999999999999,24010
2021-09-17,ICICINV20,98.0,100.0,95.0,96.04,24715,0.7041,35104
2021-09-20,ICICINV20,90.2,100.0,90.2,95.47,12548,0.5524,22716
2021-09-21,ICICINV20,90.2,97.0,90.2,96.75,7895,0.619,12754
2021-09-22,ICICINV20,97.49,97.6,96.0,97.29,8126,0.6289,12921
2021-09-23,ICICINV20,98.0,98.5,95.0,97.77,17287,0.5529000000000001,31268
2021-09-24,ICICINV20,98.55,99.3,97.01,98.23,11214,0.6245,17957
2021-09-27,ICICINV20,99.09,99.28,96.73,97.16,18402,0.5786,31803
2021-09-28,ICICINV20,97.95,97.95,95.25,96.38,21936,0.573,38283
2021-09-29,ICICINV20,96.99,97.4,95.1,97.2,7090,0.5179,13690
2021-09-30,ICICINV20,97.95,98.1,96.5,96.71,16191,0.5989,27033
2021-10-01,ICICINV20,97.49,97.49,95.51,96.16,15121,0.8028000000000001,18836
2021-10-04,ICICINV20,96.99,97.29,95.31,96.97,16432,0.7587,21657
2021-10-05,ICICINV20,97.7,97.95,96.01,97.52,18224,0.8476,21501
2021-10-06,ICICINV20,98.25,98.35,96.2,96.61,16406,0.44189999999999996,37129
2021-10-07,ICICINV20,97.0,101.7,96.01,97.2,17006,0.3015,56402
2021-10-08,ICICINV20,98.0,98.35,97.25,98.06,18492,0.6459,28631
2021-10-11,ICICINV20,98.8,100.0,95.0,97.25,27566,0.603,45718
2021-10-12,ICICINV20,98.0,98.0,96.1,97.02,9595,0.6204,15465
2021-10-13,ICICINV20,97.79,98.2,96.41,98.02,9083,0.7175,12659
2021-10-14,ICICINV20,101.0,101.0,93.7,98.91,11190,0.5047,22173
2021-10-18,ICICINV20,101.3,101.3,98.41,100.15,20381,0.7304,27905
2021-10-19,ICICINV20,101.0,101.2,99.35,99.93,56376,0.8074,69826
2021-10-20,ICICINV20,100.75,100.75,98.05,98.43,14301,0.7991,17897
2021-10-21,ICICINV20,99.3,99.49,96.54,97.16,71248,0.8517,83655
2021-10-22,ICICINV20,98.0,98.0,95.54,96.07,19774,0.828,23883
2021-10-25,ICICINV20,96.85,96.85,94.41,95.49,85853,0.8009000000000001,107198
2021-10-26,ICICINV20,94.65,96.54,94.65,95.87,26786,0.46659999999999996,57406
2021-10-27,ICICINV20,98.0,98.0,95.01,95.72,27534,0.8436,32640
2021-10-28,ICICINV20,96.49,96.49,94.15,94.47,15075,0.8541,17651
2021-10-29,ICICINV20,95.25,95.25,92.05,92.71,55423,0.6345000000000001,87349
2021-11-01,ICICINV20,93.55,95.17,92.1,94.98,26891,0.8481000000000001,31706
2021-11-02,ICICINV20,95.79,95.79,94.41,94.78,13864,0.5575,24870
2021-11-03,ICICINV20,97.7,97.7,94.11,95.11,7757,0.5455,14220
2021-11-04,ICICINV20,97.0,98.0,95.0,95.77,14272,0.8456,16878
2021-11-08,ICICINV20,96.75,96.94,95.01,96.14,19252,0.7290000000000001,26409
2021-11-09,ICICINV20,96.99,96.99,95.51,96.41,11731,0.6413,18292
2021-11-10,ICICINV20,96.99,96.99,95.41,96.02,9314,0.8070999999999999,11540
2021-11-11,ICICINV20,96.79,96.79,94.85,95.16,15142,0.5958,25414
2021-11-12,ICICINV20,96.5,96.81,94.51,96.72,16165,0.7626000000000001,21197
2021-11-15,ICICINV20,97.69,98.77,96.01,97.1,17874,0.5826,30680
2021-11-16,ICICINV20,97.89,97.89,96.41,96.8,17232,0.44520000000000004,38708
2021-11-17,ICICINV20,97.49,97.49,96.01,96.6,7081,0.7375,9601
2021-11-18,ICICINV20,97.39,97.39,95.0,95.48,15679,0.7399,21192
2021-11-22,ICICINV20,96.0,98.0,93.51,94.11,22750,0.5023,45295
2021-11-23,ICICINV20,94.74,94.74,92.8,94.61,18460,0.6808,27114
2021-11-24,ICICINV20,95.39,95.39,93.5,93.95,8435,0.6787000000000001,12428
2021-11-25,ICICINV20,94.69,94.69,93.31,94.1,8149,0.47009999999999996,17336
2021-11-26,ICICINV20,94.39,94.39,91.96,92.25,41011,0.9045000000000001,45339
2021-11-29,ICICINV20,95.0,95.0,83.7,91.47,51274,0.5847,87689
2021-11-30,ICICINV20,92.29,92.98,90.81,92.4,26453,0.5468000000000001,48375
