Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,IDFC,50.7,51.65,50.25,51.0,1340450,0.392,3419169
2021-09-02,IDFC,51.0,51.7,50.5,51.15,819075,0.3457,2369485
2021-09-03,IDFC,51.3,52.1,50.25,51.6,2401455,0.5271,4556253
2021-09-06,IDFC,51.8,51.95,50.0,50.35,1780628,0.49369999999999997,3606569
2021-09-07,IDFC,50.65,51.45,49.65,51.15,1885709,0.485,3887710
2021-09-08,IDFC,51.5,53.15,50.5,52.5,3229735,0.4997,6463701
2021-09-09,IDFC,52.3,55.5,52.25,54.75,12858251,0.5872999999999999,21893698
2021-09-13,IDFC,54.8,57.8,53.9,56.6,12020335,0.4878,24641876
2021-09-14,IDFC,56.7,57.1,53.15,54.85,13385763,0.5369,24932674
2021-09-15,IDFC,54.4,55.35,53.6,54.0,8242890,0.563,14641156
2021-09-16,IDFC,54.9,58.4,54.65,57.8,10325589,0.5324,19395434
2021-09-17,IDFC,58.5,61.0,55.75,56.45,8034310,0.3437,23377340
2021-09-20,IDFC,56.0,57.2,53.8,54.5,3560039,0.4878,7297902
2021-09-21,IDFC,55.0,55.2,53.0,54.5,3309424,0.4181,7915331
2021-09-22,IDFC,55.0,57.9,54.25,55.65,3869021,0.3557,10877390
2021-09-23,IDFC,56.0,56.4,54.7,55.35,2886514,0.5313,5432864
2021-09-24,IDFC,55.6,56.15,54.55,55.8,6366677,0.6237,10207992
2021-09-27,IDFC,56.3,56.4,54.05,54.45,2005184,0.4915,4079930
2021-09-28,IDFC,54.55,55.8,53.85,54.55,2090819,0.5411,3863997
2021-09-29,IDFC,53.75,55.5,53.75,54.7,2139391,0.4907,4360065
2021-09-30,IDFC,55.2,55.5,54.7,54.95,2581074,0.5695,4532361
2021-10-01,IDFC,54.45,55.0,52.5,53.45,3588448,0.5696,6299393
2021-10-04,IDFC,54.0,54.4,53.35,53.6,2012004,0.5305,3792400
2021-10-05,IDFC,53.6,54.15,52.9,53.35,2613364,0.5053,5172268
2021-10-06,IDFC,53.8,54.1,51.8,52.25,2414924,0.6033,4003008
2021-10-07,IDFC,52.85,53.95,52.3,53.1,4289238,0.6406999999999999,6694749
2021-10-08,IDFC,53.45,53.45,52.6,52.95,3718134,0.7392000000000001,5030094
2021-10-11,IDFC,53.25,54.65,52.7,52.95,2193916,0.512,4284696
2021-10-12,IDFC,53.15,53.8,52.65,53.2,2785454,0.4953,5623753
2021-10-13,IDFC,53.65,54.15,53.0,53.4,3309126,0.5705,5800860
2021-10-14,IDFC,53.65,55.2,53.3,54.2,3755695,0.4023,9334825
2021-10-18,IDFC,55.2,55.95,54.55,54.85,3239913,0.4676,6928395
2021-10-19,IDFC,55.3,55.55,51.5,52.05,4516289,0.6002000000000001,7525022
2021-10-20,IDFC,52.1,52.75,50.55,52.0,2346248,0.39490000000000003,5940701
2021-10-21,IDFC,52.0,52.7,51.85,52.45,1844351,0.5342,3452742
2021-10-22,IDFC,53.5,55.0,52.8,54.2,4000939,0.41740000000000005,9584732
2021-10-25,IDFC,54.35,54.65,52.1,52.4,3165891,0.5707,5547248
2021-10-26,IDFC,54.15,57.0,54.0,56.6,10285308,0.41840000000000005,24585387
2021-10-27,IDFC,57.2,60.25,56.35,58.55,7711329,0.42619999999999997,18093360
2021-10-28,IDFC,58.0,58.2,55.2,55.75,4665811,0.5143,9071469
2021-10-29,IDFC,55.7,55.95,53.5,55.1,4806106,0.4562,10535251
2021-11-01,IDFC,55.7,57.2,55.15,56.8,2573051,0.4197,6131306
2021-11-02,IDFC,57.0,58.8,56.35,58.05,2721524,0.4305,6321684
2021-11-03,IDFC,58.0,58.45,55.0,55.55,2265967,0.40750000000000003,5561256
2021-11-04,IDFC,56.3,57.0,56.1,56.7,627378,0.6087,1030733
2021-11-08,IDFC,57.0,57.9,55.8,57.3,1439291,0.4266,3373643
2021-11-09,IDFC,57.55,59.8,57.0,58.95,4082584,0.3918,10418802
2021-11-10,IDFC,58.2,59.8,57.8,59.05,3781413,0.4642,8145942
2021-11-11,IDFC,59.45,59.45,56.8,57.25,6306719,0.6884,9160785
2021-11-12,IDFC,57.9,64.4,57.35,62.9,15755104,0.341,46196447
2021-11-15,IDFC,62.9,63.45,60.1,60.55,5781947,0.33880000000000005,17067670
2021-11-16,IDFC,60.85,61.85,59.8,60.95,4156809,0.37170000000000003,11183498
2021-11-17,IDFC,60.75,62.95,60.1,61.9,3809089,0.3539,10764425
2021-11-18,IDFC,62.0,62.25,58.3,59.5,4469879,0.3711,12043676
2021-11-22,IDFC,59.5,60.1,55.2,56.2,3651000,0.4205,8682289
2021-11-23,IDFC,56.0,57.1,55.2,55.6,3663392,0.4451,8230092
2021-11-24,IDFC,55.7,59.2,55.7,57.1,3592395,0.3561,10087170
2021-11-25,IDFC,57.3,58.65,56.0,57.95,2114881,0.3785,5586834
2021-11-26,IDFC,57.0,57.7,53.3,54.25,4759198,0.4484,10613000
2021-11-29,IDFC,55.25,55.45,51.55,52.15,4469997,0.45770000000000005,9765511
2021-11-30,IDFC,52.15,53.65,49.75,50.2,5268274,0.5043,10446565
2021-12-01,IDFC,51.0,52.5,48.95,52.1,4180911,0.32130000000000003,13010989
2021-12-02,IDFC,52.3,52.6,51.3,51.85,2507151,0.44229999999999997,5667938
2021-12-03,IDFC,52.5,52.6,51.25,51.5,4389109,0.5125,8563421
2021-12-06,IDFC,51.75,52.15,50.1,50.2,2693395,0.41759999999999997,6450131
2021-12-07,IDFC,51.2,51.85,50.35,51.45,2115070,0.3265,6477358
2021-12-08,IDFC,52.3,53.0,51.6,52.55,2003626,0.43820000000000003,4572883
2021-12-09,IDFC,53.0,53.35,52.0,52.3,3142000,0.5129,6126136
2021-12-10,IDFC,52.5,54.7,52.05,53.95,4897146,0.4179,11717587
2021-12-13,IDFC,54.3,54.8,53.3,53.85,1707132,0.4316,3955290
2021-12-14,IDFC,53.05,54.8,52.5,53.95,2715089,0.39490000000000003,6875546
2021-12-15,IDFC,54.0,54.45,53.45,53.7,2166506,0.5125,4227423
2021-12-16,IDFC,54.0,54.5,50.8,51.8,2500874,0.5021,4980793
2021-12-17,IDFC,51.7,52.5,49.4,49.9,3707599,0.5645,6567786
2021-12-20,IDFC,49.4,49.5,46.65,47.15,5033915,0.5431,9268515
2021-12-21,IDFC,47.6,49.4,47.25,49.0,3181787,0.4903,6489596
2021-12-22,IDFC,49.1,53.6,49.05,52.9,4534717,0.32299999999999995,14040251
2021-12-23,IDFC,52.85,53.25,52.0,52.65,2920581,0.4536,6439353
2021-12-24,IDFC,53.0,53.05,50.55,52.0,2407342,0.42960000000000004,5603318
2021-12-27,IDFC,50.15,51.95,48.7,51.35,1304047,0.2111,6176112
2021-12-28,IDFC,51.5,57.7,51.5,56.65,11346246,0.3435,33030242
2021-12-29,IDFC,56.1,59.3,54.8,57.5,6841103,0.2874,23801111
2021-12-30,IDFC,56.9,57.0,55.15,55.7,2988716,0.307,9735604
2021-12-31,IDFC,58.0,63.8,58.0,63.0,43324986,0.3505,123616913
2022-01-03,IDFC,63.0,65.2,61.65,63.85,9661672,0.3052,31659509
2022-01-04,IDFC,63.35,64.0,62.0,62.4,6192643,0.4241,14603076
2022-01-05,IDFC,62.1,62.95,61.0,61.75,4718532,0.4179,11292000
2022-01-06,IDFC,61.0,61.55,60.2,60.65,5681217,0.4482,12674992
2022-01-07,IDFC,61.0,62.1,59.85,60.95,3698836,0.40909999999999996,9040562
