Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,IEX,507.0,573.7,496.75,560.3,2983553,0.08869999999999999,33652619
2021-09-02,IEX,563.25,587.3,552.75,566.6,2576804,0.10160000000000001,25361342
2021-09-03,IEX,564.0,564.0,536.85,539.25,3162630,0.2879,10984126
2021-09-06,IEX,541.75,570.6,541.0,561.15,1701346,0.13240000000000002,12853691
2021-09-07,IEX,564.1,584.6,555.05,571.0,1808598,0.1236,14634135
2021-09-08,IEX,570.5,595.5,565.1,591.0,1728622,0.1363,12678838
2021-09-09,IEX,592.8,613.8,592.0,598.85,2610761,0.14,18650163
2021-09-13,IEX,603.0,605.0,591.15,592.75,1707307,0.2472,6906453
2021-09-14,IEX,596.9,597.0,583.5,586.3,1184195,0.2582,4587084
2021-09-15,IEX,589.35,612.0,589.0,599.2,3680973,0.3323,11076524
2021-09-16,IEX,602.0,619.2,599.2,609.15,1509628,0.1779,8486098
2021-09-17,IEX,613.95,613.95,587.0,598.75,1055774,0.2227,4740057
2021-09-20,IEX,587.85,606.6,575.7,582.5,1177930,0.2407,4894296
2021-09-21,IEX,583.4,593.35,566.85,583.75,778050,0.16030000000000003,4853370
2021-09-22,IEX,586.9,604.8,586.0,600.65,889717,0.21960000000000002,4052288
2021-09-23,IEX,605.9,610.9,598.4,601.2,731579,0.2781,2630674
2021-09-24,IEX,603.0,615.0,588.7,591.35,802207,0.1936,4144206
2021-09-27,IEX,595.0,597.4,581.2,589.0,753033,0.26,2896378
2021-09-28,IEX,591.8,605.0,586.25,596.35,805678,0.1837,4386310
2021-09-29,IEX,593.5,643.8,590.0,637.25,2549049,0.11660000000000001,21858322
2021-09-30,IEX,645.0,666.95,640.0,645.95,2224856,0.1162,19140117
2021-10-01,IEX,644.0,650.75,618.0,620.35,2519530,0.303,8316302
2021-10-04,IEX,625.2,638.0,621.0,632.45,1169057,0.2459,4754684
2021-10-05,IEX,631.3,645.0,630.0,632.55,1383618,0.2969,4660997
2021-10-06,IEX,635.75,642.0,624.0,627.55,845123,0.2398,3524988
2021-10-07,IEX,633.0,650.5,626.0,640.3,1238892,0.2138,5794510
2021-10-08,IEX,645.15,704.3,637.2,695.9,3193808,0.1326,24077077
2021-10-11,IEX,720.0,798.7,712.0,780.9,5083942,0.1244,40851795
2021-10-12,IEX,786.4,809.3,762.15,790.55,3673744,0.1472,24960121
2021-10-13,IEX,788.55,819.0,783.0,793.7,2368469,0.17129999999999998,13829480
2021-10-14,IEX,800.0,802.0,784.15,793.1,1746317,0.2618,6671011
2021-10-18,IEX,797.8,808.2,791.2,796.9,2680924,0.3536,7581659
2021-10-19,IEX,876.55,956.0,786.8,845.35,11664454,0.17850000000000002,65364603
2021-10-20,IEX,844.0,844.0,756.55,789.45,5964420,0.1643,36297977
2021-10-21,IEX,798.4,812.2,742.55,757.95,3577483,0.19460000000000002,18379679
2021-10-22,IEX,833.7,833.7,760.0,764.6,6554209,0.19829999999999998,33058060
2021-10-25,IEX,774.0,774.0,690.55,699.0,4592797,0.27530000000000004,16682416
2021-10-26,IEX,700.0,750.45,700.0,732.0,3026030,0.1988,15221211
2021-10-27,IEX,740.0,747.0,730.0,737.0,1292648,0.2077,6222966
2021-10-28,IEX,735.0,749.7,705.6,710.4,2852816,0.24600000000000002,11596480
2021-10-29,IEX,674.85,725.0,641.2,708.3,1322819,0.107,12365834
2021-11-01,IEX,710.5,737.95,705.0,734.05,1403109,0.1765,7950455
2021-11-02,IEX,737.0,758.8,730.0,744.95,1251557,0.1426,8778556
2021-11-03,IEX,741.5,752.6,724.2,728.1,1139112,0.2346,4856348
2021-11-04,IEX,737.65,740.2,734.15,737.2,544882,0.483,1128006
2021-11-08,IEX,740.0,785.8,730.6,780.35,2871935,0.2663,10784767
2021-11-09,IEX,780.35,794.9,772.15,782.1,1543126,0.1815,8501913
2021-11-10,IEX,778.95,798.2,768.05,779.8,1616602,0.2429,6656616
2021-11-11,IEX,779.4,794.0,770.9,788.8,1946182,0.38680000000000003,5031294
2021-11-12,IEX,792.3,807.0,786.1,793.1,1388473,0.19399999999999998,7158010
2021-11-15,IEX,795.6,822.85,793.5,812.7,2244201,0.225,9976093
2021-11-16,IEX,817.65,822.3,805.0,809.4,1347359,0.2977,4525182
2021-11-17,IEX,819.9,827.0,812.3,816.55,2507602,0.3638,6893329
