Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,IGARASHI,509.9,513.95,501.5,504.2,11753,0.297,39577
2021-09-02,IGARASHI,504.2,521.0,504.2,511.0,35368,0.4597,76939
2021-09-03,IGARASHI,512.5,517.85,503.0,505.9,18779,0.38200000000000006,49159
2021-09-06,IGARASHI,508.7,522.9,506.1,507.3,20364,0.3442,59156
2021-09-07,IGARASHI,510.85,518.2,502.75,505.3,19636,0.3608,54417
2021-09-08,IGARASHI,508.4,518.0,505.2,506.75,15635,0.2986,52354
2021-09-09,IGARASHI,505.5,513.5,505.0,506.55,13971,0.4094,34125
2021-09-13,IGARASHI,507.1,516.0,507.1,511.2,23399,0.4294,54488
2021-09-14,IGARASHI,514.0,549.9,513.2,542.6,195925,0.47500000000000003,412482
2021-09-15,IGARASHI,546.9,554.8,525.0,529.15,63434,0.37670000000000003,168379
2021-09-16,IGARASHI,531.8,548.0,525.25,529.05,53470,0.3536,151200
2021-09-17,IGARASHI,532.8,532.8,506.75,512.05,44571,0.499,89327
2021-09-20,IGARASHI,508.0,529.0,505.0,522.35,50454,0.3275,154070
2021-09-21,IGARASHI,525.0,525.2,511.9,513.65,33297,0.5345000000000001,62291
2021-09-22,IGARASHI,515.15,523.0,510.1,513.45,18101,0.47590000000000005,38035
2021-09-23,IGARASHI,514.8,524.65,514.65,516.0,14385,0.3859,37276
2021-09-24,IGARASHI,518.0,534.8,510.15,522.7,47686,0.3948,120797
2021-09-27,IGARASHI,525.4,565.0,516.0,552.55,178309,0.2329,765524
2021-09-28,IGARASHI,555.0,556.7,533.25,536.85,52465,0.4337,120972
2021-09-29,IGARASHI,531.8,536.6,520.0,521.4,44026,0.4808,91570
2021-09-30,IGARASHI,524.45,531.7,514.05,521.25,30745,0.36869999999999997,83388
2021-10-01,IGARASHI,518.0,523.0,511.05,514.6,21478,0.3604,59590
2021-10-04,IGARASHI,518.4,526.9,514.55,517.15,31136,0.4905,63481
2021-10-05,IGARASHI,518.0,527.5,515.25,518.55,35298,0.3613,97699
2021-10-06,IGARASHI,519.95,534.9,518.5,519.65,45916,0.47000000000000003,97693
2021-10-07,IGARASHI,524.8,534.9,520.1,523.25,120036,0.7236,165893
2021-10-08,IGARASHI,524.9,538.95,521.1,526.9,31876,0.3226,98822
2021-10-11,IGARASHI,529.25,536.5,525.0,529.55,122725,0.7934000000000001,154689
2021-10-12,IGARASHI,528.0,539.7,528.0,533.65,33646,0.46520000000000006,72327
2021-10-13,IGARASHI,535.5,590.0,535.05,582.6,348350,0.4368,797433
2021-10-14,IGARASHI,587.2,613.95,563.9,580.75,233096,0.3232,721202
2021-10-18,IGARASHI,585.3,596.05,568.75,574.7,67026,0.32880000000000004,203830
2021-10-19,IGARASHI,574.7,601.4,569.0,579.1,101911,0.40640000000000004,250745
2021-10-20,IGARASHI,579.95,589.0,555.05,582.15,78537,0.5294,148358
2021-10-21,IGARASHI,585.0,585.0,572.85,575.4,28831,0.5746,50176
2021-10-22,IGARASHI,578.3,594.8,545.0,556.05,30628,0.3908,78376
2021-10-25,IGARASHI,558.85,570.0,531.35,534.6,35284,0.406,86911
2021-10-26,IGARASHI,538.3,552.6,538.3,540.1,30341,0.4265,71143
2021-10-27,IGARASHI,542.0,555.1,520.0,521.75,38647,0.3473,111290
2021-10-28,IGARASHI,523.75,526.75,511.05,514.0,37264,0.4266,87345
2021-10-29,IGARASHI,516.6,525.0,505.4,512.65,19462,0.3029,64257
2021-11-01,IGARASHI,516.95,534.5,515.8,525.6,16200,0.4104,39478
2021-11-02,IGARASHI,527.9,546.95,527.45,540.7,44086,0.2636,167216
2021-11-03,IGARASHI,545.0,550.5,524.9,528.65,17794,0.2724,65324
2021-11-04,IGARASHI,531.0,540.15,530.25,536.35,6314,0.6401000000000001,9864
2021-11-08,IGARASHI,537.8,554.0,535.7,548.75,36659,0.5326,68831
2021-11-09,IGARASHI,549.0,566.0,546.9,554.65,22648,0.1573,143974
2021-11-10,IGARASHI,551.0,554.05,518.0,523.75,59293,0.39740000000000003,149202
2021-11-11,IGARASHI,523.0,524.7,514.75,520.6,23994,0.4782,50179
2021-11-12,IGARASHI,523.5,525.5,509.0,510.05,31962,0.596,53626
2021-11-15,IGARASHI,512.0,516.85,501.0,506.15,21324,0.3507,60809
2021-11-16,IGARASHI,508.5,532.0,506.2,516.75,31656,0.17440000000000003,181523
2021-11-17,IGARASHI,516.75,526.7,501.5,502.7,31029,0.2961,104790
2021-11-18,IGARASHI,501.0,511.2,481.7,485.25,24975,0.2535,98539
2021-11-22,IGARASHI,475.9,487.65,466.95,471.2,22343,0.2831,78927
2021-11-23,IGARASHI,470.0,483.5,464.65,477.15,12603,0.3148,40040
2021-11-24,IGARASHI,480.85,517.0,478.25,510.15,69040,0.2225,310228
2021-11-25,IGARASHI,510.3,511.5,495.05,502.5,29853,0.38680000000000003,77171
2021-11-26,IGARASHI,495.0,499.0,469.0,474.45,25774,0.5626,45810
2021-11-29,IGARASHI,485.0,494.75,460.0,473.5,33697,0.395,85311
2021-11-30,IGARASHI,476.3,511.95,476.3,495.45,91002,0.34590000000000004,263092
2021-12-01,IGARASHI,497.95,514.6,497.0,504.65,31518,0.36090000000000005,87340
2021-12-02,IGARASHI,504.65,519.0,502.85,506.0,18674,0.375,49800
2021-12-03,IGARASHI,508.0,527.0,507.0,518.65,71314,0.4054,175899
2021-12-06,IGARASHI,510.5,522.55,489.9,493.7,25656,0.534,48041
2021-12-07,IGARASHI,496.9,525.0,495.0,518.05,35866,0.36119999999999997,99299
2021-12-08,IGARASHI,522.3,544.45,514.8,531.9,40843,0.39390000000000003,103699
2021-12-09,IGARASHI,532.0,533.3,521.2,524.15,8674,0.4436,19555
2021-12-10,IGARASHI,525.0,548.5,521.65,529.7,13248,0.2497,53065
2021-12-13,IGARASHI,530.2,539.9,520.15,522.85,7110,0.3322,21401
2021-12-14,IGARASHI,525.5,534.85,520.0,522.65,11783,0.2691,43779
2021-12-15,IGARASHI,523.2,543.05,522.0,524.35,25067,0.2697,92938
2021-12-16,IGARASHI,528.0,532.0,516.75,517.6,14083,0.4573,30798
2021-12-17,IGARASHI,520.2,521.15,495.1,496.95,21492,0.2053,104662
2021-12-20,IGARASHI,487.55,494.0,471.0,487.2,35035,0.282,124242
2021-12-21,IGARASHI,486.0,494.45,481.25,484.25,116405,0.6135,189750
2021-12-22,IGARASHI,486.7,502.85,482.0,483.55,17402,0.2194,79310
2021-12-23,IGARASHI,487.0,497.75,484.0,487.05,16980,0.4314,39363
2021-12-24,IGARASHI,488.9,489.9,478.45,482.55,12484,0.4974,25098
2021-12-27,IGARASHI,480.0,482.3,476.5,478.7,11298,0.5056,22345
2021-12-28,IGARASHI,480.95,495.5,480.95,483.25,12980,0.24910000000000002,52110
2021-12-29,IGARASHI,485.5,490.95,476.8,480.2,39184,0.6388,61343
2021-12-30,IGARASHI,482.5,490.55,481.55,484.95,10860,0.3422,31736
2021-12-31,IGARASHI,486.0,489.95,481.0,483.0,8776,0.3771,23271
2022-01-03,IGARASHI,485.05,504.85,485.05,501.5,33980,0.2477,137201
2022-01-04,IGARASHI,503.95,505.75,492.8,494.55,14379,0.3787,37969
2022-01-05,IGARASHI,496.9,499.3,493.35,496.2,7686,0.413,18611
2022-01-06,IGARASHI,494.55,534.6,487.0,524.35,50218,0.25120000000000003,199873
2022-01-07,IGARASHI,535.0,535.0,515.5,521.15,34965,0.391,89430
2022-01-10,IGARASHI,523.8,529.3,520.1,523.4,11327,0.46140000000000003,24551
2022-01-11,IGARASHI,523.5,525.9,512.65,514.95,14477,0.5158,28068
2022-01-12,IGARASHI,532.45,542.85,521.4,526.15,51636,0.39299999999999996,131386
2022-01-13,IGARASHI,535.0,536.0,519.0,530.8,27115,0.4907,55262
2022-01-14,IGARASHI,531.0,540.75,512.0,513.95,84513,0.5128,164815
2022-01-17,IGARASHI,521.7,521.7,492.0,492.85,108404,0.5315,203946
