Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-13,IIFL,300.0,309.4,298.7,309.4,369433,0.4705,785234
2021-09-14,IIFL,317.0,322.85,304.95,309.2,298804,0.5531,540266
2021-09-15,IIFL,310.0,322.2,303.1,309.7,261360,0.5516,473853
2021-09-16,IIFL,311.9,318.25,294.25,295.2,9307372,0.4853,19179899
2021-09-17,IIFL,298.0,300.5,280.45,280.5,2017626,0.5038,4004440
2021-09-20,IIFL,271.0,284.3,266.5,268.1,776153,0.5874,1321336
2021-09-21,IIFL,266.0,275.0,260.2,273.7,323459,0.4583,705736
2021-09-22,IIFL,274.0,284.5,271.3,277.35,347709,0.601,578507
2021-09-23,IIFL,281.25,286.3,269.0,272.1,505029,0.5884,858276
2021-09-24,IIFL,274.8,280.0,266.65,277.6,344428,0.5357000000000001,642960
2021-09-27,IIFL,279.9,280.45,270.0,275.55,233456,0.629,371129
2021-09-28,IIFL,272.75,279.4,264.5,270.65,397593,0.6443000000000001,617110
2021-09-29,IIFL,269.65,279.0,265.65,277.0,187628,0.6277,298923
2021-09-30,IIFL,277.0,288.5,275.85,287.0,440863,0.6402,688687
2021-10-01,IIFL,284.0,288.9,281.1,287.0,228705,0.5516,414587
2021-10-04,IIFL,289.3,291.0,281.5,288.0,275811,0.6773,407228
2021-10-05,IIFL,287.45,289.0,284.65,287.6,199637,0.7747,257690
2021-10-06,IIFL,289.3,297.0,286.0,292.55,981705,0.7494,1309941
2021-10-07,IIFL,294.0,294.0,285.0,289.95,126180,0.6156,204955
2021-10-08,IIFL,288.75,294.4,285.6,291.8,280007,0.7373999999999999,379720
2021-10-11,IIFL,295.0,306.35,294.55,306.35,807915,0.6334000000000001,1275566
2021-10-25,IIFL,304.35,304.35,284.0,290.9,334840,0.8073,414772
2021-10-26,IIFL,290.95,305.4,290.0,305.4,316041,0.6967,453600
2021-10-27,IIFL,308.4,320.65,302.0,320.65,935309,0.5517000000000001,1695203
2021-10-28,IIFL,319.85,329.0,308.85,316.65,637802,0.5939,1073950
2021-10-29,IIFL,317.4,325.9,303.25,323.9,281985,0.5753,490165
2021-11-01,IIFL,335.0,340.05,332.95,340.05,173490,0.8306,208885
2021-11-02,IIFL,356.9,357.05,351.05,357.05,235227,0.6305,373102
2021-11-03,IIFL,374.9,374.9,339.2,340.0,564849,0.4293,1315747
2021-11-04,IIFL,350.0,357.0,345.1,357.0,339711,0.8748,388350
2021-11-08,IIFL,360.0,361.0,341.15,345.6,431463,0.6659,647966
2021-11-09,IIFL,350.0,358.8,335.55,351.05,657768,0.6498,1012233
2021-11-10,IIFL,352.45,356.6,342.0,343.8,281115,0.5911,475588
2021-11-11,IIFL,349.0,352.9,336.2,338.95,347910,0.6325000000000001,550095
2021-11-12,IIFL,336.1,352.9,336.1,347.8,428066,0.6965000000000001,614595
2021-11-15,IIFL,350.0,354.0,337.15,339.8,301942,0.7222,418111
2021-11-16,IIFL,340.0,347.65,333.0,335.6,256517,0.6474,396223
2021-11-17,IIFL,338.75,343.15,330.0,332.0,283652,0.7041,402842
2021-11-18,IIFL,334.9,337.0,316.75,326.05,372277,0.6626000000000001,561885
2021-11-22,IIFL,327.0,330.0,310.3,314.2,517540,0.599,864059
2021-11-23,IIFL,315.0,326.95,314.2,325.85,365698,0.74,494185
2021-11-24,IIFL,329.8,329.9,320.0,321.65,156950,0.7613,206171
2021-11-25,IIFL,322.4,337.7,317.15,325.55,524365,0.5681,923075
2021-11-26,IIFL,320.0,321.4,309.3,309.8,339722,0.7381000000000001,460288
2021-11-29,IIFL,295.3,299.7,294.35,294.8,516185,0.6192000000000001,833566
2021-11-30,IIFL,288.1,309.5,285.5,309.5,346964,0.6864,505517
2021-12-01,IIFL,304.0,322.35,302.0,316.5,1194431,0.5146000000000001,2321015
2021-12-02,IIFL,319.5,319.9,311.4,317.8,292225,0.5799000000000001,503966
2021-12-03,IIFL,320.9,333.65,315.1,326.5,427923,0.5101,838857
2021-12-06,IIFL,328.4,337.35,318.7,321.25,328218,0.6353,516630
2021-12-07,IIFL,327.8,331.7,318.1,324.6,169538,0.5659000000000001,299588
2021-12-08,IIFL,319.0,327.4,308.4,308.4,6008804,0.5640999999999999,10651769
2021-12-09,IIFL,305.0,321.95,299.55,309.35,12340581,0.6274000000000001,19668135
2021-12-10,IIFL,310.7,314.5,306.1,309.25,700076,0.5015999999999999,1395642
2021-12-13,IIFL,310.4,314.5,303.1,305.8,699004,0.652,1072023
2021-12-14,IIFL,305.0,313.7,303.9,312.3,669258,0.6034,1109193
2021-12-15,IIFL,312.7,314.95,305.0,307.35,404294,0.5246999999999999,770583
2021-12-16,IIFL,309.95,311.05,292.0,299.3,1033099,0.6313000000000001,1636426
2021-12-17,IIFL,300.0,300.0,284.35,284.35,568653,0.58,980515
2021-12-20,IIFL,275.15,278.0,270.15,270.15,414958,0.5770000000000001,719174
2021-12-21,IIFL,273.0,278.95,267.25,271.4,420689,0.5588000000000001,752875
2021-12-22,IIFL,274.0,284.95,272.8,281.9,604827,0.639,946529
2021-12-23,IIFL,284.25,287.35,280.55,284.6,207426,0.7171,289258
2021-12-24,IIFL,286.4,286.4,270.4,271.45,403549,0.728,554307
2021-12-27,IIFL,272.0,276.85,266.05,273.15,204656,0.5301,386070
2021-12-28,IIFL,274.0,278.6,272.0,273.65,122654,0.5739,213704
2021-12-29,IIFL,277.7,287.3,273.7,286.9,469297,0.6085,771200
2021-12-30,IIFL,285.85,289.3,275.55,279.85,175937,0.5525,318434
