Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-11-04,IMFA,773.0,800.05,773.0,791.5,7482,0.8832,8471
2021-11-08,IMFA,795.0,795.0,770.05,774.55,10796,0.7140000000000001,15120
2021-11-09,IMFA,772.2,790.0,770.0,776.55,11564,0.7454000000000001,15513
2021-11-10,IMFA,772.2,784.85,765.0,771.05,17135,0.7219,23736
2021-11-11,IMFA,768.05,777.35,736.0,742.0,20528,0.7698,26668
2021-11-12,IMFA,742.0,771.0,733.0,738.15,11826,0.7059000000000001,16752
2021-11-15,IMFA,740.0,740.0,701.25,701.35,44744,0.9247,48389
2021-11-16,IMFA,705.0,724.85,685.0,700.45,33851,0.7169,47217
2021-11-17,IMFA,698.95,706.25,682.5,702.0,29846,0.8240999999999999,36217
2021-11-18,IMFA,686.05,706.0,685.0,700.15,22892,0.8104000000000001,28247
2021-11-22,IMFA,700.15,705.0,671.0,683.95,29738,0.7372,40340
2021-11-23,IMFA,683.95,718.1,676.15,718.1,11801,0.5545,21284
2021-11-24,IMFA,754.0,754.0,754.0,754.0,5134,1.0,5134
2021-11-25,IMFA,791.7,791.7,756.0,787.15,124736,0.6275000000000001,198785
2021-11-26,IMFA,786.3,823.7,765.0,782.1,97843,0.4621,211727
2021-11-29,IMFA,800.0,815.0,757.5,760.4,54137,0.6189,87469
2021-11-30,IMFA,777.95,780.0,731.7,749.1,16648,0.5759000000000001,28907
2021-12-01,IMFA,773.0,773.0,741.1,743.9,16309,0.65,25091
2021-12-02,IMFA,753.9,760.0,725.0,752.8,8914,0.6423000000000001,13879
2021-12-03,IMFA,756.0,763.9,748.0,755.75,14911,0.7591,19642
2021-12-06,IMFA,761.0,771.0,740.8,750.65,16069,0.6536,24585
2021-12-07,IMFA,755.05,764.95,750.0,758.2,9123,0.5947,15340
2021-12-08,IMFA,768.9,778.8,755.0,768.25,16935,0.6349,26672
2021-12-09,IMFA,777.0,785.0,765.1,776.05,18850,0.6362,29631
2021-12-10,IMFA,784.7,807.45,771.7,793.3,29958,0.6385000000000001,46923
2021-12-13,IMFA,804.0,827.15,800.0,815.0,32835,0.6264000000000001,52421
2021-12-14,IMFA,811.05,896.5,798.8,895.8,115369,0.5338,216138
2021-12-15,IMFA,901.0,928.85,843.1,852.15,65412,0.5356000000000001,122131
2021-12-16,IMFA,846.0,859.85,805.3,828.8,43776,0.5920000000000001,73947
2021-12-17,IMFA,839.0,859.0,809.8,839.0,31175,0.5238,59513
2021-12-20,IMFA,840.0,845.0,794.9,809.5,24725,0.5748,43013
2021-12-21,IMFA,834.5,877.8,823.0,863.75,50193,0.5590999999999999,89770
2021-12-22,IMFA,868.8,886.6,864.9,874.45,24379,0.5321,45817
2021-12-23,IMFA,884.7,900.0,879.0,882.9,36244,0.5819,62283
2021-12-24,IMFA,900.0,908.2,875.05,893.05,26075,0.46049999999999996,56624
2021-12-27,IMFA,897.9,918.0,887.45,913.75,50018,0.7151000000000001,69946
2021-12-28,IMFA,919.95,966.0,919.95,948.5,71100,0.5297,134231
2021-12-29,IMFA,954.8,975.0,941.5,944.0,32141,0.5402,59493
2021-12-30,IMFA,949.7,953.95,914.0,922.75,34398,0.5914,58165
2021-12-31,IMFA,933.0,934.8,901.95,909.7,27807,0.5749000000000001,48366
2022-01-03,IMFA,928.0,932.9,881.5,888.35,74497,0.7322,101743
2022-01-04,IMFA,894.9,897.85,850.0,856.7,82295,0.7241,113658
2022-01-05,IMFA,856.5,883.0,846.8,876.3,51096,0.6593000000000001,77501
2022-01-06,IMFA,881.7,903.0,867.95,884.5,203929,0.7155,285023
2022-01-07,IMFA,445.0,445.0,422.2,427.45,133843,0.6617000000000001,202285
2022-01-10,IMFA,429.9,435.85,415.15,424.55,116754,0.7388,158032
2022-01-11,IMFA,424.0,424.0,415.0,415.65,33829,0.6106,55402
2022-01-12,IMFA,412.0,427.4,412.0,417.2,28081,0.6720999999999999,41779
2022-01-13,IMFA,420.35,430.0,416.3,426.15,35901,0.6506000000000001,55181
2022-01-14,IMFA,427.9,428.35,419.9,425.45,26069,0.6937000000000001,37577
2022-01-17,IMFA,430.0,430.15,418.5,419.5,28105,0.6225,45145
2022-01-18,IMFA,418.0,425.0,415.0,418.4,38169,0.6432,59346
2022-01-19,IMFA,418.0,418.3,410.0,414.2,30289,0.6483,46720
2022-01-20,IMFA,412.0,421.95,409.1,420.45,72785,0.7091,102643
2022-01-21,IMFA,410.0,417.0,378.45,398.1,61195,0.5971000000000001,102495
2022-01-24,IMFA,412.0,412.0,370.0,376.25,19943,0.508,117060
2022-01-25,IMFA,375.0,389.4,365.0,386.8,24551,0.5189,47316
2022-01-27,IMFA,378.0,405.7,376.3,396.2,33811,0.5105,66234
2022-01-28,IMFA,390.0,394.9,356.6,360.05,283995,0.5696,498620
2022-01-31,IMFA,366.0,371.0,351.0,355.3,57082,0.5838,97785
2022-02-01,IMFA,356.0,368.35,346.0,364.6,62319,0.5049,123435
2022-02-02,IMFA,365.5,374.35,363.15,366.3,50424,0.5770000000000001,87393
2022-02-03,IMFA,369.0,378.5,364.55,372.1,37093,0.44880000000000003,82651
2022-02-04,IMFA,375.4,387.95,365.9,379.2,47710,0.5079,93929
2022-02-07,IMFA,378.4,384.85,366.2,369.2,36932,0.5399,68404
2022-02-08,IMFA,370.0,374.0,362.0,367.45,23885,0.4883,48913
2022-02-09,IMFA,369.7,374.65,358.9,360.1,27466,0.5338,51449
2022-02-10,IMFA,360.8,369.0,358.3,365.65,18096,0.4042,44775
2022-02-11,IMFA,365.0,366.7,355.0,357.0,24019,0.6047,39720
2022-02-14,IMFA,351.0,353.95,339.0,345.0,40079,0.5213,76879
2022-02-15,IMFA,345.0,354.0,335.0,350.85,23234,0.5024000000000001,46243
2022-02-16,IMFA,353.8,363.2,350.05,356.0,20039,0.4103,48835
2022-02-17,IMFA,359.0,362.0,346.0,349.7,22771,0.5396,42196
2022-02-18,IMFA,348.7,353.95,344.45,348.5,19834,0.4645,42703
2022-02-21,IMFA,341.0,346.6,332.1,335.5,34844,0.5868,59376
2022-02-22,IMFA,326.0,334.8,322.0,332.65,23806,0.3834,62086
2022-02-23,IMFA,334.05,344.1,334.05,340.4,24925,0.4786,52083
2022-02-24,IMFA,328.0,332.0,306.75,311.75,69611,0.6509,106952
2022-02-25,IMFA,319.0,348.0,317.0,335.7,83107,0.7365,112834
2022-02-28,IMFA,334.0,343.85,329.15,338.45,19915,0.4216,47232
2022-03-02,IMFA,344.0,371.55,338.6,362.25,93585,0.43710000000000004,214094
2022-03-03,IMFA,370.0,379.05,360.0,368.35,60327,0.49210000000000004,122585
2022-03-04,IMFA,362.05,373.05,355.0,357.5,42162,0.39390000000000003,107029
2022-03-07,IMFA,347.0,362.35,342.45,353.45,32794,0.3531,92886
2022-03-08,IMFA,350.0,397.0,349.9,389.75,122439,0.36100000000000004,339200
2022-03-09,IMFA,397.95,401.0,376.0,378.3,48538,0.31670000000000004,153260
2022-03-10,IMFA,382.0,397.8,378.0,380.1,44200,0.3472,127320
2022-03-11,IMFA,381.4,414.0,379.95,409.6,134214,0.396,338923
2022-03-14,IMFA,414.4,420.0,402.0,406.45,76411,0.43520000000000003,175594
2022-03-15,IMFA,407.4,417.7,398.0,403.55,75728,0.5413,139892
2022-03-16,IMFA,413.0,432.9,407.5,418.25,121046,0.5201,232714
2022-03-17,IMFA,421.0,427.9,411.3,413.45,32456,0.3907,83080
2022-03-21,IMFA,415.0,440.0,414.5,435.95,145706,0.5346000000000001,272539
2022-03-22,IMFA,444.0,449.0,437.0,439.3,114588,0.5674,201954
2022-03-23,IMFA,440.2,444.5,426.35,438.95,40713,0.3854,105651
2022-03-24,IMFA,437.95,440.55,429.05,433.5,22940,0.3611,63520
2022-03-25,IMFA,440.0,447.0,430.0,433.6,41125,0.34299999999999997,119903
2022-03-28,IMFA,437.65,445.0,425.0,427.45,20921,0.4019,52049
2022-03-29,IMFA,424.0,459.0,424.0,457.45,177364,0.483,367195
2022-03-30,IMFA,460.0,464.8,426.8,429.75,83621,0.5232,159813
2022-03-31,IMFA,434.5,446.5,408.6,414.5,72121,0.4963,145326
2022-04-01,IMFA,419.1,461.45,418.6,459.0,152091,0.5472,277959
2022-04-04,IMFA,464.1,464.85,450.1,451.5,62022,0.5058,122629
2022-04-05,IMFA,456.8,456.8,446.65,452.7,39332,0.47450000000000003,82899
2022-04-06,IMFA,455.0,460.0,437.1,442.85,56592,0.4916,115109
2022-04-07,IMFA,446.0,455.5,434.0,436.0,55060,0.44320000000000004,124241
2022-04-08,IMFA,439.9,477.0,436.7,464.65,160529,0.3211,499994
2022-04-11,IMFA,469.95,497.7,468.05,491.75,239361,0.4549,526222
2022-04-12,IMFA,504.0,513.0,472.0,480.7,220874,0.33140000000000003,666395
2022-04-13,IMFA,484.1,497.85,471.0,474.25,86746,0.38630000000000003,224552
2022-04-18,IMFA,474.25,476.7,458.3,461.25,51813,0.4781,108382
2022-04-19,IMFA,466.0,485.0,453.5,460.7,86199,0.39280000000000004,219464
2022-04-20,IMFA,464.0,472.3,442.9,448.35,68837,0.4792,143640
2022-04-21,IMFA,452.9,460.0,445.35,450.4,44367,0.383,115850
2022-04-22,IMFA,446.0,459.9,436.8,441.95,40439,0.4092,98834
2022-04-25,IMFA,439.0,439.0,406.0,408.45,133993,0.5636,237763
2022-04-26,IMFA,416.1,422.4,411.0,415.3,41412,0.5136000000000001,80628
2022-04-27,IMFA,415.0,415.0,400.25,410.35,39021,0.46549999999999997,83821
2022-04-28,IMFA,414.8,419.15,407.65,412.05,21904,0.4202,52125
2022-04-29,IMFA,416.1,425.0,405.5,409.05,48229,0.2856,168889
2022-05-02,IMFA,407.05,409.95,393.9,405.2,28297,0.3849,73527
2022-05-04,IMFA,406.0,413.35,398.05,405.35,31080,0.4568,68044
2022-05-05,IMFA,408.0,415.0,401.0,403.55,19433,0.4261,45605
2022-05-06,IMFA,392.2,399.75,386.1,389.4,36219,0.5882000000000001,61577
2022-05-09,IMFA,389.4,395.0,375.0,382.1,24233,0.4814,50341
2022-05-10,IMFA,376.0,386.45,355.0,359.9,31872,0.5445000000000001,58534
2022-05-11,IMFA,357.6,368.0,324.1,347.4,47550,0.3705,128337
2022-05-12,IMFA,344.0,350.45,325.55,332.75,32292,0.456,70811
2022-05-13,IMFA,336.15,349.55,335.0,336.35,13343,0.4061,32858
2022-05-16,IMFA,341.4,345.25,335.45,340.1,13457,0.4363,30846
2022-05-17,IMFA,344.8,365.0,343.85,363.05,30988,0.4426,70013
2022-05-18,IMFA,367.4,369.9,353.3,357.5,25534,0.4255,60009
2022-05-19,IMFA,350.0,352.0,336.45,343.15,39605,0.6157,64330
2022-05-20,IMFA,355.0,376.0,352.3,373.9,44208,0.4911,90017
2022-05-23,IMFA,376.0,379.0,338.45,341.75,68096,0.5309,128269
2022-05-24,IMFA,344.9,356.5,327.0,330.05,78831,0.2569,306883
2022-05-25,IMFA,335.05,340.0,297.75,303.75,127631,0.5925,215398
2022-05-26,IMFA,295.05,302.7,282.0,299.4,154263,0.483,319396
