Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,INDBANK,23.0,23.4,22.8,23.0,41147,0.7879,52226
2021-09-02,INDBANK,23.0,23.3,22.55,23.0,24934,0.6918000000000001,36040
2021-09-03,INDBANK,23.4,23.4,22.7,23.1,38972,0.6319,61670
2021-09-06,INDBANK,23.6,23.6,22.6,22.95,28590,0.8034,35585
2021-09-07,INDBANK,22.55,23.15,22.5,22.6,28956,0.7705,37580
2021-09-08,INDBANK,22.9,23.7,22.5,23.15,67219,0.4114,163390
2021-09-09,INDBANK,23.75,24.05,23.15,23.75,56133,0.4379,128186
2021-09-13,INDBANK,23.75,24.0,23.2,23.55,31299,0.6628000000000001,47225
2021-09-14,INDBANK,24.0,24.35,23.15,23.95,74331,0.5312,139939
2021-09-15,INDBANK,23.95,24.5,23.8,23.95,40317,0.6515000000000001,61879
2021-09-16,INDBANK,24.4,25.1,24.0,25.1,107171,0.7644,140209
2021-09-17,INDBANK,26.2,26.35,23.85,24.15,113456,0.6235,181956
2021-09-20,INDBANK,24.0,24.9,23.3,23.65,37275,0.5747,64861
2021-09-21,INDBANK,23.3,23.95,22.65,23.15,29828,0.5307000000000001,56200
2021-09-22,INDBANK,23.75,23.75,22.6,22.95,41673,0.5168,80642
2021-09-23,INDBANK,23.25,23.65,23.1,23.35,39874,0.6504000000000001,61306
2021-09-24,INDBANK,23.6,23.6,22.65,22.8,56537,0.757,74682
2021-09-27,INDBANK,22.8,23.2,22.7,22.75,29856,0.7686000000000001,38845
2021-09-28,INDBANK,23.1,23.85,22.7,23.05,74309,0.6858,108359
2021-09-29,INDBANK,23.05,23.7,22.75,23.25,60033,0.6114,98197
2021-09-30,INDBANK,23.45,24.0,23.15,23.35,52784,0.5017,105220
2021-10-01,INDBANK,23.1,23.5,22.95,23.1,22799,0.5981000000000001,38121
2021-10-04,INDBANK,23.15,23.8,22.65,23.2,44573,0.5439,81945
2021-10-05,INDBANK,23.8,23.8,22.9,23.3,34450,0.6056,56890
2021-10-06,INDBANK,23.6,23.8,23.1,23.25,38540,0.6419,60042
2021-10-07,INDBANK,23.6,24.4,23.4,24.35,130501,0.8873000000000001,147079
2021-10-08,INDBANK,25.25,25.55,24.6,25.3,111435,0.7154,155767
2021-10-11,INDBANK,25.5,26.55,25.5,26.55,140606,0.8669,162195
2021-10-12,INDBANK,27.5,27.8,25.4,26.9,201020,0.466,431380
2021-10-13,INDBANK,27.35,27.7,25.8,25.95,241163,0.7905,305075
2021-10-14,INDBANK,26.25,26.55,24.9,25.05,89347,0.6146,145374
2021-10-18,INDBANK,25.6,25.8,24.1,24.5,117427,0.6819,172199
2021-10-19,INDBANK,24.55,25.0,23.85,23.95,76548,0.7622,100427
2021-10-20,INDBANK,23.95,24.7,23.0,23.3,60471,0.6070000000000001,99617
2021-10-21,INDBANK,23.4,24.0,23.0,23.25,39222,0.469,83630
2021-10-22,INDBANK,23.95,23.95,23.1,23.25,45277,0.7942,57010
2021-10-25,INDBANK,23.9,23.9,22.8,22.85,38256,0.6718000000000001,56948
2021-10-26,INDBANK,22.7,23.4,22.7,23.0,29830,0.7201000000000001,41423
2021-10-27,INDBANK,23.35,23.55,23.0,23.1,47760,0.5942000000000001,80383
2021-10-28,INDBANK,23.1,23.4,22.6,22.6,43905,0.7297,60169
2021-10-29,INDBANK,22.8,23.5,22.4,22.7,32809,0.6031000000000001,54405
2021-11-01,INDBANK,23.1,23.25,22.6,22.75,21281,0.5744,37048
2021-11-02,INDBANK,23.05,23.6,22.75,23.15,39350,0.6023,65338
2021-11-03,INDBANK,23.4,23.5,22.85,22.9,21988,0.4914,44745
2021-11-04,INDBANK,23.35,23.75,23.2,23.5,16846,0.6413,26270
2021-11-08,INDBANK,23.8,23.95,23.1,23.15,24193,0.6759000000000001,35793
2021-11-09,INDBANK,23.55,23.85,23.05,23.3,42939,0.6148,69847
2021-11-10,INDBANK,23.65,23.65,23.1,23.5,26432,0.6236,42385
2021-11-11,INDBANK,23.65,23.65,23.15,23.25,12921,0.6365,20300
2021-11-12,INDBANK,23.45,23.5,22.5,23.05,30831,0.6801,45332
2021-11-15,INDBANK,23.1,23.4,22.8,23.1,17619,0.6404000000000001,27512
2021-11-16,INDBANK,23.0,23.35,22.85,22.95,14234,0.8483,16779
2021-11-17,INDBANK,23.3,23.3,22.6,22.7,21094,0.7779,27115
2021-11-18,INDBANK,23.1,23.1,21.7,21.9,71440,0.6814,104842
2021-11-22,INDBANK,22.3,22.3,21.0,21.05,47796,0.8264,57838
2021-11-23,INDBANK,21.5,22.1,20.5,21.8,37730,0.6703,56286
2021-11-24,INDBANK,21.95,22.6,21.15,21.35,72747,0.8237000000000001,88316
2021-11-25,INDBANK,21.7,21.7,21.25,21.4,20143,0.6603,30505
2021-11-26,INDBANK,21.4,21.4,21.0,21.05,291791,0.9794,297924
2021-11-29,INDBANK,21.05,22.1,20.0,21.2,77155,0.6487999999999999,118913
2021-11-30,INDBANK,21.9,21.9,20.6,21.05,37961,0.6311,60147
2021-12-01,INDBANK,21.2,21.75,20.9,21.5,28320,0.4976,56909
2021-12-02,INDBANK,22.0,22.0,21.3,21.6,10451,0.5732,18234
2021-12-03,INDBANK,21.6,21.9,21.1,21.45,17555,0.7223,24303
2021-12-06,INDBANK,21.6,21.75,20.6,20.9,26076,0.5699000000000001,45756
2021-12-07,INDBANK,21.35,21.35,20.75,20.95,16408,0.5588000000000001,29365
2021-12-08,INDBANK,21.4,22.1,20.9,21.05,53965,0.45549999999999996,118484
2021-12-09,INDBANK,21.4,21.75,20.55,21.55,41156,0.6986,58910
2021-12-10,INDBANK,21.65,23.1,21.3,22.75,81349,0.6677,121843
2021-12-13,INDBANK,23.0,23.95,22.25,22.7,102461,0.6802,150627
2021-12-14,INDBANK,23.1,23.2,22.5,23.05,22379,0.6341,35294
2021-12-15,INDBANK,23.35,25.35,22.75,24.55,194224,0.3383,574090
2021-12-16,INDBANK,25.35,25.45,22.8,23.2,145379,0.6341,229251
2021-12-17,INDBANK,23.5,23.6,21.55,21.95,107988,0.75,143982
2021-12-20,INDBANK,21.7,22.1,21.0,21.35,38269,0.7529000000000001,50831
2021-12-21,INDBANK,21.5,22.25,21.15,21.8,31420,0.5955,52760
2021-12-22,INDBANK,22.25,22.35,21.85,22.1,54003,0.848,63681
