Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,INDIANB,125.1,127.15,124.7,126.65,657376,0.40299999999999997,1631277
2021-09-02,INDIANB,127.0,128.1,124.55,125.5,522247,0.43710000000000004,1194811
2021-09-03,INDIANB,125.5,129.5,124.2,125.45,737280,0.33240000000000003,2218270
2021-09-06,INDIANB,126.7,126.7,123.5,124.1,704040,0.4608,1527780
2021-09-07,INDIANB,124.55,126.45,121.95,122.35,624302,0.3387,1843182
2021-09-08,INDIANB,122.85,125.0,122.35,123.2,305643,0.2957,1033483
2021-09-09,INDIANB,123.4,125.45,123.05,124.9,487245,0.4274,1140118
2021-09-13,INDIANB,124.9,125.75,123.75,125.0,441142,0.5449,809642
2021-09-14,INDIANB,125.75,129.15,125.45,128.6,853472,0.4811,1774143
2021-09-15,INDIANB,128.75,134.5,127.65,133.85,1867660,0.44229999999999997,4222833
2021-09-16,INDIANB,134.85,140.0,134.4,139.2,2231606,0.3947,5653785
2021-09-17,INDIANB,141.4,144.3,134.0,137.05,3491969,0.48340000000000005,7223477
2021-09-20,INDIANB,134.0,136.3,133.0,133.1,616092,0.4484,1374061
2021-09-21,INDIANB,133.5,134.3,128.15,129.85,1098127,0.4524,2427547
2021-09-22,INDIANB,130.7,135.9,130.05,132.0,1050069,0.413,2542358
2021-09-23,INDIANB,133.2,134.65,131.55,131.95,930743,0.5589000000000001,1665255
2021-09-24,INDIANB,131.95,132.9,125.9,128.3,1889693,0.5426,3482477
2021-09-27,INDIANB,129.1,129.7,124.0,125.0,1260160,0.49920000000000003,2524191
2021-09-28,INDIANB,125.7,131.5,125.4,130.35,2124002,0.5063000000000001,4194893
2021-09-29,INDIANB,129.95,137.8,128.1,134.2,2131483,0.38810000000000006,5492241
2021-09-30,INDIANB,134.9,141.65,134.2,140.35,3051781,0.3982,7663301
2021-10-01,INDIANB,139.5,143.0,137.05,141.8,1858175,0.34630000000000005,5365567
2021-10-04,INDIANB,142.3,143.95,142.05,142.65,1500236,0.3873,3873394
2021-10-05,INDIANB,143.45,143.45,139.1,140.1,1009962,0.369,2736892
2021-10-06,INDIANB,140.4,142.3,138.5,139.15,810035,0.3726,2173832
2021-10-07,INDIANB,140.1,141.5,138.15,139.7,583924,0.4047,1442994
2021-10-08,INDIANB,140.4,142.0,138.8,141.5,801642,0.3433,2335403
2021-10-11,INDIANB,142.65,147.85,141.3,145.8,3155303,0.465,6786194
2021-10-12,INDIANB,147.05,161.5,145.5,159.8,7307536,0.3387,21572593
2021-10-13,INDIANB,162.0,166.0,158.2,163.55,5259157,0.3565,14750933
2021-10-14,INDIANB,164.45,167.5,161.4,164.5,3753169,0.39640000000000003,9467681
2021-10-18,INDIANB,170.9,174.8,169.0,171.45,3894537,0.40299999999999997,9664176
2021-10-19,INDIANB,173.0,174.75,157.15,159.15,4017383,0.4568,8793903
2021-10-20,INDIANB,160.35,164.45,153.55,163.45,2321904,0.3044,7628484
2021-10-21,INDIANB,165.05,176.5,163.5,174.2,4468444,0.33770000000000006,13230489
2021-10-22,INDIANB,176.5,185.75,175.8,182.5,6418710,0.2983,21514728
2021-10-25,INDIANB,184.25,194.4,176.65,187.7,4644426,0.2704,17175911
2021-10-26,INDIANB,188.5,194.95,185.2,186.1,4027572,0.3504,11493493
2021-10-27,INDIANB,187.5,192.8,184.35,189.45,2542865,0.3769,6746856
2021-10-28,INDIANB,189.5,189.5,171.5,174.3,2480913,0.32280000000000003,7685967
2021-10-29,INDIANB,174.85,177.8,155.6,172.1,3455960,0.2097,16482557
2021-11-01,INDIANB,161.35,176.0,161.35,172.1,1325825,0.2671,4963378
2021-11-02,INDIANB,176.25,176.4,171.85,173.2,1770514,0.3629,4879291
2021-11-03,INDIANB,174.5,174.9,166.1,167.25,2290624,0.3755,6100519
2021-11-04,INDIANB,170.0,174.45,169.15,172.85,559918,0.41500000000000004,1349133
2021-11-08,INDIANB,174.5,177.55,170.0,176.55,2207715,0.36060000000000003,6121786
2021-11-09,INDIANB,177.45,184.6,176.35,179.05,2090304,0.3072,6804347
2021-11-10,INDIANB,177.8,178.5,173.8,175.8,1417315,0.36060000000000003,3930692
2021-11-11,INDIANB,175.0,177.9,170.45,172.3,1060559,0.3085,3438140
2021-11-12,INDIANB,173.35,174.6,168.0,168.95,1007823,0.368,2738390
2021-11-15,INDIANB,170.0,170.6,165.0,165.8,528394,0.2914,1813159
2021-11-16,INDIANB,166.0,168.45,162.9,164.05,628344,0.2957,2124733
2021-11-17,INDIANB,162.0,167.4,162.0,162.8,877150,0.32630000000000003,2688007
