Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,INDLMETER,11.35,11.75,11.2,11.5,10767,0.899,11976
2021-09-02,INDLMETER,11.75,12.05,11.3,11.95,20275,0.9346,21693
2021-09-03,INDLMETER,11.95,12.5,11.65,11.9,14365,0.4509,31860
2021-09-06,INDLMETER,12.0,12.35,11.6,12.05,9302,0.8684999999999999,10710
2021-09-07,INDLMETER,12.3,12.3,11.65,12.05,5388,0.6304,8547
2021-09-08,INDLMETER,12.05,12.35,11.65,11.9,10906,0.8701000000000001,12534
2021-09-09,INDLMETER,12.0,12.25,11.7,12.15,10097,0.527,19161
2021-09-13,INDLMETER,12.0,12.35,11.75,12.0,10741,0.5848,18368
2021-09-14,INDLMETER,11.8,12.3,11.6,12.0,11528,0.6646,17347
2021-09-15,INDLMETER,12.0,12.3,11.8,12.1,10702,0.6677,16027
2021-09-16,INDLMETER,12.3,12.35,12.0,12.35,20056,0.7139,28095
2021-09-17,INDLMETER,12.35,12.35,12.05,12.2,12371,0.7076000000000001,17482
2021-09-20,INDLMETER,12.0,12.35,12.0,12.0,9163,0.8794,10420
2021-09-21,INDLMETER,12.2,12.2,11.7,12.0,8170,0.6559999999999999,12454
2021-09-22,INDLMETER,12.2,12.2,11.8,11.85,7518,0.5977,12578
2021-09-23,INDLMETER,12.0,12.2,11.7,11.9,12152,0.6456000000000001,18824
2021-09-24,INDLMETER,12.2,12.2,11.55,11.65,29734,0.7106,41845
2021-09-27,INDLMETER,12.2,12.2,11.7,11.9,9338,0.5546,16837
2021-09-28,INDLMETER,11.7,12.05,11.35,11.7,15192,0.6774,22428
2021-09-29,INDLMETER,11.8,11.8,11.55,11.8,22292,0.8326000000000001,26774
2021-09-30,INDLMETER,12.0,12.0,11.6,11.75,9612,0.8432,11400
2021-10-01,INDLMETER,12.0,12.0,11.3,11.85,8911,0.6289,14170
2021-10-04,INDLMETER,12.0,12.0,11.65,11.95,27048,0.7073999999999999,38237
2021-10-05,INDLMETER,12.1,12.1,11.6,12.0,34338,0.6956,49365
2021-10-06,INDLMETER,12.1,12.1,11.85,12.0,8297,0.8461,9806
2021-10-07,INDLMETER,12.2,12.55,11.8,12.2,15127,0.7404999999999999,20428
2021-10-08,INDLMETER,11.8,12.55,11.8,12.3,25635,0.6513,39360
2021-10-11,INDLMETER,12.55,12.55,12.05,12.45,17205,0.6999,24582
2021-10-12,INDLMETER,12.6,12.6,12.1,12.35,19669,0.728,27017
2021-10-13,INDLMETER,12.8,13.55,12.15,13.55,93126,0.5389,172804
2021-10-14,INDLMETER,14.4,14.4,12.7,12.85,119081,0.5445000000000001,218697
2021-10-18,INDLMETER,13.4,13.75,12.75,13.0,66291,0.6425,103169
2021-10-19,INDLMETER,13.4,13.7,12.9,13.1,26480,0.6808,38897
2021-10-20,INDLMETER,13.5,13.5,12.1,12.85,13607,0.5932000000000001,22938
2021-10-21,INDLMETER,12.6,13.2,12.6,12.85,5307,0.5518,9618
2021-10-22,INDLMETER,12.85,13.25,12.6,12.75,7010,0.8448000000000001,8298
